mot,poids_tfidf,langue,serie
s,0.5225905482179959,en,90210
know,0.34098763258393006,en,90210
go,0.2488746838723435,en,90210
m,0.23359967227695477,en,90210
t,0.23221103485919217,en,90210
want,0.20073525338990633,en,90210
think,0.17805417556645034,en,90210
naomi,0.17086533961764502,en,90210
right,0.16463068052807844,en,90210
navid,0.13627912460748082,en,90210
come,0.1354692947550636,en,90210
get,0.13130338250177578,en,90210
adrianna,0.11561238027162771,en,90210
tell,0.11463973348862444,en,90210
dixon,0.11368229834446533,en,90210
good,0.10584502984279456,en,90210
mean,0.09905613580039958,en,90210
look,0.09797608447547311,en,90210
thank,0.08331824506575666,en,90210
talk,0.08208390069441211,en,90210
guy,0.08009916264917476,en,90210
sorry,0.07622076493052554,en,90210
thing,0.07514071360559905,en,90210
let,0.07082050830589316,en,90210
time,0.06881469870245828,en,90210
need,0.0668088890990234,en,90210
liam,0.06074273843908157,en,90210
say,0.060482874195882615,en,90210
silver,0.05918718972787291,en,90210
annie,0.05842767047009671,en,90210
mom,0.056688833498651295,en,90210
maybe,0.0547740314784141,en,90210
school,0.053259897866602,en,90210
love,0.05199675664288888,en,90210
okay,0.04951388536883103,en,90210
feel,0.04875660266810945,en,90210
way,0.04752225829676491,en,90210
girl,0.047213672203928775,en,90210
little,0.046442206971838436,en,90210
sure,0.0456707417397481,en,90210
dad,0.04562347408682522,en,90210
great,0.04520786260049389,en,90210
man,0.04505356955407582,en,90210
try,0.04397351822914935,en,90210
wait,0.042739173857804805,en,90210
friend,0.042584880811386734,en,90210
like,0.042122001672132536,en,90210
night,0.04119624339362413,en,90210
actually,0.03949901988302538,en,90210
kid,0.03840402131033913,en,90210
happen,0.03579598676899175,en,90210
kind,0.03548740067615561,en,90210
see,0.034098763258393006,en,90210
fine,0.03312839154228005,en,90210
work,0.03286441888704846,en,90210
find,0.03240153974779426,en,90210
cool,0.03239845419184988,en,90210
bad,0.03224724670137619,en,90210
nice,0.03209295365495812,en,90210
hear,0.03193866060854005,en,90210
big,0.031884132705011316,en,90210
lot,0.031321488422867784,en,90210
people,0.031321488422867784,en,90210
party,0.031134124272167937,en,90210
ask,0.030087144051523237,en,90210
jasper,0.030066374814289618,en,90210
help,0.029778557958687103,en,90210
play,0.029624264912269035,en,90210
stop,0.029315678819432898,en,90210
leave,0.028852799680178697,en,90210
pretty,0.02846242090252229,en,90210
life,0.028389920540924492,en,90210
meet,0.028389920540924492,en,90210
date,0.028377487318609503,en,90210
day,0.028235627494506425,en,90210
guess,0.028235627494506425,en,90210
baby,0.027436797131252282,en,90210
care,0.027309869215998015,en,90210
well,0.026692697030325743,en,90210
believe,0.026538403983907676,en,90210
break,0.026129435582643416,en,90210
d,0.02607552484465347,en,90210
long,0.025149766566145065,en,90210
house,0.024995473519726998,en,90210
take,0.024995473519726998,en,90210
year,0.02468688742689086,en,90210
totally,0.024640907487800467,en,90210
start,0.024532594380472793,en,90210
course,0.02379645026276454,en,90210
car,0.02275793855427504,en,90210
home,0.022372491730619844,en,90210
tonight,0.022263001100787567,en,90210
dude,0.022103666607022676,en,90210
stay,0.02206390563778371,en,90210
problem,0.02190961259136564,en,90210
movie,0.02089471857570138,en,90210
call,0.02036668212718496,en,90210
sound,0.02036668212718496,en,90210
kelly,0.020273319606992433,en,90210
listen,0.020212389080766894,en,90210
away,0.020212389080766894,en,90210
new,0.020212389080766894,en,90210
win,0.020212389080766894,en,90210
lie,0.019903802987930756,en,90210
wrong,0.019286630802258484,en,90210
live,0.019132337755840417,en,90210
cause,0.01897804470942235,en,90210
