mot,poids_tfidf,langue,serie
c,0.42816496235594276,fr,alias
sloane,0.27241244563711137,fr,alias
j,0.2475092051213737,fr,alias
n,0.2307417545996023,fr,alias
savoir,0.20997175137263388,fr,alias
vaughn,0.20097519784362095,fr,alias
sd,0.19222811303994572,fr,alias
bien,0.18022304883400725,fr,alias
rambaldi,0.17803896806728348,fr,alias
taire,0.16983804722052304,fr,alias
vouloir,0.16626820291588784,fr,alias
sark,0.14420601774920158,fr,alias
faire,0.13413960417417106,fr,alias
covenant,0.13075878149154352,fr,alias
non,0.12180741475815855,fr,alias
devoir,0.10471543293596579,fr,alias
oui,0.10471543293596579,fr,alias
cia,0.10420254598286152,fr,alias
tre,0.10136194283161151,fr,alias
voir,0.09681850462571218,fr,alias
sydney,0.09166546548536186,fr,alias
dixon,0.08906271021456229,fr,alias
aller,0.08621714881194704,fr,alias
arvin,0.08489909037787652,fr,alias
croire,0.08178188770618816,fr,alias
chose,0.0816737106060477,fr,alias
nadia,0.07330088551488229,fr,alias
derevko,0.0726576474044054,fr,alias
avoir,0.07193777159340625,fr,alias
agent,0.07188832934174429,fr,alias
syd,0.06811562244106772,fr,alias
venir,0.06804339598834967,fr,alias
marshall,0.067556687598728,fr,alias
bon,0.06663709368652368,fr,alias
ici,0.06620438528596184,fr,alias
pouvoir,0.06479808298413586,fr,alias
heure,0.05874016537627007,fr,alias
falloir,0.05744204017458454,fr,alias
mme,0.05744204017458454,fr,alias
passer,0.05636026917317993,fr,alias
pre,0.05527849817177533,fr,alias
prendre,0.05376401876980888,fr,alias
trouver,0.05127594546657829,fr,alias
dire,0.04997782026489277,fr,alias
jamais,0.04911240346376908,fr,alias
homme,0.048138809562504936,fr,alias
vie,0.04662433016053849,fr,alias
besoin,0.04554255915913388,fr,alias
khasinau,0.045480359443978956,fr,alias
ok,0.04395379781269427,fr,alias
temps,0.04283813165562237,fr,alias
sr,0.041107298053375,fr,alias
arriver,0.04078276675295362,fr,alias
travailler,0.040458235452532236,fr,alias
an,0.039592818651408554,fr,alias
apr,0.03926828735098717,fr,alias
femme,0.037645630848880264,fr,alias
mettre,0.03721292244831842,fr,alias
jack,0.0361396192820872,fr,alias
fois,0.03494120334536875,fr,alias
appeler,0.03472484914508783,fr,alias
attendre,0.03440031784466645,fr,alias
vraiment,0.033534901043542766,fr,alias
partir,0.03299401554284046,fr,alias
s,0.0328858384427,fr,alias
mr,0.031695890341154935,fr,alias
minute,0.03162537953016936,fr,alias
ouai,0.03147471681670095,fr,alias
donne,0.03137135904073356,fr,alias
mission,0.031198360716439586,fr,alias
contact,0.031189167398718746,fr,alias
code,0.031133940117325107,fr,alias
tuer,0.031046827740312172,fr,alias
aimer,0.03028958803932895,fr,alias
fille,0.030181410939188486,fr,alias
scurit,0.029682751356488655,fr,alias
aider,0.029424171238205264,fr,alias
trouv,0.028991462837643422,fr,alias
trs,0.02866693153722204,fr,alias
