mot,poids_tfidf,langue,serie
s,0.531816956146861,en,bionicwoman
jaime,0.3661923306231807,en,bionicwoman
know,0.2871219559160233,en,bionicwoman
go,0.23088157279845173,en,bionicwoman
t,0.227921552634369,en,bionicwoman
m,0.16477445580060443,en,bionicwoman
right,0.15392104853230115,en,bionicwoman
think,0.14701433481610815,en,bionicwoman
want,0.14306764126399787,en,bionicwoman
berkut,0.1368017689849252,en,bionicwoman
bionic,0.12901693142750986,en,bionicwoman
tell,0.11248076623514315,en,bionicwoman
get,0.11149409284711558,en,bionicwoman
need,0.103600705742895,en,bionicwoman
come,0.09669399202670201,en,bionicwoman
guy,0.09548145773657571,en,bionicwoman
jona,0.09392605092212804,en,bionicwoman
look,0.08781393153445385,en,bionicwoman
work,0.08386723798234358,en,bionicwoman
let,0.08386723798234358,en,bionicwoman
sommer,0.08044395034422717,en,bionicwoman
talk,0.075973850878123,en,bionicwoman
time,0.07498717749009542,en,bionicwoman
thing,0.07498717749009542,en,bionicwoman
good,0.07498717749009542,en,bionicwoman
way,0.07498717749009542,en,bionicwoman
becca,0.06957093999957797,en,bionicwoman
mean,0.06117375005770943,en,bionicwoman
say,0.06117375005770943,en,bionicwoman
little,0.05920040328165429,en,bionicwoman
jae,0.056000046632193726,en,bionicwoman
love,0.05328036295348886,en,bionicwoman
find,0.05032034278940614,en,bionicwoman
help,0.04933366940137857,en,bionicwoman
try,0.04933366940137857,en,bionicwoman
people,0.04933366940137857,en,bionicwoman
kill,0.048346996013351004,en,bionicwoman
life,0.04736032262532343,en,bionicwoman
great,0.04736032262532343,en,bionicwoman
okay,0.04733692969716924,en,bionicwoman
victor,0.045831517196718914,en,bionicwoman
feel,0.043413629073213146,en,bionicwoman
sorry,0.04242695568518557,en,bionicwoman
thank,0.041440282297158,en,bionicwoman
anthrocyte,0.04053385747701487,en,bionicwoman
sister,0.04042569365235932,en,bionicwoman
happen,0.03946693552110286,en,bionicwoman
sure,0.03848026213307529,en,bionicwoman
antonio,0.03841741608232874,en,bionicwoman
bad,0.03749358874504771,en,bionicwoman
trust,0.03680014516930522,en,bionicwoman
