mot,poids_tfidf,langue,serie
s,0.5431428152357654,en,bloodties
know,0.3472349416144747,en,bloodties
t,0.22216101471339786,en,bloodties
go,0.1988799273298311,en,bloodties
think,0.18451500107188562,en,bloodties
coreen,0.18060022457244435,en,bloodties
right,0.1691593902444267,en,bloodties
want,0.15157473913556244,en,bloodties
get,0.15058405456604895,en,bloodties
look,0.12309255776204987,en,bloodties
m,0.12111118862302292,en,bloodties
come,0.11912981948399595,en,bloodties
vicki,0.11634867915687672,en,bloodties
find,0.11095667178550975,en,bloodties
kill,0.10823228921934767,en,bloodties
tell,0.09956379923610473,en,bloodties
vampire,0.09868358851981256,en,bloodties
guy,0.089378451667591,en,bloodties
need,0.08792325554432134,en,bloodties
say,0.08643722869005112,en,bloodties
time,0.08594188640529438,en,bloodties
good,0.08346517498151068,en,bloodties
thing,0.08148380584248373,en,bloodties
work,0.0725676447168624,en,bloodties
let,0.0718246312897273,en,bloodties
talk,0.06959559100832197,en,bloodties
demon,0.06675260011241592,en,bloodties
way,0.06588052387264641,en,bloodties
henry,0.06539562836908981,en,bloodties
people,0.06414682587599782,en,bloodties
mean,0.06340381244886271,en,bloodties
see,0.06216545673697086,en,bloodties
help,0.061174772167457384,en,bloodties
maybe,0.06018408759794391,en,bloodties
night,0.05820271845891695,en,bloodties
thank,0.05696436274702509,en,bloodties
try,0.05473532246561976,en,bloodties
dead,0.0544876513232414,en,bloodties
kind,0.049781899618052364,en,bloodties
believe,0.04755285933664703,en,bloodties
case,0.046562174767133556,en,bloodties
stop,0.046066832482376814,en,bloodties
sure,0.04482847677048497,en,bloodties
take,0.04482847677048497,en,bloodties
fitzroy,0.04451360131389074,en,bloodties
blood,0.044189904874758684,en,bloodties
connor,0.042948359802156104,en,bloodties
body,0.04269194199764822,en,bloodties
ask,0.042351765346701264,en,bloodties
woman,0.040865738492431046,en,bloodties
man,0.040865738492431046,en,bloodties
day,0.040370396207674304,en,bloodties
little,0.04012272506529593,en,bloodties
vick,0.039931936017158484,en,bloodties
die,0.03789368478389061,en,bloodties
happen,0.036655329071998755,en,bloodties
leave,0.03566464450248528,en,bloodties
incubus,0.03561131188752424,en,bloodties
windigo,0.035205120427710464,en,bloodties
swanson,0.035205120427710464,en,bloodties
celluci,0.034339479320112665,en,bloodties
detective,0.03417534067658858,en,bloodties
lot,0.03393094650583669,en,bloodties
life,0.03393094650583669,en,bloodties
start,0.03368327536345832,en,bloodties
love,0.03368327536345832,en,bloodties
year,0.03343560422107995,en,bloodties
friend,0.03244491965156646,en,bloodties
listen,0.03194957736680973,en,bloodties
wait,0.031206563939674616,en,bloodties
angelique,0.030804480374246657,en,bloodties
long,0.030711221654917877,en,bloodties
bad,0.030711221654917877,en,bloodties
buttercup,0.03067894960555414,en,bloodties
okay,0.030630039287276645,en,bloodties
hobman,0.03052398161787792,en,bloodties
d,0.030463550512539506,en,bloodties
killer,0.029993433792424504,en,bloodties
hear,0.029720537085404397,en,bloodties
kid,0.029427777990613444,en,bloodties
marcy,0.028758966400438454,en,bloodties
great,0.028729852515890917,en,bloodties
baby,0.028438249505428552,en,bloodties
diesel,0.02843785429405288,en,bloodties
murder,0.027840409818699435,en,bloodties
hell,0.027739167946377437,en,bloodties
feel,0.0272438256616207,en,bloodties
sorry,0.026748483376863957,en,bloodties
meet,0.026748483376863957,en,bloodties
well,0.026005469949728847,en,bloodties
turn,0.025510127664972106,en,bloodties
call,0.025510127664972106,en,bloodties
chalice,0.025488469798186267,en,bloodties
place,0.025014785380215367,en,bloodties
like,0.025014785380215367,en,bloodties
wasn,0.024767114237836996,en,bloodties
miss,0.024767114237836996,en,bloodties
girl,0.024767114237836996,en,bloodties
bring,0.024271771953080258,en,bloodties
old,0.023776429668323516,en,bloodties
fine,0.02371774555424901,en,bloodties
give,0.023281087383566778,en,bloodties
understand,0.023281087383566778,en,bloodties
actually,0.023281087383566778,en,bloodties
suppose,0.023033416241188407,en,bloodties
live,0.023033416241188407,en,bloodties
pettigrew,0.02289298621340844,en,bloodties
