mot,poids_tfidf,langue,serie
c,0.5041274248022771,fr,buffy
buffy,0.36442334858312186,fr,buffy
n,0.2234551491477811,fr,buffy
j,0.20762621953933663,fr,buffy
savoir,0.19028977282532603,fr,buffy
bien,0.18001124710555688,fr,buffy
vouloir,0.16534721707868624,fr,buffy
non,0.16438788801150778,fr,buffy
faire,0.14849043489826486,fr,buffy
gile,0.14221648576108814,fr,buffy
taire,0.14163808441841877,fr,buffy
willow,0.11951472379272739,fr,buffy
oui,0.11820304577734511,fr,buffy
tre,0.11806599876774819,fr,buffy
spike,0.11587565057766806,fr,buffy
chose,0.11326935343185593,fr,buffy
marked,0.10856072824952134,fr,buffy
devoir,0.10532062687523445,fr,buffy
voir,0.09894794092897759,fr,buffy
previously,0.09835777951589966,fr,buffy
croire,0.08654518656045616,fr,buffy
bon,0.08496914595009156,fr,buffy
aller,0.08353015234932389,fr,buffy
cest,0.07398026530245548,fr,buffy
vampire,0.07024227051897262,fr,buffy
angel,0.06916250416217636,fr,buffy
tueur,0.06887767487016024,fr,buffy
ici,0.06866055180805786,fr,buffy
mme,0.06674189367370095,fr,buffy
dawn,0.06631176721802229,fr,buffy
falloir,0.06427504750095636,fr,buffy
dmon,0.06426742203843032,fr,buffy
sunnydal,0.06046263635308761,fr,buffy
venir,0.05831350258349026,fr,buffy
vraiment,0.05632632094433489,fr,buffy
mal,0.05591517991554412,fr,buffy
pouvoir,0.05557256239155182,fr,buffy
faith,0.053528511210696954,fr,buffy
passer,0.053037192714008766,fr,buffy
anya,0.05230064514553408,fr,buffy
cordelia,0.0517672523767893,fr,buffy
jamais,0.05111853457965186,fr,buffy
alex,0.04981761760870815,fr,buffy
trouver,0.04974806448368264,fr,buffy
aimer,0.04892578242610111,fr,buffy
petit,0.04830907088291496,fr,buffy
temps,0.048103500368519576,fr,buffy
tuer,0.04687007728214728,fr,buffy
besoin,0.04522551316698422,fr,buffy
trop,0.04419766059500731,fr,buffy
monde,0.04344390204222423,fr,buffy
prendre,0.04241604947024732,fr,buffy
trs,0.0410455793742781,fr,buffy
t,0.0410455793742781,fr,buffy
jai,0.04015224879392272,fr,buffy
fille,0.03967510927830888,fr,buffy
glory,0.03921932680744613,fr,buffy
vie,0.038989874230324274,fr,buffy
arriver,0.03892135072552581,fr,buffy
dire,0.03857873320153351,fr,buffy
truc,0.03764770294236603,fr,buffy
heure,0.03761940413435506,fr,buffy
mieux,0.037345310115161214,fr,buffy
avoir,0.03700269259116891,fr,buffy
veux,0.035632222495199685,fr,buffy
sr,0.03535812847600584,fr,buffy
partir,0.034809940437618155,fr,buffy
fois,0.03289128230326125,fr,buffy
ami,0.03289128230326125,fr,buffy
m,0.03200047674088126,fr,buffy
soir,0.03184512120446008,fr,buffy
sortir,0.03131524169289665,fr,buffy
mourir,0.031109671178501264,fr,buffy
xander,0.03091742675860093,fr,buffy
mort,0.03083557715930742,fr,buffy
regarder,0.03083557715930742,fr,buffy
salut,0.030218865616121273,fr,buffy
penser,0.02994477159692743,fr,buffy
ok,0.02958213927329962,fr,buffy
aider,0.029533630568136664,fr,buffy
dieu,0.029533630568136664,fr,buffy
jour,0.029396583558539743,fr,buffy
ll,0.02837491348821277,fr,buffy
mettre,0.02699826089059361,fr,buffy
apr,0.026724166871399765,fr,buffy
tai,0.025973461112531432,fr,buffy
tr,0.025970408318616696,fr,buffy
quelqu,0.025970408318616696,fr,buffy
dsole,0.025904382758508742,fr,buffy
air,0.025833361309019774,fr,buffy
grand,0.02555926728982593,fr,buffy
problme,0.025353696775430548,fr,buffy
peur,0.02494255574663978,fr,buffy
appeler,0.024599938222647475,fr,buffy
attendre,0.02418879719385671,fr,buffy
laisse,0.02412027368905825,fr,buffy
finir,0.024051750184259788,fr,buffy
sai,0.024051750184259788,fr,buffy
beaucoup,0.023914703174662866,fr,buffy
accord,0.023777656165065945,fr,buffy
sang,0.023709132660267484,fr,buffy
sentir,0.02336651513627518,fr,buffy
vrai,0.023229468126678258,fr,buffy
homme,0.02261275658349211,fr,buffy
raison,0.02254423307869365,fr,buffy
visiontext,0.02235992470934532,fr,buffy
pass,0.022064568545104423,fr,buffy
moment,0.0219275215355075,fr,buffy
super,0.021692330035585246,fr,buffy
french,0.0216229748108173,fr,buffy
l,0.021105239477925967,fr,buffy
