mot,poids_tfidf,langue,serie
s,0.5467682192825887,en,burnnotice
know,0.2847620180903802,en,burnnotice
go,0.24817669920989427,en,burnnotice
get,0.24603941253990025,en,burnnotice
t,0.19851621481885665,en,burnnotice
want,0.19361302775239977,en,burnnotice
need,0.15614764965485747,en,burnnotice
think,0.1523759672960445,en,burnnotice
guy,0.14447513204604742,en,burnnotice
come,0.1352776739360923,en,burnnotice
right,0.13175743706786686,en,burnnotice
m,0.13075165510551673,en,burnnotice
good,0.12697997274670375,en,burnnotice
look,0.12295684489730324,en,burnnotice
tell,0.11717359861379,en,burnnotice
work,0.1034698193767695,en,burnnotice
talk,0.10221259192383184,en,burnnotice
time,0.09668079113090612,en,burnnotice
fi,0.09349390372968445,en,burnnotice
thing,0.08549146679976094,en,burnnotice
little,0.0815940616956542,en,burnnotice
let,0.07706804286507861,en,burnnotice
find,0.07530792443096589,en,burnnotice
westen,0.07313961921668974,en,burnnotice
way,0.07040473736450902,en,burnnotice
say,0.06877034167569004,en,burnnotice
man,0.06814172794922121,en,burnnotice
job,0.06613016402452096,en,burnnotice
help,0.06499865931687707,en,burnnotice
people,0.064495768335702,en,burnnotice
friend,0.061101254212770316,en,burnnotice
car,0.06001003041106171,en,burnnotice
money,0.058963967542776295,en,burnnotice
kill,0.05657523538219474,en,burnnotice
mean,0.05179777106103163,en,burnnotice
try,0.05028909811750643,en,burnnotice
nate,0.0496039718110854,en,burnnotice
leave,0.04878042517398124,en,burnnotice
thank,0.04878042517398124,en,burnnotice
spy,0.04846731160560795,en,burnnotice
lot,0.04764892046633735,en,burnnotice
mom,0.047631219458811956,en,burnnotice
burn,0.04560695544274814,en,burnnotice
bad,0.04526018830575579,en,burnnotice
place,0.04312290163576177,en,burnnotice
sure,0.042242842418705406,en,burnnotice
day,0.03859688280518619,en,burnnotice
problem,0.03796826907871736,en,burnnotice
take,0.03759110084283606,en,burnnotice
meet,0.03733965535224853,en,burnnotice
security,0.03693398179382819,en,burnnotice
gun,0.03680207471599308,en,burnnotice
deal,0.03637224815545229,en,burnnotice
new,0.0359567051540171,en,burnnotice
fine,0.035738585295601207,en,burnnotice
business,0.0349781898637799,en,burnnotice
cop,0.034590001832858826,en,burnnotice
maybe,0.034448032210491905,en,burnnotice
well,0.03432230946519814,en,burnnotice
wait,0.033819418484023075,en,burnnotice
hear,0.033819418484023075,en,burnnotice
call,0.03369369573872931,en,burnnotice
run,0.03306508201226048,en,burnnotice
d,0.032562191031085416,en,burnnotice
blacklist,0.03247914778301202,en,burnnotice
big,0.03193660813649469,en,burnnotice
stay,0.03180785455932282,en,burnnotice
long,0.03180785455932282,en,burnnotice
shoot,0.031682131814029055,en,burnnotice
ask,0.03117924083285399,en,burnnotice
kind,0.030802072596972693,en,burnnotice
like,0.030802072596972693,en,burnnotice
fiona,0.029844304555062224,en,burnnotice
nice,0.02954484514403503,en,burnnotice
check,0.028539063181684903,en,burnnotice
listen,0.02828761769109737,en,burnnotice
virgil,0.027322250649000627,en,burnnotice
happen,0.02728183572874724,en,burnnotice
family,0.027156112983453475,en,burnnotice
sorry,0.02703039023815971,en,burnnotice
house,0.02703039023815971,en,burnnotice
hell,0.02665322200227841,en,burnnotice
old,0.02665322200227841,en,burnnotice
phone,0.026611388299344427,en,burnnotice
away,0.026150331021103347,en,burnnotice
easy,0.02602460827580958,en,burnnotice
start,0.025521717294634517,en,burnnotice
girl,0.02539599454934075,en,burnnotice
win,0.025270271804046982,en,burnnotice
sound,0.02501882631345945,en,burnnotice
make,0.024641658077578153,en,burnnotice
life,0.024641658077578153,en,burnnotice
see,0.024641658077578153,en,burnnotice
pretty,0.024586118962222105,en,burnnotice
bly,0.024572366307357218,en,burnnotice
home,0.02439021258699062,en,burnnotice
hard,0.02439021258699062,en,burnnotice
plan,0.024205921246311456,en,burnnotice
great,0.02413876709640309,en,burnnotice
bring,0.023887321605815557,en,burnnotice
cash,0.02326940622447564,en,burnnotice
pay,0.022811862954639064,en,burnnotice
year,0.02250437140758413,en,burnnotice
head,0.02250437140758413,en,burnnotice
care,0.022378648662290362,en,burnnotice
stop,0.022252925916996597,en,burnnotice
send,0.02217820009478798,en,burnnotice
figure,0.02217820009478798,en,burnnotice
hand,0.0218757576811153,en,burnnotice
operative,0.02168291984329971,en,burnnotice
set,0.021589847254410183,en,burnnotice
dead,0.021372866699940235,en,burnnotice
kid,0.021248186733530433,en,burnnotice
use,0.021121421209352703,en,burnnotice
police,0.020775893539862873,en,burnnotice
strickler,0.020659431585740323,en,burnnotice
hour,0.02061853022817764,en,burnnotice
real,0.020492807482883874,en,burnnotice
turn,0.020492807482883874,en,burnnotice
trust,0.020150478943264508,en,burnnotice
buddy,0.01979283432557732,en,burnnotice
mikey,0.01956638481430602,en,burnnotice
rufino,0.01936821711163155,en,burnnotice
break,0.019263350939472988,en,burnnotice
watch,0.01923558002994621,en,burnnotice
boy,0.01923558002994621,en,burnnotice
hold,0.01837622293568147,en,burnnotice
notice,0.018268332292193233,en,burnnotice
course,0.018122757791741037,en,burnnotice
lucio,0.018077002637522783,en,burnnotice
duman,0.018077002637522783,en,burnnotice
cover,0.018012831141253467,en,burnnotice
idea,0.01797835257700855,en,burnnotice
safe,0.017885080565783584,en,burnnotice
steal,0.017869292647800603,en,burnnotice
give,0.017852629831714786,en,burnnotice
brennen,0.01783893151626579,en,burnnotice
line,0.01772690708642102,en,burnnotice
carla,0.01765949141594804,en,burnnotice
information,0.01762957941484382,en,burnnotice
minute,0.017615827503860166,en,burnnotice
boat,0.017577758829801997,en,burnnotice
son,0.01748909493188995,en,burnnotice
stuff,0.017235629787949514,en,burnnotice
pick,0.017224016105245953,en,burnnotice
covert,0.017214435293314675,en,burnnotice
meeting,0.017142004805231776,en,burnnotice
office,0.016863075962024524,en,burnnotice
number,0.016855432072038868,en,burnnotice
guess,0.01672112512407089,en,burnnotice
suppose,0.016595402378777123,en,burnnotice
understand,0.016595402378777123,en,burnnotice
drive,0.016469679633483357,en,burnnotice
room,0.01634395688818959,en,burnnotice
worry,0.01622176921218778,en,burnnotice
operation,0.016164551077816725,en,burnnotice
timo,0.016140180926359625,en,burnnotice
walk,0.01609251139760206,en,burnnotice
cellphone,0.016086640589730302,en,burnnotice
bitchy,0.01600470293396349,en,burnnotice
