mot,poids_tfidf,langue,serie
s,0.48367202063051606,en,charmed
know,0.29934590547051115,en,charmed
phoebe,0.28918086436985074,en,charmed
prue,0.27783977517826064,en,charmed
t,0.27542178908592585,en,charmed
piper,0.22084162850305236,en,charmed
go,0.18719700912615514,en,charmed
think,0.1682417476829837,en,charmed
right,0.15123722188347846,en,charmed
m,0.13206112244291085,en,charmed
paige,0.12941765208836614,en,charmed
demon,0.1253157540552808,en,charmed
get,0.11774345894505904,en,charmed
come,0.11155999501796622,en,charmed
want,0.10195354213123274,en,charmed
mean,0.10095977114294996,en,charmed
good,0.09083802959562541,en,charmed
look,0.09076441692982669,en,charmed
need,0.09024912826923562,en,charmed
time,0.0878567166307771,en,charmed
tell,0.08332953768415557,en,charmed
find,0.08082670704699896,en,charmed
power,0.07883919220068301,en,charmed
let,0.07618910910167934,en,charmed
witch,0.07152285319060724,en,charmed
help,0.07048412750227823,en,charmed
whitelighter,0.06936544046967458,en,charmed
vanquish,0.06272579875812967,en,charmed
maybe,0.06146657594193454,en,charmed
try,0.06095128728134347,en,charmed
thing,0.06076725561684666,en,charmed
way,0.05738107299010536,en,charmed
happen,0.055540756345137256,en,charmed
work,0.05535672468064045,en,charmed
wait,0.054252534693659586,en,charmed
little,0.05406850302916278,en,charmed
talk,0.05307473204088001,en,charmed
kill,0.052412218048691485,en,charmed
guy,0.052091162629397905,en,charmed
say,0.04976216207993742,en,charmed
okay,0.04771668692970269,en,charmed
thank,0.04692807444668655,en,charmed
halliwell,0.046432422069072866,en,charmed
potion,0.04547168427271469,en,charmed
spell,0.04518116336314726,en,charmed
sorry,0.04247450816586375,en,charmed
love,0.04177518784077587,en,charmed
orb,0.041339498302809544,en,charmed
sure,0.0407814168524931,en,charmed
charmed,0.04048797236491049,en,charmed
sister,0.03947237934704688,en,charmed
life,0.03732162155995307,en,charmed
feel,0.03481879092279645,en,charmed
magic,0.03359803797536312,en,charmed
leave,0.03334653760682197,en,charmed
great,0.033199312275224525,en,charmed
bad,0.0331256996094258,en,charmed
see,0.032794442613331545,en,charmed
stop,0.03238957295143856,en,charmed
warlock,0.032118282667376936,en,charmed
win,0.03172705895925004,en,charmed
elder,0.03172655766475635,en,charmed
save,0.031395801963155785,en,charmed
evil,0.031341114947736,en,charmed
long,0.030328418309074286,en,charmed
well,0.030291611976174925,en,charmed
actually,0.0294450663194896,en,charmed
believe,0.028856164993099807,en,charmed
belthazor,0.02778397751782606,en,charmed
book,0.02733939729539814,en,charmed
billie,0.02700847222450223,en,charmed
take,0.026721397684936813,en,charmed
kind,0.026206109024345742,en,charmed
darryl,0.025719237844757777,en,charmed
premonition,0.025354892292389852,en,charmed
ask,0.02447621137807573,en,charmed
home,0.024402598712277006,en,charmed
away,0.02414495438198147,en,charmed
fine,0.024004973092037352,en,charmed
hear,0.023151183393698697,en,charmed
understand,0.023151183393698697,en,charmed
remember,0.022967151729201888,en,charmed
people,0.02281992639760444,en,charmed
suppose,0.022415056735711456,en,charmed
wanna,0.022215597802279746,en,charmed
baby,0.022178197805979613,en,charmed
day,0.022157412405415924,en,charmed
