mot,poids_tfidf,langue,serie
s,0.45319185738176565,en,coldcase
par,0.3345948655320011,en,coldcase
know,0.2834262290507133,en,coldcase
t,0.26793647535190807,en,coldcase
get,0.2381484874695904,en,coldcase
go,0.21644211021273627,en,coldcase
think,0.14375941977988108,en,coldcase
want,0.1414799911419298,en,coldcase
come,0.1374909910255151,en,coldcase
tell,0.13381282208700282,en,coldcase
right,0.1292539648111003,en,coldcase
look,0.12396983478675871,en,coldcase
say,0.11454128905705119,en,coldcase
time,0.10656328882422175,en,coldcase
m,0.10563079529051442,en,coldcase
guy,0.0928494794875948,en,coldcase
good,0.0925758858186117,en,coldcase
night,0.09091811953646534,en,coldcase
find,0.08723995059795306,en,coldcase
talk,0.0863592622605628,en,coldcase
kid,0.08076292708556897,en,coldcase
let,0.07501392426712353,en,coldcase
thing,0.07454767750026986,en,coldcase
maybe,0.0736669891628796,en,coldcase
man,0.0720610280770503,en,coldcase
kill,0.0714393657212454,en,coldcase
year,0.07081770336544052,en,coldcase
day,0.06729495001587947,en,coldcase
see,0.06703592403429409,en,coldcase
girl,0.06688050844534288,en,coldcase
d,0.06242526156207449,en,coldcase
need,0.062166235580489115,en,coldcase
leave,0.061181936850464705,en,coldcase
way,0.06066388488729396,en,coldcase
take,0.06024944331675736,en,coldcase
work,0.05910972899778173,en,coldcase
tsm,0.058526228550440644,en,coldcase
mean,0.058488066641976845,en,coldcase
hear,0.053152131421318194,en,coldcase
try,0.052426858672879155,en,coldcase
happen,0.04973298846439129,en,coldcase
love,0.04952576767912299,en,coldcase
nate,0.0490799172208404,en,coldcase
die,0.04900771571595225,en,coldcase
home,0.046262040311147314,en,coldcase
old,0.04595120913324487,en,coldcase
help,0.04424163765478142,en,coldcase
wasn,0.04320553372843994,en,coldcase
remember,0.04248026098000089,en,coldcase
sure,0.042014014213147224,en,coldcase
life,0.04191040382051308,en,coldcase
people,0.04175498823156185,en,coldcase
philly,0.041738598333573844,en,coldcase
dad,0.041638858652510144,en,coldcase
boy,0.0400454167530984,en,coldcase
little,0.03978639077151303,en,coldcase
run,0.039320144004659364,en,coldcase
bad,0.03869848164885448,en,coldcase
mom,0.03866063122194869,en,coldcase
murder,0.038067511356618934,en,coldcase
lot,0.03802501409673251,en,coldcase
away,0.03771418291883006,en,coldcase
detective,0.037338409977340246,en,coldcase
valen,0.035773374361876144,en,coldcase
kind,0.034657676336122684,en,coldcase
family,0.034346845158220236,en,coldcase
friend,0.034243234765586085,en,coldcase
scotty,0.033785781694507896,en,coldcase
car,0.03374850303969899,en,coldcase
real,0.0336215724097812,en,coldcase
ask,0.03356976721346412,en,coldcase
job,0.0334143516245129,en,coldcase
ain,0.03290843528897344,en,coldcase
place,0.03279268926870801,en,coldcase
call,0.03248185809080556,en,coldcase
stop,0.03201561132395189,en,coldcase
son,0.03201165968835524,en,coldcase
rainey,0.03192339739114944,en,coldcase
give,0.03149755936078115,en,coldcase
sorry,0.030927702201293334,en,coldcase
school,0.030352427262119216,en,coldcase
com,0.030111842642141163,en,coldcase
long,0.030098819060220147,en,coldcase
well,0.029736182686000628,en,coldcase
money,0.029632572293366476,en,coldcase
lose,0.029580767097049404,en,coldcase
house,0.029580767097049404,en,coldcase
play,0.029477156704415256,en,coldcase
big,0.029400594460920065,en,coldcase
start,0.029010909937561585,en,coldcase
case,0.028596468367024994,en,coldcase
thank,0.028389247581756694,en,coldcase
win,0.028130221600171323,en,coldcase
turn,0.028130221600171323,en,coldcase
cause,0.02745675404804936,en,coldcase
dead,0.026938702084878616,en,coldcase
cop,0.026724606862686108,en,coldcase
baby,0.02663623574989903,en,coldcase
live,0.026576065710659097,en,coldcase
end,0.026006208551171278,en,coldcase
gun,0.025926622635922984,en,coldcase
believe,0.025695377373268834,en,coldcase
woman,0.025591766980634686,en,coldcase
check,0.025229130606415167,en,coldcase
bring,0.02517732541009809,en,coldcase
wait,0.02517732541009809,en,coldcase
feel,0.024970104624829795,en,coldcase
pretty,0.024700677051536748,en,coldcase
wrong,0.024452052661659052,en,coldcase
father,0.024372682118978757,en,coldcase
care,0.02429663707270783,en,coldcase
break,0.02428290661514712,en,coldcase
brent,0.023795451038773764,en,coldcase
stay,0.023415948735317566,en,coldcase
new,0.02336414353900049,en,coldcase
meet,0.02336414353900049,en,coldcase
guess,0.023260533146366343,en,coldcase
lil,0.023119102815357503,en,coldcase
like,0.022897896772146823,en,coldcase
miss,0.022535260397927304,en,coldcase
hurt,0.022455160955942497,en,coldcase
http,0.02225298479221434,en,coldcase
pay,0.02219405443319898,en,coldcase
head,0.021861792845805337,en,coldcase
wife,0.02129193568631752,en,coldcase
hit,0.021136520097366298,en,coldcase
room,0.021084714901049226,en,coldcase
boss,0.021034807044239403,en,coldcase
mother,0.02103290970473215,en,coldcase
lie,0.02103290970473215,en,coldcase
hell,0.02103290970473215,en,coldcase
week,0.02077388372314678,en,coldcase
club,0.02076303951136809,en,coldcase
brother,0.020514857741561407,en,coldcase
make,0.020463052545244335,en,coldcase
walk,0.02030763695629311,en,coldcase
doer,0.01994610672133488,en,coldcase
month,0.019893195385756516,en,coldcase
vera,0.019548123761420177,en,coldcase
record,0.019477089382337234,en,coldcase
shoot,0.019375143422585773,en,coldcase
homicide,0.019313151907398796,en,coldcase
sound,0.019271533029951625,en,coldcase
body,0.01921744007392288,en,coldcase
ago,0.0191161174410004,en,coldcase
parent,0.019023727300991708,en,coldcase
hard,0.018390844692561362,en,coldcase
story,0.018381899201143626,en,coldcase
okay,0.01833688514770465,en,coldcase
hour,0.018287234299927214,en,coldcase
forget,0.01827745659204622,en,coldcase
hand,0.01823542910361014,en,coldcase
jeffrie,0.018082455393333006,en,coldcase
problem,0.01808001351465892,en,coldcase
understand,0.018028208318341843,en,coldcase
world,0.017924597925707695,en,coldcase
daughter,0.017564079412170388,en,coldcase
change,0.017561961551488176,en,coldcase
high,0.01752938044410351,en,coldcase
game,0.01738969441471826,en,coldcase
number,0.017337473110169557,en,coldcase
nice,0.017095714784634508,en,coldcase
hold,0.016815260064682522,en,coldcase
close,0.016733078410414985,en,coldcase
husband,0.016606374846487706,en,coldcase
cold,0.016423924019700588,en,coldcase
send,0.016397489628292895,en,coldcase
rush,0.016368667119472057,en,coldcase
street,0.016293047019195487,en,coldcase
figure,0.01608416180100067,en,coldcase
morning,0.015956000465658874,en,coldcase
watch,0.015956000465658874,en,coldcase
later,0.01571861266915975,en,coldcase
wanna,0.01568695307009864,en,coldcase
tully,0.015681479172329267,en,coldcase
mind,0.01543794850248813,en,coldcase
keep,0.015353063537318825,en,coldcase
write,0.015351649128044488,en,coldcase
lady,0.015248620928221417,en,coldcase
drive,0.015230727717219833,en,coldcase
sister,0.015229277315084291,en,coldcase
deal,0.01514417831912401,en,coldcase
dex,0.015084651005343657,en,coldcase
listen,0.01507531212826861,en,coldcase
eye,0.01507531212826861,en,coldcase
phone,0.015030708728155056,en,coldcase
idea,0.014971701735634462,en,coldcase
buy,0.01471267575404909,en,coldcase
face,0.014674186578185679,en,coldcase
minute,0.014569743969088271,en,coldcase
pick,0.014505454968780793,en,coldcase
tommy,0.014287242849796366,en,coldcase
white,0.014194516514940048,en,coldcase
police,0.013973590187859267,en,coldcase
catch,0.013831987416658828,en,coldcase
fall,0.01372837702402468,en,coldcase
fight,0.01372837702402468,en,coldcase
danville,0.013721294275788111,en,coldcase
great,0.013572961435073456,en,coldcase
anymore,0.013423399439178365,en,coldcase
sit,0.013417545846122234,en,coldcase
line,0.013417545846122234,en,coldcase
drug,0.013366042788387126,en,coldcase
nash,0.013353561932036398,en,coldcase
business,0.013316432659919388,en,coldcase
save,0.013313935453488085,en,coldcase
matter,0.013313935453488085,en,coldcase
fire,0.01326213025717101,en,coldcase
suppose,0.013210325060853937,en,coldcase
question,0.013210325060853937,en,coldcase
date,0.013160195528606242,en,coldcase
report,0.013160195528606242,en,coldcase
beat,0.013159793638121618,en,coldcase
didn,0.013159768746273276,en,coldcase
word,0.013158519864536863,en,coldcase
death,0.013107547441724574,en,coldcase
heart,0.01305532613717587,en,coldcase
ĳ,0.01303538726805269,en,coldcase
shut,0.01289866222352976,en,coldcase
young,0.01274199830988365,en,coldcase
plan,0.012689777005334947,en,coldcase
reason,0.012588662705049046,en,coldcase
black,0.012555660018654526,en,coldcase
late,0.012536857508731972,en,coldcase
sell,0.012533113091688836,en,coldcase
donalyn,0.012503330644866865,en,coldcase
today,0.012485052312414898,en,coldcase
door,0.012433247116097822,en,coldcase
stuff,0.012376449178042724,en,coldcase
open,0.012329636723463674,en,coldcase
billy,0.01231838403799192,en,coldcase
probably,0.012226026330829526,en,coldcase
different,0.012174221134512452,en,coldcase
ass,0.012142245129150171,en,coldcase
tonight,0.012107379886317741,en,coldcase
name,0.011896816757860041,en,coldcase
hope,0.011811584760292931,en,coldcase
chance,0.011759779563975857,en,coldcase
person,0.011707974367658783,en,coldcase
hang,0.011645350914360876,en,coldcase
stand,0.011604363975024635,en,coldcase
trouble,0.011593129609812172,en,coldcase
light,0.011475690500944642,en,coldcase
track,0.01139338419607483,en,coldcase
fine,0.011332023087068656,en,coldcase
pete,0.011290509775951852,en,coldcase
boyfriend,0.01126885869378572,en,coldcase
france,0.011239472835037907,en,coldcase
follow,0.011227580477971249,en,coldcase
party,0.011196437329208312,en,coldcase
hate,0.011123137868873841,en,coldcase
pull,0.011070916564325139,en,coldcase
cherise,0.01104574491971412,en,coldcase
store,0.011012927448052164,en,coldcase
disappear,0.010896641897685966,en,coldcase
nick,0.010789226968682564,en,coldcase
second,0.010775480833951447,en,coldcase
match,0.010770158445187973,en,coldcase
picture,0.010705367432484214,en,coldcase
wouldn,0.010705367432484214,en,coldcase
letter,0.010693099672179213,en,coldcase
read,0.010620065245000223,en,coldcase
clean,0.010620065245000223,en,coldcase
bettie,0.010585505548059367,en,coldcase
steal,0.010548703518838104,en,coldcase
truth,0.010516454852366075,en,coldcase
angus,0.010481672405811483,en,coldcase
bitch,0.01046502060984061,en,coldcase
damn,0.010422874858656143,en,coldcase
true,0.010412844459731927,en,coldcase
promise,0.010400482068838054,en,coldcase
couple,0.010392039605191992,en,coldcase
child,0.010392039605191992,en,coldcase
drink,0.010392039605191992,en,coldcase
victim,0.010374625328570464,en,coldcase
dream,0.010370234076541716,en,coldcase
drop,0.010309234067097777,en,coldcase
dance,0.010300108894993604,en,coldcase
wonder,0.010257428870780703,en,coldcase
easy,0.010257428870780703,en,coldcase
blood,0.010235375691545883,en,coldcase
sir,0.010135163648714635,en,coldcase
file,0.010133080102101816,en,coldcase
ray,0.0100366293616249,en,coldcase
cut,0.009974269168802365,en,coldcase
sloane,0.009951956112187183,en,coldcase
secret,0.009949152396572385,en,coldcase
course,0.009922047864253662,en,coldcase
throw,0.009922047864253662,en,coldcase
sick,0.009867357759576863,en,coldcase
sleep,0.00984298730024411,en,coldcase
spend,0.009817605255156256,en,coldcase
neighborhood,0.009794854850431668,en,coldcase
stick,0.009791185473283042,en,coldcase
answer,0.009791182103927036,en,coldcase
crazy,0.009738544691168617,en,coldcase
herman,0.009680506422693427,en,coldcase
wear,0.009657590492492478,en,coldcase
shot,0.009604526808467795,en,coldcase
mess,0.009574721930034717,en,coldcase
town,0.00955146312444311,en,coldcase
happy,0.009532156122341665,en,coldcase
tape,0.009523703563514826,en,coldcase
pop,0.009520641194831926,en,coldcase
benny,0.00946277103316055,en,coldcase
point,0.009428545729707515,en,coldcase
set,0.00942269999848207,en,coldcase
excuse,0.009376740533390441,en,coldcase
touch,0.009347613514217923,en,coldcase
city,0.009339208388344376,en,coldcase
mick,0.009320542461038452,en,coldcase
witness,0.009314416249596356,en,coldcase
hawk,0.00923246503357574,en,coldcase
sammy,0.009216419499148608,en,coldcase
rest,0.009086506991474405,en,coldcase
tamyra,0.00906585514650286,en,coldcase
hilary,0.00906338860217047,en,coldcase
andi,0.009050790603206195,en,coldcase
zeke,0.008991922910990744,en,coldcase
ring,0.00898633119690409,en,coldcase
scene,0.008963878551859298,en,coldcase
jane,0.008917862819351814,en,coldcase
marry,0.008896797979946351,en,coldcase
arrest,0.008892284665001353,en,coldcase
free,0.008877621773279592,en,coldcase
song,0.008822572012826619,en,coldcase
move,0.008806883373902624,en,coldcase
fishtown,0.008778934282566096,en,coldcase
wish,0.00872095785963348,en,coldcase
show,0.00872095785963348,en,coldcase
ready,0.008703272981268476,en,coldcase
trevor,0.008697576723302944,en,coldcase
photo,0.008693820107740613,en,coldcase
sadie,0.00865780389000162,en,coldcase
use,0.008651467784951402,en,coldcase
ride,0.008627198041160099,en,coldcase
alice,0.008618031765468085,en,coldcase
college,0.008588861495930548,en,coldcase
pmi,0.008575808922367568,en,coldcase
box,0.008573278053402848,en,coldcase
hospital,0.008519358065645598,en,coldcase
navrax,0.008512905970973185,en,coldcase
donovan,0.008508292574268486,en,coldcase
bar,0.008450432010839793,en,coldcase
kate,0.0084438896711418,en,coldcase
act,0.008407630032341261,en,coldcase
sign,0.00839244180336603,en,coldcase
class,0.00828473726552921,en,coldcase
buck,0.008279161489311957,en,coldcase
