mot,poids_tfidf,langue,serie
c,0.44696108759646785,fr,coldcase
taire,0.3752296457575217,fr,coldcase
n,0.2834628701635596,fr,coldcase
j,0.21779149841100717,fr,coldcase
vouloir,0.20981446737891746,fr,coldcase
savoir,0.19769432720613,fr,coldcase
faire,0.174567120958056,fr,coldcase
non,0.16764132657360603,fr,coldcase
bien,0.15570669875040205,fr,coldcase
tre,0.13047701920704857,fr,coldcase
chose,0.11848055393398345,fr,coldcase
oui,0.11378090774453525,fr,coldcase
voir,0.10920493645480939,fr,coldcase
aller,0.09992931897563531,fr,coldcase
avoir,0.09584804728479872,fr,coldcase
jamais,0.0954151851357706,fr,coldcase
mme,0.08533568080840144,fr,coldcase
devoir,0.08366606966215011,fr,coldcase
croire,0.07822437407436798,fr,coldcase
fille,0.07717313742672827,fr,coldcase
venir,0.07216430398797426,fr,coldcase
an,0.07074204264116757,fr,coldcase
ici,0.06950529364394437,fr,coldcase
bon,0.06876324424561044,fr,coldcase
prendre,0.06808303229713768,fr,coldcase
cest,0.06383790355115353,fr,coldcase
apr,0.06356889845727295,fr,coldcase
dire,0.06325971120796715,fr,coldcase
pre,0.05856006501851896,fr,coldcase
pouvoir,0.05843639011879664,fr,coldcase
heure,0.05831271521907432,fr,coldcase
jour,0.05806536541962968,fr,coldcase
philly,0.056346404908727034,fr,coldcase
femme,0.05608656702407254,fr,coldcase
ouai,0.05460934821552198,fr,coldcase
petit,0.054602468227404694,fr,coldcase
temps,0.05423144352823773,fr,coldcase
penser,0.053860418829070764,fr,coldcase
soir,0.05055624832197056,fr,coldcase
fois,0.05008833438753998,fr,coldcase
type,0.04943157879771254,fr,coldcase
vie,0.0484805606911498,fr,coldcase
nuit,0.04835688579142748,fr,coldcase
mort,0.048295048341566324,fr,coldcase
quelqu,0.04668727464517615,fr,coldcase
passer,0.04557420054767526,fr,coldcase
besoin,0.04415193920086857,fr,coldcase
aimer,0.0425441655044784,fr,coldcase
vraiment,0.042111303355450276,fr,coldcase
mettre,0.04143109140697751,fr,coldcase
nom,0.04068904200864359,fr,coldcase
trouver,0.04062720455878242,fr,coldcase
mourir,0.0395759679111427,fr,coldcase
homme,0.039328618111698056,fr,coldcase
maison,0.03914310576211458,fr,coldcase
pass,0.03895759341253109,fr,coldcase
voiture,0.038683021340391456,fr,coldcase
mal,0.03852473126350297,fr,coldcase
mr,0.038153706564336004,fr,coldcase
monde,0.038153706564336004,fr,coldcase
inspecteur,0.03770210253620775,fr,coldcase
famille,0.03759716951558556,fr,coldcase
affaire,0.03710246991669628,fr,coldcase
jai,0.036732535249214646,fr,coldcase
tier,0.03666960776766816,fr,coldcase
l,0.036113070718917714,fr,coldcase
partir,0.03561837112002843,fr,coldcase
sortir,0.03524734642086146,fr,coldcase
valen,0.035037118460828284,fr,coldcase
gamin,0.03503360738188359,fr,coldcase
rush,0.03467715410878448,fr,coldcase
falloir,0.03450529702252754,fr,coldcase
appeler,0.03444345957266638,fr,coldcase
arriver,0.03431978467294406,fr,coldcase
regarder,0.034257947223082896,fr,coldcase
entendre,0.033948759973777096,fr,coldcase
trouv,0.03388692252391594,fr,coldcase
scotty,0.0338073393071957,fr,coldcase
sr,0.03357773527461013,fr,coldcase
fils,0.03339222292502665,fr,coldcase
meurtre,0.03277072309362811,fr,coldcase
problme,0.032588336076831564,fr,coldcase
accord,0.03246466117710924,fr,coldcase
philadelphie,0.03225838393584633,fr,coldcase
connaître,0.03196996157821996,fr,coldcase
ami,0.0319081241283588,fr,coldcase
grand,0.03172261177877532,fr,coldcase
trs,0.031351587079608355,fr,coldcase
enfant,0.031227912179886037,fr,coldcase
hein,0.03048586278155211,fr,coldcase
souvenir,0.030114838082385145,fr,coldcase
beaucoup,0.030114838082385145,fr,coldcase
trop,0.029805650833079345,fr,coldcase
quil,0.027325887981098144,fr,coldcase
coldcase,0.0269491578146659,fr,coldcase
argent,0.026837453239743642,fr,coldcase
anne,0.02671377834002132,fr,coldcase
perdre,0.026590103440299,fr,coldcase
mieux,0.026219078741132038,fr,coldcase
tai,0.026182027491032843,fr,coldcase
dernire,0.026033566391548555,fr,coldcase
m,0.025724379142242754,fr,coldcase
taient,0.025538866792659272,fr,coldcase
genre,0.025291516993214632,fr,coldcase
parler,0.02516784209349231,fr,coldcase
coup,0.0248729261164812,fr,coldcase
aider,0.024611305044741866,fr,coldcase
revenir,0.024549467594880706,fr,coldcase
arme,0.0242402803455749,fr,coldcase
travailler,0.0242402803455749,fr,coldcase
interprte,0.024174092685771715,fr,coldcase
police,0.024143920022502152,fr,coldcase
donner,0.024124868188165973,fr,coldcase
finir,0.02399293054613026,fr,coldcase
flic,0.02387805372841762,fr,coldcase
t,0.023683743296824458,fr,coldcase
cter,0.023605792599667212,fr,coldcase
appel,0.023374556047518657,fr,coldcase
vrai,0.023189043697935174,fr,coldcase
essayer,0.023127206248074014,fr,coldcase
gars,0.023063365954939793,fr,coldcase
mec,0.022984573957613427,fr,coldcase
raison,0.022879856448629374,fr,coldcase
s,0.022756181548907052,fr,coldcase
laisse,0.02269434409904589,fr,coldcase
poque,0.02263989036281272,fr,coldcase
frre,0.02250883174946241,fr,coldcase
cas,0.02250883174946241,fr,coldcase
semaine,0.021828619800989643,fr,coldcase
parl,0.021766782351128482,fr,coldcase
chance,0.021704944901267325,fr,coldcase
veux,0.021581270001545003,fr,coldcase
mari,0.021569003599755627,fr,coldcase
meilleur,0.021519432551683843,fr,coldcase
papa,0.0212720827522392,fr,coldcase
endroit,0.02113263647490508,fr,coldcase
rainey,0.020925228420799403,fr,coldcase
mois,0.020777383153349916,fr,coldcase
tard,0.020633931189361597,fr,coldcase
vieux,0.020344521004321794,fr,coldcase
garon,0.020344521004321794,fr,coldcase
moment,0.020282683554460633,fr,coldcase
attendre,0.020220846104599472,fr,coldcase
tr,0.02003533375501599,fr,coldcase
corps,0.020010549582432244,fr,coldcase
jouer,0.019823535100353437,fr,coldcase
photo,0.019666032661306395,fr,coldcase
tuer,0.019664309055849028,fr,coldcase
all,0.01963652061827463,fr,coldcase
rentrer,0.019416959256404385,fr,coldcase
dsol,0.019416959256404385,fr,coldcase
parent,0.019414987021323788,fr,coldcase
devenir,0.019231446906820906,fr,coldcase
retrouver,0.019013139011345277,fr,coldcase
cole,0.01890406631023632,fr,coldcase
rester,0.018888462689959407,fr,coldcase
cold,0.018835216030039,fr,coldcase
histoire,0.018736747307931623,fr,coldcase
verer,0.018660258459116494,fr,coldcase
ok,0.018647743106810607,fr,coldcase
truc,0.018639110047187664,fr,coldcase
lilly,0.01849481626173862,fr,coldcase
question,0.01848939750848698,fr,coldcase
travail,0.01842756005862582,fr,coldcase
nouveau,0.01842756005862582,fr,coldcase
jeffrie,0.01841195274846509,fr,coldcase
gonzalo,0.018071788181599484,fr,coldcase
part,0.018056535359458857,fr,coldcase
faon,0.017932860459736535,fr,coldcase
danville,0.01781053521758771,fr,coldcase
gosse,0.01779714429842977,fr,coldcase
sujet,0.01778455739849581,fr,coldcase
patron,0.01762166973079652,fr,coldcase
tte,0.017499998310708413,fr,coldcase
main,0.017438160860847252,fr,coldcase
jeune,0.017330008672636024,fr,coldcase
voil,0.01731448596112493,fr,coldcase
donn,0.01725264851126377,fr,coldcase
bettie,0.017226583243240574,fr,coldcase
retrouv,0.01695670106170986,fr,coldcase
comprendre,0.01694346126195797,fr,coldcase
fait,0.01694346126195797,fr,coldcase
oh,0.016881114812481182,fr,coldcase
rappeler,0.016819786362235647,fr,coldcase
arriv,0.016819786362235647,fr,coldcase
donalyn,0.016803592519732857,fr,coldcase
chercher,0.016572436562791004,fr,coldcase
rue,0.01641332784368491,fr,coldcase
dur,0.016394936262241994,fr,coldcase
partie,0.016386924213207525,fr,coldcase
vivre,0.016386924213207525,fr,coldcase
demander,0.016201411863624043,fr,coldcase
vol,0.016150640464358382,fr,coldcase
apprendre,0.01607773696390172,fr,coldcase
porte,0.0159540620641794,fr,coldcase
tomber,0.01589222461431824,fr,coldcase
essay,0.01576854971459592,fr,coldcase
tully,0.015766703307372728,fr,coldcase
nash,0.015719663270482454,fr,coldcase
donne,0.01570671226473476,fr,coldcase
andi,0.015623269996568613,fr,coldcase
mike,0.015612559836282475,fr,coldcase
mre,0.015585053833310812,fr,coldcase
arrte,0.015459362465290116,fr,coldcase
cause,0.015397525015428955,fr,coldcase
blanc,0.015263756243738108,fr,coldcase
peur,0.015088337766123153,fr,coldcase
payer,0.014956624243257957,fr,coldcase
matin,0.01483648224491861,fr,coldcase
sang,0.01477915051681735,fr,coldcase
salut,0.014717313066956192,fr,coldcase
air,0.01465547561709503,fr,coldcase
boulot,0.014579566489226245,fr,coldcase
aide,0.014531800717372709,fr,coldcase
disparaître,0.01450758786700062,fr,coldcase
euh,0.014452866787231167,fr,coldcase
billy,0.01436913873703246,fr,coldcase
noir,0.014305779910449106,fr,coldcase
lettre,0.014247678467785099,fr,coldcase
arrter,0.014098938568344587,fr,coldcase
amie,0.01407682281718396,fr,coldcase
pr,0.014037101118483426,fr,coldcase
hank,0.014013275887742637,fr,coldcase
demande,0.013975263668622265,fr,coldcase
ville,0.013888293940168103,fr,coldcase
dieu,0.013851588768899945,fr,coldcase
être,0.013789751319038784,fr,coldcase
team,0.013782777453753843,fr,coldcase
sest,0.01375947205368823,fr,coldcase
dossier,0.01369482802487013,fr,coldcase
occuper,0.013666076419316463,fr,coldcase
numro,0.013603263932703837,fr,coldcase
brent,0.013561255883360419,fr,coldcase
minute,0.013527380870366968,fr,coldcase
compte,0.013480564069732982,fr,coldcase
dsole,0.013465042709674033,fr,coldcase
point,0.013418726619871821,fr,coldcase
quartier,0.013390179300742478,fr,coldcase
dollar,0.013339643537261617,fr,coldcase
droit,0.01323321427028834,fr,coldcase
fin,0.01323321427028834,fr,coldcase
