mot,poids_tfidf,langue,serie
s,0.5834934974562234,en,criminalminds
know,0.28296069755966574,en,criminalminds
t,0.2161617837116231,en,criminalminds
unsub,0.2107140285368968,en,criminalminds
go,0.18319851372504234,en,criminalminds
hotch,0.17215174351634346,en,criminalminds
get,0.1560926111840922,en,criminalminds
right,0.1550956124699423,en,criminalminds
think,0.14244619128416558,en,criminalminds
reid,0.1278634693902099,en,criminalminds
look,0.12717964847374538,en,criminalminds
want,0.12219465490299593,en,criminalminds
m,0.11720966133224649,en,criminalminds
need,0.11671116197517153,en,criminalminds
come,0.11434329002906554,en,criminalminds
tell,0.10730198661038194,en,criminalminds
find,0.10449792772683537,en,criminalminds
victim,0.0977391810628299,en,criminalminds
time,0.0913500071839837,en,criminalminds
guy,0.08611651837589615,en,criminalminds
kill,0.08474489070274067,en,criminalminds
let,0.08144233246211917,en,criminalminds
say,0.08007145923016307,en,criminalminds
good,0.07757896244478835,en,criminalminds
man,0.07539802775758546,en,criminalminds
prentiss,0.06572209019611959,en,criminalminds
talk,0.06542804061608655,en,criminalminds
help,0.06393254254486172,en,criminalminds
work,0.06106617124168078,en,criminalminds
way,0.05969529800972468,en,criminalminds
people,0.05819979993849985,en,criminalminds
year,0.0575143633225218,en,criminalminds
mean,0.057015863965446854,en,criminalminds
thank,0.05570730315312512,en,criminalminds
agent,0.054812634857673084,en,criminalminds
leave,0.05427411750153466,en,criminalminds
hotchner,0.05247748315368091,en,criminalminds
thing,0.052217807653600505,en,criminalminds
take,0.04972531086822578,en,criminalminds
try,0.04972531086822578,en,criminalminds
rossi,0.04899235664450305,en,criminalminds
woman,0.04872831215407589,en,criminalminds
see,0.04860368731480715,en,criminalminds
day,0.04536344149382001,en,criminalminds
case,0.04430413036003575,en,criminalminds
maybe,0.0420608832531985,en,criminalminds
stop,0.041687008735392286,en,criminalminds
kid,0.04059343527182754,en,criminalminds
sure,0.040378447923070555,en,criminalminds
happen,0.040129198244533086,en,criminalminds
home,0.04000457340526435,en,criminalminds
ok,0.03859501265549126,en,criminalminds
believe,0.03732513936098652,en,criminalminds
girl,0.037200514521717784,en,criminalminds
d,0.03713820210208341,en,criminalminds
family,0.03707588968244905,en,criminalminds
murder,0.03703285416260615,en,criminalminds
sorry,0.036577390325374104,en,criminalminds
gideon,0.03653021619870427,en,criminalminds
killer,0.036290118289705284,en,criminalminds
jj,0.035562528352380975,en,criminalminds
life,0.03514420467378363,en,criminalminds
house,0.03508189225414927,en,criminalminds
night,0.03483264257561179,en,criminalminds
wait,0.03408489353999938,en,criminalminds
feel,0.0338356438614619,en,criminalminds
body,0.033479288325567215,en,criminalminds
start,0.033025582406215115,en,criminalminds
ask,0.03290095756694638,en,criminalminds
call,0.032776332727677646,en,criminalminds
profile,0.03227992115675092,en,criminalminds
crime,0.032256812085306355,en,criminalminds
long,0.030470773201206024,en,criminalminds
car,0.03012594567343176,en,criminalminds
away,0.029411462067421765,en,criminalminds
lot,0.029411462067421765,en,criminalminds
hear,0.029349149647787398,en,criminalminds
miss,0.028975275129981187,en,criminalminds
run,0.028726025451443715,en,criminalminds
son,0.028642693201610975,en,criminalminds
police,0.02816791032332781,en,criminalminds
little,0.02785365157656256,en,criminalminds
child,0.02738643472785611,en,criminalminds
morgan,0.027302919176792582,en,criminalminds
die,0.027230527380218878,en,criminalminds
ago,0.026669715603509565,en,criminalminds
boy,0.026482778344606463,en,criminalminds
old,0.02617121624643462,en,criminalminds
live,0.026108903826800253,en,criminalminds
victimology,0.025188160760733207,en,criminalminds
place,0.024675718175209787,en,criminalminds
check,0.024052593978866103,en,criminalminds
father,0.023807372649059397,en,criminalminds
stay,0.02380334430032863,en,criminalminds
bad,0.023554094621791158,en,criminalminds
phone,0.023226385643762414,en,criminalminds
serial,0.02308004793657274,en,criminalminds
team,0.022764504047416385,en,criminalminds
give,0.022744033166544372,en,criminalminds
probably,0.022744033166544372,en,criminalminds
love,0.022681720746910005,en,criminalminds
hour,0.022557095907641267,en,criminalminds
win,0.022432471068372532,en,criminalminds
hand,0.022245533809469427,en,criminalminds
wasn,0.022058596550566325,en,criminalminds
mind,0.022058596550566325,en,criminalminds
dead,0.021996284130931954,en,criminalminds
remember,0.021933971711297587,en,criminalminds
minute,0.02179608451964695,en,criminalminds
scene,0.02169783437088517,en,criminalminds
kind,0.021684722032760114,en,criminalminds
send,0.02148201990120823,en,criminalminds
sir,0.021126457665054898,en,criminalminds
head,0.021061597836416434,en,criminalminds
friend,0.021061597836416434,en,criminalminds
understand,0.020999285416782067,en,criminalminds
month,0.020936972997147696,en,criminalminds
job,0.020936972997147696,en,criminalminds
watch,0.020750035738244594,en,criminalminds
make,0.02050078605970712,en,criminalminds
mother,0.02050078605970712,en,criminalminds
like,0.020376161220438383,en,criminalminds
lose,0.020313848800804016,en,criminalminds
turn,0.020189223961535278,en,criminalminds
fire,0.019939974282997805,en,criminalminds
hold,0.019848883885326903,en,criminalminds
question,0.019753037024094703,en,criminalminds
detective,0.019367020886225834,en,criminalminds
school,0.019211672982421525,en,criminalminds
elle,0.019078107225349677,en,criminalminds
close,0.019067600408116652,en,criminalminds
meet,0.019067600408116652,en,criminalminds
room,0.019005287988482285,en,criminalminds
bring,0.018942975568847917,en,criminalminds
hurt,0.018843877106323008,en,criminalminds
wrong,0.018756038309944812,en,criminalminds
door,0.018756038309944812,en,criminalminds
baby,0.018552021771740434,en,criminalminds
death,0.018341373716821065,en,criminalminds
pretty,0.018278560793133322,en,criminalminds
shoot,0.0181952265332355,en,criminalminds
week,0.0181952265332355,en,criminalminds
write,0.01801492515305672,en,criminalminds
area,0.017880622768599818,en,criminalminds
record,0.017728894525895298,en,criminalminds
walk,0.01750978991725745,en,criminalminds
well,0.01744747749762308,en,criminalminds
daughter,0.017233062143700368,en,criminalminds
hell,0.01713591539945124,en,criminalminds
list,0.016927451727566028,en,criminalminds
play,0.016637416042376296,en,criminalminds
guess,0.016637416042376296,en,criminalminds
drive,0.016637416042376296,en,criminalminds
use,0.016575103622741928,en,criminalminds
open,0.016575103622741928,en,criminalminds
actually,0.016575103622741928,en,criminalminds
change,0.016512791203107557,en,criminalminds
different,0.016512791203107557,en,criminalminds
new,0.016512791203107557,en,criminalminds
gun,0.016475150858619742,en,criminalminds
listen,0.01645047878347319,en,criminalminds
derek,0.016410792485087287,en,criminalminds
doesn,0.016205734311437788,en,criminalminds
mom,0.016149178084919318,en,criminalminds
set,0.01608264003420502,en,criminalminds
end,0.016076604265666983,en,criminalminds
second,0.016014291846032612,en,criminalminds
foyet,0.015999232668805152,en,criminalminds
break,0.015954482616686815,en,criminalminds
eye,0.015951979426398245,en,criminalminds
schrader,0.015914833636278925,en,criminalminds
parent,0.015886752613669036,en,criminalminds
offender,0.015837752857881526,en,criminalminds
care,0.01582735458712951,en,criminalminds
clear,0.015640417328226405,en,criminalminds
catch,0.015640417328226405,en,criminalminds
town,0.015573582085418113,en,criminalminds
exactly,0.0154534800693233,en,criminalminds
keep,0.01545197922718487,en,criminalminds
rape,0.015438283873959128,en,criminalminds
goehre,0.015359263362052948,en,criminalminds
target,0.015264224751157171,en,criminalminds
speak,0.014954980712248355,en,criminalminds
report,0.01494292538611175,en,criminalminds
file,0.01493400328613393,en,criminalminds
criminal,0.01485565235477233,en,criminalminds
wife,0.01476804345334525,en,criminalminds
big,0.01476103706661969,en,criminalminds
high,0.014689655464313245,en,criminalminds
figure,0.014635411219244205,en,criminalminds
cop,0.014465222913923447,en,criminalminds
com,0.014383068209906124,en,criminalminds
sexual,0.01421693385131652,en,criminalminds
point,0.014207231676635937,en,criminalminds
person,0.014207231676635937,en,criminalminds
real,0.014020294417732832,en,criminalminds
sound,0.013957981998098465,en,criminalminds
street,0.013944469058679028,en,criminalminds
dad,0.013929845698917732,en,criminalminds
emily,0.01388660281892377,en,criminalminds
local,0.013873107725751179,en,criminalminds
office,0.01380321073801848,en,criminalminds
number,0.013630404440240312,en,criminalminds
late,0.013584107480292255,en,criminalminds
face,0.013379152745489337,en,criminalminds
far,0.013334857801754783,en,criminalminds
excuse,0.013272545382120415,en,criminalminds
morning,0.013272545382120415,en,criminalminds
answer,0.013210232962486046,en,criminalminds
great,0.013210232962486046,en,criminalminds
suspect,0.013171460702501728,en,criminalminds
type,0.013114782390223595,en,criminalminds
control,0.013043400972622967,en,criminalminds
name,0.013043400972622967,en,criminalminds
hard,0.013023295703582943,en,criminalminds
lindsey,0.012938487415338505,en,criminalminds
kyle,0.012709651047263158,en,criminalminds
cell,0.01270140506146805,en,criminalminds
abduct,0.012655032421283649,en,criminalminds
possible,0.012587108766142366,en,criminalminds
sheriff,0.012559383255005281,en,criminalminds
sign,0.012524796346507997,en,criminalminds
reason,0.01246248392687363,en,criminalminds
soon,0.012436958890173187,en,criminalminds
easy,0.01240017150723926,en,criminalminds
matter,0.01240017150723926,en,criminalminds
trust,0.012248520119109957,en,criminalminds
city,0.012126969656678038,en,criminalminds
male,0.012113317618532767,en,criminalminds
chance,0.01208860940906742,en,criminalminds
idea,0.012026296989433052,en,criminalminds
unit,0.012025014763109932,en,criminalminds
follow,0.01193445550067124,en,criminalminds
blood,0.01193445550067124,en,criminalminds
fine,0.01193445550067124,en,criminalminds
cause,0.011901672150164315,en,criminalminds
sit,0.011901672150164315,en,criminalminds
line,0.011777047310895579,en,criminalminds
rest,0.011746016729608011,en,criminalminds
hit,0.011714734891261212,en,criminalminds
world,0.011714734891261212,en,criminalminds
alive,0.011683203805920266,en,criminalminds
vickie,0.011680064870462106,en,criminalminds
hope,0.011652422471626843,en,criminalminds
suppose,0.011652422471626843,en,criminalminds
attack,0.011650416402731194,en,criminalminds
daddy,0.011636951195332042,en,criminalminds
couple,0.011620390882232523,en,criminalminds
evidence,0.0114763820048624,en,criminalminds
read,0.01140317279308937,en,criminalminds
able,0.01140317279308937,en,criminalminds
stressor,0.011318735854311398,en,criminalminds
cut,0.011306326263793806,en,criminalminds
course,0.011306326263793806,en,criminalminds
lie,0.011278547953820633,en,criminalminds
deal,0.011243513340106061,en,criminalminds
word,0.011216235534186266,en,criminalminds
save,0.011153923114551899,en,criminalminds
likely,0.011064839943536178,en,criminalminds
protect,0.011041925003185793,en,criminalminds
abduction,0.010985601524791338,en,criminalminds
book,0.010953924117785308,en,criminalminds
pay,0.010929448721667347,en,criminalminds
wouldn,0.010929448721667347,en,criminalminds
homicide,0.01091282930193632,en,criminalminds
safe,0.010890606637335681,en,criminalminds
contact,0.010874065800939163,en,criminalminds
witness,0.010874065800939163,en,criminalminds
white,0.01069583387277306,en,criminalminds
search,0.01067635551364936,en,criminalminds
penelope,0.010625125057731298,en,criminalminds
profiler,0.010618075861966518,en,criminalminds
young,0.0104269453321654,en,criminalminds
sense,0.0104269453321654,en,criminalminds
story,0.0104269453321654,en,criminalminds
pull,0.0104269453321654,en,criminalminds
information,0.010384066793738673,en,criminalminds
husband,0.010364132408477654,en,criminalminds
hospital,0.010312125765068961,en,criminalminds
move,0.010281549239670744,en,criminalminds
ready,0.010219236820036375,en,criminalminds
nice,0.010219236820036375,en,criminalminds
katie,0.010163029583948322,en,criminalminds
stand,0.010156924400402008,en,criminalminds
problem,0.010094611980767639,en,criminalminds
state,0.010020706505781326,en,criminalminds
site,0.010008147360428522,en,criminalminds
message,0.009987254866351197,en,criminalminds
fight,0.009969987141498902,en,criminalminds
small,0.009969987141498902,en,criminalminds
mile,0.009965062614384838,en,criminalminds
partner,0.00993564254104373,en,criminalminds
address,0.009908208834181196,en,criminalminds
sadist,0.009891493485203589,en,criminalminds
press,0.009885514364490148,en,criminalminds
lead,0.00981420946969204,en,criminalminds
pick,0.009783049882595799,en,criminalminds
today,0.009658425043327062,en,criminalminds
present,0.009610377324224735,en,criminalminds
fit,0.009545127084755882,en,criminalminds
http,0.009523616675494267,en,criminalminds
choose,0.009510097257079093,en,criminalminds
hide,0.009497622067443909,en,criminalminds
suicide,0.009493510525149748,en,criminalminds
clean,0.009471487784423959,en,criminalminds
security,0.009414371919211281,en,criminalminds
drug,0.009367158857521747,en,criminalminds
haley,0.009340323329077447,en,criminalminds
system,0.00933928371176057,en,criminalminds
order,0.00930766962609503,en,criminalminds
spend,0.00929631270578602,en,criminalminds
sleep,0.009284550525520853,en,criminalminds
true,0.009222238105886486,en,criminalminds
investigation,0.009221195398527846,en,criminalminds
letter,0.009187066733156874,en,criminalminds
shut,0.009170686858410533,en,criminalminds
lamontagne,0.009136293383789752,en,criminalminds
bau,0.009136293383789752,en,criminalminds
officer,0.009119014386985341,en,criminalminds
early,0.009117717184746153,en,criminalminds
vous,0.009096122808335397,en,criminalminds
behavior,0.008993610040622357,en,criminalminds
cover,0.0089910822238469,en,criminalminds
fact,0.008982248087347301,en,criminalminds
promise,0.008935661852289079,en,criminalminds
picture,0.008919435163659558,en,criminalminds
single,0.008871835696201301,en,criminalminds
computer,0.008846805002299212,en,criminalminds
haven,0.008786051168445908,en,criminalminds
fast,0.008786051168445908,en,criminalminds
age,0.008750106502913264,en,criminalminds
news,0.008730996392596328,en,criminalminds
brother,0.00872373874881154,en,criminalminds
drop,0.00872373874881154,en,criminalminds
torture,0.008708039325998031,en,criminalminds
tommy,0.008702663904209304,en,criminalminds
later,0.008668183468908585,en,criminalminds
afraid,0.008661426329177171,en,criminalminds
o,0.008621428466105715,en,criminalminds
money,0.008599113909542804,en,criminalminds
connection,0.008506095706593438,en,criminalminds
arrest,0.008503520097608394,en,criminalminds
arsonist,0.00838980500077111,en,criminalminds
proudly,0.008372922170003521,en,criminalminds
mark,0.008369735495268324,en,criminalminds
goehring,0.008319600987778678,en,criminalminds
group,0.0083042188453207,en,criminalminds
jonny,0.008303789261780176,en,criminalminds
behavioral,0.008282127641277495,en,criminalminds
personal,0.00823357413532351,en,criminalminds
explain,0.00823357413532351,en,criminalminds
bureau,0.008220226325564798,en,criminalminds
location,0.008195801718586382,en,criminalminds
force,0.00816974797923573,en,criminalminds
game,0.008165680079406637,en,criminalminds
neighborhood,0.008049448116468768,en,criminalminds
track,0.00804237730047175,en,criminalminds
service,0.00804237730047175,en,criminalminds
charge,0.00804132001710251,en,criminalminds
killing,0.008041281441452112,en,criminalminds
riley,0.007949768837888584,en,criminalminds
dump,0.00794740844590771,en,criminalminds
note,0.007845309932676068,en,criminalminds
wound,0.007845309932676068,en,criminalminds
plan,0.007788802537280178,en,criminalminds
spencer,0.007781043558754113,en,criminalminds
sex,0.007738266118383822,en,criminalminds
smart,0.007725989613592435,en,criminalminds
hate,0.007725989613592435,en,criminalminds
forget,0.007725989613592435,en,criminalminds
damn,0.007724732614854379,en,criminalminds
shot,0.007722964886621277,en,criminalminds
prostitute,0.007697943495962354,en,criminalminds
power,0.0076614151344047525,en,criminalminds
ahead,0.0076614151344047525,en,criminalminds
wear,0.007659138730533498,en,criminalminds
ring,0.007656343190049106,en,criminalminds
doctor,0.007656343190049106,en,criminalminds
uhh,0.007648235514311464,en,criminalminds
park,0.007644797775205714,en,criminalminds
apache,0.007623762462749873,en,criminalminds
cross,0.007592004171645332,en,criminalminds
didn,0.007537550842529204,en,criminalminds
road,0.007534780173505501,en,criminalminds
dog,0.0075276651532415586,en,criminalminds
jane,0.007518644743811263,en,criminalminds
pattern,0.007498308462061981,en,criminalminds
hair,0.007471462693055875,en,criminalminds
sync,0.007464844891525647,en,criminalminds
interview,0.007416109195137683,en,criminalminds
