mot,poids_tfidf,langue,serie
c,0.5104049838055948,fr,criminalminds
n,0.26028726612615044,fr,criminalminds
taire,0.21402579083917378,fr,criminalminds
savoir,0.20398917766628083,fr,criminalminds
vouloir,0.1912273913802183,fr,criminalminds
j,0.1855111746062528,fr,criminalminds
non,0.1816560516656714,fr,criminalminds
hotch,0.17277977288493301,fr,criminalminds
bien,0.15367317652800302,fr,criminalminds
faire,0.1389838287716498,fr,criminalminds
tre,0.13247000035480538,fr,criminalminds
oui,0.12788373340825165,fr,criminalminds
reid,0.11576021798332248,fr,criminalminds
voir,0.1115991623661406,fr,criminalminds
chose,0.10880752161606443,fr,criminalminds
victime,0.10491418102445137,fr,criminalminds
aller,0.0960457353300019,fr,criminalminds
garcia,0.0911342851549881,fr,criminalminds
ici,0.0899971803715035,fr,criminalminds
mme,0.08886723054409172,fr,criminalminds
venir,0.08461330178207087,fr,criminalminds
pouvoir,0.079894099561704,fr,criminalminds
devoir,0.07796653809141331,fr,criminalminds
hotchner,0.0770182025088656,fr,criminalminds
tueur,0.07268385334052947,fr,criminalminds
femme,0.07205091840672806,fr,criminalminds
avoir,0.07145270967456889,fr,criminalminds
prendre,0.07145270967456889,fr,criminalminds
homme,0.07125330676384915,fr,criminalminds
an,0.0708545009424097,fr,criminalminds
agent,0.07075942703709563,fr,criminalminds
bon,0.06779698964470722,fr,criminalminds
falloir,0.06706584563873488,fr,criminalminds
croire,0.06473947834700473,fr,criminalminds
trouver,0.06267898160290089,fr,criminalminds
morgan,0.061618342374384176,fr,criminalminds
penser,0.05922266448375895,fr,criminalminds
dire,0.05776037647181429,fr,criminalminds
temps,0.057228635376561685,fr,criminalminds
besoin,0.057228635376561685,fr,criminalminds
rossi,0.056350952514811536,fr,criminalminds
passer,0.05596575027533674,fr,criminalminds
jamais,0.05523460626936441,fr,criminalminds
s,0.0539052535312329,fr,criminalminds
gideon,0.05330670469918358,fr,criminalminds
appeler,0.05217709497166193,fr,criminalminds
apr,0.05064833932281069,fr,criminalminds
quelqu,0.04898664840014629,fr,criminalminds
fille,0.04892018076323972,fr,criminalminds
heure,0.04852137494180026,fr,criminalminds
garcier,0.048421696752882305,fr,criminalminds
enfant,0.04798963384654766,fr,criminalminds
trouv,0.04765729566201478,fr,criminalminds
fois,0.04692615165604245,fr,criminalminds
meurtre,0.04602020562202437,fr,criminalminds
vie,0.04440038145359257,fr,criminalminds
accord,0.04426744617977942,fr,criminalminds
arriver,0.04380217272143339,fr,criminalminds
police,0.0437452063914219,fr,criminalminds
affaire,0.04300456107855448,fr,criminalminds
vraiment,0.04200754652495585,fr,criminalminds
jour,0.04194107888804927,fr,criminalminds
famille,0.041874611251142696,fr,criminalminds
tuer,0.04054525851301118,fr,criminalminds
aider,0.040478790876104606,fr,criminalminds
regarder,0.04034585560229145,fr,criminalminds
mettre,0.03875063231653364,fr,criminalminds
maison,0.03821889122128103,fr,criminalminds
jareau,0.03816831274775641,fr,criminalminds
pre,0.03788655303674815,fr,criminalminds
mort,0.03755421485221527,fr,criminalminds
corps,0.03698722331362306,fr,criminalminds
sortir,0.03662366793552321,fr,criminalminds
trs,0.03649073266171006,fr,criminalminds
nom,0.03642426502480349,fr,criminalminds
voiture,0.03641692721535405,fr,criminalminds
petit,0.03602545920336403,fr,criminalminds
type,0.034186255274214206,fr,criminalminds
partir,0.03416436536997991,fr,criminalminds
aimer,0.03409789773307334,fr,criminalminds
suspect,0.03406341531151206,fr,criminalminds
attendre,0.03389849482235361,fr,criminalminds
mal,0.033366753727101,fr,criminalminds
beaucoup,0.033100883179474704,fr,criminalminds
katie,0.03299689219576487,fr,criminalminds
mourir,0.03276854499494182,fr,criminalminds
sr,0.0325691420842221,fr,criminalminds
profil,0.031732421587297284,fr,criminalminds
l,0.03137272461990373,fr,criminalminds
