mot,poids_tfidf,langue,serie
s,0.4403781635941879,en,cupid
trevor,0.3437804007002465,en,cupid
know,0.2546534598175087,en,cupid
think,0.2029568927868866,en,cupid
marshall,0.15179913797153743,en,cupid
love,0.14934563808846374,en,cupid
clint,0.1464347375103621,en,cupid
tena,0.14489441657727273,en,cupid
want,0.12828407374265474,en,cupid
come,0.12254001073925229,en,cupid
cupid,0.12178607904749868,en,cupid
n,0.11507303015238662,en,cupid
good,0.11488126006804902,en,cupid
find,0.10530782172904495,en,cupid
go,0.10530782172904495,en,cupid
time,0.10530782172904495,en,cupid
tell,0.1014784463934433,en,cupid
look,0.09956375872564249,en,cupid
riley,0.09951917016671606,en,cupid
t,0.09764907105784167,en,cupid
m,0.09381969572224004,en,cupid
claire,0.08406154076136294,en,cupid
get,0.0785021943798335,en,cupid
man,0.07658750671203268,en,cupid
hallie,0.07654571747737866,en,cupid
work,0.07467281904423187,en,cupid
people,0.07467281904423187,en,cupid
gt,0.07177919361119707,en,cupid
thank,0.07084344370863023,en,cupid
say,0.07084344370863023,en,cupid
iriel,0.06882568054808443,en,cupid
guy,0.06755233687633297,en,cupid
day,0.0670140683730286,en,cupid
holly,0.066317186125029,en,cupid
thing,0.06509938070522778,en,cupid
need,0.06318469303742696,en,cupid
try,0.06318469303742696,en,cupid
see,0.05935531770182533,en,cupid
leave,0.05935531770182533,en,cupid
madelyn,0.05899344046978665,en,cupid
l,0.058305113489633235,en,cupid
great,0.0555259423662237,en,cupid
peach,0.053635036448711364,en,cupid
mean,0.05361125469842288,en,cupid
right,0.05361125469842288,en,cupid
maybe,0.05169656703062206,en,cupid
year,0.05169656703062206,en,cupid
hector,0.05111886729908034,en,cupid
believe,0.049781879362821246,en,cupid
feel,0.049781879362821246,en,cupid
degustaci,0.04916120039148887,en,cupid
sure,0.04786719169502043,en,cupid
robin,0.04769827701912581,en,cupid
couple,0.04632160242948546,en,cupid
mom,0.045835527857526995,en,cupid
cory,0.0446015416310529,en,cupid
friend,0.044037816359418794,en,cupid
sorry,0.044037816359418794,en,cupid
idea,0.044037816359418794,en,cupid
let,0.044037816359418794,en,cupid
happen,0.044037816359418794,en,cupid
ask,0.042123128691617974,en,cupid
life,0.042123128691617974,en,cupid
way,0.042123128691617974,en,cupid
home,0.042123128691617974,en,cupid
take,0.042123128691617974,en,cupid
call,0.042123128691617974,en,cupid
wait,0.04020844102381716,en,cupid
sign,0.04020844102381716,en,cupid
night,0.04020844102381716,en,cupid
dance,0.03909743848373391,en,cupid
dad,0.038911407929424296,en,cupid
understand,0.03829375335601634,en,cupid
little,0.03829375335601634,en,cupid
felix,0.037310636097244214,en,cupid
party,0.03726281114692842,en,cupid
story,0.036671268590009326,en,cupid
woman,0.03637906568821553,en,cupid
baklava,0.03622360414431818,en,cupid
nia,0.03622360414431818,en,cupid
nick,0.03599944503352612,en,cupid
son,0.0347412018221141,en,cupid
minute,0.0347412018221141,en,cupid
mother,0.03446437802041471,en,cupid
well,0.03446437802041471,en,cupid
bad,0.03446437802041471,en,cupid
true,0.03446437802041471,en,cupid
stop,0.03446437802041471,en,cupid
patient,0.0342739366287773,en,cupid
tonight,0.03307469674001065,en,cupid
