mot,poids_tfidf,langue,serie
c,0.4446075745887363,fr,dirtysexymoney
darling,0.43657585919560077,fr,dirtysexymoney
savoir,0.20496506052936078,fr,dirtysexymoney
nick,0.1998755063668229,fr,dirtysexymoney
non,0.19527862099583712,fr,dirtysexymoney
vouloir,0.19527862099583712,fr,dirtysexymoney
n,0.18133014806756304,fr,dirtysexymoney
bien,0.17668065709147168,fr,dirtysexymoney
j,0.16815659030197086,fr,dirtysexymoney
faire,0.15130218551363966,fr,dirtysexymoney
elder,0.14700448451492842,fr,dirtysexymoney
oui,0.12224286691306868,fr,dirtysexymoney
taire,0.11759337593697732,fr,dirtysexymoney
jeremy,0.11590900051855453,fr,dirtysexymoney
karen,0.11523481152581137,fr,dirtysexymoney
tripp,0.10360172937616793,fr,dirtysexymoney
ok,0.1022879699460316,fr,dirtysexymoney
chose,0.09453964984719099,fr,dirtysexymoney
voir,0.08291592240696259,fr,dirtysexymoney
devoir,0.0821410072442807,fr,dirtysexymoney
aller,0.07904134659355312,fr,dirtysexymoney
vraiment,0.07865388901221218,fr,dirtysexymoney
tre,0.07787897384953028,fr,dirtysexymoney
bon,0.07749151626818933,fr,dirtysexymoney
letitia,0.07592203215425429,fr,dirtysexymoney
pre,0.07071100859472276,fr,dirtysexymoney
venir,0.07012982222271134,fr,dirtysexymoney
frère,0.06281364694460576,fr,dirtysexymoney
ici,0.06218694180522194,fr,dirtysexymoney
famille,0.059668467526505786,fr,dirtysexymoney
croire,0.059474738735835316,fr,dirtysexymoney
dutch,0.05942608994199216,fr,dirtysexymoney
jamais,0.05869982357315342,fr,dirtysexymoney
heure,0.05753745082913058,fr,dirtysexymoney
brian,0.05706134107767551,fr,dirtysexymoney
ouai,0.05636644740594658,fr,dirtysexymoney
lisa,0.05296059551683514,fr,dirtysexymoney
nola,0.05239844971736887,fr,dirtysexymoney
passer,0.05172558710901638,fr,dirtysexymoney
kiki,0.0511260077073788,fr,dirtysexymoney
prendre,0.050756943155664015,fr,dirtysexymoney
vie,0.050175756783652596,fr,dirtysexymoney
mme,0.050175756783652596,fr,dirtysexymoney
papa,0.047463553714265964,fr,dirtysexymoney
petit,0.04417016427286792,fr,dirtysexymoney
femme,0.042620333947504134,fr,dirtysexymoney
ellen,0.04198388373126201,fr,dirtysexymoney
sûr,0.04088874501508303,fr,dirtysexymoney
fois,0.04048931725012893,fr,dirtysexymoney
pouvoir,0.04029558845945846,fr,dirtysexymoney
euh,0.03965108062481907,fr,dirtysexymoney
aimer,0.03719592780873088,fr,dirtysexymoney
monde,0.036808470227389936,fr,dirtysexymoney
oh,0.036692478197073455,fr,dirtysexymoney
veux,0.03622728385537852,fr,dirtysexymoney
avoir,0.03564609748336709,fr,dirtysexymoney
simon,0.03477500229477148,fr,dirtysexymoney
père,0.03406129545455648,fr,dirtysexymoney
arriver,0.03370880957666236,fr,dirtysexymoney
temps,0.033321351995321415,fr,dirtysexymoney
george,0.033301384009351766,fr,dirtysexymoney
sénateur,0.03277802695265296,fr,dirtysexymoney
besoin,0.03235270804196905,fr,dirtysexymoney
désolé,0.03202951692848171,fr,dirtysexymoney
accord,0.0319652504606281,fr,dirtysexymoney
dsol,0.03157779287928716,fr,dirtysexymoney
m,0.030996606507275735,fr,dirtysexymoney
sai,0.030996606507275735,fr,dirtysexymoney
mariage,0.0309072462069505,fr,dirtysexymoney
mère,0.030883179750171116,fr,dirtysexymoney
jour,0.03080287771660526,fr,dirtysexymoney
fils,0.030415420135264316,fr,dirtysexymoney
penser,0.030027962553923367,fr,dirtysexymoney
soir,0.029880510372746416,fr,dirtysexymoney
enfant,0.029834233763252893,fr,dirtysexymoney
dieu,0.02964050497258242,fr,dirtysexymoney
homme,0.029059318600571,fr,dirtysexymoney
paddy,0.028622121510558117,fr,dirtysexymoney
an,0.02847813222855958,fr,dirtysexymoney
ecoute,0.028263829539117893,fr,dirtysexymoney
freddy,0.027876284269783495,fr,dirtysexymoney
quelqu,0.02731575948453674,fr,dirtysexymoney
problème,0.02724517842340795,fr,dirtysexymoney
million,0.02722980972793071,fr,dirtysexymoney
trouver,0.02712203069386627,fr,dirtysexymoney
moment,0.025959657949843427,fr,dirtysexymoney
carmelita,0.025825112144514453,fr,dirtysexymoney
lyon,0.025519627830638505,fr,dirtysexymoney
idée,0.02476905054150208,fr,dirtysexymoney
demain,0.024607479130497052,fr,dirtysexymoney
grand,0.024603556415150114,fr,dirtysexymoney
kimpton,0.023838565056474876,fr,dirtysexymoney
babeson,0.023838565056474876,fr,dirtysexymoney
fille,0.02382864125246822,fr,dirtysexymoney
laetitia,0.0237828052531399,fr,dirtysexymoney
beaucoup,0.023634912461797747,fr,dirtysexymoney
trs,0.023634912461797747,fr,dirtysexymoney
s,0.023634912461797747,fr,dirtysexymoney
salut,0.023441183671127273,fr,dirtysexymoney
t,0.023441183671127273,fr,dirtysexymoney
partir,0.023247454880456802,fr,dirtysexymoney
carmeliter,0.022845291512455092,fr,dirtysexymoney
nicky,0.02273548428464288,fr,dirtysexymoney
pler,0.022379189928160383,fr,dirtysexymoney
dire,0.022278810927104434,fr,dirtysexymoney
travailler,0.02208508213643396,fr,dirtysexymoney
argent,0.02208508213643396,fr,dirtysexymoney
chase,0.022007592844565917,fr,dirtysexymoney
