mot,poids_tfidf,langue,serie
s,0.6590008573902868,en,doctorwho
t,0.25750420761121495,en,doctorwho
doctor,0.20605256507684858,en,doctorwho
dalek,0.1997149370110953,en,doctorwho
go,0.17303535112233231,en,doctorwho
get,0.17181324851781232,en,doctorwho
come,0.16174887412764757,en,doctorwho
know,0.1576512359830805,en,doctorwho
m,0.1381694826992616,en,doctorwho
time,0.12673922892757453,en,doctorwho
donna,0.1243493839290478,en,doctorwho
think,0.11861584102694156,en,doctorwho
right,0.11624352420640273,en,doctorwho
look,0.11423064932836978,en,doctorwho
tell,0.0962585522030756,en,doctorwho
thing,0.0814495441718332,en,doctorwho
say,0.07878967379728967,en,doctorwho
good,0.0783583434662826,en,doctorwho
need,0.075267142760732,en,doctorwho
stop,0.07361370982520495,en,doctorwho
want,0.06239912121902137,en,doctorwho
mean,0.061536460557007254,en,doctorwho
leave,0.06096135344899784,en,doctorwho
let,0.058517148239957836,en,doctorwho
find,0.057007492081433124,en,doctorwho
sorry,0.05406006815288488,en,doctorwho
way,0.05377251459888017,en,doctorwho
cyberman,0.053041655976502906,en,doctorwho
happen,0.052837965548364875,en,doctorwho
sontaran,0.05168223878290821,en,doctorwho
people,0.04981865323131545,en,doctorwho
world,0.049387322900308395,en,doctorwho
d,0.04917165773480486,en,doctorwho
work,0.04895599256930133,en,doctorwho
man,0.048668439015296626,en,doctorwho
exterminate,0.047237269251669295,en,doctorwho
planet,0.046476233302180175,en,doctorwho
day,0.04507401959023779,en,doctorwho
help,0.04342058665471073,en,doctorwho
sir,0.043370868352146374,en,doctorwho
year,0.04270170276969896,en,doctorwho
die,0.041910930496186015,en,doctorwho
earth,0.041874997950600325,en,doctorwho
human,0.04167726907863302,en,doctorwho
life,0.04126393499967543,en,doctorwho
thank,0.03968239045264954,en,doctorwho
see,0.0391791717331413,en,doctorwho
turn,0.03831651107112718,en,doctorwho
bit,0.03831651107112718,en,doctorwho
ood,0.036282965871134054,en,doctorwho
run,0.03493775681157188,en,doctorwho
little,0.03457831486906599,en,doctorwho
atmo,0.03359345520889034,en,doctorwho
kill,0.03328432387604481,en,doctorwho
hold,0.03326180604672192,en,doctorwho
take,0.03314054709904246,en,doctorwho
new,0.03292488193353893,en,doctorwho
library,0.032873395907397,en,doctorwho
talk,0.032637328379534224,en,doctorwho
big,0.032464682154534685,en,doctorwho
rise,0.0324247985771337,en,doctorwho
try,0.03206222127152481,en,doctorwho
save,0.03199033288302363,en,doctorwho
stay,0.031702779329018924,en,doctorwho
long,0.030408788335997743,en,doctorwho
old,0.03026501155899539,en,doctorwho
universe,0.029283807573023915,en,doctorwho
teleport,0.029160393251132986,en,doctorwho
hear,0.02853969023496715,en,doctorwho
wait,0.02853969023496715,en,doctorwho
mind,0.028252136680962443,en,doctorwho
mum,0.028154332519128265,en,doctorwho
dead,0.02810835990396009,en,doctorwho
torchwood,0.027781676474093745,en,doctorwho
listen,0.027173810853444794,en,doctorwho
bad,0.027101922464943615,en,doctorwho
end,0.027101922464943615,en,doctorwho
door,0.02703003407644244,en,doctorwho
sort,0.027023953625191374,en,doctorwho
open,0.026958145687941262,en,doctorwho
minute,0.02688481490922404,en,doctorwho
win,0.02681436891093891,en,doctorwho
noble,0.02659417925693667,en,doctorwho
wrong,0.026526815356934203,en,doctorwho
love,0.026454926968433025,en,doctorwho
meet,0.026311150191430672,en,doctorwho
away,0.025879819860423613,en,doctorwho
live,0.02544848952941655,en,doctorwho
light,0.025201526802594434,en,doctorwho
tardi,0.025102801694555418,en,doctorwho
place,0.024657717255903606,en,doctorwho
child,0.024420977424281672,en,doctorwho
alien,0.023907130260507906,en,doctorwho
head,0.023866944982390663,en,doctorwho
home,0.023579391428385957,en,doctorwho
maybe,0.023579391428385957,en,doctorwho
