mot,poids_tfidf,langue,serie
s,0.5504197895768527,en,dollhouse
know,0.2940031630668027,en,dollhouse
t,0.2640613458097285,en,dollhouse
go,0.21373361042017833,en,dollhouse
think,0.18347326319228424,en,dollhouse
m,0.1729617741552263,en,dollhouse
echo,0.15373170840490377,en,dollhouse
want,0.14939055631455087,en,dollhouse
dollhouse,0.146566589856656,en,dollhouse
get,0.14429407678143186,en,dollhouse
rossum,0.1390348785453464,en,dollhouse
topher,0.13355948538095783,en,dollhouse
right,0.12422668861977577,en,dollhouse
come,0.11976726902829665,en,dollhouse
need,0.11052989987451844,en,dollhouse
good,0.107663130137139,en,dollhouse
tell,0.09046251171286236,en,dollhouse
look,0.09046251171286236,en,dollhouse
let,0.08982545177122249,en,dollhouse
caroline,0.08858159972912602,en,dollhouse
imprint,0.08285624313223297,en,dollhouse
time,0.07867690279252466,en,dollhouse
find,0.07389895323022559,en,dollhouse
way,0.07166924343448602,en,dollhouse
mean,0.06848394372628665,en,dollhouse
people,0.06498011404726733,en,dollhouse
help,0.0646615840764474,en,dollhouse
thing,0.06402452413480751,en,dollhouse
work,0.06083922442660814,en,dollhouse
man,0.059883634514148326,en,dollhouse
perrin,0.05724965587161323,en,dollhouse
say,0.057016864776768886,en,dollhouse
try,0.055742744893489134,en,dollhouse
love,0.054150095039389445,en,dollhouse
kill,0.054150095039389445,en,dollhouse
rayna,0.0539782469646639,en,dollhouse
active,0.05379082997569604,en,dollhouse
adelle,0.05070683805771457,en,dollhouse
leave,0.05032773538955019,en,dollhouse
little,0.04905361550627044,en,dollhouse
happen,0.0487350855354505,en,dollhouse
guy,0.048484357193679516,en,dollhouse
mellie,0.048209653261454946,en,dollhouse
girl,0.04746096565217075,en,dollhouse
saunder,0.04673019252198127,en,dollhouse
dewitt,0.046692237975140403,en,dollhouse
alpha,0.046536004987526004,en,dollhouse
take,0.04650537573971093,en,dollhouse
feel,0.046186845768891,en,dollhouse
victor,0.04557134407225034,en,dollhouse
remember,0.04459419591479131,en,dollhouse
maybe,0.041408896206591925,en,dollhouse
wait,0.040453306294132116,en,dollhouse
day,0.04013477632331217,en,dollhouse
talk,0.0394977163816723,en,dollhouse
thank,0.03886065644003242,en,dollhouse
doll,0.03872758533546156,en,dollhouse
attic,0.038614151544283014,en,dollhouse
sure,0.03822359649839255,en,dollhouse
life,0.03822359649839255,en,dollhouse
stop,0.03726800658593273,en,dollhouse
bad,0.03726800658593273,en,dollhouse
year,0.036949476615112796,en,dollhouse
