mot,poids_tfidf,langue,serie
c,0.5286658784056024,fr,dollhouse
n,0.27195304315163277,fr,dollhouse
echo,0.2214384105370176,fr,dollhouse
j,0.2096375264145214,fr,dollhouse
dollhouse,0.20836958385958473,fr,dollhouse
rossum,0.1979511046666055,fr,dollhouse
savoir,0.1879625640711783,fr,dollhouse
vouloir,0.18085046705226887,fr,dollhouse
taire,0.15951417599554052,fr,dollhouse
faire,0.1584981621356963,fr,dollhouse
bien,0.1517247364034016,fr,dollhouse
non,0.1253083760474522,fr,dollhouse
tre,0.12361501961437853,fr,dollhouse
topher,0.12202886677936135,fr,dollhouse
ici,0.10634278399702701,fr,dollhouse
devoir,0.10600411271041227,fr,dollhouse
aller,0.09753733054504388,fr,dollhouse
chose,0.09415061767889653,fr,dollhouse
voir,0.09008656223951969,fr,dollhouse
pouvoir,0.07857173849461868,fr,dollhouse
avoir,0.07450768305524186,fr,dollhouse
mme,0.07315299790878291,fr,dollhouse
caroline,0.07183724658398474,fr,dollhouse
oui,0.07179831276232397,fr,dollhouse
bon,0.06536355831664399,fr,dollhouse
venir,0.06502488703002926,fr,dollhouse
besoin,0.06468621574341452,fr,dollhouse
rayna,0.0642472883567053,fr,dollhouse
jamais,0.06062216030403769,fr,dollhouse
vraiment,0.05926747515757875,fr,dollhouse
prendre,0.05892880387096401,fr,dollhouse
croire,0.05723544743789033,fr,dollhouse
sierra,0.055504350041005145,fr,dollhouse
aimer,0.053848734571742975,fr,dollhouse
mellie,0.05255824529816908,fr,dollhouse
penser,0.05181670685205456,fr,dollhouse
ok,0.0490940421602249,fr,dollhouse
quelqu,0.04842999398590721,fr,dollhouse
victor,0.04810719838111723,fr,dollhouse
trouver,0.04775265141267773,fr,dollhouse
passer,0.046736637552833526,fr,dollhouse
fille,0.04572062369298932,fr,dollhouse
souvenir,0.045043281119759845,fr,dollhouse
mal,0.043011253400071434,fr,dollhouse
homme,0.043011253400071434,fr,dollhouse
saunder,0.04292463713512632,fr,dollhouse
dominic,0.04231880831523036,fr,dollhouse
petit,0.04199523954022723,fr,dollhouse
fois,0.04097922568038302,fr,dollhouse
mettre,0.04097922568038302,fr,dollhouse
vie,0.04030188310715355,fr,dollhouse
boyd,0.04017693719951808,fr,dollhouse
dire,0.03996321182053881,fr,dollhouse
aider,0.03996321182053881,fr,dollhouse
perrin,0.03993750357308708,fr,dollhouse
arriver,0.03962454053392408,fr,dollhouse
thirteen,0.03936415057398753,fr,dollhouse
sortir,0.0389471979606946,fr,dollhouse
monde,0.0389471979606946,fr,dollhouse
poupe,0.03743216931945028,fr,dollhouse
temps,0.036576498954391454,fr,dollhouse
tuer,0.036576498954391454,fr,dollhouse
appeler,0.036576498954391454,fr,dollhouse
alpher,0.03622562007226581,fr,dollhouse
femme,0.035899156381161985,fr,dollhouse
engagement,0.035475712483897116,fr,dollhouse
falloir,0.03522181380793251,fr,dollhouse
m,0.03522181380793251,fr,dollhouse
apr,0.03522181380793251,fr,dollhouse
partir,0.03488314252131778,fr,dollhouse
s,0.03488314252131778,fr,dollhouse
mynor,0.03472826397659746,fr,dollhouse
ouai,0.03330870641965943,fr,dollhouse
trs,0.0331897860882441,fr,dollhouse
adelle,0.03299185077776758,fr,dollhouse
an,0.03285111480162936,fr,dollhouse
dieu,0.03251244351501463,fr,dollhouse
brink,0.03198187617978996,fr,dollhouse
mieux,0.031835100941785155,fr,dollhouse
attendre,0.03149642965517042,fr,dollhouse
mourir,0.031157758368555683,fr,dollhouse
sr,0.03081908708194095,fr,dollhouse
corps,0.03072722212999862,fr,dollhouse
actif,0.030451537922721254,fr,dollhouse
dollhous,0.029519024380107842,fr,dollhouse
jour,0.029464401935482006,fr,dollhouse
cerveau,0.029261876958006798,fr,dollhouse
trop,0.02912573064886727,fr,dollhouse
finir,0.028787059362252534,fr,dollhouse
snowblade,0.028783688561810964,fr,dollhouse
tte,0.0284483880756378,fr,dollhouse
maison,0.0284483880756378,fr,dollhouse
scurit,0.02787843890929199,fr,dollhouse
accord,0.027771045502408328,fr,dollhouse
personnalit,0.027726766774100943,fr,dollhouse
plat,0.02731308633777655,fr,dollhouse
empreindre,0.027184467925402852,fr,dollhouse
problme,0.02675503164256412,fr,dollhouse
fait,0.026416360355949384,fr,dollhouse
connaître,0.02607768906933465,fr,dollhouse
traitement,0.02588562632041803,fr,dollhouse
essayer,0.02540034649610518,fr,dollhouse
dsol,0.02540034649610518,fr,dollhouse
t,0.02506167520949044,fr,dollhouse
regarder,0.02506167520949044,fr,dollhouse
audrey,0.024922675053885974,fr,dollhouse
moment,0.02438433263626097,fr,dollhouse
heure,0.02438433263626097,fr,dollhouse
grand,0.024045661349646235,fr,dollhouse
meilleur,0.024045661349646235,fr,dollhouse
active,0.023954350341692094,fr,dollhouse
confiance,0.023368318776416763,fr,dollhouse
arcadya,0.023188514810095952,fr,dollhouse
effacement,0.023152238493097305,fr,dollhouse
entendre,0.02269097620318729,fr,dollhouse
pass,0.02269097620318729,fr,dollhouse
nom,0.022352304916572557,fr,dollhouse
aide,0.022352304916572557,fr,dollhouse
beaucoup,0.022352304916572557,fr,dollhouse
harding,0.021830079133321727,fr,dollhouse
peur,0.021674962343343086,fr,dollhouse
l,0.021674962343343086,fr,dollhouse
raison,0.021674962343343086,fr,dollhouse
snateur,0.021627436305412175,fr,dollhouse
cas,0.021336291056728348,fr,dollhouse
veux,0.020997619770113614,fr,dollhouse
madelin,0.020859431318823667,fr,dollhouse
karren,0.020836958385958473,fr,dollhouse
klar,0.020836958385958473,fr,dollhouse
adell,0.020788219516863472,fr,dollhouse
être,0.020658948483498876,fr,dollhouse
esther,0.02064332112938066,fr,dollhouse
agent,0.020560278149768414,fr,dollhouse
perdre,0.020320277196884142,fr,dollhouse
client,0.020193130325665408,fr,dollhouse
laisse,0.019981605910269404,fr,dollhouse
donner,0.019801987594888,fr,dollhouse
truc,0.019801987594888,fr,dollhouse
minute,0.019801987594888,fr,dollhouse
porte,0.019304263337039936,fr,dollhouse
devenir,0.019304263337039936,fr,dollhouse
arme,0.019304263337039936,fr,dollhouse
bennett,0.019219622796321886,fr,dollhouse
ami,0.0189655920504252,fr,dollhouse
arriv,0.0189655920504252,fr,dollhouse
mort,0.0189655920504252,fr,dollhouse
travail,0.018626920763810464,fr,dollhouse
chercher,0.018288249477195727,fr,dollhouse
whiskey,0.0181752811140677,fr,dollhouse
nouveau,0.017949578190580993,fr,dollhouse
arrter,0.017949578190580993,fr,dollhouse
sai,0.017949578190580993,fr,dollhouse
endroit,0.017753506119554757,fr,dollhouse
revenir,0.017610906903966255,fr,dollhouse
subbercaf,0.017590031898884476,fr,dollhouse
hearn,0.017590031898884476,fr,dollhouse
taffy,0.017590031898884476,fr,dollhouse
crestejo,0.01736413198829873,fr,dollhouse
swhollow,0.01736413198829873,fr,dollhouse
priya,0.01736413198829873,fr,dollhouse
attend,0.017070678961110343,fr,dollhouse
part,0.016933564330736783,fr,dollhouse
comprend,0.016933564330736783,fr,dollhouse
fbi,0.01679544873363442,fr,dollhouse
rester,0.016729265381888136,fr,dollhouse
air,0.01659489304412205,fr,dollhouse
travailler,0.016256221757507315,fr,dollhouse
oublier,0.016046438223443725,fr,dollhouse
margaret,0.015989145012598533,fr,dollhouse
argent,0.015917550470892577,fr,dollhouse
parler,0.015917550470892577,fr,dollhouse
chance,0.015917550470892577,fr,dollhouse
question,0.015917550470892577,fr,dollhouse
vrai,0.015917550470892577,fr,dollhouse
personne,0.015705024644221518,fr,dollhouse
lmf,0.015687010215281842,fr,dollhouse
tr,0.015578879184277842,fr,dollhouse
technologie,0.015521227871558945,fr,dollhouse
partie,0.015240207897663106,fr,dollhouse
main,0.015240207897663106,fr,dollhouse
bonjour,0.015240207897663106,fr,dollhouse
sens,0.01490153661104837,fr,dollhouse
effacer,0.014855966818978293,fr,dollhouse
global,0.014811738222091645,fr,dollhouse
exister,0.014572559058601001,fr,dollhouse
rendre,0.014455486841855108,fr,dollhouse
tai,0.01433937032733269,fr,dollhouse
continuer,0.01433937032733269,fr,dollhouse
intrieur,0.014225593366729551,fr,dollhouse
faon,0.0142241940378189,fr,dollhouse
envoyer,0.0142241940378189,fr,dollhouse
empreinte,0.014168586356761485,fr,dollhouse
borodin,0.013891305590638984,fr,dollhouse
prend,0.013885522751204164,fr,dollhouse
entrer,0.013885522751204164,fr,dollhouse
sentir,0.013885522751204164,fr,dollhouse
ide,0.013885522751204164,fr,dollhouse
coup,0.013656543168888275,fr,dollhouse
tucson,0.01355514856898726,fr,dollhouse
genre,0.013546851464589428,fr,dollhouse
affaire,0.013546851464589428,fr,dollhouse
mois,0.013546851464589428,fr,dollhouse
jona,0.013229850567484176,fr,dollhouse
trouv,0.013208180177974692,fr,dollhouse
point,0.013208180177974692,fr,dollhouse
vien,0.013208180177974692,fr,dollhouse
oeil,0.013208180177974692,fr,dollhouse
dernire,0.013208180177974692,fr,dollhouse
joel,0.013108389648084699,fr,dollhouse
jouer,0.01297371601044386,fr,dollhouse
dr,0.012954610598767206,fr,dollhouse
ambrose,0.012928671660151655,fr,dollhouse
dernier,0.012869508891359956,fr,dollhouse
halverson,0.012792750471915982,fr,dollhouse
mec,0.012693972383305,fr,dollhouse
presque,0.01253083760474522,fr,dollhouse
histoire,0.01253083760474522,fr,dollhouse
nacelle,0.012425552854904987,fr,dollhouse
rel,0.01233468286381745,fr,dollhouse
chaperon,0.012273087102970558,fr,dollhouse
salut,0.012192166318130485,fr,dollhouse
aime,0.012192166318130485,fr,dollhouse
important,0.012192166318130485,fr,dollhouse
fort,0.012192166318130485,fr,dollhouse
pense,0.012192166318130485,fr,dollhouse
donne,0.012192166318130485,fr,dollhouse
comprendre,0.012192166318130485,fr,dollhouse
dormir,0.012192166318130485,fr,dollhouse
kennard,0.012154892391809112,fr,dollhouse
iilya,0.012154892391809112,fr,dollhouse
dsole,0.011949475272777241,fr,dollhouse
retrouver,0.011949475272777241,fr,dollhouse
type,0.011892392775334288,fr,dollhouse
enfant,0.011853495031515749,fr,dollhouse
laisser,0.011853495031515749,fr,dollhouse
mr,0.011853495031515749,fr,dollhouse
voil,0.011853495031515749,fr,dollhouse
plan,0.01170206077673985,fr,dollhouse
programmeur,0.011687583706207304,fr,dollhouse
nsa,0.011630581691813455,fr,dollhouse
pire,0.011608061693555034,fr,dollhouse
grenier,0.011549932992002817,fr,dollhouse
sauver,0.011514823744901015,fr,dollhouse
mot,0.011514823744901015,fr,dollhouse
arrte,0.011514823744901015,fr,dollhouse
gars,0.011357882518600442,fr,dollhouse
esprit,0.011357882518600442,fr,dollhouse
servir,0.011266648114332827,fr,dollhouse
fou,0.011266648114332827,fr,dollhouse
plutt,0.011266648114332827,fr,dollhouse
libre,0.011192840259138153,fr,dollhouse
essay,0.011176152458286279,fr,dollhouse
demande,0.011176152458286279,fr,dollhouse
mauvais,0.011176152458286279,fr,dollhouse
utiliser,0.011176152458286279,fr,dollhouse
penn,0.011114440147219783,fr,dollhouse
ct,0.01092523453511062,fr,dollhouse
revoir,0.01092523453511062,fr,dollhouse
