mot,poids_tfidf,langue,serie
c,0.4977928997506581,fr,eleventhhour
hood,0.4112233509428258,fr,eleventhhour
n,0.2457086135715071,fr,eleventhhour
bien,0.16821966957091206,fr,eleventhhour
non,0.1633153060265706,fr,eleventhhour
j,0.15890137883666328,fr,eleventhhour
savoir,0.15890137883666328,fr,eleventhhour
taire,0.14713090633024378,fr,eleventhhour
vouloir,0.14075523372259988,fr,eleventhhour
oui,0.12898476121618038,fr,eleventhhour
devoir,0.12309952496297062,fr,eleventhhour
ici,0.10838643432994625,fr,eleventhhour
mme,0.09857770724126333,fr,eleventhhour
chose,0.09808727088682918,fr,eleventhhour
tre,0.09661596182352675,fr,eleventhhour
faire,0.0961255254690926,fr,eleventhhour
aller,0.09367334369692187,fr,eleventhhour
geppetto,0.09350730636753983,fr,eleventhhour
avoir,0.08827854379814627,fr,eleventhhour
voir,0.08778810744371213,fr,eleventhhour
pouvoir,0.08631679838040969,fr,eleventhhour
young,0.08126641916830561,fr,eleventhhour
bon,0.07405588951955604,fr,eleventhhour
prendre,0.07356545316512189,fr,eleventhhour
nesic,0.06789239360537773,fr,eleventhhour
fbi,0.06706923333110834,fr,eleventhhour
dr,0.06646335830123108,fr,eleventhhour
vraiment,0.0662089078486097,fr,eleventhhour
besoin,0.0662089078486097,fr,eleventhhour
venir,0.06032367159539995,fr,eleventhhour
agent,0.06007913622564274,fr,eleventhhour
trouver,0.0598332352409658,fr,eleventhhour
ok,0.05708278939572814,fr,eleventhhour
trs,0.05541930805105849,fr,eleventhhour
jacob,0.055339535556163555,fr,eleventhhour
victime,0.052104029647017595,fr,eleventhhour
penser,0.051005380861151174,fr,eleventhhour
temps,0.05002450815228288,fr,eleventhhour
an,0.04953407179784874,fr,eleventhhour
virus,0.04938064432070614,fr,eleventhhour
eau,0.04934269939615852,fr,eleventhhour
dire,0.04904363544341459,fr,eleventhhour
mourir,0.04708189002567801,fr,eleventhhour
test,0.04478416327707333,fr,eleventhhour
mort,0.044139271899073136,fr,eleventhhour
passer,0.043158399190204845,fr,eleventhhour
souche,0.04289832166810835,fr,eleventhhour
s,0.0416870901269024,fr,eleventhhour
