mot,poids_tfidf,langue,serie
c,0.5619316852643947,fr,entourage
ari,0.30485751367596997,fr,entourage
j,0.2669477160893506,fr,entourage
vince,0.2658811361025897,fr,entourage
vouloir,0.1878074067461903,fr,entourage
non,0.17574117124095506,fr,entourage
faire,0.1463563388929117,fr,entourage
bien,0.14358820251229892,fr,entourage
t,0.1428074460972543,fr,entourage
turtle,0.13808101418845342,fr,entourage
oui,0.1353547712263737,fr,entourage
drama,0.1348264188247533,fr,entourage
savoir,0.1308831663038454,fr,entourage
n,0.12030746577278628,fr,entourage
bon,0.1194557315018285,fr,entourage
taire,0.1032727803536307,fr,entourage
voir,0.09291001339031106,fr,entourage
aller,0.0916324119838744,fr,entourage
film,0.08267692161779758,fr,entourage
tre,0.08205040143559938,fr,entourage
vraiment,0.07637217296254752,fr,entourage
croire,0.07395892586150048,fr,entourage
venir,0.07005514378627732,fr,entourage
devoir,0.06806776382070917,fr,entourage
appeler,0.06082802251756805,fr,entourage
falloir,0.057492063289650085,fr,entourage
putain,0.05731358027900436,fr,entourage
super,0.05679133345792368,fr,entourage
mme,0.052594591231642854,fr,entourage
jamais,0.05011036627468267,fr,entourage
lloyd,0.0499653469123281,fr,entourage
passer,0.047768097029548776,fr,entourage
prendre,0.04755516346180933,fr,entourage
veux,0.04720027418224359,fr,entourage
petit,0.04705831847041729,fr,entourage
aquaman,0.046474083370682796,fr,entourage
dsol,0.046348539911285805,fr,entourage
johnny,0.04629484653186611,fr,entourage
sloan,0.04449840867895128,fr,entourage
accord,0.04414822637797821,fr,entourage
ici,0.043935292810238766,fr,entourage
ok,0.04258295361434372,fr,entourage
heure,0.04145106785327858,fr,entourage
eric,0.04143469883225915,fr,entourage
aimer,0.03988955502318932,fr,entourage
salut,0.03896684289631839,fr,entourage
sr,0.03669555150709765,fr,entourage
chase,0.03637347344624089,fr,entourage
mec,0.03621059214960511,fr,entourage
script,0.03577227803423964,fr,entourage
fille,0.03570186152431357,fr,entourage
ouai,0.03504919683318721,fr,entourage
dire,0.034495237973790054,fr,entourage
truc,0.03420213253941336,fr,entourage
m,0.03414034869422431,fr,entourage
turtl,0.034071938565982014,fr,entourage
arriver,0.03371448155874542,fr,entourage
chose,0.03335959227917968,fr,entourage
vinnie,0.03331308033960248,fr,entourage
vinc,0.03321478981318328,fr,entourage
soir,0.03284263354726095,fr,entourage
an,0.032649813720048194,fr,entourage
avoir,0.03172710159317727,fr,entourage
gold,0.0315356222982187,fr,entourage
fois,0.031301234457698376,fr,entourage
temps,0.030875367322219488,fr,entourage
vincent,0.030624058731547287,fr,entourage
arrte,0.030307544474914305,fr,entourage
