mot,poids_tfidf,langue,serie
s,0.595094502161656,en,eureka
know,0.25485063269569525,en,eureka
t,0.23724035429560156,en,eureka
fargo,0.2287718051008173,en,eureka
go,0.20251820160107725,en,eureka
think,0.1624797384461473,en,eureka
right,0.1616490649367089,en,eureka
m,0.15367459924610044,en,eureka
get,0.14752761527625644,en,eureka
carter,0.14348656706148713,en,eureka
come,0.11097798086096768,en,eureka
need,0.11047957675530465,en,eureka
look,0.10782142152510182,en,eureka
sheriff,0.10562839198617803,en,eureka
time,0.10499713159301134,en,eureka
zoe,0.10109256305032632,en,eureka
good,0.0996808211326057,en,eureka
want,0.09303543305709865,en,eureka
work,0.09104181663444653,en,eureka
thing,0.08938046961556978,en,eureka
mean,0.08389802445327646,en,eureka
tell,0.08306735094383808,en,eureka
thank,0.0774187710796571,en,eureka
allison,0.0733688060209855,en,eureka
let,0.07210246061925145,en,eureka
way,0.0711056524079254,en,eureka
find,0.06911203598527328,en,eureka
happen,0.06529093784185673,en,eureka
eureka,0.06358153950413374,en,eureka
sure,0.06097143559277715,en,eureka
talk,0.060140762083338774,en,eureka
say,0.058147145660686655,en,eureka
guy,0.0525853050421671,en,eureka
try,0.05233243109461799,en,eureka
maybe,0.05150175758517961,en,eureka
help,0.05150175758517961,en,eureka
taggart,0.05028912257193929,en,eureka
people,0.04884360235497679,en,eureka
day,0.04618544712477397,en,eureka
little,0.04269661838513277,en,eureka
sorry,0.04236434898135742,en,eureka
henry,0.04235392856259281,en,eureka
zane,0.042054100647936146,en,eureka
town,0.04203212859804378,en,eureka
great,0.04037073255870531,en,eureka
leave,0.03937392434737925,en,eureka
okay,0.03914414283538895,en,eureka
system,0.03700416348044045,en,eureka
wait,0.035718960905850375,en,eureka
lab,0.035601010867433794,en,eureka
year,0.0355528262039627,en,eureka
take,0.03522055680018735,en,eureka
field,0.035031964763777526,en,eureka
global,0.03496061492254707,en,eureka
big,0.034666108737989136,en,eureka
start,0.03455601799263664,en,eureka
callister,0.03412517460191823,en,eureka
tess,0.033882812326173246,en,eureka
stop,0.03289467097375988,en,eureka
man,0.03223013216620917,en,eureka
bad,0.0320639974643215,en,eureka
see,0.0320639974643215,en,eureka
lupo,0.031565786506774364,en,eureka
long,0.031565593358658474,en,eureka
d,0.031067189252995443,en,eureka
well,0.030901054551107768,en,eureka
feel,0.030402650445444736,en,eureka
beverly,0.029773741009627593,en,eureka
test,0.02916144854983957,en,eureka
hear,0.029073572830343328,en,eureka
run,0.028907438128455653,en,eureka
new,0.0285751687246803,en,eureka
turn,0.028409034022792625,en,eureka
fine,0.02813481288880278,en,eureka
actually,0.028076764619017272,en,eureka
thorne,0.027355754349616335,en,eureka
love,0.02724609110957889,en,eureka
idea,0.02724609110957889,en,eureka
stark,0.026954873551309474,en,eureka
job,0.02641541760014051,en,eureka
problem,0.026083148196365157,en,eureka
dad,0.025997410199719403,en,eureka
cause,0.025750878792589804,en,eureka
kind,0.025750878792589804,en,eureka
projet,0.025646019702765314,en,eureka
hour,0.02558474409070213,en,eureka
nice,0.02558474409070213,en,eureka
believe,0.025418609388814455,en,eureka
figure,0.024785430402040547,en,eureka
ask,0.02475407058126375,en,eureka
wasn,0.02475407058126375,en,eureka
life,0.024587935879376074,en,eureka
place,0.024421801177488395,en,eureka
guess,0.024421801177488395,en,eureka
change,0.023923397071825368,en,eureka
win,0.023591127668050015,en,eureka
radiation,0.023430929804346228,en,eureka
power,0.023296380568579723,en,eureka
miss,0.022926588860499312,en,eureka
lot,0.022926588860499312,en,eureka
check,0.022760454158611634,en,eureka
stay,0.022760454158611634,en,eureka
section,0.022422736126450012,en,eureka
hold,0.022273393536968868,en,eureka
pretty,0.021436047915278308,en,eureka
wrong,0.020932972437847197,en,eureka
dynamic,0.020874436220135028,en,eureka
computer,0.02086539851421224,en,eureka
make,0.02076683773595952,en,eureka
cell,0.020760808457333368,en,eureka
spencer,0.02074548476200808,en,eureka
lose,0.020600703034071844,en,eureka
second,0.020600703034071844,en,eureka
exactly,0.02043456833218417,en,eureka
night,0.02026843363029649,en,eureka
use,0.02026843363029649,en,eureka
project,0.020259695845910138,en,eureka
jo,0.020216978043505945,en,eureka
remember,0.020102298928408816,en,eureka
kid,0.01990995565170495,en,eureka
today,0.019770029524633463,en,eureka
water,0.019751279177708896,en,eureka
ready,0.01960389482274579,en,eureka
call,0.01943776012085811,en,eureka
sound,0.01943776012085811,en,eureka
head,0.01943776012085811,en,eureka
build,0.019258949298882857,en,eureka
r,0.019175391239120328,en,eureka
minute,0.019091480174544744,en,eureka
old,0.018939356015195082,en,eureka
home,0.018939356015195082,en,eureka
give,0.018939356015195082,en,eureka
mind,0.018939356015195082,en,eureka
control,0.01890720741797775,en,eureka
wanna,0.01890720741797775,en,eureka
car,0.018888932284950852,en,eureka
security,0.01882514611174594,en,eureka
sandrov,0.01876884603105503,en,eureka
shut,0.01875654192586852,en,eureka
house,0.01827481720764438,en,eureka
jack,0.0181333904053484,en,eureka
world,0.017942547803869027,en,eureka
allie,0.01766725801746055,en,eureka
like,0.017610278400093674,en,eureka
away,0.017610278400093674,en,eureka
kill,0.017610278400093674,en,eureka
device,0.017292385522158612,en,eureka
artifact,0.017209543983704563,en,eureka
particle,0.017045332650822354,en,eureka
door,0.016779604890655293,en,eureka
point,0.016613470188767618,en,eureka
die,0.01644733548687994,en,eureka
bring,0.016281200784992265,en,eureka
team,0.016254165267109356,en,eureka
h,0.016196740075282698,en,eureka
level,0.015868549082945608,en,eureka
pierre,0.015850805024401997,en,eureka
research,0.015798845384425338,en,eureka
stuff,0.015574628563444395,en,eureka
morning,0.015450527275553884,en,eureka
watch,0.015450527275553884,en,eureka
hand,0.015450527275553884,en,eureka
room,0.015450527275553884,en,eureka
body,0.015407159439106284,en,eureka
close,0.015284392573666207,en,eureka
marshal,0.015123479322604126,en,eureka
hope,0.01511825787177853,en,eureka
create,0.014975009379060135,en,eureka
hell,0.014952123169890854,en,eureka
brane,0.01492958326354448,en,eureka
listen,0.014785988468003178,en,eureka
fifi,0.014759471296826922,en,eureka
mansfield,0.014718935226777651,en,eureka
pilar,0.014718935226777651,en,eureka
late,0.014619853766115503,en,eureka
course,0.014569813817415726,en,eureka
fire,0.01428758436234015,en,eureka
golgi,0.014247788723758507,en,eureka
high,0.01418040556348331,en,eureka
probably,0.014121449660452473,en,eureka
understand,0.014121449660452473,en,eureka
trust,0.013899937320063277,en,eureka
signal,0.01385216034176971,en,eureka
dream,0.01367396250764462,en,eureka
light,0.01367396250764462,en,eureka
drechmeyer,0.013650069840767293,en,eureka
suppose,0.013456910852901769,en,eureka
friend,0.013456910852901769,en,eureka
care,0.013456910852901769,en,eureka
fix,0.013379958746396978,en,eureka
lieber,0.013317131871846447,en,eureka
save,0.013290776151014093,en,eureka
hard,0.013290776151014093,en,eureka
cool,0.0132733037678033,en,eureka
deputy,0.013158435492436386,en,eureka
dead,0.013124641449126418,en,eureka
break,0.01306259169837272,en,eureka
easy,0.012958506747238741,en,eureka
ice,0.012882115604426687,en,eureka
organic,0.012878468779831356,en,eureka
machine,0.012826749507925466,en,eureka
lexi,0.012775486614786636,en,eureka
parrish,0.012741623059618892,en,eureka
eugenia,0.012741623059618892,en,eureka
datum,0.012713201442296306,en,eureka
vincent,0.012679902699980811,en,eureka
live,0.012626237343463388,en,eureka
end,0.012626237343463388,en,eureka
sterilization,0.012616230194380844,en,eureka
send,0.012560184325358383,en,eureka
generator,0.012528636083600461,en,eureka
pressure,0.012398597278177496,en,eureka
forget,0.012392715201020274,en,eureka
energy,0.01218692413678745,en,eureka
gd,0.012071011319638952,en,eureka
weinbrenner,0.011943811110671382,en,eureka
vinspresso,0.011943811110671382,en,eureka
lock,0.011911939278797834,en,eureka
magma,0.011833537528059988,en,eureka
different,0.011795563834025007,en,eureka
possible,0.011795563834025007,en,eureka
baby,0.011648190284289862,en,eureka
walter,0.011634587903018072,en,eureka
happy,0.01162942913213733,en,eureka
chance,0.01162942913213733,en,eureka
ago,0.01162942913213733,en,eureka
affect,0.011611566094975361,en,eureka
space,0.011605676937330327,en,eureka
safe,0.011479375932343631,en,eureka
crazy,0.011479375932343631,en,eureka
brain,0.011479375932343631,en,eureka
set,0.011479375932343631,en,eureka
clear,0.011463294430249656,en,eureka
