mot,poids_tfidf,langue,serie
c,0.5204710846876854,fr,flashpoint
bien,0.23575794182635254,fr,flashpoint
vouloir,0.21289070976396043,fr,flashpoint
savoir,0.19549873044890162,fr,flashpoint
spike,0.18476867973228164,fr,flashpoint
wordy,0.17669071524471683,fr,flashpoint
j,0.1764963826787448,fr,flashpoint
non,0.1764963826787448,fr,flashpoint
n,0.17327564576854873,fr,flashpoint
taire,0.16103684550980366,fr,flashpoint
faire,0.15781610859960757,fr,flashpoint
aller,0.13945790821148996,fr,flashpoint
oui,0.13945790821148996,fr,flashpoint
ok,0.1322259884982438,fr,flashpoint
voir,0.1104712760197253,fr,flashpoint
ici,0.10306358112627434,fr,flashpoint
bon,0.09146892824956847,fr,flashpoint
tre,0.088570265030392,fr,flashpoint
sru,0.08751970007448591,fr,flashpoint
devoir,0.08599367550223515,fr,flashpoint
chose,0.08277293859203907,fr,flashpoint
arme,0.0750431700075685,fr,flashpoint
passer,0.07246658047941164,fr,flashpoint
jule,0.07110379529002053,fr,flashpoint
besoin,0.06924584356921556,fr,flashpoint
sortir,0.06860169618717636,fr,flashpoint
heure,0.06827962249615675,fr,flashpoint
venir,0.06763547511411754,fr,flashpoint
prendre,0.06505888558596068,fr,flashpoint
sergent,0.0642128031966836,fr,flashpoint
pouvoir,0.06216022236678421,fr,flashpoint
s,0.0618381486757646,fr,flashpoint
falloir,0.06119400129372539,fr,flashpoint
jules,0.06032479311062701,fr,flashpoint
arriver,0.057973264383529316,fr,flashpoint
temps,0.05636289592843128,fr,flashpoint
dire,0.054430453782313634,fr,flashpoint
greg,0.05124163762028948,fr,flashpoint
partir,0.050565569490078344,fr,flashpoint
plat,0.04967628317914687,fr,flashpoint
sam,0.049673615102963704,fr,flashpoint
avoir,0.04734483257988227,fr,flashpoint
trs,0.04734483257988227,fr,flashpoint
aider,0.04605653781580384,fr,flashpoint
accord,0.044768243051725415,fr,flashpoint
t,0.043802021978666596,fr,flashpoint
otage,0.04331767621969449,fr,flashpoint
mme,0.04315787459662738,fr,flashpoint
an,0.04283580090560777,fr,flashpoint
femme,0.04251372721458816,fr,flashpoint
enfant,0.04251372721458816,fr,flashpoint
lew,0.04242632548530715,fr,flashpoint
tasha,0.04216891539068129,fr,flashpoint
parker,0.04194302972794926,fr,flashpoint
gars,0.041895779455319415,fr,flashpoint
chef,0.041568468678324734,fr,flashpoint
dsol,0.040903358759490124,fr,flashpoint
police,0.04089463561801354,fr,flashpoint
eddie,0.040242636630870236,fr,flashpoint
cosgrove,0.0402219104089596,fr,flashpoint
minute,0.03993583549696121,fr,flashpoint
croire,0.039615063995411696,fr,flashpoint
homme,0.038970916613372486,fr,flashpoint
vraiment,0.038970916613372486,fr,flashpoint
jamais,0.03832676923133327,fr,flashpoint
flashpoint,0.03798024720213539,fr,flashpoint
main,0.03768262184929405,fr,flashpoint
l,0.03736054815827445,fr,flashpoint
monde,0.03703847446725484,fr,flashpoint
sierra,0.03602730699662446,fr,flashpoint
rentrer,0.035106032321137196,fr,flashpoint
fille,0.035106032321137196,fr,flashpoint
malone,0.0350828745005345,fr,flashpoint
vie,0.03478395863011759,fr,flashpoint
finir,0.03446188493909798,fr,flashpoint
attendre,0.034139811248078376,fr,flashpoint
appeler,0.034139811248078376,fr,flashpoint
apr,0.034139811248078376,fr,flashpoint
trouver,0.03381773755705877,fr,flashpoint
flic,0.033324663131865856,fr,flashpoint
quelqu,0.03317359017501955,fr,flashpoint
rester,0.03311752211943125,fr,flashpoint
quipe,0.032452565847902126,fr,flashpoint
misha,0.032437024523354514,fr,flashpoint
mettre,0.03220736910196073,fr,flashpoint
ami,0.03220736910196073,fr,flashpoint
porte,0.03220736910196073,fr,flashpoint
gedde,0.03193523448773609,fr,flashpoint
aimer,0.03188529541094112,fr,flashpoint
patron,0.031170758614948786,fr,flashpoint
entendre,0.0309190743378823,fr,flashpoint
type,0.030602367586136003,fr,flashpoint
penser,0.030597000646862695,fr,flashpoint
winnie,0.030589852144152822,fr,flashpoint
nom,0.029952853264823477,fr,flashpoint
jour,0.029952853264823477,fr,flashpoint
appel,0.029630779573803872,fr,flashpoint
stratgiqu,0.029536498205683312,fr,flashpoint
mec,0.029509006854170256,fr,flashpoint
beaucoup,0.028986632191764658,fr,flashpoint
maison,0.028986632191764658,fr,flashpoint
perdre,0.02866455850074505,fr,flashpoint
problme,0.02834248480972544,fr,flashpoint
regarder,0.02834248480972544,fr,flashpoint
scurit,0.028148726821542732,fr,flashpoint
tuer,0.028020411118705835,fr,flashpoint
fait,0.028020411118705835,fr,flashpoint
sujet,0.027821416044548047,fr,flashpoint
pass,0.02737626373666662,fr,flashpoint
ouai,0.027056851546902162,fr,flashpoint
pre,0.026732116354627404,fr,flashpoint
terre,0.026623890331307475,fr,flashpoint
cheznik,0.026421041531920274,fr,flashpoint
frre,0.0264100426636078,fr,flashpoint
sr,0.0264100426636078,fr,flashpoint
donner,0.026299208741901288,fr,flashpoint
coup,0.026299208741901288,fr,flashpoint
leah,0.026211421494294642,fr,flashpoint
braddock,0.026204495152689713,fr,flashpoint
fois,0.025765895281568585,fr,flashpoint
travailler,0.025765895281568585,fr,flashpoint
voiture,0.02569161462958918,fr,flashpoint
veux,0.025443821590548976,fr,flashpoint
cody,0.024562251430857874,fr,flashpoint
connaître,0.024477600517490154,fr,flashpoint
suspect,0.02421825410692906,fr,flashpoint
