mot,poids_tfidf,langue,serie
bret,0.621241330560472,en,flightoftheconchords
jemaine,0.44739923305804336,en,flightoftheconchords
s,0.42457894254456285,en,flightoftheconchords
murray,0.17513198449983333,en,flightoftheconchords
know,0.1354725874477449,en,flightoftheconchords
get,0.12393778380636084,en,flightoftheconchords
t,0.12246525568192881,en,flightoftheconchords
go,0.11166671610276074,en,flightoftheconchords
think,0.11019418797832874,en,flightoftheconchords
guy,0.09870965558990713,en,flightoftheconchords
good,0.09718685621251265,en,flightoftheconchords
right,0.09350553590143262,en,flightoftheconchords
m,0.08589747392520057,en,flightoftheconchords
look,0.07976194007340054,en,flightoftheconchords
want,0.0746080916378885,en,flightoftheconchords
come,0.059391967685424395,en,flightoftheconchords
band,0.0586931091037609,en,flightoftheconchords
thank,0.05644691143656038,en,flightoftheconchords
man,0.04883884946032833,en,flightoftheconchords
arf,0.04866390422723697,en,flightoftheconchords
tell,0.048102585398112324,en,flightoftheconchords
say,0.04147620883816828,en,flightoftheconchords
time,0.04147620883816828,en,flightoftheconchords
love,0.04049452342188027,en,flightoftheconchords
thing,0.03926741665152026,en,flightoftheconchords
let,0.03804030988116026,en,flightoftheconchords
like,0.03656778175672824,en,flightoftheconchords
need,0.03534067498636824,en,flightoftheconchords
mean,0.03435898957008023,en,flightoftheconchords
conchord,0.03402754730300612,en,flightoftheconchords
gig,0.03372022521487418,en,flightoftheconchords
bit,0.032150197383432215,en,flightoftheconchords
little,0.031659354675288215,en,flightoftheconchords
great,0.031168511967144208,en,flightoftheconchords
actually,0.029450562488640197,en,flightoftheconchords
friend,0.029205141134568197,en,flightoftheconchords
talk,0.029205141134568197,en,flightoftheconchords
cool,0.028406312852127708,en,flightoftheconchords
leggy,0.02762555137024633,en,flightoftheconchords
okay,0.027211961291915072,en,flightoftheconchords
night,0.02675092759384818,en,flightoftheconchords
bowie,0.02595867293929724,en,flightoftheconchords
work,0.02503297811534417,en,flightoftheconchords
d,0.024542135407200166,en,flightoftheconchords
ucker,0.02437616441148233,en,flightoftheconchords
sorry,0.024051292699056162,en,flightoftheconchords
australian,0.02377290910100889,en,flightoftheconchords
new,0.023315028636840155,en,flightoftheconchords
dick,0.023239190667043462,en,flightoftheconchords
maybe,0.023069607282768155,en,flightoftheconchords
party,0.022624496961871625,en,flightoftheconchords
