mot,poids_tfidf,langue,serie
c,0.5627982562760154,fr,flightoftheconchords
bret,0.3584135683029973,fr,flightoftheconchords
jemaine,0.33980540783274077,fr,flightoftheconchords
non,0.24432400010116956,fr,flightoftheconchords
oui,0.2071395059049307,fr,flightoftheconchords
j,0.19445303141444917,fr,flightoftheconchords
ouai,0.14655439984405086,fr,flightoftheconchords
bien,0.14261347185851617,fr,flightoftheconchords
bon,0.12927080041163044,fr,flightoftheconchords
faire,0.1277396741800206,fr,flightoftheconchords
vouloir,0.11286587650152506,fr,flightoftheconchords
n,0.11177221490751803,fr,flightoftheconchords
taire,0.10805376548789414,fr,flightoftheconchords
savoir,0.09842954346063232,fr,flightoftheconchords
aller,0.0811496902753213,fr,flightoftheconchords
accord,0.07546264998648478,fr,flightoftheconchords
voir,0.0721816652044637,fr,flightoftheconchords
vraiment,0.06933814506004543,fr,flightoftheconchords
zlande,0.06739381271741228,fr,flightoftheconchords
ouaf,0.0661713159412604,fr,flightoftheconchords
salut,0.06430730172761312,fr,flightoftheconchords
tre,0.06211997853959906,fr,flightoftheconchords
ok,0.06110077660577553,fr,flightoftheconchords
t,0.06058885230798922,fr,flightoftheconchords
flight,0.05973171072697321,fr,flightoftheconchords
groupe,0.05691868128499834,fr,flightoftheconchords
jemain,0.05607349964236647,fr,flightoftheconchords
heure,0.054683079700351286,fr,flightoftheconchords
devoir,0.05380815042514567,fr,flightoftheconchords
aimer,0.050308433324323186,fr,flightoftheconchords
croire,0.04943350404911756,fr,flightoftheconchords
prendre,0.04833984245511054,fr,flightoftheconchords
nnard,0.04710173969958783,fr,flightoftheconchords
chose,0.046589983904699296,fr,flightoftheconchords
super,0.04504194857592388,fr,flightoftheconchords
trop,0.04396519607908243,fr,flightoftheconchords
nouveau,0.04396519607908243,fr,flightoftheconchords
venir,0.04330899912267822,fr,flightoftheconchords
falloir,0.04155914057226698,fr,flightoftheconchords
oh,0.04142817807740084,fr,flightoftheconchords
ici,0.04090294361586276,fr,flightoftheconchords
mme,0.04046547897825995,fr,flightoftheconchords
bowie,0.03962398280968368,fr,flightoftheconchords
zlandai,0.037180140104079655,fr,flightoftheconchords
femme,0.03565336796462904,fr,flightoftheconchords
cool,0.03556860210013758,fr,flightoftheconchords
soir,0.03506004701905394,fr,flightoftheconchords
chien,0.03501519948098761,fr,flightoftheconchords
gars,0.034677087156910896,fr,flightoftheconchords
temps,0.034559706370622015,fr,flightoftheconchords
