mot,poids_tfidf,langue,serie
c,0.5642689509453866,fr,fridaynightlights
j,0.22423266868281036,fr,fridaynightlights
bien,0.22169766420643738,fr,fridaynightlights
panther,0.20766769156003187,fr,fridaynightlights
savoir,0.19565625458551492,fr,fridaynightlights
vouloir,0.17871781558429542,fr,fridaynightlights
saracen,0.1666018650004343,fr,fridaynightlights
riggin,0.1637638763022436,fr,fridaynightlights
aller,0.15394390820155943,fr,fridaynightlights
faire,0.14852821682021713,fr,fridaynightlights
dillon,0.13700332686143313,fr,fridaynightlights
non,0.13377909986677433,fr,fridaynightlights
bon,0.12859386343782958,fr,fridaynightlights
coach,0.11606933993251431,fr,fridaynightlights
n,0.11430565638918186,fr,fridaynightlights
taire,0.11119451453181502,fr,fridaynightlights
voir,0.10819860015064693,fr,fridaynightlights
lyla,0.09933803687097226,fr,fridaynightlights
smash,0.09646603526529851,fr,fridaynightlights
oui,0.09644539757837219,fr,fridaynightlights
t,0.09552357776878201,fr,fridaynightlights
tre,0.08930129405404832,fr,fridaynightlights
ouai,0.0851137000438042,fr,fridaynightlights
devoir,0.08169628062492937,fr,fridaynightlights
ok,0.07839653519606817,fr,fridaynightlights
ici,0.07789377391036989,fr,fridaynightlights
chose,0.07547399691019568,fr,fridaynightlights
vraiment,0.07339990233861779,fr,fridaynightlights
venir,0.06982785057645585,fr,fridaynightlights
passer,0.0679842109572755,fr,fridaynightlights
garrity,0.062203881219498436,fr,fridaynightlights
accord,0.06118578986154795,fr,fridaynightlights
landry,0.06073035200499711,fr,fridaynightlights
match,0.0607206864505582,fr,fridaynightlights
heure,0.05980306014716268,fr,fridaynightlights
prendre,0.05784419305178356,fr,fridaynightlights
mme,0.05692237324219338,fr,fridaynightlights
falloir,0.05104577195605601,fr,fridaynightlights
po,0.050404107927015614,fr,fridaynightlights
taylor,0.04968153002809106,fr,fridaynightlights
buddy,0.04871315735617149,fr,fridaynightlights
tyra,0.04742422852895762,fr,fridaynightlights
besoin,0.04666712786050267,fr,fridaynightlights
temps,0.04597576300331004,fr,fridaynightlights
quipe,0.04511151764443347,fr,fridaynightlights
croire,0.04482348824132232,fr,fridaynightlights
aimer,0.042864621145943194,fr,fridaynightlights
salut,0.042173256288750564,fr,fridaynightlights
jason,0.041350770879034424,fr,fridaynightlights
voil,0.04090575405056407,fr,fridaynightlights
soir,0.04042385305974842,fr,fridaynightlights
mec,0.04030992571784808,fr,fridaynightlights
tim,0.039833833826752596,fr,fridaynightlights
fille,0.03917734190758249,fr,fridaynightlights
trs,0.039062114431383715,fr,fridaynightlights
veux,0.038831659478986175,fr,fridaynightlights
dsol,0.038370749574191086,fr,fridaynightlights
tyrer,0.03736077628533284,fr,fridaynightlights
grand,0.03721847481220337,fr,fridaynightlights
julie,0.0367205975765889,fr,fridaynightlights
gars,0.03583294730403445,fr,fridaynightlights
arriver,0.035605290145420555,fr,fridaynightlights
sr,0.035259607716824244,fr,fridaynightlights
avoir,0.03514438024062547,fr,fridaynightlights
touchdown,0.03513285959964536,fr,fridaynightlights
pouvoir,0.034913925288227926,fr,fridaynightlights
petit,0.03445301538343284,fr,fridaynightlights
penser,0.03433778790723407,fr,fridaynightlights
matt,0.033458989610755205,fr,fridaynightlights
jamais,0.032724603240451254,fr,fridaynightlights
regarder,0.032263693335656166,fr,fridaynightlights
jouer,0.0319441367569851,fr,fridaynightlights
vien,0.031457101002264766,fr,fridaynightlights
sai,0.031457101002264766,fr,fridaynightlights
football,0.031030457900693392,fr,fridaynightlights
tami,0.030655029304228313,fr,fridaynightlights
partir,0.03018959876407827,fr,fridaynightlights
dire,0.029959143811680727,fr,fridaynightlights
chrie,0.029613461383084412,fr,fridaynightlights
mal,0.029267778954488097,fr,fridaynightlights
mr,0.028691641573494235,fr,fridaynightlights
mettre,0.02846118662109669,fr,fridaynightlights
m,0.02846118662109669,fr,fridaynightlights
beaucoup,0.028230731668699147,fr,fridaynightlights
fois,0.027769821763904058,fr,fridaynightlights
maison,0.027769821763904058,fr,fridaynightlights
monde,0.027769821763904058,fr,fridaynightlights
pre,0.027424139335307744,fr,fridaynightlights
tmu,0.027203301711336145,fr,fridaynightlights
truc,0.027181556367761865,fr,fridaynightlights
mccoy,0.02690287836084022,fr,fridaynightlights
problme,0.026848001954313885,fr,fridaynightlights
jour,0.02661754700191634,fr,fridaynightlights
sortir,0.026387092049518796,fr,fridaynightlights
finir,0.026271864573320022,fr,fridaynightlights
chri,0.02594186597082018,fr,fridaynightlights
