mot,poids_tfidf,langue,serie
uncut,0.7555647686043335,fr,friends
c,0.43991759122876806,fr,friends
j,0.18818490801508986,fr,friends
savoir,0.109376389721366,fr,friends
vouloir,0.10826314402445641,fr,friends
bien,0.10817037354971396,fr,friends
n,0.1077992916507441,fr,friends
ros,0.10193042625418751,fr,friends
taire,0.09615659707056476,fr,friends
non,0.0956463594594812,fr,friends
faire,0.09198192570715384,fr,friends
chandler,0.08748214373597465,fr,friends
phoebe,0.0785611774398442,fr,friends
voir,0.07365975694551705,fr,friends
oui,0.06633088944086234,fr,friends
bon,0.06280561140064866,fr,friends
t,0.06108935761791307,fr,friends
tre,0.05988334144626103,fr,friends
aller,0.05719299767872955,fr,friends
croire,0.052415318229492615,fr,friends
devoir,0.04986413017407483,fr,friends
vraiment,0.04643162260860363,fr,friends
venir,0.042256951245192714,fr,friends
monicer,0.04211785531648435,fr,friends
falloir,0.040819008886684514,fr,friends
mme,0.037432886558584545,fr,friends
monica,0.037135789288692454,fr,friends
petit,0.034928083740538,fr,friends
trs,0.03446423136682567,fr,friends
jamais,0.034371460892083205,fr,friends
truc,0.033574274783960564,fr,friends
chose,0.03349014138202979,fr,friends
aimer,0.033350985669916094,fr,friends
prendre,0.03274797758409007,fr,friends
ici,0.0314955761750668,fr,friends
super,0.03050864837287527,fr,friends
friendsnet,0.0304413882220191,fr,friends
passer,0.0297793223923312,fr,friends
regarder,0.029269084781247644,fr,friends
geller,0.028999688406328147,fr,friends
mec,0.028493674956815818,fr,friends
accord,0.026346814826860004,fr,friends
appeler,0.026254044352117537,fr,friends
avoir,0.02592934769051891,fr,friends
heure,0.02592934769051891,fr,friends
femme,0.02574380674103398,fr,friends
m,0.025372724842064123,fr,friends
trop,0.025279954367321656,fr,friends
voil,0.025279954367321656,fr,friends
an,0.024723331518866867,fr,friends
arriver,0.024537790569381938,fr,friends
fois,0.02439863485726824,fr,friends
dire,0.024213093907783312,fr,friends
veux,0.024073938195669616,fr,friends
mettre,0.023517315347214827,fr,friends
tribbiani,0.022831041166514326,fr,friends
mal,0.022635995837161412,fr,friends
fille,0.022450454887676483,fr,friends
sr,0.021801061564479227,fr,friends
ami,0.02166190585236553,fr,friends
grand,0.021615520614994298,fr,friends
jour,0.021105283003910742,fr,friends
soir,0.02080856863351316,fr,friends
ll,0.020308112977850633,fr,friends
trouver,0.02013119301911486,fr,friends
temps,0.020038422544372398,fr,friends
sortir,0.019992037307001165,fr,friends
partir,0.019806496357516235,fr,friends
dieu,0.019620955408031306,fr,friends
quelqu,0.01911071779694775,fr,friends
mugui,0.01902586763876194,fr,friends
mariage,0.01874403425466465,fr,friends
pouvoir,0.018646865423235424,fr,friends
vrai,0.018461324473750495,fr,friends
salut,0.018090242574780636,fr,friends
mieux,0.018043857337409402,fr,friends
apr,0.016976996877871058,fr,friends
coup,0.016880659048760117,fr,friends
vie,0.01679145592838613,fr,friends
air,0.016327603554673803,fr,friends
bing,0.016172642866918475,fr,friends
attend,0.01613248579452144,fr,friends
raison,0.01604929213044641,fr,friends
friend,0.016046000555325395,fr,friends
tr,0.015817365943590248,fr,friends
laisse,0.015167972620392994,fr,friends
l,0.015121587383021762,fr,friends
attendre,0.015121587383021762,fr,friends
besoin,0.015028816908279298,fr,friends
beaucoup,0.014982431670908064,fr,friends
question,0.014750505484051903,fr,friends
tai,0.014682900114434006,fr,friends
dsol,0.01451857929719574,fr,friends
problme,0.014472194059824509,fr,friends
entendre,0.014425808822453276,fr,friends
bb,0.014351420262629802,fr,friends
nsv,0.014269400729071454,fr,friends
monde,0.01410111216085465,fr,friends
pre,0.014054726923483416,fr,friends
mr,0.01373003026188479,fr,friends
finir,0.013683645024513557,fr,friends
rachel,0.013544586223883307,fr,friends
arrte,0.013266177888172467,fr,friends
adapt,0.013238915780785475,fr,friends
enfant,0.013127022176058769,fr,friends
aime,0.013034251701316304,fr,friends
vien,0.013034251701316304,fr,friends
joey,0.012970721548474883,fr,friends
pass,0.01275594027708891,fr,friends
dsole,0.012672184493667566,fr,friends
prend,0.012616784564975213,fr,friends
pardon,0.012578662836887732,fr,friends
gnial,0.012459945998065223,fr,friends
emma,0.012312747742521288,fr,friends
jouer,0.012251337038158311,fr,friends
gros,0.012245702666005354,fr,friends
ecoute,0.012245624074789253,fr,friends
excus,0.012216081276990563,fr,friends
chance,0.01219931742863412,fr,friends
manger,0.012114847771354,fr,friends
demain,0.011924011239428892,fr,friends
main,0.011921006004406726,fr,friends
sentir,0.011828235529664262,fr,friends
moment,0.011828235529664262,fr,friends
minute,0.01159668544069947,fr,friends
plat,0.011549924612309553,fr,friends
connaître,0.011549924105436867,fr,friends
donne,0.011549924105436867,fr,friends
tte,0.011549924105436867,fr,friends
meilleur,0.011503538868065636,fr,friends
adorer,0.011405102195467393,fr,friends
ensembl,0.011316120470359967,fr,friends
ca,0.011297240663567621,fr,friends
sai,0.011225227443838241,fr,friends
buffay,0.011177697237772639,fr,friends
fte,0.011155998161058398,fr,friends
penser,0.011132456969095776,fr,friends
perdre,0.011086071731724543,fr,friends
dur,0.01108231632841038,fr,friends
essayer,0.010946916019610847,fr,friends
homme,0.010900530782239614,fr,friends
amour,0.010778895244403435,fr,friends
donner,0.010661468872901127,fr,friends
nom,0.01062221935801222,fr,friends
revoir,0.010567947216121292,fr,friends
marier,0.010544275625765546,fr,friends
s,0.010529448883269754,fr,friends
revenir,0.010529448883269754,fr,friends
bizarre,0.010407155753363994,fr,friends
ok,0.010356001033674,fr,friends
emily,0.010347212769579874,fr,friends
demande,0.01025113745904236,fr,friends
ninjaw,0.010226403855834542,fr,friends
rester,0.01010033893222212,fr,friends
mari,0.010006817275442285,fr,friends
ross,0.009965957574998989,fr,friends
histoire,0.009787285085330036,fr,friends
episode,0.009564763873232723,fr,friends
bonjour,0.00946258842373141,fr,friends
mourir,0.009369817948988945,fr,friends
fr,0.00933218325951831,fr,friends
aider,0.009323432711617712,fr,friends
