mot,poids_tfidf,langue,serie
s,0.5585738236677505,en,ghostwhisperer
know,0.4037927010014366,en,ghostwhisperer
t,0.2339347054281132,en,ghostwhisperer
think,0.19125742808649795,en,ghostwhisperer
go,0.18906884976128693,en,ghostwhisperer
want,0.17010117094279126,en,ghostwhisperer
tell,0.1645689312873967,en,ghostwhisperer
m,0.15782081478466267,en,ghostwhisperer
right,0.15289651355293782,en,ghostwhisperer
look,0.12912612118745126,en,ghostwhisperer
come,0.1268159551775063,en,ghostwhisperer
ghost,0.11323001915610442,en,ghostwhisperer
mean,0.1101584423689556,en,ghostwhisperer
get,0.10778748251664365,en,ghostwhisperer
melinda,0.09973295998621838,en,ghostwhisperer
say,0.09550712635851503,en,ghostwhisperer
talk,0.09252822808253335,en,ghostwhisperer
thing,0.09112996970809296,en,ghostwhisperer
help,0.08091660419044144,en,ghostwhisperer
time,0.07957913965836803,en,ghostwhisperer
good,0.07708659212132213,en,ghostwhisperer
happen,0.07653944754001937,en,ghostwhisperer
maybe,0.07477642611137715,en,ghostwhisperer
find,0.07416848768770741,en,ghostwhisperer
need,0.06936577414071653,en,ghostwhisperer
let,0.0671164019731385,en,ghostwhisperer
see,0.06492782364792747,en,ghostwhisperer
try,0.06419829753952379,en,ghostwhisperer
sorry,0.06365115295822103,en,ghostwhisperer
feel,0.0630432145345513,en,ghostwhisperer
die,0.05745018103678976,en,ghostwhisperer
love,0.05720700566732186,en,ghostwhisperer
guy,0.056379577031241135,en,ghostwhisperer
aiden,0.055143559450517445,en,ghostwhisperer
wait,0.05392413817950531,en,ghostwhisperer
grandview,0.05348183072186688,en,ghostwhisperer
ok,0.053356806777120645,en,ghostwhisperer
way,0.05246508596269795,en,ghostwhisperer
leave,0.05033730147985389,en,ghostwhisperer
thank,0.04972936305618415,en,ghostwhisperer
people,0.049486187686716254,en,ghostwhisperer
little,0.048209516997009816,en,ghostwhisperer
sure,0.045109031036294184,en,ghostwhisperer
hear,0.043346009607651954,en,ghostwhisperer
dead,0.04273807118398222,en,ghostwhisperer
mom,0.04074946596391137,en,ghostwhisperer
remember,0.03975917290800053,en,ghostwhisperer
night,0.03957679138089961,en,ghostwhisperer
work,0.038786471430128956,en,ghostwhisperer
ask,0.038543296060661064,en,ghostwhisperer
friend,0.03842170837592712,en,ghostwhisperer
day,0.03775297610989041,en,ghostwhisperer
believe,0.037205831528587655,en,ghostwhisperer
kid,0.03536975106214115,en,ghostwhisperer
stop,0.03489566551864267,en,ghostwhisperer
life,0.03361899482893623,en,ghostwhisperer
dad,0.03243156497148506,en,ghostwhisperer
year,0.032403117981596764,en,ghostwhisperer
house,0.03149121034609216,en,ghostwhisperer
away,0.03149121034609216,en,ghostwhisperer
delia,0.03139148882259823,en,ghostwhisperer
spirit,0.03025860548717349,en,ghostwhisperer
man,0.029849776602183884,en,ghostwhisperer
d,0.029788982759816913,en,ghostwhisperer
lot,0.029728188917449938,en,ghostwhisperer
ned,0.029592078291853424,en,ghostwhisperer
take,0.02942421970561507,en,ghostwhisperer
girl,0.0293634258632481,en,ghostwhisperer
home,0.029059456651413233,en,ghostwhisperer
bad,0.029059456651413233,en,ghostwhisperer
kind,0.028573105912477446,en,ghostwhisperer
wasn,0.0275396105922389,en,ghostwhisperer
light,0.027366063394986442,en,ghostwhisperer
father,0.026933642528699973,en,ghostwhisperer
family,0.026566909114367328,en,ghostwhisperer
ne,0.026254640230172824,en,ghostwhisperer
start,0.02608055837543154,en,ghostwhisperer
hurt,0.026044913302475523,en,ghostwhisperer
understand,0.02601976453306457,en,ghostwhisperer
lose,0.025958970690697594,en,ghostwhisperer
live,0.025837383005963648,en,ghostwhisperer
minute,0.025554656110899514,en,ghostwhisperer
call,0.02553341379412878,en,ghostwhisperer
stay,0.025411826109394835,en,ghostwhisperer
great,0.024803887685725102,en,ghostwhisperer
long,0.024439124631523264,en,ghostwhisperer
guess,0.023952773892587476,en,ghostwhisperer
mother,0.023588010838385635,en,ghostwhisperer
place,0.023588010838385635,en,ghostwhisperer
hard,0.02273689704524801,en,ghostwhisperer
kill,0.022493721675780117,en,ghostwhisperer
wrong,0.022493721675780117,en,ghostwhisperer
well,0.022068164779211304,en,ghostwhisperer
make,0.02164260788264249,en,ghostwhisperer
actually,0.021581814040275517,en,ghostwhisperer
give,0.02121705098607368,en,ghostwhisperer
meet,0.02121705098607368,en,ghostwhisperer
haunt,0.02115484293766586,en,ghostwhisperer
fine,0.021142341386715426,en,ghostwhisperer
old,0.020913081774238812,en,ghostwhisperer
win,0.020852287931871837,en,ghostwhisperer
husband,0.020652084195139416,en,ghostwhisperer
stuff,0.020529519897245413,en,ghostwhisperer
like,0.01994038029636724,en,ghostwhisperer
son,0.019916698407775404,en,ghostwhisperer
cross,0.019521797220762298,en,ghostwhisperer
bring,0.019454029557431453,en,ghostwhisperer
car,0.019241642743312703,en,ghostwhisperer
death,0.019058748322517385,en,ghostwhisperer
sound,0.01884609113376172,en,ghostwhisperer
wife,0.018542121921926853,en,ghostwhisperer
big,0.01844592683304737,en,ghostwhisperer
run,0.018359740394825932,en,ghostwhisperer
real,0.01793418349825712,en,ghostwhisperer
check,0.017812595813523173,en,ghostwhisperer
body,0.01740413030094835,en,ghostwhisperer
listen,0.01738703891695436,en,ghostwhisperer
keep,0.017097719556213344,en,ghostwhisperer
hope,0.017083069705119493,en,ghostwhisperer
break,0.017036437407266344,en,ghostwhisperer
pretty,0.01691387310937234,en,ghostwhisperer
play,0.016779100493284627,en,ghostwhisperer
school,0.016564003138256244,en,ghostwhisperer
turn,0.016535925123816735,en,ghostwhisperer
miss,0.01641433743908279,en,ghostwhisperer
care,0.016231955911981868,en,ghostwhisperer
cause,0.016231955911981868,en,ghostwhisperer
weird,0.0161374294985299,en,ghostwhisperer
happy,0.016049574384880947,en,ghostwhisperer
doesn,0.01599464087516732,en,ghostwhisperer
new,0.015988780542513976,en,ghostwhisperer
accident,0.015943847247825157,en,ghostwhisperer
nice,0.01586719285778003,en,ghostwhisperer
baby,0.015690700005251818,en,ghostwhisperer
lie,0.015380842118844242,en,ghostwhisperer
book,0.015320053548434848,en,ghostwhisperer
mind,0.015016079064642402,en,ghostwhisperer
watch,0.01495528522227543,en,ghostwhisperer
honey,0.0147979590658456,en,ghostwhisperer
brother,0.014651316010440563,en,ghostwhisperer
figure,0.014585151449386293,en,ghostwhisperer
woman,0.014468934483339644,en,ghostwhisperer
chance,0.01422575911387175,en,ghostwhisperer
close,0.014104171429137804,en,ghostwhisperer
suppose,0.014043377586770829,en,ghostwhisperer
hospital,0.01392062501872749,en,ghostwhisperer
late,0.01386099605966991,en,ghostwhisperer
probably,0.013739408374935964,en,ghostwhisperer
child,0.013727201364128276,en,ghostwhisperer
town,0.013575010090751358,en,ghostwhisperer
store,0.01356673822695609,en,ghostwhisperer
reason,0.013557026847835043,en,ghostwhisperer
true,0.013557026847835043,en,ghostwhisperer
head,0.01349623300546807,en,ghostwhisperer
idea,0.01349623300546807,en,ghostwhisperer
wish,0.01335950847044627,en,ghostwhisperer
ago,0.01331385147836715,en,ghostwhisperer
open,0.01313146995126623,en,ghostwhisperer
boy,0.013070676108899257,en,ghostwhisperer
hate,0.012869251278870258,en,ghostwhisperer
serena,0.012859832273711772,en,ghostwhisperer
change,0.012827500739431364,en,ghostwhisperer
crazy,0.012787302760185538,en,ghostwhisperer
ready,0.012705913054697418,en,ghostwhisperer
heart,0.012562840534135254,en,ghostwhisperer
truth,0.012523531527596497,en,ghostwhisperer
room,0.012462737685229524,en,ghostwhisperer
parent,0.0123103711194319,en,ghostwhisperer
walk,0.012280356158128605,en,ghostwhisperer
anymore,0.01223133307496008,en,ghostwhisperer
question,0.012097974631027684,en,ghostwhisperer
phone,0.012052042014104054,en,ghostwhisperer
forget,0.012011301193612241,en,ghostwhisperer
promise,0.011831430813040174,en,ghostwhisperer
business,0.011827454746771238,en,ghostwhisperer
person,0.011794005419192817,en,ghostwhisperer
sleep,0.011794005419192817,en,ghostwhisperer
alive,0.011766172597824236,en,ghostwhisperer
vision,0.011755656102274964,en,ghostwhisperer
second,0.011611623892091898,en,ghostwhisperer
exactly,0.011611623892091898,en,ghostwhisperer
door,0.011550830049724925,en,ghostwhisperer
