mot,poids_tfidf,langue,serie
c,0.5414524138618718,fr,ghostwhisperer
savoir,0.2718537467845905,fr,ghostwhisperer
n,0.24930294971149808,fr,ghostwhisperer
taire,0.24720339274262393,fr,ghostwhisperer
vouloir,0.22745200496136364,fr,ghostwhisperer
j,0.22581901620779488,fr,ghostwhisperer
non,0.18989326362928205,fr,ghostwhisperer
bien,0.17854010372351828,fr,ghostwhisperer
faire,0.14486943085231468,fr,ghostwhisperer
chose,0.14385853305248641,fr,ghostwhisperer
oui,0.13888180542256257,fr,ghostwhisperer
voir,0.13164999808532946,fr,ghostwhisperer
tre,0.12122997461017639,fr,ghostwhisperer
devoir,0.10171187093656876,fr,ghostwhisperer
aller,0.10031216629065269,fr,ghostwhisperer
croire,0.09875693890630148,fr,ghostwhisperer
fantme,0.09301990342138375,fr,ghostwhisperer
vraiment,0.08864796090801866,fr,ghostwhisperer
ici,0.08234929000139628,fr,ghostwhisperer
pouvoir,0.07379553938746465,fr,ghostwhisperer
jamais,0.07278464158763637,fr,ghostwhisperer
mme,0.07146269831093784,fr,ghostwhisperer
venir,0.07130717557250273,fr,ghostwhisperer
bon,0.06718582300397204,fr,ghostwhisperer
avoir,0.061664765789525254,fr,ghostwhisperer
dire,0.06135372031265501,fr,ghostwhisperer
mourir,0.06104267483578477,fr,ghostwhisperer
mort,0.0543551970830746,fr,ghostwhisperer
ok,0.05315281420562537,fr,ghostwhisperer
aider,0.051866833268112665,fr,ghostwhisperer
passer,0.051633549160459986,fr,ghostwhisperer
accord,0.05031160588376146,fr,ghostwhisperer
pre,0.04961175356080342,fr,ghostwhisperer
jim,0.049197755399784264,fr,ghostwhisperer
ouai,0.047640163031230094,fr,ghostwhisperer
besoin,0.046579060161318575,fr,ghostwhisperer
temps,0.045334878253837606,fr,ghostwhisperer
penser,0.04510159414618493,fr,ghostwhisperer
melinda,0.044805618888097434,fr,ghostwhisperer
trouver,0.044790548669314686,fr,ghostwhisperer
aimer,0.044712787300097125,fr,ghostwhisperer
s,0.044401741823226884,fr,ghostwhisperer
prendre,0.04409069634635664,fr,ghostwhisperer
vie,0.043235321284963484,fr,ghostwhisperer
petit,0.04307979854652836,fr,ghostwhisperer
arriver,0.04237994622357032,fr,ghostwhisperer
heure,0.04136904842374204,fr,ghostwhisperer
grandview,0.04026799198429753,fr,ghostwhisperer
pass,0.039969343777825954,fr,ghostwhisperer
maison,0.039969343777825954,fr,ghostwhisperer
trs,0.03981382103939083,fr,ghostwhisperer
quelqu,0.03903620734721523,fr,ghostwhisperer
entendre,0.03825859365503963,fr,ghostwhisperer
fille,0.03794754817816939,fr,ghostwhisperer
fois,0.03779202543973427,fr,ghostwhisperer
mr,0.03779202543973427,fr,ghostwhisperer
eli,0.036572457873120426,fr,ghostwhisperer
jour,0.035847991209295264,fr,ghostwhisperer
partir,0.03475933204024942,fr,ghostwhisperer
apr,0.034292763824944054,fr,ghostwhisperer
appeler,0.034059479717291376,fr,ghostwhisperer
essayer,0.034059479717291376,fr,ghostwhisperer
dlia,0.03341187558500637,fr,ghostwhisperer
esprit,0.03287473678725208,fr,ghostwhisperer
plat,0.031983535903813184,fr,ghostwhisperer
femme,0.03172663864076457,fr,ghostwhisperer
gordon,0.03157961753165356,fr,ghostwhisperer
beaucoup,0.030560218102501167,fr,ghostwhisperer
sentir,0.030560218102501167,fr,ghostwhisperer
trop,0.030482456733283605,fr,ghostwhisperer
attendre,0.030171411256413365,fr,ghostwhisperer
aiden,0.03007328583719714,fr,ghostwhisperer
dsole,0.029945369400138817,fr,ghostwhisperer
regarder,0.029938127148760686,fr,ghostwhisperer
m,0.029704843041108004,fr,ghostwhisperer
grand,0.029627081671890446,fr,ghostwhisperer
mal,0.029471558933455322,fr,ghostwhisperer
tai,0.029396632264534178,fr,ghostwhisperer
l,0.029393797564237763,fr,ghostwhisperer
an,0.029238274825802643,fr,ghostwhisperer
sai,0.028616183872062162,fr,ghostwhisperer
sr,0.02846066113362704,fr,ghostwhisperer
peur,0.02830513839519192,fr,ghostwhisperer
souvenir,0.02807185428753924,fr,ghostwhisperer
enfant,0.027683047441451437,fr,ghostwhisperer
revenir,0.027527524703016316,fr,ghostwhisperer
ami,0.027216479226146076,fr,ghostwhisperer
falloir,0.027060956487710956,fr,ghostwhisperer
famille,0.026905433749275835,fr,ghostwhisperer
monde,0.026516626903188036,fr,ghostwhisperer
moment,0.026127820057100234,fr,ghostwhisperer
raison,0.026127820057100234,fr,ghostwhisperer
sortir,0.026050058687882675,fr,ghostwhisperer
perdre,0.025816774580229993,fr,ghostwhisperer
nuit,0.025661251841794873,fr,ghostwhisperer
vrai,0.02558349047257731,fr,ghostwhisperer
whisperer,0.02521295453843669,fr,ghostwhisperer
aide,0.025194683626489512,fr,ghostwhisperer
connaître,0.02488363814961927,fr,ghostwhisperer
dsol,0.02488363814961927,fr,ghostwhisperer
attend,0.023909260908487797,fr,ghostwhisperer
tr,0.023872740349790988,fr,ghostwhisperer
mari,0.023595696830999432,fr,ghostwhisperer
t,0.023328410765268065,fr,ghostwhisperer
trouv,0.022784081180745146,fr,ghostwhisperer
fils,0.022706319811527584,fr,ghostwhisperer
mettre,0.022628558442310025,fr,ghostwhisperer
veux,0.022628558442310025,fr,ghostwhisperer
lumire,0.022021630622610984,fr,ghostwhisperer
parler,0.021928706119351982,fr,ghostwhisperer
nom,0.021928706119351982,fr,ghostwhisperer
delia,0.021928437589622915,fr,ghostwhisperer
mieux,0.02122885379639394,fr,ghostwhisperer
soir,0.021165575230464608,fr,ghostwhisperer
ghost,0.021162714387255078,fr,ghostwhisperer
fait,0.02115109242717638,fr,ghostwhisperer
minute,0.021008793191720426,fr,ghostwhisperer
comprendre,0.020140194627348097,fr,ghostwhisperer
homme,0.019440342304390054,fr,ghostwhisperer
ned,0.01943340701328061,fr,ghostwhisperer
arriv,0.019284819565954934,fr,ghostwhisperer
demander,0.019207058196737375,fr,ghostwhisperer
problme,0.019207058196737375,fr,ghostwhisperer
rester,0.019127408726790238,fr,ghostwhisperer
oh,0.019088936371060503,fr,ghostwhisperer
laisse,0.018973774089084693,fr,ghostwhisperer
accident,0.01896046622313171,fr,ghostwhisperer
salut,0.018818251350649573,fr,ghostwhisperer
ct,0.01865706261055769,fr,ghostwhisperer
truc,0.0185786715911856,fr,ghostwhisperer
vivre,0.01827392176612665,fr,ghostwhisperer
question,0.01796287628925641,fr,ghostwhisperer
bonjour,0.01765183081238617,fr,ghostwhisperer
air,0.01757406944316861,fr,ghostwhisperer
mre,0.017464703918227666,fr,ghostwhisperer
chance,0.01741854670473349,fr,ghostwhisperer
dieu,0.01734078533551593,fr,ghostwhisperer
tard,0.01732441528123214,fr,ghostwhisperer
gars,0.017306652299058183,fr,ghostwhisperer
teo,0.017143798567572217,fr,ghostwhisperer
voiture,0.017139800006607715,fr,ghostwhisperer
part,0.01710750122786325,fr,ghostwhisperer
revoir,0.016854069164999597,fr,ghostwhisperer
genre,0.016718694381775447,fr,ghostwhisperer
payne,0.01669948936961391,fr,ghostwhisperer
papa,0.016407648904905207,fr,ghostwhisperer
histoire,0.016407648904905207,fr,ghostwhisperer
travailler,0.016252126166470086,fr,ghostwhisperer
parl,0.016174364797252525,fr,ghostwhisperer
cas,0.016174364797252525,fr,ghostwhisperer
comprend,0.016096603428034966,fr,ghostwhisperer
type,0.01606223014733544,fr,ghostwhisperer
corps,0.015991767951906592,fr,ghostwhisperer
ville,0.015647110297778634,fr,ghostwhisperer
ensuite,0.015568084488193894,fr,ghostwhisperer
amie,0.015489058678609153,fr,ghostwhisperer
donner,0.015443030816301953,fr,ghostwhisperer
affaire,0.015318989735859363,fr,ghostwhisperer
tier,0.015241228366641803,fr,ghostwhisperer
chrie,0.015163466997424243,fr,ghostwhisperer
point,0.015085705628206682,fr,ghostwhisperer
frre,0.015007944258989122,fr,ghostwhisperer
partie,0.014852421520554002,fr,ghostwhisperer
endroit,0.014815902661325226,fr,ghostwhisperer
voil,0.014774660151336442,fr,ghostwhisperer
vien,0.014696898782118882,fr,ghostwhisperer
