mot,poids_tfidf,langue,serie
c,0.4809161559887306,fr,gossipgirl
blair,0.2559687712222428,fr,gossipgirl
n,0.2453848462810972,fr,gossipgirl
j,0.2452788942749309,fr,gossipgirl
serener,0.2027869593460203,fr,gossipgirl
savoir,0.20258023578992135,fr,gossipgirl
bien,0.1949516913459494,fr,gossipgirl
vouloir,0.18011841048267063,fr,gossipgirl
non,0.1748208101743568,fr,gossipgirl
taire,0.15638516110142464,fr,gossipgirl
faire,0.140068552151818,fr,gossipgirl
chuck,0.1361886322452504,fr,gossipgirl
tre,0.12883763949819266,fr,gossipgirl
devoir,0.12067933502338933,fr,gossipgirl
chose,0.11474602267807783,fr,gossipgirl
voir,0.10086630987029556,fr,gossipgirl
aller,0.09789965369763981,fr,gossipgirl
humphrey,0.09670927928880267,fr,gossipgirl
jenny,0.0962387044307284,fr,gossipgirl
vraiment,0.09514490153731661,fr,gossipgirl
venir,0.08571517298851797,fr,gossipgirl
oui,0.0846556529268552,fr,gossipgirl
bon,0.08306637283436105,fr,gossipgirl
mme,0.0787223405815437,fr,gossipgirl
ici,0.0773449645013821,fr,gossipgirl
rufu,0.07450315728312132,fr,gossipgirl
dan,0.07136612276247534,fr,gossipgirl
ouai,0.07088111190159688,fr,gossipgirl
nate,0.065152474522002,fr,gossipgirl
woodsen,0.06410116052959607,fr,gossipgirl
bass,0.06361703903500188,fr,gossipgirl
croire,0.06187597160110568,fr,gossipgirl
jamais,0.0613462115702743,fr,gossipgirl
nat,0.06095009578178461,fr,gossipgirl
soir,0.05863864708729036,fr,gossipgirl
passer,0.0558367072496279,fr,gossipgirl
pre,0.05509504320646396,fr,gossipgirl
penser,0.054035523144801194,fr,gossipgirl
serena,0.05390353271834902,fr,gossipgirl
prendre,0.053823619132468636,fr,gossipgirl
besoin,0.053611715120136086,fr,gossipgirl
fille,0.05350576311396981,fr,gossipgirl
vanesser,0.053019346996353606,fr,gossipgirl
ok,0.04831881790249124,fr,gossipgirl
pouvoir,0.04831411481182225,fr,gossipgirl
heure,0.047996258793323414,fr,gossipgirl
temps,0.04767840277482458,fr,gossipgirl
petit,0.046618882713161815,fr,gossipgirl
aimer,0.04608912268233043,fr,gossipgirl
mr,0.04608912268233043,fr,gossipgirl
dorota,0.04502432991106271,fr,gossipgirl
fois,0.04407603456517117,fr,gossipgirl
veux,0.04375817854667234,fr,gossipgirl
dsole,0.04325801834308305,fr,gossipgirl
t,0.04322841851584096,fr,gossipgirl
avoir,0.043122466509674676,fr,gossipgirl
dire,0.04280461049117585,fr,gossipgirl
bart,0.04265818080322172,fr,gossipgirl
sr,0.04238080246651074,fr,gossipgirl
eleanor,0.041712450065501394,fr,gossipgirl
ami,0.04142723441101425,fr,gossipgirl
m,0.04089747438018287,fr,gossipgirl
accord,0.04047366635551776,fr,gossipgirl
archibald,0.038841529817664804,fr,gossipgirl
vie,0.038460578238358495,fr,gossipgirl
sortir,0.037507010182862004,fr,gossipgirl
partir,0.03655344212736551,fr,gossipgirl
s,0.03634153811503296,fr,gossipgirl
dsol,0.035493922065702746,fr,gossipgirl
appeler,0.03496416203487136,fr,gossipgirl
apr,0.03485821002870508,fr,gossipgirl
monde,0.0343284499978737,fr,gossipgirl
famille,0.033586785954709764,fr,gossipgirl
pass,0.033374881942377206,fr,gossipgirl
quelqu,0.03263321789921327,fr,gossipgirl
attend,0.03247021623777098,fr,gossipgirl
arriver,0.03231536188071444,fr,gossipgirl
moment,0.03210345786838188,fr,gossipgirl
tai,0.03129530709758849,fr,gossipgirl
yal,0.031112624857726808,fr,gossipgirl
papa,0.030408225769721457,fr,gossipgirl
georgina,0.03033801862400765,fr,gossipgirl
plat,0.030227207879240752,fr,gossipgirl
trouver,0.030196321757388903,fr,gossipgirl
nouveau,0.030090369751222625,fr,gossipgirl
fte,0.02835038613484356,fr,gossipgirl
mieux,0.027971329627897088,fr,gossipgirl
raison,0.027865377621730813,fr,gossipgirl
meilleur,0.027759425615564534,fr,gossipgirl
amie,0.02734940960738345,fr,gossipgirl
dieu,0.027335617590899426,fr,gossipgirl
sai,0.027017761572400597,fr,gossipgirl
jour,0.026911809566234318,fr,gossipgirl
grand,0.026805857560068043,fr,gossipgirl
trop,0.026488001541569214,fr,gossipgirl
beaucoup,0.026382049535402935,fr,gossipgirl
poppy,0.026271835149870276,fr,gossipgirl
finir,0.02617014552307038,fr,gossipgirl
upper,0.02615083510991439,fr,gossipgirl
salut,0.025746337498405273,fr,gossipgirl
l,0.02532252947374017,fr,gossipgirl
mettre,0.02532252947374017,fr,gossipgirl
attendre,0.02521657746757389,fr,gossipgirl
an,0.024686817436742507,fr,gossipgirl
soire,0.024637943857270684,fr,gossipgirl
eric,0.024586946300976093,fr,gossipgirl
vanessa,0.024369412038404533,fr,gossipgirl
lily,0.024178981495380145,fr,gossipgirl
trs,0.02394515339357857,fr,gossipgirl
mec,0.02382756188765062,fr,gossipgirl
falloir,0.023309441356580907,fr,gossipgirl
bilt,0.02281566730714436,fr,gossipgirl
cole,0.02276063996465158,fr,gossipgirl
arcadya,0.02275255381386518,fr,gossipgirl
problme,0.022673729319583245,fr,gossipgirl
revenir,0.02256777731341697,fr,gossipgirl
entendre,0.022355873301084416,fr,gossipgirl
perdre,0.021932065276419308,fr,gossipgirl
essayer,0.0215082572517542,fr,gossipgirl
vien,0.021084449227089092,fr,gossipgirl
oh,0.020964313103865113,fr,gossipgirl
truc,0.02082793475778073,fr,gossipgirl
b,0.020762907134821422,fr,gossipgirl
tard,0.020721124835945955,fr,gossipgirl
mal,0.020660641202423984,fr,gossipgirl
aime,0.02055468919625771,fr,gossipgirl
tr,0.02055468919625771,fr,gossipgirl
tripp,0.02052277730447576,fr,gossipgirl
laisse,0.020448737190091434,fr,gossipgirl
chance,0.020448737190091434,fr,gossipgirl
vrai,0.020024929165426326,fr,gossipgirl
appel,0.020024929165426326,fr,gossipgirl
regarder,0.019918977159260047,fr,gossipgirl
aider,0.019601121140761218,fr,gossipgirl
point,0.019283265122262385,fr,gossipgirl
brooklyn,0.019194659439529,fr,gossipgirl
maison,0.01917731311609611,fr,gossipgirl
baizen,0.019013056089286967,fr,gossipgirl
pense,0.01885945709759728,fr,gossipgirl
demain,0.01869173632108527,fr,gossipgirl
femme,0.018541601079098448,fr,gossipgirl
connaître,0.018541601079098448,fr,gossipgirl
robe,0.01853998223026584,fr,gossipgirl
east,0.018358589618688397,fr,gossipgirl
anne,0.018329697066765894,fr,gossipgirl
parent,0.01827416766392699,fr,gossipgirl
manhattan,0.018228415220985415,fr,gossipgirl
histoire,0.01822374506059962,fr,gossipgirl
rester,0.018157686711911404,fr,gossipgirl
part,0.01811779305443334,fr,gossipgirl
side,0.017840280043102126,fr,gossipgirl
important,0.01779993703593451,fr,gossipgirl
argent,0.017693985029768235,fr,gossipgirl
ensembl,0.017516827180902767,fr,gossipgirl
doi,0.017089587493563676,fr,gossipgirl
nuit,0.017058272992770573,fr,gossipgirl
partie,0.016952320986604295,fr,gossipgirl
gnial,0.016767543550568954,fr,gossipgirl
bonjour,0.01674041697427174,fr,gossipgirl
waldorf,0.016646369921856346,fr,gossipgirl
content,0.01652851296193919,fr,gossipgirl
rentrer,0.01642256095577291,fr,gossipgirl
enfant,0.01642256095577291,fr,gossipgirl
devrai,0.016366575828040488,fr,gossipgirl
homme,0.016316608949606636,fr,gossipgirl
nathaniel,0.016250329716561103,fr,gossipgirl
parler,0.016210656943440357,fr,gossipgirl
semaine,0.015998752931107803,fr,gossipgirl
devenir,0.015892800924941528,fr,gossipgirl
aide,0.015892800924941528,fr,gossipgirl
air,0.01578684891877525,fr,gossipgirl
sentir,0.01578684891877525,fr,gossipgirl
nelly,0.015738676410835036,fr,gossipgirl
comprend,0.015680896912608974,fr,gossipgirl
parl,0.015680896912608974,fr,gossipgirl
htel,0.015549662515706835,fr,gossipgirl
souvenir,0.015363040894110143,fr,gossipgirl
bal,0.015310524271719304,fr,gossipgirl
hier,0.015273818822372536,fr,gossipgirl
aaron,0.015004670144151935,fr,gossipgirl
heureux,0.014859128054405181,fr,gossipgirl
matin,0.014846579135033445,fr,gossipgirl
demander,0.014621376850946206,fr,gossipgirl
donner,0.014526149369529125,fr,gossipgirl
dernire,0.014515424844779929,fr,gossipgirl
agne,0.01451221993187476,fr,gossipgirl
all,0.014312529525859579,fr,gossipgirl
minute,0.014205719604024806,fr,gossipgirl
arrte,0.014197568826281098,fr,gossipgirl
affaire,0.014197568826281098,fr,gossipgirl
mre,0.014105404167587527,fr,gossipgirl
aujourd,0.014091616820114821,fr,gossipgirl
faon,0.013985664813948544,fr,gossipgirl
peur,0.013879712807782267,fr,gossipgirl
photo,0.013789655795883307,fr,gossipgirl
dner,0.013789655795883307,fr,gossipgirl
ide,0.013667808795449713,fr,gossipgirl
mariage,0.013567241992723899,fr,gossipgirl
place,0.013455904783117159,fr,gossipgirl
team,0.01341781158291262,fr,gossipgirl
changer,0.013351240229346622,fr,gossipgirl
plutt,0.013244430307511849,fr,gossipgirl
être,0.013244000770784607,fr,gossipgirl
constance,0.013167733216367194,fr,gossipgirl
jeu,0.01313804876461833,fr,gossipgirl
retrouver,0.013030810463842302,fr,gossipgirl
ville,0.012920980916874072,fr,gossipgirl
message,0.012820192746119499,fr,gossipgirl
carter,0.01273150482153986,fr,gossipgirl
demand,0.012608288733786945,fr,gossipgirl
prochain,0.01260357077650321,fr,gossipgirl
vrit,0.012591437948828848,fr,gossipgirl
reine,0.01258338548954658,fr,gossipgirl
apprendre,0.012502336727620668,fr,gossipgirl
nom,0.012502336727620668,fr,gossipgirl
pens,0.01249028155297827,fr,gossipgirl
sre,0.012482891069959633,fr,gossipgirl
film,0.01243199001972374,fr,gossipgirl
coup,0.012389950932833665,fr,gossipgirl
plan,0.01238260671200432,fr,gossipgirl
trouv,0.012290432715288114,fr,gossipgirl
confiance,0.012290432715288114,fr,gossipgirl
okay,0.01225946040629963,fr,gossipgirl
