mot,poids_tfidf,langue,serie
s,0.5403154989984107,en,greek
know,0.2530092247388624,en,greek
cappie,0.25095844573587583,en,greek
t,0.23076545140755486,en,greek
think,0.20238546474347285,en,greek
go,0.1937290209347374,en,greek
m,0.19230454283962906,en,greek
want,0.15220000570042436,en,greek
casey,0.14568579696189038,en,greek
zbz,0.144610584202063,en,greek
right,0.1438722876059447,en,greek
guy,0.11884997296738907,en,greek
get,0.11790295617973838,en,greek
good,0.1143965485610101,en,greek
come,0.10486350284759259,en,greek
pledge,0.0976600437886431,en,greek
look,0.09028999618225318,en,greek
let,0.08919424380140059,en,greek
ashleigh,0.0875856294297621,en,greek
tell,0.08448250856373447,en,greek
need,0.08448250856373447,en,greek
time,0.07998992380223886,en,greek
rusty,0.07998027527297087,en,greek
mean,0.07527818856457273,en,greek
omega,0.0718070001830715,en,greek
thing,0.07012815237456557,en,greek
spitter,0.06980493276727338,en,greek
thank,0.06848452380328669,en,greek
talk,0.06695047047009307,en,greek
girl,0.06464939047030265,en,greek
little,0.0642110895179616,en,greek
house,0.06355363808945005,en,greek
rebecca,0.06325239768071177,en,greek
way,0.059280203804124965,en,greek
cartwright,0.05926905692575257,en,greek
maybe,0.058513177137528155,en,greek
sorry,0.05719827428050505,en,greek
say,0.054349318090288326,en,greek
great,0.05380144189986203,en,greek
love,0.051609937138156856,en,greek
friend,0.051500361900071595,en,greek
date,0.04798866876761972,en,greek
try,0.04788437904325806,en,greek
work,0.047336502852831766,en,greek
year,0.04656947618623496,en,greek
night,0.04580244951963814,en,greek
wait,0.04437797142452978,en,greek
big,0.04429260144974258,en,greek
dale,0.04416910724427943,en,greek
sure,0.043720519996018226,en,greek
find,0.04361094475793297,en,greek
feel,0.04361094475793297,en,greek
dobler,0.043533685633727906,en,greek
party,0.0430990524123816,en,greek
greek,0.04220245693614028,en,greek
win,0.04174816571048357,en,greek
help,0.03889920952026685,en,greek
man,0.038570483806011066,en,greek
fraternity,0.038304399383544595,en,greek
d,0.03813218285367003,en,greek
leave,0.03725558094898796,en,greek
start,0.03725558094898796,en,greek
bad,0.03517365142536805,en,greek
like,0.03429704952068598,en,greek
break,0.03424116321551172,en,greek
calvin,0.033977134654203676,en,greek
happen,0.03353002285408917,en,greek
fun,0.03340278568511814,en,greek
take,0.03276299618749236,en,greek
brother,0.03254384571132184,en,greek
see,0.03243427047323658,en,greek
guess,0.03232469523515132,en,greek
new,0.0321055447589808,en,greek
sorority,0.03187977665111272,en,greek
rus,0.031637796497093806,en,greek
people,0.03155766856855451,en,greek
day,0.031119367616213475,en,greek
week,0.031009792378128218,en,greek
well,0.03068106666387244,en,greek
actually,0.030571491425787183,en,greek
sister,0.030416258343113064,en,greek
chi,0.029853009123454392,en,greek
lot,0.02980446475919037,en,greek
tonight,0.029617136640804755,en,greek
meet,0.02903743809259356,en,greek
beaver,0.028361412074333427,en,greek
fine,0.0282765734941,en,greek
nice,0.02816083618791149,en,greek
kind,0.027832110473655716,en,greek
kts,0.027008980707000092,en,greek
life,0.026626782854717868,en,greek
ask,0.026078906664291576,en,greek
stop,0.025750180950035798,en,greek
class,0.025700954992153368,en,greek
ash,0.025298688487097015,en,greek
long,0.02476400380726847,en,greek
amphora,0.02475823231475008,en,greek
play,0.02465442856918321,en,greek
pretty,0.02463154644212617,en,greek
make,0.024544853331097953,en,greek
gay,0.024455953105196816,en,greek
room,0.024435278093012693,en,greek
hear,0.024435278093012693,en,greek
president,0.02352966066765295,en,greek
school,0.023457557172363946,en,greek
believe,0.02301079999790433,en,greek
ok,0.022951420044502697,en,greek
