mot,poids_tfidf,langue,serie
s,0.5858338872847964,en,greysanatomy
know,0.2756241985728996,en,greysanatomy
t,0.25447791699766314,en,greysanatomy
go,0.23236825129599226,en,greysanatomy
m,0.2239386401896907,en,greysanatomy
want,0.1689294065702829,en,greysanatomy
think,0.15173299991342779,en,greysanatomy
right,0.14392958848930862,en,greysanatomy
good,0.1376194224611629,en,greysanatomy
need,0.13309151706692093,en,greysanatomy
izzie,0.12793995091194685,en,greysanatomy
get,0.12461373675429767,en,greysanatomy
tell,0.10813986819226837,en,greysanatomy
meredith,0.10391598583911987,en,greysanatomy
come,0.10067364121240129,en,greysanatomy
surgery,0.10057277692196714,en,greysanatomy
look,0.10033645676814923,en,greysanatomy
time,0.0815022970963555,en,greysanatomy
malley,0.08035928609967538,en,greysanatomy
bailey,0.07672421067482929,en,greysanatomy
let,0.075673823131427,en,greysanatomy
mean,0.07543297709981837,en,greysanatomy
talk,0.07446959297338392,en,greysanatomy
thing,0.07210930186361948,en,greysanatomy
karev,0.06515822596695212,en,greysanatomy
patient,0.06386073424472045,en,greysanatomy
say,0.06204193774237936,en,greysanatomy
day,0.05842924726825012,en,greysanatomy
derek,0.05755336019207464,en,greysanatomy
try,0.05674332504698981,en,greysanatomy
sorry,0.055683602507911906,en,greysanatomy
chief,0.05461685073618251,en,greysanatomy
guy,0.05438284281631054,en,greysanatomy
grey,0.053636108861873796,en,greysanatomy
shepherd,0.053559734829115295,en,greysanatomy
fine,0.051615144565837594,en,greysanatomy
work,0.051348373938956825,en,greysanatomy
baby,0.048554576680963586,en,greysanatomy
thank,0.04821737552804482,en,greysanatomy
intern,0.04802068584082249,en,greysanatomy
life,0.047928360290114484,en,greysanatomy
people,0.04619426886253246,en,greysanatomy
burke,0.04575270827648453,en,greysanatomy
way,0.04470102346655904,en,greysanatomy
wait,0.04465285426023732,en,greysanatomy
okay,0.0440626827623633,en,greysanatomy
love,0.04368947013380285,en,greysanatomy
leave,0.043544962514837686,en,greysanatomy
happen,0.043352285689550796,en,greysanatomy
man,0.04267791680104667,en,greysanatomy
little,0.04214805553150772,en,greysanatomy
feel,0.04147368664300359,en,greysanatomy
sloan,0.040684593680625596,en,greysanatomy
help,0.039932272040708455,en,greysanatomy
today,0.03887254950163054,en,greysanatomy
stop,0.03882438029530882,en,greysanatomy
die,0.03853536505737848,en,greysanatomy
year,0.03766831934358747,en,greysanatomy
find,0.03737930410565713,en,greysanatomy
ask,0.03684944283611817,en,greysanatomy
surgeon,0.03642931585925128,en,greysanatomy
callie,0.03590636149756172,en,greysanatomy
heart,0.035494516159574115,en,greysanatomy
maybe,0.03521168982117959,en,greysanatomy
steven,0.03513373143501638,en,greysanatomy
bad,0.03444098252003202,en,greysanatomy
sure,0.03395929045681479,en,greysanatomy
o,0.033124057887050626,en,greysanatomy
doctor,0.032477492192558646,en,greysanatomy
r,0.032342635262068056,en,greysanatomy
hear,0.032177029822911034,en,greysanatomy
well,0.03193618379130242,en,greysanatomy
friend,0.031888014584980695,en,greysanatomy
start,0.03164716855337208,en,greysanatomy
tumor,0.031374689635193985,en,greysanatomy
win,0.031117307283833124,en,greysanatomy
hand,0.02967223109418143,en,greysanatomy
take,0.029575892681537985,en,greysanatomy
hospital,0.028878087973382514,en,greysanatomy
long,0.02813081649188629,en,greysanatomy
like,0.027986308872921122,en,greysanatomy
denny,0.027655313721820358,en,greysanatomy
see,0.02702292474648666,en,greysanatomy
home,0.026685740302234598,en,greysanatomy
torre,0.02664172461705245,en,greysanatomy
great,0.02654123268326943,en,greysanatomy
d,0.02639672506430426,en,greysanatomy
woman,0.02620404823901737,en,greysanatomy
lot,0.026011371413730475,en,greysanatomy
kid,0.024965719217348952,en,greysanatomy
sleep,0.023940095541896383,en,greysanatomy
wrong,0.023795587922931214,en,greysanatomy
