mot,poids_tfidf,langue,serie
s,0.5165795258268767,en,heroes
know,0.3101047305495689,en,heroes
t,0.2702621607384534,en,heroes
go,0.23807407478267534,en,heroes
m,0.18410015016170608,en,heroes
sylar,0.1829289611488246,en,heroes
think,0.1624124459049166,en,heroes
claire,0.15141112336332732,en,heroes
want,0.14945870399588398,en,heroes
come,0.14190235454894828,en,heroes
right,0.14072474164812715,en,heroes
need,0.1288504782315139,en,heroes
hiro,0.12531954246624213,en,heroes
get,0.12335495136101521,en,heroes
tell,0.12099972555937291,en,heroes
parkman,0.10985816399571284,en,heroes
look,0.09725119872614643,en,heroes
find,0.09460156969929885,en,heroes
linderman,0.09373219496881921,en,heroes
good,0.08989111809601427,en,heroes
let,0.0869470858439614,en,heroes
time,0.08645641380195258,en,heroes
help,0.08439559122551557,en,heroes
people,0.07742804822899045,en,heroes
thing,0.07458215038533934,en,heroes
kill,0.07379707511812525,en,heroes
happen,0.0702642364156618,en,heroes
mohinder,0.0700471779605692,en,heroes
say,0.06781087620561775,en,heroes
talk,0.06604445685438602,en,heroes
stop,0.06525938158717193,en,heroes
try,0.0650631127703684,en,heroes
man,0.0630022901939314,en,heroes
mean,0.06260975256032435,en,heroes
life,0.06231534933511906,en,heroes
micah,0.06172157544813857,en,heroes
way,0.05681982246462037,en,heroes
dad,0.05653968401327637,en,heroes
father,0.05653968401327637,en,heroes
save,0.054857134296585126,en,heroes
sorry,0.05338511817055869,en,heroes
leave,0.05161869881932697,en,heroes
work,0.05152056441092521,en,heroes
guy,0.05074731474038026,en,heroes
suresh,0.047807084718603475,en,heroes
thank,0.046613843990837095,en,heroes
mom,0.04524821965291787,en,heroes
world,0.04406234937239127,en,heroes
ability,0.04274827218565846,en,heroes
see,0.042492198837963076,en,heroes
maybe,0.04160898916234722,en,heroes
take,0.039842569811115496,en,heroes
love,0.039057494543901394,en,heroes
power,0.03849086072156028,en,heroes
sure,0.0382724192766873,en,heroes
family,0.038174284868285537,en,heroes
away,0.03807615045988377,en,heroes
day,0.03552465584143795,en,heroes
wait,0.03552465584143795,en,heroes
home,0.03542652143303619,en,heroes
matt,0.035183184760828844,en,heroes
believe,0.034739580574223855,en,heroes
ando,0.034346837564821917,en,heroes
understand,0.034248908532215044,en,heroes
die,0.03385637089860799,en,heroes
little,0.03346383326500094,en,heroes
d,0.03297316122299213,en,heroes
hear,0.032580623589385085,en,heroes
okay,0.03191062463166834,en,heroes
win,0.03169741391376922,en,heroes
feel,0.03032353219614455,en,heroes
friend,0.03022539778774279,en,heroes
remember,0.029832860154135738,en,heroes
hero,0.029710646271622936,en,heroes
long,0.029636591337332215,en,heroes
bennet,0.02920630122058535,en,heroes
wrong,0.028753381661716353,en,heroes
year,0.028753381661716353,en,heroes
