mot,poids_tfidf,langue,serie
s,0.6430083221322647,en,house
t,0.29098122543100957,en,house
go,0.21740682524815827,en,house
know,0.19480634171953615,en,house
think,0.17675052063960436,en,house
want,0.15390437968132334,en,house
m,0.14837708751399728,en,house
get,0.14702597165087314,en,house
need,0.12319720097395635,en,house
tell,0.11189695920964529,en,house
right,0.1095632136278854,en,house
patient,0.09921633309436714,en,house
mean,0.09556074013732606,en,house
good,0.09408679555937244,en,house
time,0.07983866463915416,en,house
house,0.07885603492051842,en,house
come,0.07811906263154161,en,house
look,0.07455702990148705,en,house
work,0.07234611303455663,en,house
say,0.07210045560489768,en,house
kutner,0.0706435417631919,en,house
cause,0.06804710801552524,en,house
test,0.06366539532774478,en,house
thing,0.06264264456302865,en,house
guy,0.060174233931977614,en,house
find,0.05994041283678036,en,house
heart,0.05930752685888328,en,house
wrong,0.058712125688485675,en,house
people,0.0571153523957026,en,house
way,0.05686969496604366,en,house
let,0.05650120882155525,en,house
foreman,0.056103574346742624,en,house
talk,0.052816347376671215,en,house
try,0.05158806022837654,en,house
life,0.05060543050974079,en,house
well,0.05011411565042292,en,house
start,0.04986845822076399,en,house
feel,0.04913148593178718,en,house
maybe,0.04814885621315143,en,house
d,0.048026027498321966,en,house
blood,0.04779270431634436,en,house
symptom,0.04772845060338163,en,house
die,0.04716622649451569,en,house
brain,0.04593003071851059,en,house
leave,0.045569453201732606,en,house
bad,0.04495530962758527,en,house
doctor,0.044007753344078554,en,house
biopsy,0.043269377203561984,en,house
sure,0.042867221475484316,en,house
year,0.04237590661616644,en,house
sorry,0.042007420471678034,en,house
cancer,0.04176592782784546,en,house
pain,0.04052617646115377,en,house
drug,0.04033339518521421,en,house
liver,0.039832658509861625,en,house
take,0.037954072882305595,en,house
help,0.037954072882305595,en,house
ask,0.03733992930815826,en,house
fine,0.03702077355074342,en,house
stop,0.03697144316366985,en,house
day,0.03697144316366985,en,house
make,0.03684861444884038,en,house
lung,0.03589925838221725,en,house
problem,0.03537466987088677,en,house
love,0.03512901244122783,en,house
lie,0.03439204015225102,en,house
kidney,0.03403896760563477,en,house
long,0.03402355400776262,en,house
care,0.03402355400776262,en,house
kill,0.033040924289126875,en,house
job,0.03291809557429741,en,house
cuddy,0.03279878724719624,en,house
little,0.03254960942980901,en,house
happen,0.0318126371408322,en,house
give,0.03156697971117326,en,house
okay,0.031297667043072075,en,house
actually,0.03107566485185539,en,house
