mot,poids_tfidf,langue,serie
c,0.6271030119128059,fr,howimetyourmother
j,0.2674937685305292,fr,howimetyourmother
barney,0.2065497020242231,fr,howimetyourmother
marshall,0.19811998230547476,fr,howimetyourmother
taire,0.18841801674221084,fr,howimetyourmother
n,0.17322494491601353,fr,howimetyourmother
non,0.15946743893166163,fr,howimetyourmother
savoir,0.15743372065571395,fr,howimetyourmother
bien,0.15360554507745952,fr,howimetyourmother
vouloir,0.152409240209255,fr,howimetyourmother
faire,0.14367621467136205,fr,howimetyourmother
robin,0.1221329567852914,fr,howimetyourmother
bon,0.10216443574466544,fr,howimetyourmother
tre,0.09570438945636106,fr,howimetyourmother
oui,0.09450808458815656,fr,howimetyourmother
devoir,0.09367067118041339,fr,howimetyourmother
aller,0.09211547485174752,fr,howimetyourmother
vraiment,0.09103880047036346,fr,howimetyourmother
voir,0.07656351156508885,fr,howimetyourmother
t,0.07297459696047531,fr,howimetyourmother
jamais,0.0710605091713481,fr,howimetyourmother
mosby,0.06930985881988062,fr,howimetyourmother
venir,0.06747159456673456,fr,howimetyourmother
lily,0.06680594287143207,fr,howimetyourmother
fille,0.06507898483032552,fr,howimetyourmother
chose,0.06448083239622326,fr,howimetyourmother
mme,0.062327483633455145,fr,howimetyourmother
croire,0.06077228730478928,fr,howimetyourmother
aimer,0.05897783000248251,fr,howimetyourmother
ouai,0.056990567152049525,fr,howimetyourmother
soir,0.05234003544975073,fr,howimetyourmother
ici,0.05168037030643498,fr,howimetyourmother
heure,0.05108221787233272,fr,howimetyourmother
ami,0.0494073910568464,fr,howimetyourmother
an,0.04892886910956459,fr,howimetyourmother
prendre,0.04845034716228279,fr,howimetyourmother
fois,0.048330716675462335,fr,howimetyourmother
super,0.047798540192041536,fr,howimetyourmother
mec,0.04770427662759592,fr,howimetyourmother
petit,0.04641662888633512,fr,howimetyourmother
dieu,0.04569884596541241,fr,howimetyourmother
accord,0.044741802070848796,fr,howimetyourmother
truc,0.04450109004829037,fr,howimetyourmother
salut,0.04402401914992609,fr,howimetyourmother
passer,0.04366512768946473,fr,howimetyourmother
jour,0.04234919233443977,fr,howimetyourmother
arriver,0.040674365518953454,fr,howimetyourmother
appeler,0.040554735032133,fr,howimetyourmother
sortir,0.040554735032133,fr,howimetyourmother
temps,0.04019584357167165,fr,howimetyourmother
vie,0.04019584357167165,fr,howimetyourmother
regarder,0.039478060650748936,fr,howimetyourmother
trop,0.039478060650748936,fr,howimetyourmother
dsol,0.03756397286162172,fr,howimetyourmother
gnial,0.037366274120832314,fr,howimetyourmother
sr,0.03648729848023766,fr,howimetyourmother
falloir,0.0363676679934172,fr,howimetyourmother
dire,0.0358891460461354,fr,howimetyourmother
enfant,0.03576951555931495,fr,howimetyourmother
okay,0.03575892783793484,fr,howimetyourmother
monde,0.03457321069111043,fr,howimetyourmother
femme,0.03433394971746953,fr,howimetyourmother
histoire,0.03409468874382863,fr,howimetyourmother
veux,0.03385542777018773,fr,howimetyourmother
apr,0.03349653630972637,fr,howimetyourmother
meilleur,0.03349653630972637,fr,howimetyourmother
voil,0.03206097046788096,fr,howimetyourmother
avoir,0.031821709494240055,fr,howimetyourmother
pouvoir,0.03158244852059915,fr,howimetyourmother
mariage,0.031265384465406165,fr,howimetyourmother
attend,0.031235182445818986,fr,howimetyourmother
scherbatsky,0.030668079123840987,fr,howimetyourmother
oh,0.030253081504676343,fr,howimetyourmother
moment,0.030027252191933283,fr,howimetyourmother
penser,0.02966836073147193,fr,howimetyourmother
ted,0.02959605373972499,fr,howimetyourmother
mettre,0.029429099757831027,fr,howimetyourmother
grand,0.029189838784190125,fr,howimetyourmother
besoin,0.028352425376446964,fr,howimetyourmother
trs,0.028352425376446964,fr,howimetyourmother
pass,0.026677598560960646,fr,howimetyourmother
air,0.025600924179576583,fr,howimetyourmother
partir,0.025481293692756132,fr,howimetyourmother
raison,0.02512240223229478,fr,howimetyourmother
m,0.025002771745474328,fr,howimetyourmother
gars,0.024923026873900786,fr,howimetyourmother
mal,0.024165358337731167,fr,howimetyourmother
trouver,0.023926097364090265,fr,howimetyourmother
type,0.02372220466320424,fr,howimetyourmother
quelqu,0.023567205903628912,fr,howimetyourmother
finir,0.02320831444316756,fr,howimetyourmother
fte,0.023167089954916037,fr,howimetyourmother
tai,0.023155038724313688,fr,howimetyourmother
bar,0.022907564017546286,fr,howimetyourmother
aime,0.022729792495885755,fr,howimetyourmother
ok,0.02253158371477987,fr,howimetyourmother
semaine,0.02249053152224485,fr,howimetyourmother
attendre,0.02249053152224485,fr,howimetyourmother
tr,0.02141385714086079,fr,howimetyourmother
nuit,0.021054965680399433,fr,howimetyourmother
beaucoup,0.02081570470675853,fr,howimetyourmother
vieux,0.02057644373311763,fr,howimetyourmother
sai,0.020456813246297178,fr,howimetyourmother
marier,0.019960392038680684,fr,howimetyourmother
amour,0.019768503886003538,fr,howimetyourmother
vrai,0.019380138864913115,fr,howimetyourmother
minute,0.01929586560359474,fr,howimetyourmother
l,0.019140877891272213,fr,howimetyourmother
nom,0.01878198643081086,fr,howimetyourmother
souvenir,0.01866235594399041,fr,howimetyourmother
laisse,0.01866235594399041,fr,howimetyourmother
tard,0.01845167148343747,fr,howimetyourmother
ensembl,0.01845167148343747,fr,howimetyourmother
arrte,0.018423094970349507,fr,howimetyourmother
gros,0.018423094970349507,fr,howimetyourmother
entendre,0.018423094970349507,fr,howimetyourmother
mieux,0.018303464483529052,fr,howimetyourmother
mois,0.0181838339967086,fr,howimetyourmother
problme,0.0179445730230677,fr,howimetyourmother
bizarre,0.017893812482148882,fr,howimetyourmother
architecte,0.017735681970422672,fr,howimetyourmother
devenir,0.017705312049426797,fr,howimetyourmother
boulot,0.017628482423002995,fr,howimetyourmother
tactactac,0.01760513474673235,fr,howimetyourmother
hein,0.017585681562606346,fr,howimetyourmother
stella,0.017509876849979473,fr,howimetyourmother
nouveau,0.017466051075785895,fr,howimetyourmother
connaître,0.017226790102144993,fr,howimetyourmother
anne,0.01710715961532454,fr,howimetyourmother
s,0.01698752912850409,fr,howimetyourmother
soire,0.01684436271123573,fr,howimetyourmother
pote,0.016803228303103004,fr,howimetyourmother
perdre,0.016748268154863185,fr,howimetyourmother
porte,0.016748268154863185,fr,howimetyourmother
relation,0.01669998447349004,fr,howimetyourmother
dsole,0.016642684083100465,fr,howimetyourmother
point,0.016509007181222283,fr,howimetyourmother
sexy,0.016338897488078596,fr,howimetyourmother
homme,0.01626974620758138,fr,howimetyourmother
essayer,0.015910854747120028,fr,howimetyourmother
all,0.015798489962943193,fr,howimetyourmother
jeu,0.015671593773479126,fr,howimetyourmother
mr,0.015432332799838222,fr,howimetyourmother
dary,0.015334039561920493,fr,howimetyourmother
legen,0.015334039561920493,fr,howimetyourmother
plat,0.015316093322853325,fr,howimetyourmother
revenir,0.01531270231301777,fr,howimetyourmother
chance,0.01531270231301777,fr,howimetyourmother
jouer,0.015195494162830857,fr,howimetyourmother
pre,0.01519307182619732,fr,howimetyourmother
maison,0.01519307182619732,fr,howimetyourmother
manger,0.015075391865188768,fr,howimetyourmother
question,0.014953810852556416,fr,howimetyourmother
fin,0.014834180365735965,fr,howimetyourmother
druther,0.014720677979443672,fr,howimetyourmother
donne,0.014714549878915514,fr,howimetyourmother
arriv,0.014714549878915514,fr,howimetyourmother
ranjit,0.014686245449333458,fr,howimetyourmother
important,0.014594919392095063,fr,howimetyourmother
adorer,0.014584682776546006,fr,howimetyourmother
fiero,0.014121389855128326,fr,howimetyourmother
sentir,0.014116397444813257,fr,howimetyourmother
victoria,0.01399556743391996,fr,howimetyourmother
coup,0.013989502562606186,fr,howimetyourmother
chercher,0.013877136471172355,fr,howimetyourmother
mot,0.013877136471172355,fr,howimetyourmother
aujourd,0.013757505984351904,fr,howimetyourmother
ct,0.013748304242561252,fr,howimetyourmother
doi,0.013748304242561252,fr,howimetyourmother
appartement,0.0136866118240221,fr,howimetyourmother
dernire,0.013637875497531452,fr,howimetyourmother
rester,0.013627705082538785,fr,howimetyourmother
heureux,0.01325175575246432,fr,howimetyourmother
genre,0.013159353550249647,fr,howimetyourmother
part,0.013039723063429196,fr,howimetyourmother
donner,0.01302470928242645,fr,howimetyourmother
ide,0.012920092576608744,fr,howimetyourmother
mari,0.012904110122403983,fr,howimetyourmother
premire,0.012904110122403983,fr,howimetyourmother
eriksen,0.012880593232013213,fr,howimetyourmother
steller,0.012864399318352268,fr,howimetyourmother
demain,0.012783510962381514,fr,howimetyourmother
vivre,0.01268083160296784,fr,howimetyourmother
hier,0.012662911802359048,fr,howimetyourmother
plutt,0.012662911802359048,fr,howimetyourmother
costume,0.01255748173137059,fr,howimetyourmother
dingue,0.012505663225008347,fr,howimetyourmother
stupide,0.012478868078039732,fr,howimetyourmother
dur,0.012421713482314113,fr,howimetyourmother
fou,0.012421713482314113,fr,howimetyourmother
partie,0.012321940142506487,fr,howimetyourmother
merde,0.012279149825677948,fr,howimetyourmother
couple,0.012258032408430165,fr,howimetyourmother
apprendre,0.012202309655686036,fr,howimetyourmother
coucher,0.012179687924274691,fr,howimetyourmother
travailler,0.012082679168865584,fr,howimetyourmother
coute,0.012082679168865584,fr,howimetyourmother
travail,0.011963048682045133,fr,howimetyourmother
tte,0.011963048682045133,fr,howimetyourmother
main,0.011963048682045133,fr,howimetyourmother
revoir,0.011939316842224245,fr,howimetyourmother
suite,0.011939316842224245,fr,howimetyourmother
bilson,0.011861967478307794,fr,howimetyourmother
commencer,0.011843418195224682,fr,howimetyourmother
prt,0.011818717682201777,fr,howimetyourmother
endroit,0.01169811852217931,fr,howimetyourmother
cool,0.011672045195915652,fr,howimetyourmother
nosvosperso,0.011653870067059573,fr,howimetyourmother
prend,0.01160415722158378,fr,howimetyourmother
oeil,0.01160415722158378,fr,howimetyourmother
peur,0.01160415722158378,fr,howimetyourmother
trouv,0.01160415722158378,fr,howimetyourmother
appel,0.01160415722158378,fr,howimetyourmother
oubli,0.011549695380588169,fr,howimetyourmother
boire,0.011549695380588169,fr,howimetyourmother
film,0.011484792757660726,fr,howimetyourmother
rompre,0.011441261133026537,fr,howimetyourmother
faux,0.011428119639739873,fr,howimetyourmother
couch,0.011335384807795636,fr,howimetyourmother
bire,0.011300741373038374,fr,howimetyourmother
rentrer,0.011245265761122425,fr,howimetyourmother
famille,0.011245265761122425,fr,howimetyourmother
compte,0.011125635274301974,fr,howimetyourmother
changer,0.011095122722066976,fr,howimetyourmother
canadien,0.011073732491747564,fr,howimetyourmother
verre,0.011063392417194983,fr,howimetyourmother
argent,0.011006004787481522,fr,howimetyourmother
copine,0.010939964407523695,fr,howimetyourmother
cas,0.010886374300661071,fr,howimetyourmother
chambre,0.010853924402022042,fr,howimetyourmother
arrter,0.01076674381384062,fr,howimetyourmother
fait,0.01076674381384062,fr,howimetyourmother
rgle,0.010733325241999575,fr,howimetyourmother
pire,0.010733325241999575,fr,howimetyourmother
tomber,0.01064711332702017,fr,howimetyourmother
plein,0.010612726081977107,fr,howimetyourmother
marche,0.010527482840199717,fr,howimetyourmother
burger,0.010526517153353104,fr,howimetyourmother
jeune,0.01049212692195464,fr,howimetyourmother
lit,0.0104555137129535,fr,howimetyourmother
jersey,0.010410427071567304,fr,howimetyourmother
vien,0.010407852353379266,fr,howimetyourmother
dteste,0.010378464540151856,fr,howimetyourmother
matin,0.010371527761932172,fr,howimetyourmother
rencard,0.010302041321073992,fr,howimetyourmother
photo,0.010296231028768296,fr,howimetyourmother
bb,0.010295070195208946,fr,howimetyourmother
droit,0.010288221866558814,fr,howimetyourmother
oncle,0.010269083219997137,fr,howimetyourmother
place,0.010168591379738363,fr,howimetyourmother
content,0.010168591379738363,fr,howimetyourmother
mourir,0.010168591379738363,fr,howimetyourmother
numro,0.010131358241576812,fr,howimetyourmother
gael,0.010078360908735992,fr,howimetyourmother
mauvais,0.010048960892917912,fr,howimetyourmother
continuer,0.01000973028186477,fr,howimetyourmother
regard,0.01000973028186477,fr,howimetyourmother
srieux,0.01000973028186477,fr,howimetyourmother
parler,0.009929330406097461,fr,howimetyourmother
erreur,0.009889131121842304,fr,howimetyourmother
chien,0.009884251943001769,fr,howimetyourmother
aider,0.009809699919277009,fr,howimetyourmother
porter,0.00968226839787508,fr,howimetyourmother
mignon,0.009668412063599497,fr,howimetyourmother
devrai,0.009604483527015425,fr,howimetyourmother
blogspot,0.00957116024691929,fr,howimetyourmother
amoureux,0.009570660631383938,fr,howimetyourmother
aldrin,0.009547920860907782,fr,howimetyourmother
drle,0.009542848270565738,fr,howimetyourmother
prochain,0.009527333641774903,fr,howimetyourmother
ville,0.009482907786167128,fr,howimetyourmother
sexe,0.009453842029118436,fr,howimetyourmother
bois,0.009391054097591334,fr,howimetyourmother
incroyable,0.009367062892661294,fr,howimetyourmother
dernier,0.009331177971995204,fr,howimetyourmother
moby,0.00928903811313515,fr,howimetyourmother
bel,0.009239756304470534,fr,howimetyourmother
amie,0.009239756304470534,fr,howimetyourmother
fort,0.009211547485174753,fr,howimetyourmother
pense,0.009211547485174753,fr,howimetyourmother
claudia,0.00916663871751983,fr,howimetyourmother
pantalon,0.009157955050732662,fr,howimetyourmother
baffe,0.009142005702129767,fr,howimetyourmother
plan,0.00911818056362224,fr,howimetyourmother
comprend,0.0090919169983543,fr,howimetyourmother
être,0.0090919169983543,fr,howimetyourmother
oublier,0.009044937001685033,fr,howimetyourmother
faon,0.00897228651153385,fr,howimetyourmother
veu,0.00897228651153385,fr,howimetyourmother
demande,0.00897228651153385,fr,howimetyourmother
arrow,0.008935626077600416,fr,howimetyourmother
toilette,0.008902941671936705,fr,howimetyourmother
appart,0.00886722631896337,fr,howimetyourmother
rappeler,0.008852656024713398,fr,howimetyourmother
rencontrer,0.008824345881607666,fr,howimetyourmother
cours,0.0088037386816401,fr,howimetyourmother
voiture,0.00878946551236318,fr,howimetyourmother
remettre,0.00875345334107735,fr,howimetyourmother
sympa,0.008663901719329419,fr,howimetyourmother
taient,0.008613395051072496,fr,howimetyourmother
demander,0.008613395051072496,fr,howimetyourmother
liste,0.008594243047791434,fr,howimetyourmother
rupture,0.008587290804154896,fr,howimetyourmother
anniversaire,0.00853833792629566,fr,howimetyourmother
payer,0.008510301859380755,fr,howimetyourmother
sein,0.008506266174678725,fr,howimetyourmother
dcid,0.008456664803207349,fr,howimetyourmother
secret,0.008456664803207349,fr,howimetyourmother
new,0.008443184241882666,fr,howimetyourmother
singe,0.008405135811438145,fr,howimetyourmother
affaire,0.008374134077431592,fr,howimetyourmother
gagner,0.008374134077431592,fr,howimetyourmother
groupe,0.008334104443740574,fr,howimetyourmother
journe,0.008321342041550233,fr,howimetyourmother
brunch,0.008278733127412443,fr,howimetyourmother
imagine,0.00822058030658311,fr,howimetyourmother
salle,0.008211544084273801,fr,howimetyourmother
choisir,0.008200742881527764,fr,howimetyourmother
coeur,0.00816164654719438,fr,howimetyourmother
lire,0.008154507852976459,fr,howimetyourmother
allez,0.00813487310379069,fr,howimetyourmother
scooter,0.008103094120372752,fr,howimetyourmother
canon,0.00808420922301162,fr,howimetyourmother
porno,0.008047443073571671,fr,howimetyourmother
chanson,0.008033291264971975,fr,howimetyourmother
idiot,0.008030954703688937,fr,howimetyourmother
team,0.0080295322061312,fr,howimetyourmother
parfaire,0.008023998895987572,fr,howimetyourmother
chrie,0.00801524261697024,fr,howimetyourmother
voyon,0.007966423365340257,fr,howimetyourmother
asseoir,0.00795954456148283,fr,howimetyourmother
venusia,0.007956600717423152,fr,howimetyourmother
thiste,0.007956600717423152,fr,howimetyourmother
long,0.007895612130149788,fr,howimetyourmother
don,0.007844604659028023,fr,howimetyourmother
gentil,0.007838945401460363,fr,howimetyourmother
karen,0.007789622693481297,fr,howimetyourmother
tlphone,0.007784137313525602,fr,howimetyourmother
aurai,0.007780847414290977,fr,howimetyourmother
copain,0.007769817035191138,fr,howimetyourmother
beau,0.007718346241437896,fr,howimetyourmother
argentine,0.007708378023626778,fr,howimetyourmother
cole,0.00766029525582637,fr,howimetyourmother
vite,0.007656351156508885,fr,howimetyourmother
donn,0.007656351156508885,fr,howimetyourmother
mpm,0.00761142808072951,fr,howimetyourmother
bureau,0.007597809071235905,fr,howimetyourmother
pleurer,0.007536742106538848,fr,howimetyourmother
parl,0.007536720669688434,fr,howimetyourmother
dormir,0.007536720669688434,fr,howimetyourmother
second,0.007536720669688434,fr,howimetyourmother
facile,0.007477147921392961,fr,howimetyourmother
pardon,0.007477147921392961,fr,howimetyourmother
ensuite,0.007416120191746088,fr,howimetyourmother
dner,0.007408263788991822,fr,howimetyourmother
clibataire,0.007362399523961407,fr,howimetyourmother
soeur,0.007341751996950745,fr,howimetyourmother
rve,0.007341751996950745,fr,howimetyourmother
bonjour,0.007297459696047531,fr,howimetyourmother
taxi,0.00725543388923634,fr,howimetyourmother
table,0.007235949601348027,fr,howimetyourmother
loin,0.00717782920922708,fr,howimetyourmother
willow,0.007143596865308783,fr,howimetyourmother
jenkin,0.007134995162390568,fr,howimetyourmother
qu,0.00711535044132556,fr,howimetyourmother
