mot,poids_tfidf,langue,serie
c,0.3999880240885312,fr,invasion
mariel,0.312238846983937,fr,invasion
non,0.2390293293083075,fr,invasion
savoir,0.22443536314425552,fr,invasion
bien,0.22174327229845953,fr,invasion
larkin,0.22073933564861825,fr,invasion
vouloir,0.18504582340050363,fr,invasion
underlay,0.18234108406997826,fr,invasion
n,0.17371070404978364,fr,invasion
j,0.16095869478022368,fr,invasion
taire,0.15713309199935568,fr,invasion
oui,0.1472148625674757,fr,invasion
russell,0.12981498388650253,fr,invasion
aller,0.12341111193096374,fr,invasion
jesse,0.1220159870639472,fr,invasion
ici,0.11547652838545976,fr,invasion
faire,0.11179261459647577,fr,invasion
tre,0.10924221274256378,fr,invasion
rus,0.10865355468417034,fr,invasion
chose,0.10697518887241977,fr,invasion
ok,0.10689453110537574,fr,invasion
heure,0.09847384935937979,fr,invasion
ouragan,0.09814583397133379,fr,invasion
voir,0.09393980161909181,fr,invasion
devoir,0.09181446674083181,fr,invasion
ouai,0.0828858459967552,fr,invasion
bon,0.07934583545503983,fr,invasion
szurer,0.07700460124070797,fr,invasion
eau,0.07329240070515998,fr,invasion
lewis,0.06619137639927164,fr,invasion
dave,0.06333946873370049,fr,invasion
mme,0.06319329038026388,fr,invasion
tom,0.05827407116999839,fr,invasion
prendre,0.057100663729251884,fr,invasion
trs,0.056675596753599886,fr,invasion
enfant,0.05596715179417988,fr,invasion
papa,0.05596715179417988,fr,invasion
vraiment,0.05540039582664388,fr,invasion
pouvoir,0.055117017842875884,fr,invasion
venir,0.054975328850991885,fr,invasion
besoin,0.05284999397273189,fr,invasion
croire,0.05214154901331189,fr,invasion
Monsieur,0.05025353211414702,fr,invasion
sr,0.0493077691756319,fr,invasion
t,0.0483159462324439,fr,invasion
rose,0.04798724265042625,fr,invasion
femme,0.0474658122811399,fr,invasion
passer,0.0474658122811399,fr,invasion
salut,0.04505709941911191,fr,invasion
szura,0.04504042714079145,fr,invasion
nuit,0.04491541042722791,fr,invasion
healy,0.04452218430020959,fr,invasion
shrif,0.043493122126720976,fr,invasion
derek,0.04170065209325758,fr,invasion
arriv,0.04094811865447592,fr,invasion
arriver,0.04094811865447592,fr,invasion
dsol,0.04052305167882392,fr,invasion
beaucoup,0.039672917727519914,fr,invasion
avoir,0.039672917727519914,fr,invasion
penser,0.039247850751867916,fr,invasion
chrie,0.03896447276809992,fr,invasion
ronanasplit,0.03850230062035399,fr,invasion
temps,0.03839771680056392,fr,invasion
trouver,0.03783096083302792,fr,invasion
pre,0.03768927184114392,fr,invasion
dire,0.03726420486549192,fr,invasion
petit,0.036555759906071926,fr,invasion
maison,0.036414070914187927,fr,invasion
varon,0.03612646223237774,fr,invasion
l,0.03570562595476793,fr,invasion
monde,0.035138869987231924,fr,invasion
apr,0.034713803011579926,fr,invasion
s,0.03443042502781193,fr,invasion
appeler,0.03443042502781193,fr,invasion
hybride,0.033881974876949286,fr,invasion
mr,0.03358029107650793,fr,invasion
russel,0.03301230542999878,fr,invasion
paxton,0.0323408794089836,fr,invasion
jes,0.03230997380849467,fr,invasion
quelqu,0.032021712165783936,fr,invasion
dieu,0.031880023173899937,fr,invasion
mec,0.031421895826584084,fr,invasion
hpital,0.03103389612736715,fr,invasion
jamais,0.031029889222595936,fr,invasion
air,0.030746511238827937,fr,invasion
famille,0.030604822246943938,fr,invasion
sortir,0.03046313325505994,fr,invasion
trouv,0.029896377287523937,fr,invasion
tai,0.029709945707297927,fr,invasion
m,0.02918793232810394,fr,invasion
sai,0.02918793232810394,fr,invasion
veux,0.028479487368683942,fr,invasion
ecoute,0.02834954813675597,fr,invasion
fille,0.028337798376799943,fr,invasion
partir,0.026637530474191946,fr,invasion
woh,0.02650179258946395,fr,invasion
christina,0.02552240713602493,fr,invasion
euh,0.025258004773105972,fr,invasion
appel,0.02493726257158395,fr,invasion
aimer,0.02479557357969995,fr,invasion
ville,0.024478797877951267,fr,invasion
soir,0.0242821671646185,fr,invasion
mari,0.0242821671646185,fr,invasion
perdre,0.02422881761216395,fr,invasion
accord,0.02422881761216395,fr,invasion
parl,0.02394543962839595,fr,invasion
attendre,0.02352037265274395,fr,invasion
histoire,0.02352037265274395,fr,invasion
lumire,0.02345578139167544,fr,invasion
mourir,0.02337868366085995,fr,invasion
peur,0.02337868366085995,fr,invasion
alligator,0.023376976916897257,fr,invasion
christiner,0.022832478183092246,fr,invasion
problme,0.022811927693323953,fr,invasion
fois,0.022386860717671955,fr,invasion
alien,0.022310729492604084,fr,invasion
rester,0.022282459280473444,fr,invasion
mieux,0.022245171725787955,fr,invasion
militaire,0.022111073216588877,fr,invasion
oh,0.02203856391653609,fr,invasion
pria,0.021988651196051905,fr,invasion
rentrer,0.021678415758251954,fr,invasion
invasion,0.021656001354364875,fr,invasion
homme,0.021395037774483955,fr,invasion
donner,0.021139769060961988,fr,invasion
sang,0.021111659790715956,fr,invasion
matin,0.02099693278352306,fr,invasion
gars,0.020734981731911663,fr,invasion
endroit,0.020711260228645192,fr,invasion
vie,0.020544903823179958,fr,invasion
chercher,0.020544903823179958,fr,invasion
pass,0.02026152583941196,fr,invasion
lewi,0.020194426922869137,fr,invasion
tr,0.02011983684752796,fr,invasion
voil,0.02011983684752796,fr,invasion
aider,0.019836458863759957,fr,invasion
jour,0.019836458863759957,fr,invasion
ez,0.019762408087024112,fr,invasion
plat,0.019711406286572666,fr,invasion
voiture,0.019481839554168334,fr,invasion
comprendre,0.01941139188810796,fr,invasion
entendre,0.01912801390433996,fr,invasion
ami,0.01898632491245596,fr,invasion
moment,0.01870294692868796,fr,invasion
mettre,0.018561257936803962,fr,invasion
arrter,0.018419568944919962,fr,invasion
attend,0.018140207234744406,fr,invasion
minute,0.018140207234744406,fr,invasion
type,0.017999198705332845,fr,invasion
dav,0.01792741896226415,fr,invasion
route,0.017855123158035044,fr,invasion
nouveau,0.017852812977383965,fr,invasion
raison,0.017569434993615962,fr,invasion
truc,0.017568862124988677,fr,invasion
vien,0.017427746001731963,fr,invasion
hein,0.017286057009847963,fr,invasion
trop,0.017144368017963964,fr,invasion
all,0.01714035329267188,fr,invasion
largo,0.017123917038542148,fr,invasion
revenir,0.016860990034195965,fr,invasion
sentir,0.016860990034195965,fr,invasion
homestead,0.01670564538157,fr,invasion
essayer,0.016577612050427966,fr,invasion
laisse,0.016577612050427966,fr,invasion
bb,0.016548137379387203,fr,invasion
babouin,0.016447822609619054,fr,invasion
grove,0.015987809495338776,fr,invasion
raceman,0.015965167943351594,fr,invasion
aide,0.01586916709100797,fr,invasion
grand,0.015727478099123966,fr,invasion
plutt,0.015711990518282558,fr,invasion
fils,0.015585789107239968,fr,invasion
travailler,0.015444100115355968,fr,invasion
corps,0.015426317963404693,fr,invasion
être,0.015302411123471969,fr,invasion
tlphone,0.015113842550407484,fr,invasion
regarder,0.014877344147819969,fr,invasion
avion,0.014779422235524073,fr,invasion
tempte,0.014765389654560401,fr,invasion
pr,0.01473565515593597,fr,invasion
rescap,0.014600608781324315,fr,invasion
aujourd,0.01445227717216797,fr,invasion
part,0.01445227717216797,fr,invasion
calmar,0.014310967998310534,fr,invasion
bonjour,0.01431058818028397,fr,invasion
donn,0.01431058818028397,fr,invasion
confiance,0.014168899188399971,fr,invasion
tuer,0.014168899188399971,fr,invasion
force,0.014140791466454302,fr,invasion
mal,0.01402721019651597,fr,invasion
an,0.01388552120463197,fr,invasion
pense,0.013743832212747971,fr,invasion
mort,0.013743832212747971,fr,invasion
bureau,0.013719419304564882,fr,invasion
partie,0.013602143220863972,fr,invasion
squelette,0.013597954338787247,fr,invasion
fait,0.013460454228979972,fr,invasion
poisson,0.01344077117146355,fr,invasion
tard,0.01328377380182071,fr,invasion
parler,0.013177076245211973,fr,invasion
connaître,0.013177076245211973,fr,invasion
kira,0.013125864228376426,fr,invasion
enceint,0.013113280255489072,fr,invasion
intrieur,0.013064318983726739,fr,invasion
test,0.012938320925287366,fr,invasion
demander,0.012893698261443973,fr,invasion
arme,0.012893698261443973,fr,invasion
radio,0.012843932236106774,fr,invasion
taient,0.012752009269559973,fr,invasion
courant,0.01271242869206498,fr,invasion
munger,0.012711162637318092,fr,invasion
vrit,0.012628841684269181,fr,invasion
devenir,0.012610320277675974,fr,invasion
vrai,0.012610320277675974,fr,invasion
camion,0.012559370669455637,fr,invasion
jess,0.012519010859366577,fr,invasion
porte,0.012468631285791974,fr,invasion
point,0.012326942293907975,fr,invasion
adaptation,0.012126665382347909,fr,invasion
forom,0.011911407903323885,fr,invasion
presque,0.011901875318255975,fr,invasion
important,0.011901875318255975,fr,invasion
propos,0.011901875318255975,fr,invasion
question,0.011760186326371975,fr,invasion
semaine,0.011618497334487976,fr,invasion
crash,0.011600883906429228,fr,invasion
faon,0.011476808342603976,fr,invasion
arrte,0.011476808342603976,fr,invasion
aime,0.011335119350719977,fr,invasion
diffrent,0.011322409785896506,fr,invasion
fou,0.011284065917675655,fr,invasion
laisser,0.011193430358835977,fr,invasion
nom,0.011193430358835977,fr,invasion
cas,0.011193430358835977,fr,invasion
emmener,0.011032091586258137,fr,invasion
clairire,0.011001831396018093,fr,invasion
mto,0.010987736116224245,fr,invasion
parc,0.010965909436881041,fr,invasion
scanlon,0.010845147457743362,fr,invasion
chef,0.010799469652037326,fr,invasion
gros,0.010768363383183977,fr,invasion
heu,0.010758824947136241,fr,invasion
demain,0.010712720807919926,fr,invasion
carliter,0.010704136957741552,fr,invasion
biscayn,0.010680202009510927,fr,invasion
ide,0.010626674391299978,fr,invasion
groupe,0.010596614286800577,fr,invasion
personne,0.010569884530480994,fr,invasion
inquite,0.010536116315316788,fr,invasion
agent,0.010444979791729734,fr,invasion
hier,0.010427048253042063,fr,invasion
camp,0.01041014327321972,fr,invasion
fort,0.010343296407531979,fr,invasion
tir,0.010261426940745152,fr,invasion
cuba,0.01022346076169334,fr,invasion
crature,0.010204188032658195,fr,invasion
ca,0.010204188032658195,fr,invasion
sre,0.01016113698734302,fr,invasion
base,0.01016113698734302,fr,invasion
asseoir,0.010141375698164198,fr,invasion
comprend,0.01005991842376398,fr,invasion
secret,0.010015977887523833,fr,invasion
dsole,0.009998539420725264,fr,invasion
cole,0.009950776520021411,fr,invasion
supposer,0.009935512079874339,fr,invasion
demand,0.009918229431879979,fr,invasion
donne,0.009918229431879979,fr,invasion
montrer,0.009918229431879979,fr,invasion
bote,0.009830569215745632,fr,invasion
quipe,0.00981527794332145,fr,invasion
disparaître,0.009725659687885461,fr,invasion
super,0.009725659687885461,fr,invasion
ntsb,0.009698289273307912,fr,invasion
terrestre,0.009651476918745072,fr,invasion
merde,0.009647526222486677,fr,invasion
prend,0.00963485144811198,fr,invasion
allez,0.00963485144811198,fr,invasion
transcript,0.009594990416643372,fr,invasion
simplement,0.009570030588408468,fr,invasion
devrai,0.009503533293792846,fr,invasion
crique,0.00950013958406708,fr,invasion
garder,0.00949316245622798,fr,invasion
