mot,poids_tfidf,langue,serie
c,0.43968773062281374,fr,jekyll
hyde,0.38990887036590904,fr,jekyll
n,0.25694251758270675,fr,jekyll
jekyll,0.244780421361812,fr,jekyll
jackman,0.23895205576335637,fr,jekyll
savoir,0.1937374063056773,fr,jekyll
j,0.18549326135649954,fr,jekyll
bien,0.16350887482535886,fr,jekyll
vouloir,0.15801277819257367,fr,jekyll
dr,0.12613964248806725,fr,jekyll
non,0.12503619839586266,fr,jekyll
mme,0.11679205344668489,fr,jekyll
syme,0.10567209761056275,fr,jekyll
oui,0.10442583602291826,fr,jekyll
tom,0.103094540450632,fr,jekyll
bon,0.10305181186472197,fr,jekyll
voir,0.09892973939013308,fr,jekyll
croire,0.09892973939013308,fr,jekyll
faire,0.09205961859915163,fr,jekyll
aller,0.08931157028275903,fr,jekyll
avoir,0.08656352196636645,fr,jekyll
enfant,0.0769453528589924,fr,jekyll
mari,0.07618324563684484,fr,jekyll
jamais,0.07419730454259982,fr,jekyll
papa,0.07282328038440353,fr,jekyll
taire,0.07007523206801093,fr,jekyll
devoir,0.06595315959342206,fr,jekyll
prendre,0.06320511127702948,fr,jekyll
ici,0.0577090146442443,fr,jekyll
sym,0.0563584520589668,fr,jekyll
mourir,0.05633499048604801,fr,jekyll
passer,0.05358694216965542,fr,jekyll
clair,0.05263569698545643,fr,jekyll
pouvoir,0.05221291801145913,fr,jekyll
fois,0.05083889385326284,fr,jekyll
eddie,0.05077927447269174,fr,jekyll
partir,0.04946486969506654,fr,jekyll
falloir,0.04946486969506654,fr,jekyll
tre,0.04946486969506654,fr,jekyll
appleyard,0.04931364555159595,fr,jekyll
homme,0.04809084553687025,fr,jekyll
potion,0.04786149174260282,fr,jekyll
lion,0.04749211368219756,fr,jekyll
reimer,0.04541381357467192,fr,jekyll
femme,0.04534279722047767,fr,jekyll
chose,0.04534279722047767,fr,jekyll
venir,0.04396877306228137,fr,jekyll
dire,0.04396877306228137,fr,jekyll
billy,0.04298018017411265,fr,jekyll
famille,0.04259474890408508,fr,jekyll
tuer,0.04259474890408508,fr,jekyll
hardcastle,0.0422688390442251,fr,jekyll
arriver,0.03984670058769249,fr,jekyll
bote,0.03872846620604071,fr,jekyll
peur,0.0384726764294962,fr,jekyll
petit,0.0384726764294962,fr,jekyll
temps,0.03709865227129991,fr,jekyll
tte,0.03709865227129991,fr,jekyll
ami,0.03709865227129991,fr,jekyll
besoin,0.03709865227129991,fr,jekyll
minute,0.036013897937417556,fr,jekyll
appeler,0.03572462811310361,fr,jekyll
dieu,0.03572462811310361,fr,jekyll
callendar,0.03522403253685425,fr,jekyll
utterson,0.03522403253685425,fr,jekyll
laisse,0.03435060395490732,fr,jekyll
vraiment,0.03435060395490732,fr,jekyll
fait,0.03435060395490732,fr,jekyll
sr,0.03435060395490732,fr,jekyll
soir,0.03324359809607775,fr,jekyll
peter,0.03321429356108112,fr,jekyll
nathbot,0.033211720093497286,fr,jekyll
sortir,0.03297657979671103,fr,jekyll
mettre,0.03297657979671103,fr,jekyll
vie,0.03297657979671103,fr,jekyll
benjamin,0.03213700522109412,fr,jekyll
klein,0.03051168079234568,fr,jekyll
heure,0.030228531480318444,fr,jekyll
mal,0.030228531480318444,fr,jekyll
question,0.030228531480318444,fr,jekyll
entendre,0.030228531480318444,fr,jekyll
katherine,0.02993396756506168,fr,jekyll
gilligan,0.029869006970419547,fr,jekyll
surhomme,0.029000399607416315,fr,jekyll
dsol,0.02885450732212215,fr,jekyll
alice,0.028841926979447145,fr,jekyll
