mot,poids_tfidf,langue,serie
s,0.505913225651684,en,life
know,0.34766918126448537,en,life
t,0.23905504242401088,en,life
go,0.21255111380743577,en,life
want,0.1990393070617308,en,life
think,0.1746141179444949,en,life
get,0.17253537844515568,en,life
come,0.12992121870870157,en,life
look,0.12888184895903196,en,life
tell,0.12836216408419715,en,life
right,0.12680310945969273,en,life
detective,0.1197481311945722,en,life
say,0.11692909683783141,en,life
crew,0.116234624488914,en,life
kill,0.11069287833981374,en,life
m,0.10965350859014412,en,life
find,0.10497634471663086,en,life
need,0.09354327747026513,en,life
rayborn,0.0853973884574891,en,life
talk,0.083149579973569,en,life
work,0.0828897375361516,en,life
time,0.07899210097489055,en,life
reese,0.07378069631940982,en,life
ask,0.07145667028978586,en,life
hazlit,0.07071971231635817,en,life
let,0.06833856104077703,en,life
good,0.06755903372852481,en,life
see,0.06703934885369,en,life
maybe,0.0667795064162726,en,life
guy,0.06653010226819973,en,life
thing,0.06496060935435079,en,life
d,0.06340155472984636,en,life
hawe,0.06271370714846855,en,life
mean,0.06132281523050714,en,life
man,0.06132281523050714,en,life
charlie,0.06084911188039336,en,life
year,0.060803130355672336,en,life
take,0.060803130355672336,en,life
roman,0.0594992901118523,en,life
dead,0.058984233293750514,en,life
leave,0.056125966482159076,en,life
people,0.05560628160732427,en,life
cop,0.05501398080130516,en,life
gun,0.0547974542233832,en,life
money,0.05456691185765466,en,life
car,0.05349709668306103,en,life
happen,0.0501495904215588,en,life
lot,0.045732268985462954,en,life
sure,0.045732268985462954,en,life
shoot,0.04547242654804555,en,life
way,0.04313384461128892,en,life
guess,0.042874002173871516,en,life
girl,0.04235431729903671,en,life
like,0.0415747899867845,en,life
partner,0.040296461602707424,en,life
help,0.03923620805002787,en,life
bethany,0.039009318201356974,en,life
kid,0.038858587640432395,en,life
call,0.03845668073777567,en,life
hear,0.03819683830035826,en,life
life,0.037677153425523455,en,life
ame,0.037356200951562495,en,life
dani,0.03732608882210227,en,life
kind,0.03663778367585384,en,life
house,0.03663778367585384,en,life
night,0.03611809880101904,en,life
wife,0.03585825636360163,en,life
lapd,0.03568514818589699,en,life
love,0.035338571488766825,en,life
kendall,0.03521959317894566,en,life
woman,0.03481888661393202,en,life
live,0.03455904417651462,en,life
away,0.03455904417651462,en,life
friend,0.034299201739097215,en,life
day,0.0332598319894276,en,life
die,0.032999989552010195,en,life
wasn,0.032999989552010195,en,life
prison,0.03261166924767461,en,life
nevikov,0.03202402067155841,en,life
bad,0.031960619802340585,en,life
murder,0.03191306742890677,en,life
te,0.031641425154033766,en,life
little,0.031181092490088377,en,life
home,0.030921250052670973,en,life
phone,0.0305854410817957,en,life
tucker,0.0298338791280753,en,life
question,0.029622037865583956,en,life
auerbach,0.02949545166407354,en,life
okay,0.029087978315601424,en,life
stop,0.027803140803662134,en,life
long,0.027803140803662134,en,life
remember,0.02728345592882733,en,life
job,0.02728345592882733,en,life
try,0.026763771053992524,en,life
father,0.026667387068542138,en,life
wanna,0.026403353533210036,en,life
sfile,0.02605379461350774,en,life
thank,0.02572440130432291,en,life
feel,0.025464558866905507,en,life
dad,0.025347219391881635,en,life
rawl,0.02521358848238754,en,life
run,0.0249448739920707,en,life
len,0.02486112475567417,en,life
close,0.0246850315546533,en,life
destro,0.024579543053394617,en,life
ydy,0.024477491719418498,en,life
real,0.024425189117235895,en,life
lie,0.024425189117235895,en,life
pay,0.024359446893474707,en,life
husband,0.02409751735698573,en,life
seybolt,0.024018015503668808,en,life
nate,0.02394202134111368,en,life
big,0.023835587820496756,en,life
understand,0.023645661804983686,en,life
door,0.023645661804983686,en,life
lena,0.023175575674637534,en,life
pretty,0.023049799211029832,en,life
new,0.022866134492731477,en,life
give,0.02234644961789667,en,life
bring,0.02234644961789667,en,life
pavel,0.02202623009546471,en,life
win,0.021826764743061864,en,life
business,0.021740151528584953,en,life
write,0.02173176076864431,en,life
tidwell,0.021349347114372277,en,life
farthingale,0.021349347114372277,en,life
bodner,0.021349347114372277,en,life
place,0.021307079868227056,en,life
send,0.021216292455607005,en,life
hand,0.021047237430809655,en,life
zak,0.020828616572407102,en,life
tin,0.020819393106138576,en,life
dunlop,0.02077605255172626,en,life
jude,0.02071760396306181,en,life
com,0.020446811277381793,en,life
killer,0.02031077646127103,en,life
amir,0.020176264228163387,en,life
body,0.0201685743096511,en,life
blood,0.0201685743096511,en,life
breem,0.020015012919724007,en,life
slocum,0.020015012919724007,en,life
believe,0.020007867681140042,en,life
turn,0.020007867681140042,en,life
case,0.020007867681140042,en,life
drug,0.019946042273555262,en,life
break,0.019906644773162126,en,life
son,0.019906644773162126,en,life
wait,0.019748025243722638,en,life
stay,0.019748025243722638,en,life
number,0.01964471523667315,en,life
make,0.019488182806305234,en,life
hay,0.019436499147365817,en,life
police,0.019391985543734284,en,life
hold,0.019382785700184178,en,life
family,0.019228340368887833,en,life
nice,0.01896849793147043,en,life
head,0.01896849793147043,en,life
toma,0.01887022115610995,en,life
room,0.018708655494053025,en,life
stylman,0.01868067872507574,en,life
drink,0.01859699709071725,en,life
use,0.01844881305663562,en,life
person,0.01818897061921822,en,life
stuff,0.0180731380177393,en,life
http,0.017975551470938125,en,life
old,0.017929128181800816,en,life
tyler,0.017860566784065886,en,life
alexa,0.017827365903567337,en,life
meet,0.01740944330696601,en,life
brandee,0.017346344530427472,en,life
olivia,0.017189143526953415,en,life
hour,0.017149600869548608,en,life
check,0.017149600869548608,en,life
cause,0.017149600869548608,en,life
zen,0.017028031403119863,en,life
death,0.0170254198717834,en,life
exactly,0.016889758432131204,en,life
sorry,0.016889758432131204,en,life
month,0.016889758432131204,en,life
sean,0.016605044784318356,en,life
start,0.0163700735572964,en,life
patrick,0.016121558746302563,en,life
ago,0.016110231119878995,en,life
care,0.016110231119878995,en,life
well,0.016110231119878995,en,life
dog,0.01609760056936616,en,life
chemxtech,0.016012010335779207,en,life
seever,0.0159767029847065,en,life
mitch,0.015961347560742453,en,life
officer,0.015891562322194477,en,life
steal,0.015453842652849544,en,life
jail,0.015407494369506981,en,life
walk,0.015330703807626784,en,life
crime,0.015324006524973247,en,life
name,0.015313945049261821,en,life
suppose,0.015070861370209382,en,life
didn,0.014929983579871594,en,life
dean,0.014868439636362944,en,life
end,0.014811018932791978,en,life
file,0.014800715647051642,en,life
tate,0.01459398388735579,en,life
drive,0.014551176495374575,en,life
bullet,0.014535372046704699,en,life
anna,0.014453811289788504,en,life
miss,0.014291334057957173,en,life
open,0.014291334057957173,en,life
record,0.014257810907933419,en,life
office,0.014257810907933419,en,life
arrest,0.014128446610434978,en,life
proudly,0.014051173865138402,en,life
world,0.014031491620539769,en,life
hit,0.014031491620539769,en,life
happy,0.014031491620539769,en,life
victim,0.013953957164836512,en,life
cut,0.013882265433915693,en,life
party,0.013840044913030715,en,life
l,0.013773771695929355,en,life
problem,0.013771649183122367,en,life
play,0.013771649183122367,en,life
earley,0.01351874867936704,en,life
farthing,0.01351874867936704,en,life
week,0.013511806745704963,en,life
have,0.013511806745704963,en,life
actually,0.013511806745704963,en,life
mother,0.013511806745704963,en,life
true,0.013511806745704963,en,life
eval,0.013498119611849994,en,life
company,0.013307735493298764,en,life
lock,0.013307735493298764,en,life
watch,0.01325196430828756,en,life
pull,0.013096476824448767,en,life
picture,0.013096476824448767,en,life
computer,0.013053783336088321,en,life
sit,0.012992121870870156,en,life
lab,0.012920602631238343,en,life
raft,0.01289185764521506,en,life
security,0.012813335067159258,en,life
fruit,0.012744388681221163,en,life
coroner,0.01273792742456568,en,life
list,0.012711137026767948,en,life
marry,0.012711137026767948,en,life
crete,0.012696476559388272,en,life
flint,0.01266350915539935,en,life
sync,0.012583805500224308,en,life
child,0.012572617751470816,en,life
clean,0.01247243699603535,en,life
eat,0.01247243699603535,en,life
plane,0.012408143119787987,en,life
knife,0.012400210994211394,en,life
flower,0.012386374788476076,en,life
suspect,0.012300892786403582,en,life
school,0.012243116653834865,en,life
word,0.012212594558617947,en,life
probably,0.012212594558617947,en,life
grant,0.012210901143964675,en,life
lead,0.012145542625276616,en,life
course,0.012048758678492866,en,life
face,0.012048758678492866,en,life
hard,0.011952752121200545,en,life
wrong,0.011952752121200545,en,life
kyle,0.011950793906680551,en,life
pigeon,0.01194839775138918,en,life
alibi,0.011935041913116153,en,life
hate,0.01178682914200389,en,life
photo,0.011628297637363758,en,life
daughter,0.011444652524236938,en,life
deputy,0.011384906563672269,en,life
dale,0.011384879869496977,en,life
law,0.011358888406899017,en,life
date,0.011353442019280315,en,life
sell,0.01126297006902594,en,life
present,0.01126297006902594,en,life
lose,0.011173224808948334,en,life
speak,0.011173224808948334,en,life
ted,0.011118316376760388,en,life
glenn,0.011116098503876464,en,life
elsa,0.011096945325489863,en,life
light,0.011089408483948215,en,life
bar,0.011081134596419592,en,life
client,0.011074802255347151,en,life
roof,0.011046882755495572,en,life
spend,0.011001040532536964,en,life
cash,0.010992677062523092,en,life
mickey,0.010989992603926673,en,life
mitchell,0.010954540400552316,en,life
jack,0.010930983224575131,en,life
stand,0.010913382371530932,en,life
different,0.010913382371530932,en,life
listen,0.010913382371530932,en,life
sleep,0.010913382371530932,en,life
buy,0.010913382371530932,en,life
box,0.010817988958951447,en,life
homicide,0.010813410644627595,en,life
moment,0.010739110996047989,en,life
throw,0.010739110996047989,en,life
lwa,0.010674673557186138,en,life
mind,0.010653539934113528,en,life
idea,0.010653539934113528,en,life
hell,0.010653539934113528,en,life
fight,0.010653539934113528,en,life
today,0.010653539934113528,en,life
sim,0.010576509918426279,en,life
book,0.010561341413284013,en,life
anymore,0.010561341413284013,en,life
lawyer,0.010499782248592781,en,life
hurt,0.010477181459559014,en,life
store,0.010443043209396936,en,life
station,0.010443043209396936,en,life
fall,0.010393697496696126,en,life
catch,0.010393697496696126,en,life
connect,0.010298421867686718,en,life
search,0.01016822628283386,en,life
morning,0.010133855059278721,en,life
derivative,0.010126859631615102,en,life
mom,0.010006639787030086,en,life
minute,0.009953322386581063,en,life
mention,0.009953322386581063,en,life
secret,0.009926853684442464,en,life
draw,0.009847724265041085,en,life
carin,0.009831817221357847,en,life
gus,0.009822367729687665,en,life
marty,0.009794950108571565,en,life
cover,0.009769240807287713,en,life
usually,0.009736190063056302,en,life
trouble,0.009691392850092089,en,life
keep,0.009691392850092089,en,life
deal,0.009691392850092089,en,life
warrant,0.009665648576666512,en,life
animal,0.009648448552760933,en,life
boy,0.009614170184443917,en,life
afraid,0.009614170184443917,en,life
wear,0.00958156955517511,en,life
constance,0.009528084431894112,en,life
stephanie,0.009460017446177702,en,life
plan,0.009429463313603113,en,life
relationship,0.009418964406956653,en,life
jasper,0.009403512515071167,en,life
angel,0.009380371162228653,en,life
great,0.009354327747026513,en,life
pick,0.009354327747026513,en,life
vada,0.00934033936253787,en,life
lamomam,0.00934033936253787,en,life
captain,0.009307564420144843,en,life
charge,0.009241173736623512,en,life
report,0.009241173736623512,en,life
ride,0.009195290615108728,en,life
doesn,0.009167533777114137,en,life
alive,0.009167533777114137,en,life
address,0.009121973655974157,en,life
gale,0.009115745743747196,en,life
change,0.00909448530960911,en,life
save,0.00909448530960911,en,life
fire,0.00909448530960911,en,life
maude,0.009079318902673524,en,life
cell,0.00904926013544316,en,life
mall,0.00902926208961654,en,life
ahead,0.008977140201291412,en,life
set,0.008977140201291412,en,life
mayor,0.008950103633550494,en,life
guard,0.008936281145389672,en,life
space,0.008936281145389672,en,life
scene,0.008936281145389672,en,life
print,0.008934805715096104,en,life
norris,0.00891854570893965,en,life
camera,0.008864907677135672,en,life
handle,0.008853680313151386,en,life
answer,0.008834642872191706,en,life
shot,0.008783105425577184,en,life
russian,0.008718731149755998,en,life
manny,0.008710066991645171,en,life
liza,0.008687590468983368,en,life
griffith,0.008687590468983368,en,life
erika,0.008687590468983368,en,life
felix,0.008680165398527232,en,life
show,0.008643674704136187,en,life
story,0.008643674704136187,en,life
robard,0.008602840068688116,en,life
bustamante,0.008602840068688116,en,life
doctor,0.008585386970328618,en,life
test,0.008585386970328618,en,life
truth,0.008574800434774304,en,life
line,0.008574800434774304,en,life
small,0.008574800434774304,en,life
sound,0.008574800434774304,en,life
sister,0.00851695071571121,en,life
sheriff,0.00851586294856873,en,life
bank,0.008498710195360666,en,life
rat,0.008498710195360666,en,life
sex,0.008430515787088725,en,life
figure,0.008381745167647212,en,life
wish,0.008381745167647212,en,life
wouldn,0.008381745167647212,en,life
chip,0.008339152000756364,en,life
grow,0.008317093627505849,en,life
brother,0.0083149579973569,en,life
buddha,0.008313199590342676,en,life
ellis,0.008263799928151676,en,life
diamond,0.008211340146352162,en,life
killing,0.008196735097694679,en,life
bag,0.008185039595295112,en,life
agent,0.008129655007264832,en,life
free,0.008119815631158236,en,life
sand,0.008080357137507266,en,life
leann,0.008079575992337992,en,life
read,0.008055115559939497,en,life
aren,0.008055115559939497,en,life
step,0.008055115559939497,en,life
service,0.00804880028468308,en,life
settlement,0.008043856427371723,en,life
pember,0.008006005167889603,en,life
natasha,0.008006005167889603,en,life
tiffie,0.008006005167889603,en,life
badge,0.007947666631720616,en,life
wagner,0.00794007035991176,en,life
dress,0.007906100360587627,en,life
boss,0.007906100360587627,en,life
drunk,0.007882238501757503,en,life
touch,0.00785788609466926,en,life
building,0.007843041995239799,en,life
food,0.007795273122522094,en,life
easy,0.007795273122522094,en,life
reason,0.007795273122522094,en,life
card,0.007756794217493713,en,life
sir,0.007718486586113284,en,life
mark,0.007694873943766164,en,life
bird,0.00768123145510685,en,life
cry,0.007633476210222536,en,life
voice,0.007633476210222536,en,life
fly,0.007633476210222536,en,life
club,0.007633476210222536,en,life
track,0.00751221359903754,en,life
pencil,0.0074589556392484465,en,life
benny,0.007458469782018825,en,life
kinda,0.007445671429246754,en,life
guilty,0.0074377491266626305,en,life
assault,0.007406994042714994,en,life
trunk,0.007406994042714994,en,life
band,0.007383201503564768,en,life
lottery,0.0073744118137362945,en,life
red,0.007360852059857445,en,life
erin,0.007346366519285853,en,life
errol,0.007342076698488236,en,life
key,0.007334027021691309,en,life
bed,0.007334027021691309,en,life
financial,0.007310205683389582,en,life
ready,0.007275588247687288,en,life
lucky,0.007243920256214772,en,life
scream,0.007202737487672734,en,life
personal,0.0071861771663813325,en,life
weapon,0.0071861771663813325,en,life
hot,0.0071861771663813325,en,life
witness,0.00714524009064001,en,life
stark,0.007134546162004528,en,life
tape,0.0070334153340915855,en,life
second,0.0070157458102698845,en,life
drop,0.0070157458102698845,en,life
gas,0.006976978582418256,en,life
annabelle,0.006950072375186694,en,life
frank,0.006943288662946295,en,life
match,0.006925709122762244,en,life
baby,0.006864871918634609,en,life
paper,0.006864871918634609,en,life
plastic,0.006840523124389328,en,life
caliber,0.006829040240966369,en,life
couple,0.0068101679487133585,en,life
build,0.0068101679487133585,en,life
move,0.006755903372852481,en,life
hope,0.006755903372852481,en,life
online,0.006729158214447901,en,life
driver,0.006686271141484161,en,life
connie,0.006678515017532594,en,life
born,0.006671670973241336,en,life
bankley,0.006671670973241336,en,life
paxman,0.006671670973241336,en,life
uncap,0.006671670973241336,en,life
huggen,0.006671670973241336,en,life
halliday,0.006671670973241336,en,life
umaga,0.006671670973241336,en,life
protect,0.006653867746649382,en,life
bamba,0.006577457864970663,en,life
wound,0.0065429796087621735,en,life
arthur,0.006510124048895424,en,life
vest,0.006500551917113443,en,life
excuse,0.006496060935435078,en,life
learn,0.006496060935435078,en,life
window,0.006490793375370867,en,life
debra,0.006486215061047017,en,life
wing,0.006460301315619171,en,life
