mot,poids_tfidf,langue,serie
s,0.5014153779015917,en,lost
go,0.299606397143461,en,lost
know,0.2923062815465301,en,lost
t,0.23800790107349049,en,lost
l,0.1918838466181624,en,lost
come,0.17785736181613432,en,lost
m,0.17351349137829114,en,lost
right,0.15921491785372405,en,lost
tell,0.15734464030409712,en,lost
want,0.15487104741588087,en,lost
sayid,0.15273755016975527,en,lost
get,0.1459419804047588,en,lost
think,0.137676560266085,en,lost
island,0.113944727102646,en,lost
need,0.10672648339645238,en,lost
let,0.10286526522948067,en,lost
look,0.09610813343728018,en,lost
good,0.08778238176474744,en,lost
say,0.08567077807968479,en,lost
sawyer,0.08250543058067682,en,lost
find,0.08036160310009868,en,lost
man,0.07692270567013951,en,lost
happen,0.07631939033155018,en,lost
time,0.07553508039138405,en,lost
desmond,0.07514072825955924,en,lost
locke,0.07477028202853571,en,lost
help,0.07456977584964113,en,lost
kate,0.07155530567774085,en,lost
claire,0.06823728565138125,en,lost
jack,0.06763456546605169,en,lost
leave,0.0675713179220049,en,lost
people,0.06654568184640304,en,lost
sorry,0.06473573583063505,en,lost
jin,0.06297855296310355,en,lost
talk,0.06135716993453481,en,lost
way,0.058581919377023894,en,lost
thing,0.057616614835280966,en,lost
mean,0.0574959517675631,en,lost
thank,0.0571339625644095,en,lost
kill,0.05514302194706471,en,lost
ask,0.053815728202168185,en,lost
wait,0.05079915150922154,en,lost
hell,0.04772224328241596,en,lost
sure,0.046575944139096236,en,lost
work,0.0465156126052373,en,lost
eko,0.04647187124840423,en,lost
hurley,0.04636293473454006,en,lost
try,0.044162682784738914,en,lost
hear,0.044162682784738914,en,lost
bring,0.04361969898000852,en,lost
take,0.04096511149021547,en,lost
see,0.040060138482331475,en,lost
okay,0.03994386859735176,en,lost
stop,0.03921549700830641,en,lost
dude,0.038961899781660606,en,lost
day,0.03873284473743495,en,lost
guy,0.038253343944420086,en,lost
dharma,0.03766621888800117,en,lost
d,0.03728488792482056,en,lost
wanna,0.03647626330552083,en,lost
die,0.0358972626460651,en,lost
maybe,0.03541461037519364,en,lost
charlie,0.03502804086594958,en,lost
plane,0.03409166230895303,en,lost
little,0.033544332825566715,en,lost
life,0.0320360444790934,en,lost
baby,0.031571891768644084,en,lost
friend,0.030648419200337937,en,lost
fine,0.0304080635488236,en,lost
gun,0.030067146952382398,en,lost
win,0.029984772327889674,en,lost
jungle,0.029856568818332922,en,lost
dead,0.02974344619245394,en,lost
stay,0.029622783124736075,en,lost
love,0.02950212005701821,en,lost
father,0.028874487423361874,en,lost
long,0.028114494778262753,en,lost
believe,0.027993831710544887,en,lost
suppose,0.027571510973532356,en,lost
oceanic,0.027067378082014718,en,lost
run,0.02660620643178943,en,lost
year,0.0261838856947769,en,lost
paulo,0.025783973917543033,en,lost
well,0.02576156495776437,en,lost
woman,0.025701233423905435,en,lost
boat,0.025514656613347612,en,lost
head,0.02521858115303397,en,lost
place,0.02497725501759824,en,lost
save,0.024916923483739306,en,lost
lose,0.024856591949880373,en,lost
beach,0.024699703954848936,en,lost
listen,0.024313608145149976,en,lost
son,0.02414400245776594,en,lost
start,0.023830955874278515,en,lost
away,0.023770624340419582,en,lost
boone,0.023490870102183842,en,lost
lie,0.02334830360340705,en,lost
widmore,0.023235935624202116,en,lost
home,0.02310697746797132,en,lost
turn,0.023046645934112386,en,lost
minute,0.022806047661617704,en,lost
hold,0.022562783153227114,en,lost
shoot,0.022382999061664122,en,lost
give,0.022262335993946256,en,lost
shephard,0.02216136745529449,en,lost
speak,0.02214167292622839,en,lost
feel,0.022021009858510524,en,lost
guess,0.02196067832465159,en,lost
care,0.0212366999183444,en,lost
night,0.020995373782908666,en,lost
understand,0.020935042249049733,en,lost
matter,0.020935042249049733,en,lost
trust,0.020373402577711815,en,lost
wrong,0.020331726910460403,en,lost
remember,0.020211063842742537,en,lost
live,0.020211063842742537,en,lost
course,0.02019095419641887,en,lost
bad,0.020150732308883604,en,lost
damn,0.019985314012772763,en,lost
question,0.01984907463958894,en,lost
brother,0.01966808003801214,en,lost
hand,0.019366422368717474,en,lost
water,0.01918835363803029,en,lost
hour,0.01900443316556388,en,lost
camp,0.01884624394294148,en,lost
open,0.018702775496269215,en,lost
hatch,0.018659107721791402,en,lost
crash,0.018562829079005857,en,lost
hume,0.018547759300909666,en,lost
ain,0.018332071616070027,en,lost
idea,0.018280454759256683,en,lost
wasn,0.01822012322539775,en,lost
rescue,0.017642686556826898,en,lost
nice,0.017496144819090554,en,lost
walt,0.01717495261542855,en,lost
juliet,0.01716640507467281,en,lost
cause,0.017134155615936956,en,lost
dad,0.01704269109064671,en,lost
hope,0.01701349254821909,en,lost
sun,0.016940078790912215,en,lost
meet,0.016892829480501224,en,lost
station,0.01678160568403104,en,lost
make,0.01665150334506549,en,lost
morning,0.01659117181120656,en,lost
tent,0.016589377764083008,en,lost
rousseau,0.016544531228853517,en,lost
door,0.01653084027734763,en,lost
walk,0.016470508743488696,en,lost
change,0.016410177209629763,en,lost
austen,0.0163413536218411,en,lost
safe,0.0163070353601152,en,lost
hurt,0.016298722062169452,en,lost
watch,0.016229182608052964,en,lost
pregnant,0.01617322495709466,en,lost
exactly,0.0159275249387583,en,lost
break,0.015873009172485922,en,lost
mile,0.015758853150323965,en,lost
like,0.015686198803322567,en,lost
mind,0.015686198803322567,en,lost
boar,0.01567030906283579,en,lost
naomi,0.015658972885385612,en,lost
mother,0.0155655357356047,en,lost
ready,0.015505204201745768,en,lost
excuse,0.015324209600168968,en,lost
week,0.01514321499859217,en,lost
great,0.014901888863156437,en,lost
hit,0.014901888863156437,en,lost
call,0.014720894261579638,en,lost
bloody,0.014656894315382715,en,lost
submarine,0.01463087009799041,en,lost
bernard,0.014421058576439695,en,lost
sydney,0.014253790579455852,en,lost
reason,0.014177910456849243,en,lost
kid,0.014027952882743428,en,lost
actually,0.013876252787554577,en,lost
promise,0.013842561434953866,en,lost
ago,0.013815921253695644,en,lost
move,0.013815921253695644,en,lost
