mot,poids_tfidf,langue,serie
c,0.5085947484874423,fr,medium
n,0.2731011898418618,fr,medium
savoir,0.27162790119705904,fr,medium
j,0.25247514881462296,fr,medium
bien,0.2098273196229637,fr,medium
vouloir,0.19866134252551107,fr,medium
taire,0.18842586351951285,fr,medium
non,0.16260454148165368,fr,medium
allison,0.16008691643479014,fr,medium
faire,0.14190095894679364,fr,medium
tre,0.12538461782347832,fr,medium
voir,0.12267066505673635,fr,medium
chose,0.1144512652488893,fr,medium
aller,0.11282289358884412,fr,medium
mme,0.1077826955934662,fr,medium
ariel,0.10396925978066146,fr,medium
devoir,0.08909519225675731,fr,medium
venir,0.08110841697177384,fr,medium
fille,0.08010037737269826,fr,medium
ici,0.07963512832697107,fr,medium
duboi,0.07942197015265186,fr,medium
bon,0.0783169226974107,fr,medium
pouvoir,0.07823938118978949,fr,medium
avoir,0.07622330199163832,fr,medium
oui,0.07451738882397195,fr,medium
croire,0.07265639264106319,fr,medium
vraiment,0.06854669273713966,fr,medium
femme,0.06815898519903366,fr,medium
passer,0.060792541975019786,fr,medium
appeler,0.060094668406429,fr,medium
devalos,0.05923729376893971,fr,medium
prendre,0.05800104770065663,fr,medium
heure,0.05505447041105108,fr,medium
homme,0.0540464308119755,fr,medium
scanlon,0.0537289604162019,fr,medium
dire,0.05319347422814231,fr,medium
jamais,0.05272822518241512,fr,medium
rv,0.048181298892642915,fr,medium
an,0.0480757347251432,fr,medium
procureur,0.047352846148950606,fr,medium
trouver,0.04730031964893121,fr,medium
quelqu,0.04722277814131001,fr,medium
penser,0.047067695126067614,fr,medium
apr,0.04699015361844641,fr,medium
ok,0.04643874967975286,fr,medium
voiture,0.04598384100395819,fr,medium
arriver,0.04373341029835607,fr,medium
sr,0.04303553672976528,fr,medium
jour,0.04295799522214408,fr,medium
nuit,0.0419499556230685,fr,medium
joe,0.04158810042127912,fr,medium
truc,0.04158610883540608,fr,medium
petit,0.04148470657734131,fr,medium
fois,0.041019457531614116,fr,medium
maison,0.040399125470644524,fr,medium
entendre,0.04016650094778093,fr,medium
aimer,0.04001141793253853,fr,medium
temps,0.039623710394432535,fr,medium
bridgette,0.03954153825601753,fr,medium
falloir,0.03939108587156894,fr,medium
vie,0.03915846134870535,fr,medium
besoin,0.03838304627249336,fr,medium
attendre,0.0361343425514786,fr,medium
accord,0.03551401049050901,fr,medium
appel,0.03504876144478181,fr,medium
mort,0.03504876144478181,fr,medium
papa,0.03411826335332743,fr,medium
trs,0.03404072184570623,fr,medium
dsol,0.03388563883046383,fr,medium
enfant,0.03380809732284264,fr,medium
mourir,0.03295514073900945,fr,medium
bridgett,0.032651516522403036,fr,medium
t,0.032644974708524656,fr,medium
ouai,0.0319351124508008,fr,medium
matin,0.031893106024146016,fr,medium
raison,0.031869559632312666,fr,medium
police,0.031834337236297014,fr,medium
travailler,0.03140431058658547,fr,medium
dsole,0.031033242871534236,fr,medium
pass,0.03062889551037349,fr,medium
phoenix,0.030553431555228973,fr,medium
argent,0.030318729479888694,fr,medium
mari,0.029938871586391972,fr,medium
mal,0.0298534804341615,fr,medium
mettre,0.0297759389265403,fr,medium
moment,0.02938823138843431,fr,medium
regarder,0.029078065357949514,fr,medium
affaire,0.029000523850328315,fr,medium
bureau,0.028983135014112902,fr,medium
monde,0.028922982342707116,fr,medium
rve,0.028634494060483653,fr,medium
soir,0.027984637148637928,fr,medium
dieu,0.02752723520552554,fr,medium
lydecker,0.02703446963951611,fr,medium
trouv,0.02690690314455595,fr,medium
aider,0.02636411259120756,fr,medium
question,0.026131488068343964,fr,medium
comprend,0.025898863545480367,fr,medium
l,0.02566623902261677,fr,medium
nom,0.025356072992131978,fr,medium
partir,0.02527853148451078,fr,medium
m,0.024968365454025983,fr,medium
demander,0.024813282438783585,fr,medium
cas,0.024580657915919988,fr,medium
sortir,0.024425574900677594,fr,medium
pre,0.024348033393056395,fr,medium
demain,0.024076168273129833,fr,medium
fait,0.023805242839708002,fr,medium
veux,0.023727701332086803,fr,medium
tte,0.023572618316844405,fr,medium
ami,0.023262452286359613,fr,medium
problme,0.023107369271117215,fr,medium
beaucoup,0.023107369271117215,fr,medium
minute,0.02282545823296725,fr,medium
mr,0.02271966173301122,fr,medium
simplement,0.022669119477946927,fr,medium
