mot,poids_tfidf,langue,serie
c,0.5278980518701906,fr,melroseplace
j,0.3048492353592722,fr,melroseplace
n,0.222097648849891,fr,melroseplace
vouloir,0.21448830756167203,fr,melroseplace
auggie,0.2023857234630483,fr,melroseplace
savoir,0.19451378668009725,fr,melroseplace
jonah,0.18217464988973442,fr,melroseplace
taire,0.16597875684927613,fr,melroseplace
bien,0.16169850237465297,fr,melroseplace
faire,0.1517112419338656,fr,melroseplace
ella,0.13505107854635798,fr,melroseplace
tre,0.13126113722177712,fr,melroseplace
vraiment,0.1060551942045518,fr,melroseplace
devoir,0.10129935589941495,fr,melroseplace
chose,0.09892143674684652,fr,melroseplace
bon,0.09749468525530547,fr,melroseplace
voir,0.09369001461119598,fr,melroseplace
aller,0.09369001461119598,fr,melroseplace
non,0.08845859247554545,fr,melroseplace
croire,0.07228874223808016,fr,melroseplace
jamais,0.07133757457705278,fr,melroseplace
besoin,0.0708619907465391,fr,melroseplace
coal,0.070713084101547,fr,melroseplace
venir,0.06943523925499805,fr,melroseplace
prendre,0.0675329039329433,fr,melroseplace
vie,0.06658173627191592,fr,melroseplace
ici,0.06467940094986119,fr,melroseplace
mme,0.06372823328883381,fr,melroseplace
mancini,0.06326197857473138,fr,melroseplace
syd,0.060226544269037306,fr,melroseplace
oui,0.05897239498369697,fr,melroseplace
t,0.058021227322669594,fr,melroseplace
soir,0.05657329846716549,fr,melroseplace
sydney,0.05507570884332252,fr,melroseplace
avoir,0.05374097284804643,fr,melroseplace
apr,0.052789805187019055,fr,melroseplace
petit,0.051363053695478,fr,melroseplace
temps,0.05041188603445063,fr,melroseplace
pouvoir,0.04898513454290958,fr,melroseplace
penser,0.04613163155982746,fr,melroseplace
ok,0.0457929180941129,fr,melroseplace
quelqu,0.045180463898800094,fr,melroseplace
mettre,0.04470488006828641,fr,melroseplace
nuit,0.04470488006828641,fr,melroseplace
wpk,0.0438908797871671,fr,melroseplace
m,0.04280254474623167,fr,melroseplace
yung,0.04266544166174448,fr,melroseplace
passer,0.042326960915717984,fr,melroseplace
dieu,0.042326960915717984,fr,melroseplace
lauren,0.04152218567889567,fr,melroseplace
fois,0.04090020942417693,fr,melroseplace
veux,0.04042462559366324,fr,melroseplace
ami,0.04042462559366324,fr,melroseplace
trop,0.039473457932635875,fr,melroseplace
