mot,poids_tfidf,langue,serie
s,0.5040945175029709,en,moonlight
know,0.315767071357198,en,moonlight
vampire,0.24967380472760206,en,moonlight
tierney,0.24493033457027313,en,moonlight
t,0.23741530178276624,en,moonlight
mick,0.22321756686017927,en,moonlight
coraline,0.2187764268060588,en,moonlight
go,0.18785544753387864,en,moonlight
think,0.16567151277485279,en,moonlight
m,0.1364075988374144,en,moonlight
get,0.13593560022552023,en,moonlight
buzzwire,0.12361336581801494,en,moonlight
look,0.1217756418686952,en,moonlight
right,0.1161116585259652,en,moonlight
want,0.11186367101891768,en,moonlight
come,0.104311693228611,en,moonlight
tell,0.0972317140501985,en,moonlight
blood,0.07707794529729503,en,moonlight
find,0.07504777929117262,en,moonlight
kill,0.07363178345549012,en,moonlight
time,0.07174378900791345,en,moonlight
haggan,0.07028995311220457,en,moonlight
guy,0.06613478022422227,en,moonlight
need,0.06607980566518344,en,moonlight
good,0.06560780705328928,en,moonlight
let,0.06277581538192427,en,moonlight
work,0.06135981954624177,en,moonlight
thing,0.0608878209343476,en,moonlight
say,0.058999826486770934,en,moonlight
mean,0.058999826486770934,en,moonlight
human,0.05801576748791139,en,moonlight
way,0.05758383065108843,en,moonlight
year,0.05569583620351176,en,moonlight
maybe,0.054279840367829256,en,moonlight
dominic,0.05419168550650307,en,moonlight
turn,0.05239184592025259,en,moonlight
vamp,0.05089259621144977,en,moonlight
thank,0.044839868129945906,en,moonlight
people,0.044839868129945906,en,moonlight
d,0.043895870906157576,en,moonlight
sure,0.04295187368236924,en,moonlight
man,0.04247987507047507,en,moonlight
try,0.04247987507047507,en,moonlight
feel,0.04153587784668673,en,moonlight
talk,0.041063879234792565,en,moonlight
love,0.0405918806228984,en,moonlight
happen,0.039647883399110066,en,moonlight
leave,0.03823188756342756,en,moonlight
see,0.03823188756342756,en,moonlight
josef,0.03795101281329591,en,moonlight
help,0.0377598889515334,en,moonlight
dead,0.03681589172774506,en,moonlight
little,0.036343893115850893,en,moonlight
friend,0.036343893115850893,en,moonlight
story,0.03568423393393288,en,moonlight
hear,0.035399895892062556,en,moonlight
shepherd,0.035306013555060654,en,moonlight
okay,0.035225155480708696,en,moonlight
night,0.034455898668274226,en,moonlight
long,0.034455898668274226,en,moonlight
take,0.034455898668274226,en,moonlight
lot,0.034455898668274226,en,moonlight
kind,0.03351190144448589,en,moonlight
stop,0.03256790422069755,en,moonlight
wait,0.032095905608803384,en,moonlight
murder,0.03144105834511867,en,moonlight
simone,0.03080606914779423,en,moonlight
sorry,0.029263913937438383,en,moonlight
girl,0.028791915325544214,en,moonlight
die,0.028791915325544214,en,moonlight
police,0.028683340891434223,en,moonlight
day,0.02784791810175588,en,moonlight
life,0.02784791810175588,en,moonlight
movie,0.02783575262121563,en,moonlight
live,0.027375919489861712,en,moonlight
new,0.026903920877967544,en,moonlight
stay,0.02643192226607338,en,moonlight
ask,0.02595992365417921,en,moonlight
wasn,0.02548792504228504,en,moonlight
call,0.025015926430390877,en,moonlight
maureen,0.02477247461503421,en,moonlight
meet,0.024543927818496708,en,moonlight
sire,0.024519065412476487,en,moonlight
moonlight,0.024275983422485287,en,moonlight
verdolino,0.024237914866277434,en,moonlight
wife,0.02407192920660254,en,moonlight
old,0.02407192920660254,en,moonlight
woman,0.022655933370920037,en,moonlight
office,0.022541747915461822,en,moonlight
logan,0.02238504171646405,en,moonlight
well,0.021711936147131704,en,moonlight
start,0.021711936147131704,en,moonlight
check,0.021711936147131704,en,moonlight
pay,0.02141054036035973,en,moonlight
dean,0.021279207136333363,en,moonlight
bad,0.021239937535237535,en,moonlight
actually,0.020767938923343367,en,moonlight
case,0.020767938923343367,en,moonlight
run,0.0202959403114492,en,moonlight
listen,0.0202959403114492,en,moonlight
