mot,poids_tfidf,langue,serie
c,0.46260192534077144,fr,mynameisearl
earl,0.3075577304792369,fr,mynameisearl
randy,0.3067713369033092,fr,mynameisearl
joy,0.29766619642906905,fr,mynameisearl
j,0.2848667548066637,fr,mynameisearl
taire,0.247177089014391,fr,mynameisearl
faire,0.16753830889852717,fr,mynameisearl
vouloir,0.15088773736700944,fr,mynameisearl
darnell,0.13675428195598827,fr,mynameisearl
bien,0.13668957559594783,fr,mynameisearl
savoir,0.13268827546046683,fr,mynameisearl
n,0.13165568187711688,fr,mynameisearl
devoir,0.09693472263697527,fr,mynameisearl
non,0.09590212905362533,fr,mynameisearl
tre,0.0924171257098193,fr,mynameisearl
aller,0.09073916113687565,fr,mynameisearl
hickey,0.0880488252692708,fr,mynameisearl
bon,0.08622156420971969,fr,mynameisearl
chose,0.08144581888672622,fr,mynameisearl
mme,0.0801550769075388,fr,mynameisearl
voir,0.0761537767720578,fr,mynameisearl
liste,0.07485336021434368,fr,mynameisearl
chubby,0.07191458962146766,fr,mynameisearl
t,0.06905469588652699,fr,mynameisearl
camden,0.06372731850012983,fr,mynameisearl
crab,0.05756457694034825,fr,mynameisearl
petit,0.05679264708424649,fr,mynameisearl
prendre,0.056276350292571525,fr,mynameisearl
croire,0.05498560831338411,fr,mynameisearl
karma,0.052622005568941775,fr,mynameisearl
jamais,0.05214597595917178,fr,mynameisearl
heure,0.05098430817790311,fr,mynameisearl
pouvoir,0.04982264039663443,fr,mynameisearl
aimer,0.04982264039663443,fr,mynameisearl
fois,0.049177269407040716,fr,mynameisearl
ici,0.04749930483409707,fr,mynameisearl
truc,0.04749355867473734,fr,mynameisearl
vie,0.046595785448665876,fr,mynameisearl
venir,0.046595785448665876,fr,mynameisearl
femme,0.04646671125074713,fr,mynameisearl
mettre,0.04607948865699091,fr,mynameisearl
oui,0.04491782087572223,fr,mynameisearl
falloir,0.041432817531916195,fr,mynameisearl
jour,0.04065837234440374,fr,mynameisearl
vraiment,0.03923855616729758,fr,mynameisearl
temps,0.03898040777146009,fr,mynameisearl
passer,0.038851333573541355,fr,mynameisearl
voiture,0.038339674978294866,fr,mynameisearl
monde,0.03743151739643519,fr,mynameisearl
apr,0.036527998011003995,fr,mynameisearl
dsol,0.03639892381308525,fr,mynameisearl
regarder,0.03614077541724777,fr,mynameisearl
arriver,0.03523725603181658,fr,mynameisearl
trouver,0.03497910763597909,fr,mynameisearl
avoir,0.03472095924014161,fr,mynameisearl
mal,0.03343021726095419,fr,mynameisearl
ouai,0.03332330988399622,fr,mynameisearl
trop,0.033172068865116706,fr,mynameisearl
besoin,0.032784846271360475,fr,mynameisearl
billie,0.0326033783572721,fr,mynameisearl
m,0.03226854947968551,fr,mynameisearl
mec,0.030774541273042553,fr,mynameisearl
dire,0.030590584906741863,fr,mynameisearl
argent,0.03020336231298564,fr,mynameisearl
tai,0.029016612560181988,fr,mynameisearl
enfant,0.028783546135879474,fr,mynameisearl
quelqu,0.028783546135879474,fr,mynameisearl
sortir,0.02852539774004199,fr,mynameisearl
grand,0.028396323542123247,fr,mynameisearl
appeler,0.028009100948367022,fr,mynameisearl
penser,0.02788002675044828,fr,mynameisearl
shack,0.0277318399858612,fr,mynameisearl
dieu,0.027621878354610795,fr,mynameisearl
aider,0.027105581562935827,fr,mynameisearl
rayer,0.026882775862473778,fr,mynameisearl
frre,0.026718358969179602,fr,mynameisearl
an,0.026460210573342118,fr,mynameisearl
ok,0.026222283601564835,fr,mynameisearl
ernie,0.025990258030635028,fr,mynameisearl
pre,0.025556691187910922,fr,mynameisearl
essayer,0.025556691187910922,fr,mynameisearl
ami,0.025427616989992182,fr,mynameisearl
devenir,0.024524097604560986,fr,mynameisearl
