mot,poids_tfidf,langue,serie
fuck,0.4769797277032427,en,oz
s,0.37244763995333674,en,oz
t,0.21621960306015858,en,oz
beecher,0.21618699366900093,en,oz
know,0.21122030587957688,en,oz
go,0.18122452279608667,en,oz
adebisi,0.17328750990034167,en,oz
shit,0.17045026466041027,en,oz
schillinger,0.1604513980558719,en,oz
fucking,0.15144980671143182,en,oz
wittlesey,0.14761528621140216,en,oz
get,0.14622944253201478,en,oz
mcmanus,0.14236704461129332,en,oz
want,0.11248418656308828,en,oz
man,0.10998453797279743,en,oz
come,0.10123576790677946,en,oz
m,0.09123717354561606,en,oz
tell,0.0887375249553252,en,oz
say,0.08748770066017977,en,oz
augustus,0.08327615603789255,en,oz
right,0.07998875488930722,en,oz
think,0.07748910629901637,en,oz
reily,0.07701667106681852,en,oz
look,0.07123998482328925,en,oz
e,0.06873622914476919,en,oz
read,0.06624068764270755,en,oz
kill,0.05999156616698042,en,oz
thing,0.05749191757668957,en,oz
parole,0.056346076853261165,en,oz
good,0.05624209328154414,en,oz
need,0.05624209328154414,en,oz
aztec,0.05580414198485685,en,oz
let,0.05499226898639872,en,oz
talk,0.052492620396107866,en,oz
ask,0.052492620396107866,en,oz
kibler,0.05134444737787901,en,oz
start,0.05124279610096244,en,oz
ain,0.050910666527734016,en,oz
motherfucker,0.050697155272390264,en,oz
bullshit,0.04991516728640187,en,oz
o,0.04903795767119884,en,oz
riot,0.0479893847782343,en,oz
wangler,0.047290366234300205,en,oz
time,0.04624349892038074,en,oz
hear,0.04624349892038074,en,oz
d,0.04624349892038074,en,oz
cocksucker,0.042874203394524774,en,oz
work,0.04249402603494446,en,oz
dick,0.04096630322935566,en,oz
city,0.04096594856040691,en,oz
year,0.03999437744465361,en,oz
warden,0.03955776153755399,en,oz
tit,0.03943509684951042,en,oz
prisoner,0.03884910903290257,en,oz
happen,0.038744553149508185,en,oz
mean,0.038744553149508185,en,oz
moulie,0.03850833553340926,en,oz
see,0.03749472885436276,en,oz
find,0.03749472885436276,en,oz
r,0.037450986731533034,en,oz
g,0.036634909044890925,en,oz
breast,0.03525211662086873,en,oz
sure,0.03499508026407191,en,oz
way,0.03499508026407191,en,oz
vocabulary,0.03452444461803843,en,oz
word,0.03374525596892648,en,oz
dead,0.03374525596892648,en,oz
ross,0.03304720137230487,en,oz
murder,0.032521115391828344,en,oz
coushaine,0.03209027961117438,en,oz
alright,0.031267208692364296,en,oz
try,0.031245607378635635,en,oz
sara,0.030758399713512734,en,oz
latinos,0.03026990155747292,en,oz
guy,0.030236714363410695,en,oz
officer,0.030028948865888302,en,oz
little,0.02999578308349021,en,oz
l,0.029601464520365446,en,oz
glynn,0.02955647889643763,en,oz
spaniard,0.02811258929690479,en,oz
lumpectomy,0.02775871867929752,en,oz
prison,0.027519279204180548,en,oz
maybe,0.02749613449319936,en,oz
gile,0.02722934069978882,en,oz
oz,0.02722934069978882,en,oz
father,0.02666964695948855,en,oz
dobbin,0.02636426752060987,en,oz
give,0.026246310198053933,en,oz
people,0.026246310198053933,en,oz
case,0.026246310198053933,en,oz
n,0.02612683020005273,en,oz
reilly,0.025703378845126013,en,oz
agnasti,0.025672223688939504,en,oz
moke,0.025672223688939504,en,oz
file,0.025521096373410043,en,oz
inaudible,0.02523035715812385,en,oz
shoot,0.024996485902908507,en,oz
day,0.024996485902908507,en,oz
life,0.024996485902908507,en,oz
die,0.024996485902908507,en,oz
help,0.024996485902908507,en,oz
mop,0.024543908483073248,en,oz
inmate,0.02370276908555852,en,oz
prag,0.023645183117150102,en,oz
yo,0.023638772924569035,en,oz
booker,0.023427157747420654,en,oz
suck,0.022834665176208985,en,oz
kenny,0.0227264617893007,en,oz
deal,0.022677535772558023,en,oz
thank,0.022496837312617656,en,oz
problem,0.022496837312617656,en,oz
lawyer,0.021839235538827856,en,oz
kid,0.02176316017271617,en,oz
daughter,0.02176316017271617,en,oz
bribe,0.02150494549583229,en,oz
education,0.02150494549583229,en,oz
pretty,0.021417672674082573,en,oz
cancer,0.021402003376361365,en,oz
commission,0.021320919977933082,en,oz
class,0.021319798835067617,en,oz
care,0.02124701301747223,en,oz
listen,0.02124701301747223,en,oz
open,0.02124701301747223,en,oz
diane,0.020213670763812225,en,oz
godammit,0.02017993437164861,en,oz
rape,0.020107248651278293,en,oz
job,0.019997188722326805,en,oz
lot,0.019997188722326805,en,oz
rat,0.019734309680243627,en,oz
comet,0.0195680333978022,en,oz
vern,0.01940928931260345,en,oz
mick,0.019273919396770794,en,oz
mukada,0.01925416776670463,en,oz
nowakowski,0.01925416776670463,en,oz
schibetta,0.01925416776670463,en,oz
schillinge,0.01925416776670463,en,oz
aryan,0.01909559681554379,en,oz
favor,0.018805018380407396,en,oz
understand,0.01874736442718138,en,oz
leave,0.01874736442718138,en,oz
believe,0.01874736442718138,en,oz
take,0.01874736442718138,en,oz
call,0.01874736442718138,en,oz
run,0.01874736442718138,en,oz
devlin,0.018741726197936525,en,oz
governor,0.01839071147413366,en,oz
ass,0.01806661598412589,en,oz
latino,0.01795492482735714,en,oz
sort,0.017922602495178023,en,oz
agamemnon,0.01773388733786258,en,oz
figure,0.01763808337865624,en,oz
convict,0.017610905122708482,en,oz
council,0.017505301974813627,en,oz
kind,0.017497540132035954,en,oz
bad,0.017497540132035954,en,oz
place,0.017497540132035954,en,oz
hard,0.017497540132035954,en,oz
cause,0.017497540132035954,en,oz
stop,0.017497540132035954,en,oz
ryan,0.017306520672679872,en,oz
list,0.016910980003750742,en,oz
team,0.016910980003750742,en,oz
fart,0.01676518699280829,en,oz
sister,0.016642416602665307,en,oz
aspiration,0.01656179610080704,en,oz
office,0.016509781451111958,en,oz
h,0.01646586305377785,en,oz
face,0.016378220280180794,en,oz
shut,0.016378220280180794,en,oz
conjugal,0.0163066944981685,en,oz
end,0.01624771583689053,en,oz
truth,0.01624771583689053,en,oz
bring,0.01624771583689053,en,oz
lie,0.01624771583689053,en,oz
away,0.01624771583689053,en,oz
hole,0.01598984912630071,en,oz
gloria,0.015598489777000584,en,oz
bullet,0.015381111287178638,en,oz
book,0.015239798262564885,en,oz
spanish,0.01519635402293724,en,oz
chance,0.014997891541745105,en,oz
long,0.014997891541745105,en,oz
head,0.014997891541745105,en,oz
second,0.014997891541745105,en,oz
great,0.014997891541745105,en,oz
turn,0.014997891541745105,en,oz
question,0.014997891541745105,en,oz
wrong,0.014997891541745105,en,oz
sentence,0.01491771217706073,en,oz
kitchen,0.014775371584605812,en,oz
cla,0.014556966984452588,en,oz
togeth,0.014556966984452588,en,oz
sauer,0.014556966984452588,en,oz
law,0.01430929077240447,en,oz
ne,0.014204038618312938,en,oz
write,0.01419519827324177,en,oz
sig,0.014160916525484917,en,oz
school,0.014082044817639876,en,oz
ea,0.014056294648452395,en,oz
knowin,0.014056294648452395,en,oz
heart,0.013858494083229903,en,oz
son,0.013858494083229903,en,oz
cannon,0.013793033605600245,en,oz
speak,0.01374806724659968,en,oz
nice,0.01374806724659968,en,oz
feel,0.01374806724659968,en,oz
hand,0.01374806724659968,en,oz
month,0.01374806724659968,en,oz
vogel,0.01361467034989441,en,oz
disease,0.013425940959354659,en,oz
mandatory,0.01338758644531268,en,oz
fag,0.013249436880645631,en,oz
k,0.01321786599217684,en,oz
ye,0.012917644125563246,en,oz
participate,0.012878988473328528,en,oz
busmali,0.012836111844469752,en,oz
vocabula,0.012836111844469752,en,oz
disea,0.012836111844469752,en,oz
emera,0.012836111844469752,en,oz
beeche,0.012836111844469752,en,oz
overreacti,0.012836111844469752,en,oz
busmalis,0.012836111844469752,en,oz
carcinom,0.012836111844469752,en,oz
vahue,0.012836111844469752,en,oz
ardeth,0.012836111844469752,en,oz
