mot,poids_tfidf,langue,serie
c,0.4409336564315413,fr,painkillerjane
n,0.26176061508793086,fr,painkillerjane
savoir,0.2179005476756929,fr,painkillerjane
j,0.21463437244286665,fr,painkillerjane
neurologie,0.2143772476163575,fr,painkillerjane
vasco,0.2026865044276243,fr,painkillerjane
chose,0.1735738838016226,fr,painkillerjane
taire,0.17170749795429333,fr,painkillerjane
connor,0.16908264968226105,fr,painkillerjane
bien,0.16657493687413782,fr,painkillerjane
faire,0.16097577933215,fr,painkillerjane
neuro,0.15721701817210712,fr,painkillerjane
vouloir,0.1488442713245097,fr,painkillerjane
tre,0.14697788547718044,fr,painkillerjane
non,0.13951234208786334,fr,painkillerjane
devoir,0.11384953668708579,fr,painkillerjane
ici,0.11058336145425957,fr,painkillerjane
voir,0.10218462514127782,fr,painkillerjane
pouvoir,0.09331929236646376,fr,painkillerjane
mme,0.09191950298096681,fr,painkillerjane
andr,0.08659482530227153,fr,painkillerjane
oui,0.08352076666798507,fr,painkillerjane
bon,0.08118778435882347,fr,painkillerjane
prendre,0.08025459143515884,fr,painkillerjane
aller,0.0741888374313387,fr,painkillerjane
croire,0.07372224096950637,fr,painkillerjane
mcbrid,0.06931072844146657,fr,painkillerjane
baumgartner,0.0662042477255214,fr,painkillerjane
quipe,0.06562492135747786,fr,painkillerjane
passer,0.06345711880919536,fr,painkillerjane
seth,0.060718824792022355,fr,painkillerjane
temps,0.05925775065270449,fr,painkillerjane
accord,0.05925775065270449,fr,painkillerjane
avoir,0.05785796126720753,fr,painkillerjane
trouver,0.05739136480537522,fr,painkillerjane
penser,0.05739136480537522,fr,painkillerjane
homme,0.05645817188171058,fr,painkillerjane
maureen,0.05569185368263793,fr,painkillerjane
vie,0.05319199664888435,fr,painkillerjane
jamais,0.05319199664888435,fr,painkillerjane
venir,0.05319199664888435,fr,painkillerjane
vraiment,0.05225880372521971,fr,painkillerjane
quelqu,0.05225880372521971,fr,painkillerjane
arriver,0.05179220726338739,fr,painkillerjane
ouai,0.04732436462637056,fr,painkillerjane
jan,0.04705861153370064,fr,painkillerjane
sortir,0.04572645325956724,fr,painkillerjane
dire,0.04525985679773493,fr,painkillerjane
jour,0.04525985679773493,fr,painkillerjane
fois,0.04339347095040565,fr,painkillerjane
besoin,0.04339347095040565,fr,painkillerjane
agent,0.04198383578627493,fr,painkillerjane
gars,0.04077978644712322,fr,painkillerjane
mourir,0.03919410279391478,fr,painkillerjane
pass,0.03919410279391478,fr,painkillerjane
travailler,0.03919410279391478,fr,painkillerjane
kristoff,0.03827684421441378,fr,painkillerjane
vono,0.03827684421441378,fr,painkillerjane
bolnar,0.03827684421441378,fr,painkillerjane
truc,0.03810034190968329,fr,painkillerjane
trs,0.03639452402292087,fr,painkillerjane
scurit,0.03556376725039816,fr,painkillerjane
problme,0.035461331099256234,fr,painkillerjane
mettre,0.03499473463742391,fr,painkillerjane
s,0.03359494525192695,fr,painkillerjane
beaucoup,0.03359494525192695,fr,painkillerjane
robeson,0.033492238687612065,fr,painkillerjane
cas,0.03312834879009464,fr,painkillerjane
apr,0.032661752328262315,fr,painkillerjane
falloir,0.032661752328262315,fr,painkillerjane
porte,0.03219515586643,fr,painkillerjane
attendre,0.03219515586643,fr,painkillerjane
trouv,0.03219515586643,fr,painkillerjane
hyde,0.03205637565880805,fr,painkillerjane
essayer,0.03172855940459768,fr,painkillerjane
maison,0.03172855940459768,fr,painkillerjane
affaire,0.03172855940459768,fr,painkillerjane
mort,0.03172855940459768,fr,painkillerjane
sr,0.03172855940459768,fr,painkillerjane
endroit,0.03151509762899729,fr,painkillerjane
t,0.03126196294276536,fr,painkillerjane
heure,0.03126196294276536,fr,painkillerjane
l,0.03126196294276536,fr,painkillerjane
mal,0.03126196294276536,fr,painkillerjane
dyle,0.0310999359242112,fr,painkillerjane
monde,0.03079536648093304,fr,painkillerjane
aider,0.030328770019100722,fr,painkillerjane
mieux,0.030328770019100722,fr,painkillerjane
chef,0.029873564490334452,fr,painkillerjane
appeler,0.029862173557268404,fr,painkillerjane
arriv,0.029862173557268404,fr,painkillerjane
zhang,0.02947147124847952,fr,painkillerjane
an,0.028928980633603767,fr,painkillerjane
m,0.028462384171771448,fr,painkillerjane
premire,0.028222475488654288,fr,painkillerjane
raison,0.02799578770993913,fr,painkillerjane
type,0.027949972474446833,fr,painkillerjane
howi,0.02759096671853119,fr,painkillerjane
question,0.02752919124810681,fr,painkillerjane
part,0.02752919124810681,fr,painkillerjane
puce,0.027083902969388673,fr,painkillerjane
petit,0.027062594786274492,fr,painkillerjane
oaks,0.027048089147889396,fr,painkillerjane
dr,0.027026838839316288,fr,painkillerjane
rponse,0.026340977122744004,fr,painkillerjane
donne,0.026129401862609855,fr,painkillerjane
aimer,0.025662805400777536,fr,painkillerjane
nuit,0.025662805400777536,fr,painkillerjane
femme,0.025662805400777536,fr,painkillerjane
tr,0.025662805400777536,fr,painkillerjane
ville,0.02560591242028667,fr,painkillerjane
lento,0.024826592897070524,fr,painkillerjane
fait,0.0247296124771129,fr,painkillerjane
moment,0.0247296124771129,fr,painkillerjane
lyse,0.02443647807221916,fr,painkillerjane
travail,0.02426301601528058,fr,painkillerjane
chance,0.02426301601528058,fr,painkillerjane
harold,0.02371026905756617,fr,painkillerjane
test,0.023507434516111474,fr,painkillerjane
howie,0.023344112019067467,fr,painkillerjane
partie,0.02332982309161594,fr,painkillerjane
minute,0.023048354982401,fr,painkillerjane
point,0.02286322662978362,fr,painkillerjane
esprit,0.02276081104025482,fr,painkillerjane
farka,0.02275771015564798,fr,painkillerjane
mutation,0.02267938779419373,fr,painkillerjane
trop,0.022396630167951303,fr,painkillerjane
partir,0.022396630167951303,fr,painkillerjane
pucer,0.022031141785611334,fr,painkillerjane
dsol,0.021930033706118984,fr,painkillerjane
faon,0.021930033706118984,fr,painkillerjane
demander,0.021930033706118984,fr,painkillerjane
ethan,0.021916976083515484,fr,painkillerjane
personne,0.021637231207968288,fr,painkillerjane
bower,0.021612412248884983,fr,painkillerjane
