mot,poids_tfidf,langue,serie
s,0.5809225995312246,en,primeval
t,0.2681918019270287,en,primeval
know,0.2557400396947023,en,primeval
go,0.24855633071451408,en,primeval
come,0.20449624896935936,en,primeval
connor,0.20053029123406152,en,primeval
get,0.1637885647482925,en,primeval
think,0.1599572532921921,en,primeval
right,0.1599572532921921,en,primeval
cutter,0.1311462447681516,en,primeval
look,0.12882784771137626,en,primeval
m,0.12451762232326331,en,primeval
leek,0.11313087807308153,en,primeval
tell,0.09626170033452279,en,primeval
want,0.09290930281043493,en,primeval
let,0.08333102417018391,en,primeval
find,0.08285211023817135,en,primeval
thing,0.0814153684421337,en,primeval
way,0.08093645451012116,en,primeval
need,0.07806297091804584,en,primeval
time,0.07518948732597054,en,primeval
help,0.074710573393958,en,primeval
good,0.07423165946194543,en,primeval
lester,0.0710777980021048,en,primeval
happen,0.06800577834578227,en,primeval
work,0.06656903654974462,en,primeval
stay,0.0617798972296191,en,primeval
ok,0.06031052108558737,en,primeval
anomaly,0.05912849270222143,en,primeval
sprat,0.059023267373492054,en,primeval
creature,0.056939892261089815,en,primeval
claudia,0.055994250361713314,en,primeval
arc,0.05498663152340329,en,primeval
raptor,0.0523441376159034,en,primeval
maybe,0.05172270465735553,en,primeval
jenny,0.05155087031541432,en,primeval
say,0.05076487679333043,en,primeval
try,0.05076487679333043,en,primeval
sorry,0.05076487679333043,en,primeval
mean,0.05076487679333043,en,primeval
becker,0.04803612703800317,en,primeval
kill,0.04789139320125512,en,primeval
leave,0.047412479269242566,en,primeval
man,0.04501790960917981,en,primeval
stop,0.04501790960917981,en,primeval
danny,0.04458633971828257,en,primeval
caroline,0.04360878322159915,en,primeval
valerie,0.04255774991097208,en,primeval
fine,0.04248293728295654,en,primeval
people,0.04070768422106685,en,primeval
thank,0.039270942425029196,en,primeval
see,0.03831311456100409,en,primeval
place,0.03591854490094134,en,primeval
rex,0.03586410429688735,en,primeval
guy,0.03572428816975891,en,primeval
d,0.03543963096892879,en,primeval
sure,0.03543963096892879,en,primeval
long,0.03543963096892879,en,primeval
nick,0.03463235215694083,en,primeval
talk,0.03448180310490369,en,primeval
little,0.033523975240878585,en,primeval
run,0.03304506130886603,en,primeval
wait,0.03256614737685348,en,primeval
job,0.03112940558081583,en,primeval
idea,0.03112940558081583,en,primeval
minute,0.030896681660332027,en,primeval
close,0.030650491648803277,en,primeval
win,0.030650491648803277,en,primeval
stephen,0.030151099132309147,en,primeval
wrong,0.029213749852765623,en,primeval
well,0.029213749852765623,en,primeval
listen,0.02873483592075307,en,primeval
dead,0.02873483592075307,en,primeval
bad,0.02873483592075307,en,primeval
artefact,0.028392415901702488,en,primeval
detector,0.028218662162460353,en,primeval
kind,0.02777700805672797,en,primeval
open,0.02777700805672797,en,primeval
predator,0.027403925855665215,en,primeval
shoot,0.027298094124715417,en,primeval
fog,0.026954978331213107,en,primeval
die,0.026819180192702866,en,primeval
take,0.025861352328677766,en,primeval
mammoth,0.025819115509832773,en,primeval
big,0.02558631449996246,en,primeval
evarin,0.025528139586281497,en,primeval
silurian,0.025528139586281497,en,primeval
bit,0.025382438396665215,en,primeval
sir,0.025017950087428183,en,primeval
new,0.024424610532640112,en,primeval
suppose,0.02394569660062756,en,primeval
hear,0.02394569660062756,en,primeval
canal,0.02365139708088857,en,primeval
away,0.02346678266861501,en,primeval
hold,0.02317251124524902,en,primeval
change,0.022987868736602458,en,primeval
lose,0.022508954804589906,en,primeval
exactly,0.022508954804589906,en,primeval
cretaceous,0.022312046017284037,en,primeval
hope,0.022030040872577355,en,primeval
future,0.02160628848680829,en,primeval
life,0.021551126940564803,en,primeval
hell,0.021072213008552252,en,primeval
meet,0.021072213008552252,en,primeval
mate,0.020648532358417182,en,primeval
home,0.0205932990765397,en,primeval
girl,0.0205932990765397,en,primeval
chance,0.02011438514452715,en,primeval
fire,0.02011438514452715,en,primeval
car,0.02011246967812854,en,primeval
gun,0.020098873010984453,en,primeval
oi,0.020081534285425494,en,primeval
team,0.01993856615683366,en,primeval
nagata,0.019674422457830684,en,primeval
ammut,0.019674422457830684,en,primeval
door,0.019635471212514598,en,primeval
safe,0.01946554070934096,en,primeval
dinosaur,0.01937937351809312,en,primeval
nice,0.019156557280502046,en,primeval
professor,0.018928415577360944,en,primeval
hurt,0.01882766538676483,en,primeval
year,0.0186776433484895,en,primeval
world,0.0186776433484895,en,primeval
probably,0.0186776433484895,en,primeval
believe,0.018198729416476947,en,primeval
ask,0.018198729416476947,en,primeval
lot,0.018198729416476947,en,primeval
actually,0.018198729416476947,en,primeval
forget,0.017862144084879454,en,primeval
christine,0.0177694495005262,en,primeval
day,0.017719815484464396,en,primeval
erm,0.017613246580601163,en,primeval
course,0.017379383433936767,en,primeval
animal,0.0172599644983214,en,primeval
feel,0.017240901552451844,en,primeval
brown,0.017089675704547683,en,primeval
trust,0.016896622782994076,en,primeval
pretty,0.016896622782994076,en,primeval
obey,0.016871193921408324,en,primeval
sound,0.016761987620439293,en,primeval
quinn,0.01657353359820708,en,primeval
quick,0.016318161473917344,en,primeval
friend,0.01628307368842674,en,primeval
sabre,0.016163827279682602,en,primeval
water,0.016059071085206295,en,primeval
follow,0.0159311014811087,en,primeval
clear,0.01580415975641419,en,primeval
boy,0.01580415975641419,en,primeval
call,0.01580415975641419,en,primeval
save,0.01580415975641419,en,primeval
problem,0.015325245824401638,en,primeval
love,0.015325245824401638,en,primeval
wasn,0.015325245824401638,en,primeval
control,0.015085794049739245,en,primeval
lizard,0.015050889051474546,en,primeval
second,0.014846331892389087,en,primeval
bring,0.014846331892389087,en,primeval
live,0.014846331892389087,en,primeval
minister,0.014805105887436148,en,primeval
jame,0.014532073202855498,en,primeval
use,0.014367417960376536,en,primeval
start,0.014367417960376536,en,primeval
understand,0.014367417960376536,en,primeval
like,0.014367417960376536,en,primeval
soon,0.01400005887733795,en,primeval
matter,0.013888504028363984,en,primeval
woman,0.013888504028363984,en,primeval
explain,0.013735345146039003,en,primeval
interference,0.013719947006425067,en,primeval
break,0.013517298226395262,en,primeval
trap,0.01349001020138421,en,primeval
care,0.013409590096351433,en,primeval
eat,0.013409590096351433,en,primeval
play,0.013409590096351433,en,primeval
hour,0.013409590096351433,en,primeval
mammal,0.0134008135723282,en,primeval
hang,0.013034537575452575,en,primeval
finish,0.013034537575452575,en,primeval
mind,0.012930676164338883,en,primeval
haven,0.012930676164338883,en,primeval
ago,0.012930676164338883,en,primeval
guess,0.012930676164338883,en,primeval
watch,0.012930676164338883,en,primeval
primeval,0.012764069793140749,en,primeval
cool,0.012754249064179074,en,primeval
dragon,0.01269986881560819,en,primeval
press,0.012662832925988493,en,primeval
voice,0.012561795631865283,en,primeval
security,0.012561795631865283,en,primeval
great,0.012451762232326332,en,primeval
centre,0.012284079107967515,en,primeval
worry,0.012069016273567199,en,primeval
turn,0.01197284830031378,en,primeval
police,0.011743551712528336,en,primeval
cover,0.011679324425604577,en,primeval
leg,0.01155685198131606,en,primeval
brilliant,0.011525934669461828,en,primeval
make,0.011493934368301229,en,primeval
head,0.011493934368301229,en,primeval
check,0.011493934368301229,en,primeval
give,0.011493934368301229,en,primeval
catch,0.011493934368301229,en,primeval
helen,0.011423217536052554,en,primeval
dog,0.011373264057578755,en,primeval
area,0.011323401745373711,en,primeval
swim,0.011262835831863919,en,primeval
choice,0.011192685907871052,en,primeval
evolution,0.011140571735225641,en,primeval
transcript,0.011129829263937994,en,primeval
pos,0.011024374643964439,en,primeval
end,0.011015020436288677,en,primeval
hard,0.011015020436288677,en,primeval
late,0.011015020436288677,en,primeval
mum,0.010986872717174287,en,primeval
mummy,0.010885549291331157,en,primeval
lion,0.010758181746597536,en,primeval
radio,0.010716020445837212,en,primeval
later,0.010620734320739135,en,primeval
busy,0.010620734320739135,en,primeval
touch,0.010620734320739135,en,primeval
government,0.010429532682314618,en,primeval
quickly,0.0103769309241417,en,primeval
human,0.010301508859529252,en,primeval
sort,0.010301508859529252,en,primeval
abby,0.010244004974788926,en,primeval
shut,0.010137973669796446,en,primeval
plan,0.010137973669796446,en,primeval
mall,0.010129776160883203,en,primeval
evacuate,0.010061653904939004,en,primeval
person,0.010057192572263575,en,primeval
fast,0.010057192572263575,en,primeval
miss,0.010057192572263575,en,primeval
today,0.010057192572263575,en,primeval
wilder,0.010040767142712747,en,primeval
round,0.00996928307841683,en,primeval
track,0.00988979483267718,en,primeval
golgi,0.009857251171704214,en,primeval
dracorex,0.009837211228915342,en,primeval
palaeolithic,0.009837211228915342,en,primeval
shopping,0.00978712547733856,en,primeval
shark,0.009781396760596068,en,primeval
oliver,0.009675571533090779,en,primeval
story,0.00965521301885376,en,primeval
alive,0.00965521301885376,en,primeval
pull,0.00965521301885376,en,primeval
wouldn,0.00965521301885376,en,primeval
news,0.00965521301885376,en,primeval
lie,0.009578278640251023,en,primeval
important,0.009578278640251023,en,primeval
ready,0.009578278640251023,en,primeval
remember,0.009578278640251023,en,primeval
pick,0.009578278640251023,en,primeval
train,0.009470818924495987,en,primeval
building,0.009470818924495987,en,primeval
realise,0.009330569422343,en,primeval
promise,0.009320412777669323,en,primeval
high,0.009246131836936957,en,primeval
attack,0.009246131836936957,en,primeval
stuff,0.00917245236791107,en,primeval
floor,0.00917245236791107,en,primeval
point,0.009099364708238473,en,primeval
clean,0.009099364708238473,en,primeval
stand,0.009099364708238473,en,primeval
old,0.009099364708238473,en,primeval
metre,0.008966026074221837,en,primeval
past,0.008900815349409459,en,primeval
kid,0.00882986473673936,en,primeval
theatre,0.00881949971517155,en,primeval
order,0.008759493319203433,en,primeval
trace,0.008715227032529511,en,primeval
deal,0.008689691716968383,en,primeval
send,0.008689691716968383,en,primeval
hate,0.008689691716968383,en,primeval
smell,0.008689691716968383,en,primeval
hand,0.008620450776225922,en,primeval
answer,0.008620450776225922,en,primeval
case,0.008620450776225922,en,primeval
house,0.008620450776225922,en,primeval
aren,0.008620450776225922,en,primeval
mobile,0.008553322510452845,en,primeval
proboscis,0.008509379862093833,en,primeval
glastonbury,0.008509379862093833,en,primeval
motorway,0.008509379862093833,en,primeval
sun,0.008504092820567905,en,primeval
handle,0.008406325607775602,en,primeval
lock,0.008339316695809396,en,primeval
luck,0.008272854801469907,en,primeval
light,0.008272854801469907,en,primeval
power,0.008272854801469907,en,primeval
stupid,0.008206931066025694,en,primeval
funny,0.008206931066025694,en,primeval
jack,0.008167631823256473,en,primeval
easy,0.00814153684421337,en,primeval
excuse,0.00814153684421337,en,primeval
word,0.00814153684421337,en,primeval
reason,0.00814153684421337,en,primeval
temperature,0.008100195822211345,en,primeval
hieroglyph,0.008081913639841301,en,primeval
phonecall,0.008081913639841301,en,primeval
alarm,0.00803701533437791,en,primeval
elephant,0.007995135987019493,en,primeval
reopen,0.007927925530129004,en,primeval
strange,0.007911835866141742,en,primeval
phone,0.007911835866141742,en,primeval
report,0.0077862162837363845,en,primeval
baby,0.0077862162837363845,en,primeval
whitehall,0.007732648305221931,en,primeval
number,0.007724170415083007,en,primeval
pay,0.007724170415083007,en,primeval
tooth,0.007684918818547614,en,primeval
question,0.007662622912200819,en,primeval
fight,0.007662622912200819,en,primeval
brother,0.007662622912200819,en,primeval
sit,0.007662622912200819,en,primeval
speak,0.007662622912200819,en,primeval
search,0.007597699755593096,en,primeval
operation,0.0075618916044668,en,primeval
lift,0.00753707737911917,en,primeval
research,0.00750121431208605,en,primeval
risk,0.0074769623088126215,en,primeval
prehistoric,0.0074716883951848655,en,primeval
sand,0.00744642724116108,en,primeval
nearly,0.007441081217996916,en,primeval
tranquilliser,0.007437348672428012,en,primeval
interested,0.007417346124507884,en,primeval
idiot,0.007417346124507884,en,primeval
evolve,0.007402552943718074,en,primeval
pipe,0.007384961765582126,en,primeval
tranquiliser,0.007377908421686507,en,primeval
pristichampsus,0.007377908421686507,en,primeval
beast,0.007362088291501856,en,primeval
create,0.007358220613949466,en,primeval
jake,0.007341906634248488,en,primeval
location,0.007311384576726923,en,primeval
disappear,0.00729957776600286,en,primeval
sid,0.0072770307369849335,en,primeval
body,0.007241409764140319,en,primeval
sense,0.007241409764140319,en,primeval
file,0.007205801110692361,en,primeval
captain,0.007193911636605645,en,primeval
straight,0.007183708980188268,en,primeval
room,0.007183708980188268,en,primeval
possible,0.007183708980188268,en,primeval
slushy,0.007181548495272323,en,primeval
pet,0.007087124801247971,en,primeval
seal,0.0070786142468222775,en,primeval
demon,0.006998172963097784,en,primeval
marion,0.00690563899925295,en,primeval
injure,0.006882844119472395,en,primeval
personal,0.006867672573019502,en,primeval
beautiful,0.006867672573019502,en,primeval
ain,0.006854233886843822,en,primeval
wanna,0.006812939248269337,en,primeval
knight,0.006809373786849646,en,primeval
permian,0.00679535975403258,en,primeval
darkevil,0.00679535975403258,en,primeval
era,0.006773263368324367,en,primeval
cut,0.006758649113197631,en,primeval
moment,0.006758649113197631,en,primeval
night,0.006704795048175716,en,primeval
wonder,0.006704795048175716,en,primeval
drop,0.006704795048175716,en,primeval
different,0.006704795048175716,en,primeval
mistake,0.006704795048175716,en,primeval
dunno,0.0067004067861641,en,primeval
mad,0.006691101031357193,en,primeval
traitor,0.006687950957742385,en,primeval
site,0.0066405338184052105,en,primeval
artifact,0.006614624786378663,en,primeval
backup,0.006604046090379889,en,primeval
thrower,0.006571500781136142,en,primeval
stair,0.006550014301318575,en,primeval
soldier,0.006534105458605179,en,primeval
weird,0.006532133728569947,en,primeval
action,0.006532133728569947,en,primeval
calm,0.0064800340009709394,en,primeval
system,0.0064800340009709394,en,primeval
completely,0.006428366641240166,en,primeval
worth,0.006428366641240166,en,primeval
protect,0.006377124532089537,en,primeval
bite,0.0063269851263173735,en,primeval
access,0.0063269851263173735,en,primeval
charge,0.006326300730535812,en,primeval
record,0.006326300730535812,en,primeval
scorpion,0.006295019748871276,en,primeval
humanity,0.006288040774668901,en,primeval
page,0.0062763507266623275,en,primeval
keep,0.006275888462254943,en,primeval
face,0.006275888462254943,en,primeval
doesn,0.006275888462254943,en,primeval
ministry,0.0062514826669569645,en,primeval
excellent,0.006226158554485019,en,primeval
sign,0.006225881116163166,en,primeval
real,0.006225881116163166,en,primeval
drive,0.006225881116163166,en,primeval
morning,0.006225881116163166,en,primeval
far,0.006225881116163166,en,primeval
have,0.006225881116163166,en,primeval
bug,0.006186556180307397,en,primeval
signal,0.006186556180307397,en,primeval
baggage,0.006166164301211447,en,primeval
unusual,0.006154134804651773,en,primeval
ventilation,0.006147629309065162,en,primeval
noise,0.006136621652391479,en,primeval
rock,0.006127070458710437,en,primeval
tinfoil,0.006109517305606503,en,primeval
whoa,0.006087156000204775,en,primeval
velociraptor,0.006061435229880977,en,primeval
magnetite,0.006061435229880977,en,primeval
public,0.0059815698470500975,en,primeval
worm,0.005944845295771009,en,primeval
reckon,0.005939817074648076,en,primeval
cage,0.005922105036623718,en,primeval
military,0.0059059373343733085,en,primeval
false,0.0059059373343733085,en,primeval
size,0.005893811245210467,en,primeval
freeze,0.005893811245210467,en,primeval
bear,0.005886576491159572,en,primeval
dangerous,0.005886576491159572,en,primeval
cat,0.005846563814140434,en,primeval
definitely,0.005839662212802289,en,primeval
frighten,0.00575754117844739,en,primeval
blame,0.005753321499440467,en,primeval
mother,0.005746967184150614,en,primeval
fall,0.005746967184150614,en,primeval
food,0.005746967184150614,en,primeval
move,0.005746967184150614,en,primeval
wife,0.005746967184150614,en,primeval
journalist,0.00574602566085357,en,primeval
flat,0.005716243653686043,en,primeval
ve,0.005707312008277934,en,primeval
ramp,0.005684227933023326,en,primeval
explanation,0.005669971416231095,en,primeval
warn,0.0056164812538179,en,primeval
arrest,0.0056164812538179,en,primeval
prsente,0.005578011504321009,en,primeval
aaargh,0.005578011504321009,en,primeval
park,0.005571646487434937,en,primeval
pretend,0.005571646487434937,en,primeval
machine,0.005571646487434937,en,primeval
grab,0.005527190078020725,en,primeval
