mot,poids_tfidf,langue,serie
c,0.4890310720361332,fr,prisonbreak
scofield,0.23459088613175869,fr,prisonbreak
j,0.21994251883321697,fr,prisonbreak
n,0.21592487724025675,fr,prisonbreak
savoir,0.2148971084606623,fr,prisonbreak
vouloir,0.2039653859867938,fr,prisonbreak
faire,0.1807004381577917,fr,prisonbreak
bien,0.1688343804297464,fr,prisonbreak
ici,0.1522032129053995,fr,prisonbreak
non,0.15192291232914645,fr,prisonbreak
aller,0.13790788351649458,fr,prisonbreak
sara,0.12001851226519247,fr,prisonbreak
burrow,0.11921049215202127,fr,prisonbreak
taire,0.1108121611453676,fr,prisonbreak
chose,0.1103449935182792,fr,prisonbreak
devoir,0.10959752531493777,fr,prisonbreak
tre,0.10726168717949579,fr,prisonbreak
michael,0.10672053789777082,fr,prisonbreak
oui,0.10436524789154773,fr,prisonbreak
scyller,0.0938930632134537,fr,prisonbreak
linc,0.09372335640019279,fr,prisonbreak
voir,0.08932245029930137,fr,prisonbreak
ok,0.08245151366553881,fr,prisonbreak
heure,0.08194120179130471,fr,prisonbreak
venir,0.081567467689634,fr,prisonbreak
tancredi,0.08095881470955957,fr,prisonbreak
whistler,0.07969053069262627,fr,prisonbreak
bon,0.07465338680872573,fr,prisonbreak
passer,0.07446651975789037,fr,prisonbreak
besoin,0.07194381457161303,fr,prisonbreak
avoir,0.0697948434870064,fr,prisonbreak
croire,0.06876707470741193,fr,prisonbreak
sortir,0.06783273945323513,fr,prisonbreak
pouvoir,0.06773930592781746,fr,prisonbreak
ouai,0.06643093458414169,fr,prisonbreak
t,0.06587063541946388,fr,prisonbreak
prendre,0.06568376836862852,fr,prisonbreak
lechero,0.06227601131504583,fr,prisonbreak
temps,0.060918658572326874,fr,prisonbreak
mme,0.060825225046909195,fr,prisonbreak
soner,0.05867457345127469,fr,prisonbreak
falloir,0.05802221928437882,fr,prisonbreak
bagwell,0.056048410183541245,fr,prisonbreak
dire,0.05344397653891253,fr,prisonbreak
vraiment,0.05082783782721752,fr,prisonbreak
arriver,0.05082783782721752,fr,prisonbreak
mec,0.05058511599967491,fr,prisonbreak
homme,0.050547537250964475,fr,prisonbreak
trouver,0.05008036962387608,fr,prisonbreak
scylla,0.0497139667406313,fr,prisonbreak
s,0.04905260084428161,fr,prisonbreak
mahon,0.048969004910462334,fr,prisonbreak
vie,0.04643646213258659,fr,prisonbreak
panama,0.04613058325282717,fr,prisonbreak
jamais,0.04522182630215676,fr,prisonbreak
appeler,0.044848092200486044,fr,prisonbreak
prison,0.04373812394530571,fr,prisonbreak
steadman,0.04366228651575246,fr,prisonbreak
fois,0.0418582193871203,fr,prisonbreak
accord,0.04157791881086727,fr,prisonbreak
partir,0.04157791881086727,fr,prisonbreak
jour,0.04139105176003191,fr,prisonbreak
apr,0.0400829824041844,fr,prisonbreak
mahone,0.039760837993452335,fr,prisonbreak
frre,0.039522381251678326,fr,prisonbreak
mettre,0.03886834657375457,fr,prisonbreak
petit,0.038588045997501534,fr,prisonbreak
attendre,0.03830774542124849,fr,prisonbreak
problme,0.03830774542124849,fr,prisonbreak
burrows,0.03764760274347577,fr,prisonbreak
dsol,0.03727997664165402,fr,prisonbreak
quelqu,0.036625941963730264,fr,prisonbreak
finir,0.03606534081122419,fr,prisonbreak
fox,0.03447358204931039,fr,prisonbreak
argent,0.033916369726617566,fr,prisonbreak
terrence,0.03230271269382881,fr,prisonbreak
veux,0.03223456626909934,fr,prisonbreak
aider,0.03223456626909934,fr,prisonbreak
abruzzi,0.032204841067240995,fr,prisonbreak
compagnie,0.03194057126757314,fr,prisonbreak
trs,0.031860832167428625,fr,prisonbreak
voiture,0.03167581622047925,fr,prisonbreak
river,0.03135183066450011,fr,prisonbreak
mourir,0.030926496913251833,fr,prisonbreak
m,0.030459329286163437,fr,prisonbreak
entendre,0.029898728133657362,fr,prisonbreak
bag,0.029199087802806306,fr,prisonbreak
l,0.028870959354062888,fr,prisonbreak
fait,0.028590658777809853,fr,prisonbreak
part,0.02849722525239217,fr,prisonbreak
tuer,0.02849722525239217,fr,prisonbreak
mieux,0.027936624099886096,fr,prisonbreak
minute,0.02750350228420221,fr,prisonbreak
ami,0.02737602294738002,fr,prisonbreak
main,0.027282589421962343,fr,prisonbreak
trop,0.027095722371126982,fr,prisonbreak
an,0.027095722371126982,fr,prisonbreak
gars,0.02687164330782366,fr,prisonbreak
mort,0.026815421794873947,fr,prisonbreak
moment,0.026815421794873947,fr,prisonbreak
Monsieur,0.026681737701407943,fr,prisonbreak
chance,0.026535121218620908,fr,prisonbreak
ecoute,0.02635398609524685,fr,prisonbreak
gretchen,0.026194245063856474,fr,prisonbreak
sr,0.025694219489861794,fr,prisonbreak
femme,0.025694219489861794,fr,prisonbreak
pre,0.025600785964444116,fr,prisonbreak
kellerman,0.025595133474751442,fr,prisonbreak
