mot,poids_tfidf,langue,serie
c,0.5534953986901926,fr,privatepractice
j,0.269101907001326,fr,privatepractice
vouloir,0.2554594147800889,fr,privatepractice
n,0.24541494248533186,fr,privatepractice
bien,0.2179800405459209,fr,privatepractice
savoir,0.2121332581653907,fr,privatepractice
faire,0.18080050130562628,fr,privatepractice
non,0.1391234371572315,fr,privatepractice
tre,0.13462591224913134,fr,privatepractice
devoir,0.13042822233490453,fr,privatepractice
taire,0.12877912986860113,fr,privatepractice
naomi,0.12071895419997244,fr,privatepractice
addison,0.1159837718570019,fr,privatepractice
aller,0.10359299038324027,fr,privatepractice
voir,0.10104439293531683,fr,privatepractice
chose,0.09669678552415335,fr,privatepractice
bon,0.09279893060379989,fr,privatepractice
oui,0.08920091067731976,fr,privatepractice
pouvoir,0.07660784093463932,fr,privatepractice
dell,0.07323973545699902,fr,privatepractice
venir,0.07061114105717245,fr,privatepractice
besoin,0.07061114105717245,fr,privatepractice
vraiment,0.07046122356023578,fr,privatepractice
violet,0.07015987415483732,fr,privatepractice
patient,0.06964431665625248,fr,privatepractice
avoir,0.06431460618583223,fr,privatepractice
pete,0.06411083365845006,fr,privatepractice
prendre,0.06356501870114888,fr,privatepractice
ok,0.06249976591508654,fr,privatepractice
croire,0.061466173744035464,fr,privatepractice
bb,0.06112847348278912,fr,privatepractice
aimer,0.059067493793048716,fr,privatepractice
cooper,0.05840023740474089,fr,privatepractice
ici,0.05786815381755534,fr,privatepractice
penser,0.057568318823682,fr,privatepractice
femme,0.05666881384206197,fr,privatepractice
vie,0.05427013389107522,fr,privatepractice
enfant,0.05427013389107522,fr,privatepractice
sam,0.051867964898738926,fr,privatepractice
mme,0.051421701449278455,fr,privatepractice
fille,0.051421701449278455,fr,privatepractice
arriver,0.04992252647991173,fr,privatepractice
passer,0.04932285649216504,fr,privatepractice
temps,0.047074094038114966,fr,privatepractice
mieux,0.045275084074874905,fr,privatepractice
aider,0.04497524908100156,fr,privatepractice
dire,0.04392582660244486,fr,privatepractice
sortir,0.04257656913001481,fr,privatepractice
falloir,0.041976899142268126,fr,privatepractice
bébé,0.041664423271353834,fr,privatepractice
accord,0.041077394160648095,fr,privatepractice
charlotte,0.04091024222504669,fr,privatepractice
mourir,0.04062764166983808,fr,privatepractice
betsey,0.03977058584992866,fr,privatepractice
mal,0.03972813668821804,fr,privatepractice
jamais,0.039128466700471355,fr,privatepractice
dr,0.03833947141874311,fr,privatepractice
an,0.037479374234167966,fr,privatepractice
heure,0.03717953924029462,fr,privatepractice
cabinet,0.0368699991448867,fr,privatepractice
quelqu,0.03672978674948461,fr,privatepractice
trs,0.036579869252547935,fr,privatepractice
t,0.03598019926480125,fr,privatepractice
partir,0.035830281767864576,fr,privatepractice
fois,0.03523061178011789,fr,privatepractice
problme,0.03523061178011789,fr,privatepractice
archer,0.03509966134511597,fr,privatepractice
mr,0.03433110679849786,fr,privatepractice
m,0.03433110679849786,fr,privatepractice
appeler,0.034031271804624515,fr,privatepractice
petit,0.0335815193138145,fr,privatepractice
essayer,0.033131766823004484,fr,privatepractice
dsole,0.03309777888349464,fr,privatepractice
veux,0.03223226184138445,fr,privatepractice
dsol,0.03208234434444778,fr,privatepractice
trouver,0.031182839362827747,fr,privatepractice
pass,0.03043325187814439,fr,privatepractice
mettre,0.030283334381207717,fr,privatepractice
regarder,0.030283334381207717,fr,privatepractice
apr,0.029983499387334373,fr,privatepractice
truc,0.029924019264529398,fr,privatepractice
pre,0.028784159411841,fr,privatepractice
homme,0.028484324417967655,fr,privatepractice
attendre,0.027884654430220968,fr,privatepractice
mayer,0.02778231032635152,fr,privatepractice
mdecin,0.027728755705730156,fr,privatepractice
s,0.026985149448600938,fr,privatepractice
peur,0.026835231951664266,fr,privatepractice
monde,0.026685314454727594,fr,privatepractice
raison,0.026535396957790922,fr,privatepractice
mari,0.02644799682471033,fr,privatepractice
sentir,0.02623556196391758,fr,privatepractice
donner,0.0261457340038565,fr,privatepractice
ami,0.026085644466980907,fr,privatepractice
trop,0.025935726970044235,fr,privatepractice
jour,0.025635891976170888,fr,privatepractice
freedman,0.025365729859802264,fr,privatepractice
meilleur,0.0250362219884242,fr,privatepractice
l,0.024436552000677514,fr,privatepractice
beaucoup,0.023836882012930827,fr,privatepractice
cas,0.02338712952212081,fr,privatepractice
sheldon,0.023369137558039328,fr,privatepractice
aide,0.022937377031310796,fr,privatepractice
rester,0.022367448743183596,fr,privatepractice
sexe,0.022340592386535872,fr,privatepractice
tr,0.02233770704356411,fr,privatepractice
tai,0.022065185922329762,fr,privatepractice
finir,0.021887954552754094,fr,privatepractice
moment,0.021887954552754094,fr,privatepractice
hpital,0.021573523260029873,fr,privatepractice
revenir,0.021138367068070735,fr,privatepractice
famille,0.020988449571134063,fr,privatepractice
sr,0.020988449571134063,fr,privatepractice
travail,0.02068861457726072,fr,privatepractice
practic,0.020200932495201857,fr,privatepractice
super,0.019966586815986398,fr,privatepractice
perdre,0.019939027092577357,fr,privatepractice
dreamy,0.019820103502112742,fr,privatepractice
air,0.019789109595640685,fr,privatepractice
parent,0.019354158137411454,fr,privatepractice
dieu,0.01933935710483067,fr,privatepractice
private,0.019167590144080034,fr,privatepractice
travailler,0.018739687117083983,fr,privatepractice
coop,0.018599925811500693,fr,privatepractice
chance,0.01858976962014731,fr,privatepractice
soir,0.018589163482510686,fr,privatepractice
enceint,0.018499768414297953,fr,privatepractice
bizzy,0.01844753168313366,fr,privatepractice
parler,0.01843985212321064,fr,privatepractice
laisse,0.018289934626273967,fr,privatepractice
opration,0.018062440337143236,fr,privatepractice
