mot,poids_tfidf,langue,serie
c,0.49703613747128106,fr,raines
taire,0.2594371402969604,fr,raines
n,0.24895483159809334,fr,raines
savoir,0.22187553412602,fr,raines
bien,0.18169335078036286,fr,raines
vouloir,0.17907277360564608,fr,raines
j,0.16334931055734545,fr,raines
non,0.1581081562079119,fr,raines
boyer,0.15673098396022983,fr,raines
billing,0.1487471736564339,fr,raines
raine,0.14859032534972103,fr,raines
ouai,0.14497692026774636,fr,raines
faire,0.14238469315961128,fr,raines
tre,0.1310288587358386,fr,raines
voir,0.12666123011131064,fr,raines
ici,0.11705244713734915,fr,raines
inspecteur,0.11379038836191359,fr,raines
ok,0.09982269740473923,fr,raines
bon,0.09608782973961497,fr,raines
chose,0.0934672525648982,fr,raines
devoir,0.08822609821546465,fr,raines
venir,0.08560552104074788,fr,raines
avoir,0.08473199531584229,fr,raines
aller,0.08385846959093671,fr,raines
boudreau,0.08133723962742001,fr,raines
mme,0.07774378951659756,fr,raines
vraiment,0.06726148081773048,fr,raines
prendre,0.06726148081773048,fr,raines
julio,0.0666175446325025,fr,raines
pouvoir,0.06464090364301371,fr,raines
sandy,0.06375944241468501,fr,raines
aimer,0.06289385219320252,fr,raines
fois,0.06202032646829694,fr,raines
michael,0.05882677464640507,fr,raines
jamais,0.056779172118863394,fr,raines
femme,0.056779172118863394,fr,raines
penser,0.0559056463939578,fr,raines
quelqu,0.05415859494414662,fr,raines
dire,0.05328506921924103,fr,raines
traeger,0.04926552158423383,fr,raines
oui,0.0462968634199963,fr,raines
croire,0.0462968634199963,fr,raines
mort,0.045423337695090715,fr,raines
levay,0.04536949535690864,fr,raines
petit,0.043676286245279534,fr,raines
connie,0.043467986269306244,fr,raines
alice,0.04333973649423124,fr,raines
po,0.04314117136696039,fr,raines
victime,0.04261385208686627,fr,raines
trouver,0.041929234795468354,fr,raines
temps,0.041929234795468354,fr,raines
type,0.04149975001820221,fr,raines
appeler,0.04105570907056276,fr,raines
aurelio,0.040308154023464035,fr,raines
arme,0.03930865762075158,fr,raines
argent,0.0375616061709404,fr,raines
passer,0.0375616061709404,fr,raines
rainer,0.03722799410214607,fr,raines
an,0.036688080446034804,fr,raines
connaître,0.03581455472112922,fr,raines
besoin,0.03581455472112922,fr,raines
photo,0.03575714722583097,fr,raines
parler,0.03494102899622362,fr,raines
jour,0.03494102899622362,fr,raines
nom,0.034067503271318036,fr,raines
vie,0.034067503271318036,fr,raines
webb,0.03384363100195097,fr,raines
avion,0.03381643428096423,fr,raines
emily,0.03349130008911177,fr,raines
euh,0.03345051891658327,fr,raines
mettre,0.03319397754641244,fr,raines
sr,0.03319397754641244,fr,raines
affaire,0.03319397754641244,fr,raines
flic,0.03261238246558227,fr,raines
trs,0.032320451821506856,fr,raines
monde,0.032320451821506856,fr,raines
trouv,0.032320451821506856,fr,raines
strong,0.03164833482051785,fr,raines
trop,0.03144692609660126,fr,raines
pass,0.03144692609660126,fr,raines
payback,0.031350786462694256,fr,raines
porte,0.03057340037169567,fr,raines
charlie,0.030343330440407792,fr,raines
boulot,0.030182810078373475,fr,raines
apr,0.02969987464679008,fr,raines
aider,0.02969987464679008,fr,raines
mourir,0.02969987464679008,fr,raines
brody,0.02960779761444555,fr,raines
gars,0.02929508037018602,fr,raines
grand,0.02882634892188449,fr,raines
heure,0.02882634892188449,fr,raines
travailler,0.02882634892188449,fr,raines
problme,0.02882634892188449,fr,raines
mieux,0.02882634892188449,fr,raines
police,0.02865281129210108,fr,raines
mari,0.028179163083000076,fr,raines
voil,0.0279528231969789,fr,raines
appel,0.0279528231969789,fr,raines
regarder,0.0279528231969789,fr,raines
pepsilite,0.027112413209140006,fr,raines
famille,0.02707929747207331,fr,raines
tr,0.02707929747207331,fr,raines
kitman,0.02687210268230936,fr,raines
fuhlman,0.02687210268230936,fr,raines
tobman,0.02687210268230936,fr,raines
tier,0.02620577174716772,fr,raines
tte,0.02620577174716772,fr,raines
caroline,0.025338512770901794,fr,raines
enfant,0.02533224602226213,fr,raines
russo,0.02500993086147184,fr,raines
hayworth,0.024633123791751248,fr,raines
l,0.02445872029735654,fr,raines
entendre,0.02445872029735654,fr,raines
cas,0.02445872029735654,fr,raines
fille,0.02445872029735654,fr,raines
question,0.02445872029735654,fr,raines
nuit,0.02445872029735654,fr,raines
surfer,0.024356484914693347,fr,raines
enqute,0.024055907490400874,fr,raines
mec,0.023646437360421164,fr,raines
beaucoup,0.023585194572450948,fr,raines
s,0.023585194572450948,fr,raines
tuer,0.023585194572450948,fr,raines
chercher,0.023585194572450948,fr,raines
oh,0.023107105880726675,fr,raines
maison,0.022711668847545358,fr,raines
mal,0.022711668847545358,fr,raines
homme,0.022711668847545358,fr,raines
peur,0.022711668847545358,fr,raines
meilleur,0.022711668847545358,fr,raines
travail,0.022711668847545358,fr,raines
partir,0.022711668847545358,fr,raines
devenir,0.022711668847545358,fr,raines
mcsweeney,0.022393418901924467,fr,raines
voiture,0.02200439829281906,fr,raines
dsol,0.021838143122639767,fr,raines
raison,0.021838143122639767,fr,raines
sortir,0.021838143122639767,fr,raines
falloir,0.021838143122639767,fr,raines
arriver,0.021838143122639767,fr,raines
mr,0.021838143122639767,fr,raines
jason,0.02176911470340646,fr,raines
newman,0.021297904802321722,fr,raines
truc,0.02113437231225006,fr,raines
coup,0.020253773465906306,fr,raines
fait,0.020091091672828586,fr,raines
perdre,0.020091091672828586,fr,raines
arlene,0.019905314988489478,fr,raines
wally,0.019905314988489478,fr,raines
suremer,0.019795378052662637,fr,raines
feuill,0.019784776810455592,fr,raines
cot,0.01972305228282531,fr,raines
pler,0.01940539781367314,fr,raines
kohl,0.019366009435100005,fr,raines
finir,0.019217565947922993,fr,raines
pre,0.019217565947922993,fr,raines
santiago,0.018635666702031508,fr,raines
crash,0.01854235730434871,fr,raines
charli,0.01837820235442393,fr,raines
compte,0.018344040223017402,fr,raines
ami,0.018344040223017402,fr,raines
m,0.018344040223017402,fr,raines
aryen,0.01826496653499621,fr,raines
menace,0.017992515325565762,fr,raines
minute,0.017611976926875047,fr,raines
fou,0.017611976926875047,fr,raines
henry,0.01758893753596949,fr,raines
hein,0.01747051449811181,fr,raines
moment,0.01747051449811181,fr,raines
main,0.01747051449811181,fr,raines
meurtre,0.01728008884030777,fr,raines
tueur,0.01703960113903395,fr,raines
tlphone,0.016772082410870883,fr,raines
drogue,0.016764594440401518,fr,raines
taient,0.01659698877320622,fr,raines
propos,0.01659698877320622,fr,raines
fils,0.01659698877320622,fr,raines
mois,0.01659698877320622,fr,raines
rue,0.016239032615818254,fr,raines
craig,0.016187945545562177,fr,raines
gang,0.016052179634762184,fr,raines
pute,0.015907257591567987,fr,raines
donner,0.015850779234187543,fr,raines
joli,0.015850779234187543,fr,raines
comprendre,0.01572346304830063,fr,raines
allez,0.01572346304830063,fr,raines
revenir,0.01572346304830063,fr,raines
semaine,0.01572346304830063,fr,raines
mot,0.01572346304830063,fr,raines
arrter,0.01572346304830063,fr,raines
mcanicien,0.01548866429075237,fr,raines
difficile,0.015213627435504246,fr,raines
arrt,0.014970180387843791,fr,raines
serge,0.014947712336654501,fr,raines
sentir,0.01484993732339504,fr,raines
histoire,0.01484993732339504,fr,raines
partie,0.01484993732339504,fr,raines
attendre,0.01484993732339504,fr,raines
vrai,0.01484993732339504,fr,raines
mexique,0.014832265821528181,fr,raines
vernon,0.014803898807222776,fr,raines
wegman,0.014713121018400992,fr,raines
cole,0.014434695658505116,fr,raines
rodrigo,0.014218082134635343,fr,raines
tai,0.014089581541500038,fr,raines
dieu,0.01397641159848945,fr,raines
accord,0.01397641159848945,fr,raines
demande,0.01397641159848945,fr,raines
ide,0.01397641159848945,fr,raines
grace,0.013972107457657288,fr,raines
podalski,0.01343605134115468,fr,raines
marraine,0.013428807201373051,fr,raines
dessin,0.013353219708821074,fr,raines
payer,0.013315945622811826,fr,raines
vol,0.013315945622811826,fr,raines
jouer,0.013208982695156286,fr,raines
souvenir,0.01310288587358386,fr,raines
vieux,0.01310288587358386,fr,raines
mauvais,0.01310288587358386,fr,raines
cause,0.01310288587358386,fr,raines
donne,0.01310288587358386,fr,raines
aide,0.01310288587358386,fr,raines
oeil,0.01310288587358386,fr,raines
demander,0.01310288587358386,fr,raines
vivre,0.01310288587358386,fr,raines
genre,0.01310288587358386,fr,raines
vien,0.01310288587358386,fr,raines
maria,0.013061221121578264,fr,raines
sadie,0.013046404667854436,fr,raines
amour,0.012630358701191976,fr,raines
sacramento,0.012560612400165717,fr,raines
notaire,0.012560612400165717,fr,raines
mentir,0.012528869652768202,fr,raines
faux,0.01242821591462437,fr,raines
attend,0.012328383848812534,fr,raines
continuer,0.012328383848812534,fr,raines
parl,0.01222936014867827,fr,raines
essayer,0.01222936014867827,fr,raines
commencer,0.01222936014867827,fr,raines
faon,0.01222936014867827,fr,raines
dormir,0.01222936014867827,fr,raines
lance,0.012225739022358706,fr,raines
sexuel,0.012225739022358706,fr,raines
mickey,0.012178242457346673,fr,raines
mauver,0.011919049075276989,fr,raines
franais,0.011918004031088506,fr,raines
balle,0.011728190222535406,fr,raines
chimre,0.011726154079214944,fr,raines
ligne,0.011633950391856187,fr,raines
secret,0.011633950391856187,fr,raines
imaginer,0.011633950391856187,fr,raines
victorvill,0.011619605661060003,fr,raines
hijito,0.011619605661060003,fr,raines
laird,0.011619605661060003,fr,raines
trottoir,0.011607659043985905,fr,raines
canne,0.011547303864053206,fr,raines
vendre,0.011540486206436915,fr,raines
carver,0.011540269489030539,fr,raines
plutt,0.01144778500246878,fr,raines
jeune,0.01144778500246878,fr,raines
marco,0.011439843520009508,fr,raines
ca,0.011438138533723795,fr,raines
t,0.011355834423772679,fr,raines
anne,0.011355834423772679,fr,raines
frre,0.011355834423772679,fr,raines
air,0.011355834423772679,fr,raines
part,0.011355834423772679,fr,raines
mexicain,0.011290068043128845,fr,raines
site,0.011206927437162147,fr,raines
sarah,0.011186537174728816,fr,raines
suspect,0.011115848243637186,fr,raines
chester,0.011025836931013921,fr,raines
abri,0.010936239594202991,fr,raines
hey,0.010760849746670702,fr,raines
accident,0.010739031130944173,fr,raines
ferme,0.01065275649824946,fr,raines
Monsieur,0.01065275649824946,fr,raines
motel,0.010595632745342119,fr,raines
revoir,0.01056718615612503,fr,raines
dur,0.01056718615612503,fr,raines
rester,0.01056718615612503,fr,raines
matin,0.01056718615612503,fr,raines
corps,0.01056718615612503,fr,raines
estrada,0.010557053053607678,fr,raines
lewis,0.010553688377413481,fr,raines
rappeler,0.010482308698867088,fr,raines
dessine,0.010452481210866433,fr,raines
municipal,0.010452481210866433,fr,raines
empreinte,0.010441329443569939,fr,raines
capitaine,0.010356106745655385,fr,raines
imagination,0.010294324680351416,fr,raines
nietzsche,0.01023740635474757,fr,raines
boite,0.0102277475017054,fr,raines
tir,0.010085349217542066,fr,raines
avocat,0.010085349217542066,fr,raines
macarthur,0.010048489920132575,fr,raines
dollar,0.010023294787667029,fr,raines
acheter,0.010004261960178184,fr,raines
colre,0.010004261960178184,fr,raines
girl,0.009964010322830268,fr,raines
chien,0.009923853265222268,fr,raines
parent,0.009923853265222268,fr,raines
ailleurs,0.009923853265222268,fr,raines
boutique,0.009873810999686903,fr,raines
prouver,0.00984411187003216,fr,raines
macarena,0.009803159980965323,fr,raines
agression,0.009793557828656015,fr,raines
ville,0.009765026790062005,fr,raines
amie,0.009765026790062005,fr,raines
quitter,0.009686587309781277,fr,raines
instant,0.009686587309781277,fr,raines
soir,0.009686587309781277,fr,raines
tard,0.009686587309781277,fr,raines
train,0.009686587309781277,fr,raines
gentil,0.009686587309781277,fr,raines
commerce,0.009627164115370792,fr,raines
richard,0.009627164115370792,fr,raines
gros,0.009608782973961496,fr,raines
sai,0.009608782973961496,fr,raines
arriv,0.009608782973961496,fr,raines
fort,0.009608782973961496,fr,raines
dernier,0.009608782973961496,fr,raines
tirer,0.009608782973961496,fr,raines
apprendre,0.009608782973961496,fr,raines
laisser,0.009608782973961496,fr,raines
montrer,0.009608782973961496,fr,raines
laisse,0.009608782973961496,fr,raines
travaill,0.009546708024992296,fr,raines
prsomption,0.00953624229586403,fr,raines
angele,0.009524236008817577,fr,raines
harry,0.009524236008817577,fr,raines
policier,0.009474652608744244,fr,raines
cool,0.009469744908192506,fr,raines
poche,0.009469744908192506,fr,raines
client,0.009469744908192506,fr,raines
essaye,0.009317823561594935,fr,raines
adresse,0.00924284235229067,fr,raines
