mot,poids_tfidf,langue,serie
s,0.5328407031098794,en,reaper
know,0.3138082337577446,en,reaper
right,0.2729716716751432,en,reaper
andi,0.23823993722078451,en,reaper
go,0.226894053496379,en,reaper
t,0.20309092372630652,en,reaper
think,0.16487488969178646,en,reaper
m,0.16421975767976613,en,reaper
get,0.15788681489690282,en,reaper
want,0.14674957069255695,en,reaper
come,0.1351755718135309,en,reaper
guy,0.12569501889840878,en,reaper
good,0.12381995027184493,en,reaper
look,0.11988915819972287,en,reaper
let,0.10766002730867646,en,reaper
devil,0.10385409082403745,en,reaper
soul,0.09304148376492297,en,reaper
tell,0.09062659499614753,en,reaper
sock,0.08971832163893531,en,reaper
mean,0.08756931227338592,en,reaper
need,0.08210987883988306,en,reaper
little,0.08167312416520284,en,reaper
thank,0.07381154002095872,en,reaper
time,0.07293803067159825,en,reaper
work,0.07119101197287733,en,reaper
thing,0.07097263463553723,en,reaper
man,0.06813372925011574,en,reaper
wait,0.06332942782863321,en,reaper
way,0.0615824091299123,en,reaper
talk,0.060927277117891955,en,reaper
hell,0.06027214510587161,en,reaper
sammy,0.059158697406491545,en,reaper
demon,0.054957118769691914,en,reaper
love,0.05372082498566817,en,reaper
ok,0.05275637535232753,en,reaper
sorry,0.0526289382989676,en,reaper
vessel,0.0515206867481798,en,reaper
maybe,0.05066354226290657,en,reaper
try,0.048261391552165314,en,reaper
help,0.047387882202804855,en,reaper
find,0.04673275019078451,en,reaper
great,0.04585924084142405,en,reaper
say,0.042583580781322336,en,reaper
kill,0.0421468261066421,en,reaper
feel,0.04018143007058107,en,reaper
life,0.03668739267313924,en,reaper
day,0.0360322606611189,en,reaper
friend,0.035813883323778786,en,reaper
happen,0.035595505986438666,en,reaper
listen,0.03537712864909855,en,reaper
like,0.03515875131175844,en,reaper
nice,0.03275660060101718,en,reaper
sure,0.03231984592633695,en,reaper
people,0.03144633657697649,en,reaper
believe,0.03079120456495615,en,reaper
bench,0.030741536237991317,en,reaper
tony,0.03028806956624371,en,reaper
actually,0.029699317878255575,en,reaper
stop,0.029480940540915462,en,reaper
bad,0.028825808528895117,en,reaper
car,0.027736606546660394,en,reaper
night,0.027078789830174203,en,reaper
fine,0.027076159937835874,en,reaper
win,0.026860412492834086,en,reaper
baby,0.026627955458268515,en,reaper
place,0.026423657818153857,en,reaper
see,0.025986903143473628,en,reaper
cady,0.025792291987566197,en,reaper
dad,0.025518457314173994,en,reaper
benji,0.025407994706417684,en,reaper
well,0.025331771131453285,en,reaper
pretty,0.024874846121751653,en,reaper
hear,0.024676639119432943,en,reaper
ask,0.024676639119432943,en,reaper
d,0.024458261782092827,en,reaper
lot,0.024021507107412597,en,reaper
gladys,0.023848819499218906,en,reaper
leave,0.023584752432732368,en,reaper
deal,0.023554057832101124,en,reaper
big,0.023333926450492704,en,reaper
problem,0.023147997758052142,en,reaper
year,0.022929620420712025,en,reaper
girl,0.022711243083371913,en,reaper
take,0.022711243083371913,en,reaper
mom,0.02227460970921934,en,reaper
break,0.02201313816084217,en,reaper
te,0.021982847507876765,en,reaper
kind,0.021837733734011454,en,reaper
job,0.021619356396671337,en,reaper
away,0.021619356396671337,en,reaper
probably,0.020964224384650995,en,reaper
make,0.02074584704731088,en,reaper
wrong,0.02074584704731088,en,reaper
weird,0.020620743470064477,en,reaper
cool,0.020578772599135133,en,reaper
long,0.020527469709970766,en,reaper
care,0.020527469709970766,en,reaper
meet,0.020309092372630653,en,reaper
idea,0.020309092372630653,en,reaper
live,0.019653960360610307,en,reaper
date,0.019527167336063578,en,reaper
dead,0.019435583023270194,en,reaper
hand,0.019435583023270194,en,reaper
guess,0.019435583023270194,en,reaper
boy,0.019435583023270194,en,reaper
bring,0.019217205685930078,en,reaper
dude,0.018869855781890203,en,reaper
ass,0.018714812223765875,en,reaper
money,0.018562073673909735,en,reaper
catch,0.01834369633656962,en,reaper
run,0.01834369633656962,en,reaper
hold,0.018270904673499,en,reaper
evil,0.018225700398890314,en,reaper
die,0.018125318999229506,en,reaper
nessman,0.0179424639913504,en,reaper
old,0.017906941661889393,en,reaper
eat,0.017906941661889393,en,reaper
buddy,0.01779087803256925,en,reaper
start,0.017470186987209164,en,reaper
real,0.017470186987209164,en,reaper
lady,0.017390379147065316,en,reaper
crazy,0.01730817104787454,en,reaper
kid,0.016999855625372498,en,reaper
party,0.016999855625372498,en,reaper
plan,0.01695011638384847,en,reaper
stuff,0.01695011638384847,en,reaper
send,0.01695011638384847,en,reaper
wrenchy,0.016821059991890996,en,reaper
head,0.016815054975188818,en,reaper
happy,0.016596677637848705,en,reaper
give,0.01637830030050859,en,reaper
greg,0.016163407931558137,en,reaper
new,0.016159922963168476,en,reaper
call,0.016159922963168476,en,reaper
sound,0.016159922963168476,en,reaper
son,0.016069590857414787,en,reaper
tonight,0.015976773274961113,en,reaper
open,0.01594154562582836,en,reaper
house,0.01594154562582836,en,reaper
ted,0.015884934714012276,en,reaper
stupid,0.015849459475806363,en,reaper
turn,0.015723168288488246,en,reaper
hate,0.015629328094197942,en,reaper
watch,0.015504790951148132,en,reaper
home,0.015286413613808017,en,reaper
figure,0.015189065330981098,en,reaper
remember,0.015068036276467902,en,reaper
may,0.014982513004814652,en,reaper
wanna,0.014867275130866588,en,reaper
woman,0.014849658939127788,en,reaper
hit,0.014849658939127788,en,reaper
today,0.014631281601787673,en,reaper
world,0.014631281601787673,en,reaper
easy,0.014412904264447558,en,reaper
face,0.014308539804547412,en,reaper
mind,0.014194526927107444,en,reaper
fight,0.014194526927107444,en,reaper
escaped,0.014114758827894069,en,reaper
check,0.01397614958976733,en,reaper
jordy,0.013819603038049457,en,reaper
fire,0.013757772252427216,en,reaper
bit,0.013757772252427216,en,reaper
leon,0.01367621047852094,en,reaper
kristen,0.01362789685669652,en,reaper
second,0.013539394915087101,en,reaper
suppose,0.013321017577746987,en,reaper
hard,0.013321017577746987,en,reaper
course,0.013207882896505303,en,reaper
buy,0.013102640240406872,en,reaper
miss,0.013102640240406872,en,reaper
stay,0.013102640240406872,en,reaper
sell,0.01298775151489688,en,reaper
perfect,0.01298775151489688,en,reaper
understand,0.012884262903066757,en,reaper
eye,0.012884262903066757,en,reaper
change,0.012884262903066757,en,reaper
drink,0.01276762013328846,en,reaper
totally,0.012702922625505871,en,reaper
play,0.012665885565726643,en,reaper
fun,0.012648278842677545,en,reaper
lie,0.012447508228386528,en,reaper
bellifiore,0.012335443994053398,en,reaper
sprong,0.012335443994053398,en,reaper
glady,0.012280030921626344,en,reaper
sub,0.012167048943409886,en,reaper
forget,0.012107225988463196,en,reaper
hang,0.012107225988463196,en,reaper
worry,0.012107225988463196,en,reaper
hot,0.01207884478644888,en,reaper
morgan,0.012025933018066167,en,reaper
hour,0.012010753553706299,en,reaper
use,0.012010753553706299,en,reaper
beer,0.011924661443005828,en,reaper
pay,0.011887094606854774,en,reaper
whoa,0.01185959067169236,en,reaper
russ,0.011839842480895117,en,reaper
throw,0.011666963225246352,en,reaper
beautiful,0.011631480164728552,en,reaper
cause,0.011573998879026071,en,reaper
excuse,0.011573998879026071,en,reaper
have,0.011573998879026071,en,reaper
promise,0.011407797853868388,en,reaper
capture,0.011375844348604334,en,reaper
ready,0.011355621541685956,en,reaper
week,0.011355621541685956,en,reaper
father,0.011316881069764119,en,reaper
free,0.011226700462029508,en,reaper
hope,0.011137244204345842,en,reaper
wear,0.010960433232148058,en,reaper
sam,0.010901873734602132,en,reaper
set,0.01087308181212631,en,reaper
lose,0.010700489529665612,en,reaper
exactly,0.010700489529665612,en,reaper
contract,0.010597356206534432,en,reaper
minute,0.010566306317204241,en,reaper
