mot,poids_tfidf,langue,serie
c,0.5561009303895598,fr,reaper
andi,0.2384162395025096,fr,reaper
bien,0.23284257582609427,fr,reaper
sock,0.21925244344939013,fr,reaper
non,0.21265264465172984,fr,reaper
j,0.2087024407263107,fr,reaper
savoir,0.19399890389280616,fr,reaper
vouloir,0.17885645551203283,fr,reaper
sam,0.1619157406888652,fr,reaper
n,0.1531801299968085,fr,reaper
ouai,0.14726395744220494,fr,reaper
accord,0.1402322393523791,fr,reaper
faire,0.13913496048420715,fr,reaper
taire,0.11806720621530511,fr,reaper
aller,0.11389754651625159,fr,reaper
tre,0.1020469347399942,fr,reaper
bon,0.09875509813547825,fr,reaper
diable,0.09506671198686326,fr,reaper
vraiment,0.09195196915281197,fr,reaper
heure,0.08975741141646801,fr,reaper
devoir,0.08909904409556482,fr,reaper
voir,0.08734339790648965,fr,reaper
chose,0.08339319398107052,fr,reaper
oui,0.0735176841675227,fr,reaper
mec,0.06991737398407635,fr,reaper
ok,0.0691979329547664,fr,reaper
trs,0.06868965714756599,fr,reaper
t,0.06847020137393159,fr,reaper
petit,0.05618067805040541,fr,reaper
ici,0.055741766503136614,fr,reaper
enfer,0.0534389052235125,fr,reaper
croire,0.05266938567225507,fr,reaper
venir,0.05223047412498628,fr,reaper
mme,0.0509137394831799,fr,reaper
besoin,0.0509137394831799,fr,reaper
cady,0.050773681616781696,fr,reaper
heu,0.049637045089322276,fr,reaper
prendre,0.04871918174683594,fr,reaper
dsol,0.04849972597320154,fr,reaper
jamais,0.04564680091595439,fr,reaper
sammy,0.044860467694487115,fr,reaper
pouvoir,0.04213550853780405,fr,reaper
dieu,0.04191605276416966,fr,reaper
vie,0.04059931812236328,fr,reaper
aimer,0.04016040657509449,fr,reaper
sortir,0.039721495027825696,fr,reaper
dmon,0.03933546242723844,fr,reaper
passer,0.03884367193328811,fr,reaper
ami,0.038404760386019324,fr,reaper
regarder,0.038404760386019324,fr,reaper
truc,0.03805203354528746,fr,reaper
attend,0.036945869779436084,fr,reaper
veux,0.03664911419694415,fr,reaper
oh,0.03645662910704135,fr,reaper
temps,0.03642965842330975,fr,reaper
avoir,0.035771291102406566,fr,reaper
gars,0.03456875701741169,fr,reaper
trouver,0.034235100686965794,fr,reaper
fois,0.0340156449133314,fr,reaper
salut,0.033137821818793815,fr,reaper
penser,0.032040542950621836,fr,reaper
glady,0.03155601298288124,fr,reaper
greg,0.03126130009363128,fr,reaper
attendre,0.031162719856084247,fr,reaper
sr,0.03050435253518106,fr,reaper
tuer,0.02984598521427787,fr,reaper
problme,0.029626529440643475,fr,reaper
mettre,0.02940707366700908,fr,reaper
mal,0.02940707366700908,fr,reaper
contenir,0.029160327538762146,fr,reaper
sai,0.028748706346105893,fr,reaper
arriver,0.028529250572471496,fr,reaper
trop,0.027870883251568307,fr,reaper
fille,0.027431971704299514,fr,reaper
super,0.026979656325289456,fr,reaper
voiture,0.02671945261175625,fr,reaper
allez,0.02655414860976193,fr,reaper
dire,0.02655414860976193,fr,reaper
hein,0.026334692836127535,fr,reaper
air,0.026334692836127535,fr,reaper
soir,0.026326697627262835,fr,reaper
aider,0.02611523706249314,fr,reaper
tony,0.026107145634978544,fr,reaper
sprong,0.025879122588944443,fr,reaper
tr,0.02545686974158995,fr,reaper
bench,0.02529966639837783,fr,reaper
contenant,0.02529966639837783,fr,reaper
raison,0.025017958194321156,fr,reaper
ben,0.0246259486767978,fr,reaper
falloir,0.02435959087341797,fr,reaper
finir,0.02370122355251478,fr,reaper
appeler,0.02370122355251478,fr,reaper
m,0.023481767778880384,fr,reaper
l,0.023262312005245988,fr,reaper
monde,0.023262312005245988,fr,reaper
jour,0.02304285623161159,fr,reaper
grand,0.022384488910708406,fr,reaper
apr,0.022384488910708406,fr,reaper
quelqu,0.022384488910708406,fr,reaper
mourir,0.022384488910708406,fr,reaper
euh,0.02231345896318018,fr,reaper
voil,0.021726121589805216,fr,reaper
an,0.021726121589805216,fr,reaper
partir,0.021726121589805216,fr,reaper
laisse,0.02150666581617082,fr,reaper
beaucoup,0.021287210042536423,fr,reaper
gnial,0.02124939797555262,fr,reaper
cool,0.021173838626257012,fr,reaper
boulot,0.020964278449269024,fr,reaper
pense,0.02084829849526763,fr,reaper
entendre,0.02084829849526763,fr,reaper
steve,0.020297289995824787,fr,reaper
s,0.020189931174364444,fr,reaper
moment,0.020189931174364444,fr,reaper
sentir,0.01975101962709565,fr,reaper
pre,0.01931210807982686,fr,reaper
pass,0.01931210807982686,fr,reaper
morgan,0.01927804389351502,fr,reaper
nessman,0.019128047130958937,fr,reaper
mieux,0.019092652306192462,fr,reaper
femme,0.019092652306192462,fr,reaper
bert,0.01901035165630277,fr,reaper
tactactac,0.018776560789091,fr,reaper
mort,0.01865374075892367,fr,reaper
endroit,0.018583551266303178,fr,reaper
essayer,0.018434284985289272,fr,reaper
plat,0.018362318513132903,fr,reaper
pote,0.01813213516554803,fr,reaper
bizarre,0.017761607080815558,fr,reaper
