mot,poids_tfidf,langue,serie
gisbourn,0.4612238375810329,fr,robinhood
c,0.32453307526135394,fr,robinhood
robin,0.2687189119140042,fr,robinhood
shrif,0.21542730717203004,fr,robinhood
marianne,0.20683199422857917,fr,robinhood
n,0.19082250686628702,fr,robinhood
locksley,0.18922752160699619,fr,robinhood
bien,0.1802825353887657,fr,robinhood
non,0.17734114799969,fr,robinhood
nottingham,0.14959923164756347,fr,robinhood
j,0.13628428236050813,fr,robinhood
faire,0.12917592950357518,fr,robinhood
devoir,0.12280292349391111,fr,robinhood
djaq,0.12064710737814484,fr,robinhood
vouloir,0.11532689721334367,fr,robinhood
savoir,0.11373364571092766,fr,robinhood
aller,0.11152760516912087,fr,robinhood
much,0.10988167811323664,fr,robinhood
roi,0.10620845480595385,fr,robinhood
homme,0.1057673881988476,fr,robinhood
taire,0.10503204135157866,fr,robinhood
oui,0.10270344300189373,fr,robinhood
ici,0.08775139044075884,fr,robinhood
sire,0.08703064877077175,fr,robinhood
tre,0.07904978608140985,fr,robinhood
voir,0.07549560965294336,fr,robinhood
bon,0.07500537842143074,fr,robinhood
bois,0.07288123576144252,fr,robinhood
allan,0.07124627687049552,fr,robinhood
pouvoir,0.07083841295357347,fr,robinhood
chose,0.0626270398257371,fr,robinhood
lardner,0.06018245335513029,fr,robinhood
mourir,0.06005332586029585,fr,robinhood
avoir,0.05772472751061091,fr,robinhood
venir,0.056989380663341985,fr,robinhood
marian,0.0550807982553014,fr,robinhood
tuer,0.0547833401215352,fr,robinhood
veilleur,0.05454424027096402,fr,robinhood
besoin,0.049881027806409,fr,robinhood
croire,0.04926823876701823,fr,robinhood
prendre,0.04669452480157698,fr,robinhood
mme,0.046571966993698824,fr,robinhood
ami,0.04608173576218621,fr,robinhood
hood,0.04446065714641477,fr,robinhood
vraiment,0.04375313741250127,fr,robinhood
jamais,0.0433854639888668,fr,robinhood
penser,0.0433854639888668,fr,robinhood
aimer,0.042037328102207096,fr,robinhood
chteau,0.04189127996080912,fr,robinhood
sarrasin,0.04184332089949452,fr,robinhood
vie,0.041179423447060014,fr,robinhood
partir,0.0409343078313037,fr,robinhood
petit,0.0409343078313037,fr,robinhood
angleterre,0.040470004681508596,fr,robinhood
s,0.04032151879191293,fr,robinhood
pre,0.039586171944644005,fr,robinhood
argent,0.03897338290525323,fr,robinhood
trouver,0.0382380360579843,fr,robinhood
mort,0.03774780482647168,fr,robinhood
will,0.037590022194174816,fr,robinhood
attendre,0.03738013140283722,fr,robinhood
fort,0.0368899001713246,fr,robinhood
temps,0.0368899001713246,fr,robinhood
dire,0.03676734236344644,fr,robinhood
seigneur,0.034883745615608946,fr,robinhood
garde,0.033948512782248884,fr,robinhood
femme,0.03382595497437073,fr,robinhood
loi,0.03266612506097901,fr,robinhood
passer,0.03223270347195471,fr,robinhood
prince,0.03156951891309989,fr,robinhood
terre,0.031134646421976685,fr,robinhood
sr,0.030762009777416856,fr,robinhood
trs,0.030271778545904238,fr,robinhood
nuit,0.02978154731439162,fr,robinhood
jour,0.029536431698635308,fr,robinhood
guy,0.02913444720956533,fr,robinhood
matre,0.028731296060853506,fr,robinhood
aider,0.027943180196219296,fr,robinhood
arriver,0.027207833348950366,fr,robinhood
saint,0.026971158631817264,fr,robinhood
dsol,0.026840159925315903,fr,robinhood
