mot,poids_tfidf,langue,serie
s,0.5262539447991068,en,samanthawho
know,0.3856982119084936,en,samanthawho
go,0.23960878874659647,en,samanthawho
want,0.21360044447156173,en,samanthawho
m,0.21083359933591975,en,samanthawho
t,0.20363980198325057,en,samanthawho
todd,0.16091441288280028,en,samanthawho
right,0.1604770178672355,en,samanthawho
think,0.15328322051456633,en,samanthawho
look,0.14608942316189716,en,samanthawho
mean,0.14110910191774156,en,samanthawho
come,0.14110910191774156,en,samanthawho
get,0.11399401958845004,en,samanthawho
good,0.10735359126290926,en,samanthawho
samantha,0.1006171299604682,en,samanthawho
guy,0.08144081219627128,en,samanthawho
tell,0.08134524698787454,en,samanthawho
thing,0.08023850893361775,en,samanthawho
need,0.07525818768946217,en,samanthawho
time,0.07138460449956338,en,samanthawho
thank,0.07027786644530658,en,samanthawho
sorry,0.06917112839104979,en,samanthawho
let,0.0669576522825362,en,samanthawho
say,0.0664042832554078,en,samanthawho
love,0.0636374381197658,en,samanthawho
dane,0.06269851395425347,en,samanthawho
maybe,0.06031722395699541,en,samanthawho
dena,0.05967448455458289,en,samanthawho
tony,0.05910638866200402,en,samanthawho
friend,0.05699700979422502,en,samanthawho
wait,0.05699700979422502,en,samanthawho
little,0.05533690271283983,en,samanthawho
people,0.05423016465858303,en,samanthawho
try,0.052570057577197835,en,samanthawho
talk,0.05146331952294104,en,samanthawho
work,0.05035658146868424,en,samanthawho
mom,0.0495324442888501,en,samanthawho
day,0.04703636730591385,en,samanthawho
job,0.045929629251657056,en,samanthawho
night,0.045929629251657056,en,samanthawho
newly,0.04362592122468108,en,samanthawho
life,0.04316278411601507,en,samanthawho
leave,0.04316278411601507,en,samanthawho
like,0.04260941508888667,en,samanthawho
funk,0.04107333046687493,en,samanthawho
feel,0.040949308007501475,en,samanthawho
okay,0.040707843425341395,en,samanthawho
way,0.040395938980373074,en,samanthawho
wylder,0.039782989703055265,en,samanthawho
owen,0.03861767384926095,en,samanthawho
help,0.037629093844731086,en,samanthawho
stop,0.037075724817602684,en,samanthawho
great,0.03652235579047429,en,samanthawho
frank,0.03614516058048803,en,samanthawho
see,0.03541561773621749,en,samanthawho
bad,0.03541561773621749,en,samanthawho
gay,0.03528734414766893,en,samanthawho
fine,0.032911013147808255,en,samanthawho
man,0.0326487726005755,en,samanthawho
happen,0.0326487726005755,en,samanthawho
year,0.0326487726005755,en,samanthawho
house,0.032095403573447104,en,samanthawho
start,0.032095403573447104,en,samanthawho
remember,0.0315420345463187,en,samanthawho
willow,0.030968383559382216,en,samanthawho
well,0.029881927464933507,en,samanthawho
meet,0.029881927464933507,en,samanthawho
sure,0.02932855843780511,en,samanthawho
find,0.02932855843780511,en,samanthawho
car,0.028907404389864645,en,samanthawho
kind,0.02877518941067671,en,samanthawho
mother,0.02877518941067671,en,samanthawho
new,0.028221820383548313,en,samanthawho
d,0.027115082329291516,en,samanthawho
lot,0.027115082329291516,en,samanthawho
home,0.027115082329291516,en,samanthawho
boyfriend,0.027022035598581833,en,samanthawho
actually,0.026561713302163118,en,samanthawho
hear,0.026561713302163118,en,samanthawho
listen,0.026561713302163118,en,samanthawho
win,0.026561713302163118,en,samanthawho
live,0.026561713302163118,en,samanthawho
play,0.026561713302163118,en,samanthawho
nice,0.02600834427503472,en,samanthawho
bowl,0.025720290767106496,en,samanthawho
big,0.025101620197480874,en,samanthawho
girl,0.024901606220777923,en,samanthawho
away,0.024901606220777923,en,samanthawho
date,0.0247409592106653,en,samanthawho
make,0.024348237193649525,en,samanthawho
place,0.024348237193649525,en,samanthawho
turn,0.023794868166521127,en,samanthawho
miss,0.023794868166521127,en,samanthawho
guess,0.023794868166521127,en,samanthawho
wes,0.02351194273284505,en,samanthawho
dog,0.02342602051734619,en,samanthawho
take,0.02324149913939273,en,samanthawho
care,0.02324149913939273,en,samanthawho
bring,0.02268813011226433,en,samanthawho
buy,0.02268813011226433,en,samanthawho
run,0.02268813011226433,en,samanthawho
tommy,0.022500552795534565,en,samanthawho
fun,0.022491781100604815,en,samanthawho
howard,0.02222541576249473,en,samanthawho
change,0.022134761085135932,en,samanthawho
break,0.021754737504483423,en,samanthawho
real,0.021581392058007534,en,samanthawho
ask,0.021581392058007534,en,samanthawho
give,0.021581392058007534,en,samanthawho
understand,0.021581392058007534,en,samanthawho
hard,0.021581392058007534,en,samanthawho
long,0.021028023030879136,en,samanthawho
