mot,poids_tfidf,langue,serie
s,0.5631840750282879,en,sanctuary
know,0.29222558298670603,en,sanctuary
t,0.261900286639029,en,sanctuary
go,0.17880109794604385,en,sanctuary
right,0.16659221240347258,en,sanctuary
come,0.16029085212343577,en,sanctuary
think,0.153989491843399,en,sanctuary
m,0.1413867712833254,en,sanctuary
get,0.13390390595078175,en,sanctuary
abnormal,0.13299860772355893,en,sanctuary
want,0.11578749514567598,en,sanctuary
cabal,0.11324056783925152,en,sanctuary
time,0.11145530995315069,en,sanctuary
sanctuary,0.10789311581399548,en,sanctuary
find,0.10712312476062538,en,sanctuary
look,0.1047601146556116,en,sanctuary
need,0.103972444620607,en,sanctuary
good,0.09530807423555641,en,sanctuary
thing,0.09452040420055181,en,sanctuary
tell,0.09215739409553801,en,sanctuary
work,0.08467452876299433,en,sanctuary
way,0.08073617858797134,en,sanctuary
let,0.08073617858797134,en,sanctuary
mean,0.07640399339544605,en,sanctuary
magnus,0.07312787535753607,en,sanctuary
guy,0.07265070134093891,en,sanctuary
try,0.07167797318541846,en,sanctuary
say,0.06892112806290236,en,sanctuary
bertha,0.06890196471641391,en,sanctuary
nubbin,0.06876188596556282,en,sanctuary
projet,0.0675509458004058,en,sanctuary
help,0.06616428294038627,en,sanctuary
happen,0.05986292266034948,en,sanctuary
kill,0.05789374757283799,en,sanctuary
man,0.05710607753783339,en,sanctuary
makri,0.05662743550105173,en,sanctuary
creature,0.052484646654264805,en,sanctuary
leave,0.0496232122052897,en,sanctuary
people,0.0492293771877874,en,sanctuary
henry,0.048050115808916466,en,sanctuary
stop,0.04804787213528051,en,sanctuary
hell,0.04804787213528051,en,sanctuary
see,0.04765403711777821,en,sanctuary
sure,0.04726020210027591,en,sanctuary
blood,0.04644880905404292,en,sanctuary
ashley,0.046203595394202795,en,sanctuary
magnu,0.043735569469108795,en,sanctuary
little,0.04332185192525292,en,sanctuary
talk,0.04253418189024832,en,sanctuary
sorry,0.041352676837741416,en,sanctuary
take,0.041352676837741416,en,sanctuary
long,0.041352676837741416,en,sanctuary
die,0.04056500680273682,en,sanctuary
thank,0.04017117178523452,en,sanctuary
year,0.04017117178523452,en,sanctuary
kind,0.03898966673272762,en,sanctuary
feel,0.03859583171522532,en,sanctuary
d,0.03820199669772303,en,sanctuary
bad,0.03780816168022073,en,sanctuary
believe,0.03780816168022073,en,sanctuary
life,0.037414326662718426,en,sanctuary
tesla,0.03718130163455892,en,sanctuary
bring,0.037020491645216126,en,sanctuary
day,0.037020491645216126,en,sanctuary
okay,0.03694972052457623,en,sanctuary
place,0.03544515157520693,en,sanctuary
stay,0.03505131655770463,en,sanctuary
big,0.03453885801454473,en,sanctuary
old,0.03426364652270003,en,sanctuary
