mot,poids_tfidf,langue,serie
c,0.5602607647333494,fr,sexandthecity
n,0.29146833466384514,fr,sexandthecity
j,0.28234266574173233,fr,sexandthecity
taire,0.22703558136529114,fr,sexandthecity
miranda,0.1800011966852136,fr,sexandthecity
vouloir,0.169101410480969,fr,sexandthecity
bien,0.16329416662144267,fr,sexandthecity
non,0.14919086010545016,fr,sexandthecity
charlotte,0.14288368634901438,fr,sexandthecity
faire,0.1374381046754564,fr,sexandthecity
savoir,0.13024818370651906,fr,sexandthecity
carrie,0.1272372546476136,fr,sexandthecity
tre,0.11089070417476463,fr,sexandthecity
devoir,0.09305416946336233,fr,sexandthecity
voir,0.09194802777583351,fr,sexandthecity
bon,0.08849133500230594,fr,sexandthecity
aller,0.08807653186948262,fr,sexandthecity
oui,0.08489637451783726,fr,sexandthecity
bradshaw,0.0846406738021111,fr,sexandthecity
aidan,0.08115419101308957,fr,sexandthecity
femme,0.08019527234583974,fr,sexandthecity
homme,0.07507936704101893,fr,sexandthecity
chose,0.07494109933007784,fr,sexandthecity
croire,0.0735584222206668,fr,sexandthecity
vraiment,0.06802771378302268,fr,sexandthecity
mme,0.06705983980643496,fr,sexandthecity
jamais,0.06540062727514173,fr,sexandthecity
venir,0.0641562178766718,fr,sexandthecity
samantha,0.06226775015698468,fr,sexandthecity
trey,0.05810800649728988,fr,sexandthecity
prendre,0.058072438595263266,fr,sexandthecity
passer,0.05779590317338106,fr,sexandthecity
falloir,0.05599842293114672,fr,sexandthecity
petit,0.05544535208738231,fr,sexandthecity
heure,0.0551688166655001,fr,sexandthecity
aimer,0.05447747811079459,fr,sexandthecity
temps,0.05406267497797128,fr,sexandthecity
soir,0.05129452406871123,fr,sexandthecity
apr,0.04991464364973819,fr,sexandthecity
fois,0.04936157280597378,fr,sexandthecity
an,0.04825543111844495,fr,sexandthecity
ici,0.04811716340750385,fr,sexandthecity
trs,0.04673448629809282,fr,sexandthecity
vie,0.04673448629809282,fr,sexandthecity
trop,0.04507527376679958,fr,sexandthecity
mec,0.04390735574051612,fr,sexandthecity
steve,0.04276733130973265,fr,sexandthecity
avoir,0.04175684870421311,fr,sexandthecity
appeler,0.04175684870421311,fr,sexandthecity
pouvoir,0.04161858099327201,fr,sexandthecity
