mot,poids_tfidf,langue,serie
fuck,0.5264895750633469,en,skins
s,0.4635302643051179,en,skins
t,0.23057880527788321,en,skins
fucking,0.19980546789065556,en,skins
know,0.18140016392768923,en,skins
right,0.16500728347762456,en,skins
go,0.16436019609143782,en,skins
get,0.1559480600710099,en,skins
m,0.15314401473086725,en,skins
sid,0.1463935563042462,en,skins
come,0.1451632703012305,en,skins
effy,0.13291606019344362,en,skins
think,0.11971116644455115,en,skins
want,0.11582864212743058,en,skins
shit,0.10085643161418546,en,skins
look,0.0962003247464321,en,skins
jal,0.09283608115116018,en,skins
love,0.09123932145233359,en,skins
mum,0.09013022311888196,en,skins
good,0.07894466111478508,en,skins
tony,0.07771321814091907,en,skins
tell,0.0770033989562248,en,skins
jj,0.07034312292114389,en,skins
let,0.06859126293579688,en,skins
say,0.0647087386186763,en,skins
anwar,0.06325095638870254,en,skins
man,0.0629831722555116,en,skins
sorry,0.05651229839364397,en,skins
maxxie,0.05427405791232282,en,skins
need,0.05392394884889692,en,skins
cassie,0.0522393308362845,en,skins
time,0.05133559930414987,en,skins
mean,0.04961003294098516,en,skins
thing,0.0472373791916337,en,skins
girl,0.04464902964688665,en,skins
leave,0.0420606801021396,en,skins
dad,0.039013120676314385,en,skins
thank,0.03860954737581019,en,skins
tit,0.03769335308501577,en,skins
nice,0.03731537260343667,en,skins
cass,0.03675470046029744,en,skins
bit,0.03623689362645873,en,skins
talk,0.03623689362645873,en,skins
ok,0.03575534094292867,en,skins
friend,0.03515841464948079,en,skins
chelle,0.03449249649029798,en,skins
mate,0.033535626053775795,en,skins
stop,0.0332171524909205,en,skins
naomi,0.032968101968200735,en,skins
way,0.03257006510473374,en,skins
freddie,0.03234463880284763,en,skins
like,0.03192297771854698,en,skins
try,0.031060194536964625,en,skins
feel,0.031060194536964625,en,skins
cook,0.03035496719694286,en,skins
little,0.029981715559986685,en,skins
boy,0.029550323969195512,en,skins
fine,0.02891796404079154,en,skins
day,0.02868754078761316,en,skins
happen,0.027824757606030807,en,skins
spliff,0.02778562217274004,en,skins
well,0.02696197442444846,en,skins
d,0.02674627862905287,en,skins
emily,0.026419480811688198,en,skins
michelle,0.0260000305416622,en,skins
work,0.025667799652074934,en,skins
pandora,0.025340183120713764,en,skins
sure,0.025236408061283758,en,skins
win,0.02502071226588817,en,skins
party,0.02496572585569721,en,skins
help,0.024589320675096994,en,skins
maybe,0.024373624879701405,en,skins
panda,0.024023187828215182,en,skins
wanker,0.023727853354827758,en,skins
people,0.023726537493514645,en,skins
coursework,0.02365983819472423,en,skins
great,0.023510841698119057,en,skins
away,0.022863754311932293,en,skins
twat,0.02271310927082423,en,skins
find,0.02221666692574553,en,skins
katie,0.02208948354946171,en,skins
listen,0.021785275334954356,en,skins
bad,0.021785275334954356,en,skins
hear,0.021569579539558768,en,skins
dunno,0.020118431512210037,en,skins
big,0.020003403697389635,en,skins
cool,0.01966327080669957,en,skins
cock,0.01963875402542862,en,skins
shag,0.01962495430544472,en,skins
lovely,0.0193163034241814,en,skins
wanna,0.019068210667636806,en,skins
life,0.018981229994811714,en,skins
night,0.018765534199416126,en,skins
take,0.01854983840402054,en,skins
mind,0.01833414260862495,en,skins
home,0.01833414260862495,en,skins
osama,0.018204373147657268,en,skins
wait,0.018118446813229366,en,skins
play,0.018118446813229366,en,skins
lot,0.018118446813229366,en,skins
pussy,0.018075615807646456,en,skins
remember,0.017902751017833778,en,skins
stupid,0.017829120686803805,en,skins
sake,0.017793839912692587,en,skins
stuff,0.017611692385745226,en,skins
start,0.0174713594270426,en,skins
bollock,0.01741711047376643,en,skins
arse,0.0174131102787615,en,skins
guy,0.01739426408468664,en,skins
ask,0.017255663631647013,en,skins
kid,0.01723297890924232,en,skins
angie,0.017228808484462236,en,skins
stay,0.017039967836251425,en,skins
wrong,0.017039967836251425,en,skins
fucker,0.01682569313211319,en,skins
meet,0.01660857624546025,en,skins
make,0.01639288045006466,en,skins
ring,0.016257896510250478,en,skins
long,0.016177184654669077,en,skins
see,0.016177184654669077,en,skins
fitch,0.0159701817299446,en,skins
baby,0.015780588138733908,en,skins
today,0.015530097268482312,en,skins
tosser,0.015363703431352623,en,skins
suppose,0.015098705677691136,en,skins
tonight,0.014903888797693134,en,skins
speak,0.014883009882295548,en,skins
piss,0.014721894044994787,en,skins
actually,0.014667314086899962,en,skins
give,0.014667314086899962,en,skins
run,0.014667314086899962,en,skins
fred,0.014536807158765009,en,skins
gay,0.014327637070590319,en,skins
totally,0.014143821469063338,en,skins
problem,0.014020226700713198,en,skins
place,0.014020226700713198,en,skins
year,0.013804530905317611,en,skins
lad,0.013783885257277915,en,skins
sex,0.013755063566238108,en,skins
funny,0.013697982966690728,en,skins
change,0.013588835109922023,en,skins
drink,0.013480554665632147,en,skins
shut,0.013480554665632147,en,skins
miss,0.013373139314526435,en,skins
turn,0.013373139314526435,en,skins
cheer,0.01327242975689642,en,skins
course,0.013263126364573564,en,skins
hang,0.013263126364573564,en,skins
tone,0.013194752117524081,en,skins
sit,0.01294174772373526,en,skins
lose,0.01294174772373526,en,skins
hand,0.01294174772373526,en,skins
pill,0.012872858889969547,en,skins
later,0.012828269762456396,en,skins
care,0.012726051928339673,en,skins
college,0.012649983639358622,en,skins
new,0.012510356132944085,en,skins
head,0.012510356132944085,en,skins
ball,0.012446825833311068,en,skins
nip,0.012209726867768996,en,skins
sort,0.012151459487286251,en,skins
girlfriend,0.012110719675775856,en,skins
hell,0.012078964542152909,en,skins
house,0.012078964542152909,en,skins
eat,0.012078964542152909,en,skins
sister,0.011930523860244683,en,skins
happy,0.011863268746757322,en,skins
old,0.011863268746757322,en,skins
innit,0.011838829427854173,en,skins
world,0.011647572951361734,en,skins
music,0.011590667506354957,en,skins
money,0.011431877155966146,en,skins
