mot,poids_tfidf,langue,serie
c,0.5135853546776602,fr,sonsofanarchy
clay,0.2505085298081276,fr,sonsofanarchy
j,0.21452555964020278,fr,sonsofanarchy
opie,0.21156139869514926,fr,sonsofanarchy
savoir,0.18741080489013998,fr,sonsofanarchy
vouloir,0.1786383842357079,fr,sonsofanarchy
mayan,0.17126398941988272,fr,sonsofanarchy
zobelle,0.1655985338986772,fr,sonsofanarchy
faire,0.15870106456654406,fr,sonsofanarchy
charming,0.15742082852096478,fr,sonsofanarchy
bien,0.13876374489738025,fr,sonsofanarchy
taire,0.12879508506279833,fr,sonsofanarchy
jax,0.12614415586012392,fr,sonsofanarchy
bon,0.10287656949288534,fr,sonsofanarchy
t,0.09888910555905259,fr,sonsofanarchy
atf,0.09766877977085602,fr,sonsofanarchy
aller,0.09450289523183654,fr,sonsofanarchy
voir,0.09330665605168671,fr,sonsofanarchy
falloir,0.09211041687153688,fr,sonsofanarchy
unser,0.08995475915483701,fr,sonsofanarchy
darby,0.08826753445379142,fr,sonsofanarchy
devoir,0.08652796736417101,fr,sonsofanarchy
club,0.08479105200010234,fr,sonsofanarchy
tre,0.08453423539725463,fr,sonsofanarchy
zobell,0.08382148012155266,fr,sonsofanarchy
gemma,0.08342414796472876,fr,sonsofanarchy
chose,0.07855303949650548,fr,sonsofanarchy
luann,0.07530994379708893,fr,sonsofanarchy
stahl,0.06718538343164986,fr,sonsofanarchy
ici,0.06659064769500718,fr,sonsofanarchy
anarchy,0.06542164302169964,fr,sonsofanarchy
n,0.06379942294132425,fr,sonsofanarchy
prendre,0.06340067654794097,fr,sonsofanarchy
venir,0.06180569097440786,fr,sonsofanarchy
merde,0.0611897628327503,fr,sonsofanarchy
non,0.06100819818764131,fr,sonsofanarchy
croire,0.06021070540087476,fr,sonsofanarchy
passer,0.06021070540087476,fr,sonsofanarchy
arme,0.059811959007491484,fr,sonsofanarchy
besoin,0.05941321261410821,fr,sonsofanarchy
otto,0.05841233897677373,fr,sonsofanarchy
petit,0.05582449507365872,fr,sonsofanarchy
putain,0.055719453334905814,fr,sonsofanarchy
santiag,0.05540893775349146,fr,sonsofanarchy
niner,0.0511488898763809,fr,sonsofanarchy
mme,0.0510395383530594,fr,sonsofanarchy
laroy,0.048951463468107796,fr,sonsofanarchy
tig,0.04819075969785474,fr,sonsofanarchy
bobby,0.04806860044870259,fr,sonsofanarchy
caracara,0.04702180592184662,fr,sonsofanarchy
son,0.04673428997947176,fr,sonsofanarchy
gars,0.044980554135333,fr,sonsofanarchy
weston,0.04439755917255377,fr,sonsofanarchy
hefner,0.0434827322255919,fr,sonsofanarchy
temps,0.04266586409201059,fr,sonsofanarchy
appeler,0.042267117698627316,fr,sonsofanarchy
trouver,0.04186837130524404,fr,sonsofanarchy
teller,0.04027445462962756,fr,sonsofanarchy
dsol,0.04027338573171093,fr,sonsofanarchy
mec,0.03985517052947233,fr,sonsofanarchy
veux,0.03947589294494438,fr,sonsofanarchy
arriver,0.03947589294494438,fr,sonsofanarchy
chib,0.03884410054413416,fr,sonsofanarchy
fille,0.037880907371411275,fr,sonsofanarchy
hale,0.03787205709970908,fr,sonsofanarchy
pre,0.037482160978028,fr,sonsofanarchy
famille,0.037482160978028,fr,sonsofanarchy
vraiment,0.037482160978028,fr,sonsofanarchy
donner,0.03698171166191997,fr,sonsofanarchy
kohn,0.03679967419970605,fr,sonsofanarchy
truc,0.03577578628163997,fr,sonsofanarchy
samcro,0.034755247855277935,fr,sonsofanarchy
jamais,0.034292189830961786,fr,sonsofanarchy
tuer,0.03389344343757851,fr,sonsofanarchy
pouvoir,0.03349469704419523,fr,sonsofanarchy
ak,0.03335031504370693,fr,sonsofanarchy
mckeavy,0.03271082151084982,fr,sonsofanarchy
sortir,0.031899711470662125,fr,sonsofanarchy
ok,0.031221828518083777,fr,sonsofanarchy
aider,0.03110221868389557,fr,sonsofanarchy
hal,0.03099107035201807,fr,sonsofanarchy
dire,0.030703472290512294,fr,sonsofanarchy
oui,0.030703472290512294,fr,sonsofanarchy
flie,0.030666395166421705,fr,sonsofanarchy
problme,0.030304725897129018,fr,sonsofanarchy
partir,0.030304725897129018,fr,sonsofanarchy
ope,0.030123977518835564,fr,sonsofanarchy
fdrau,0.03006031618717107,fr,sonsofanarchy
mettre,0.029905979503745742,fr,sonsofanarchy
sack,0.029259311801788045,fr,sonsofanarchy
