mot,poids_tfidf,langue,serie
c,0.5092646839738297,fr,stargateuniverse
j,0.23880166951354503,fr,stargateuniverse
vaisseau,0.23580321772712373,fr,stargateuniverse
destiny,0.20941503934164687,fr,stargateuniverse
savoir,0.19372450043683093,fr,stargateuniverse
colonel,0.18049629150284438,fr,stargateuniverse
rush,0.17159560532527918,fr,stargateuniverse
bien,0.15294039508170862,fr,stargateuniverse
vouloir,0.144354267638525,fr,stargateuniverse
n,0.14274436874292806,fr,stargateuniverse
young,0.1410884668266535,fr,stargateuniverse
taire,0.14059783688213215,fr,stargateuniverse
ici,0.1389879379865352,fr,stargateuniverse
faire,0.13737803909093826,fr,stargateuniverse
aller,0.12879191164775464,fr,stargateuniverse
telford,0.12162256246903565,fr,stargateuniverse
kino,0.1210611304328969,fr,stargateuniverse
eli,0.11910414636136735,fr,stargateuniverse
tre,0.11000975786579041,fr,stargateuniverse
devoir,0.10893649193539245,fr,stargateuniverse
porte,0.10249689635300473,fr,stargateuniverse
non,0.09659393373581597,fr,stargateuniverse
bon,0.09337413594462211,fr,stargateuniverse
voir,0.08586127443183642,fr,stargateuniverse
plante,0.08481522420322131,fr,stargateuniverse
hyperespace,0.08134839056125495,fr,stargateuniverse
temps,0.07244545030186197,fr,stargateuniverse
pouvoir,0.07029891844106607,fr,stargateuniverse
scott,0.0684009333864939,fr,stargateuniverse
oui,0.0670791206498722,fr,stargateuniverse
falloir,0.06600585471947425,fr,stargateuniverse
passer,0.06493258878907629,fr,stargateuniverse
avoir,0.06439595582387732,fr,stargateuniverse
prendre,0.0601028921022855,fr,stargateuniverse
chose,0.05902962617188754,fr,stargateuniverse
lieutenant,0.0585829253856968,fr,stargateuniverse
arriver,0.05473656245029572,fr,stargateuniverse
croire,0.05473656245029572,fr,stargateuniverse
trouver,0.05419992948509674,fr,stargateuniverse
chevron,0.053696163933755606,fr,stargateuniverse
dire,0.052590030589499806,fr,stargateuniverse
mme,0.05205339762430083,fr,stargateuniverse
problme,0.05151676465910185,fr,stargateuniverse
systme,0.04962784431336163,fr,stargateuniverse
vraiment,0.04937023279830594,fr,stargateuniverse
besoin,0.048833599833106964,fr,stargateuniverse
venir,0.04668706797231106,fr,stargateuniverse
terre,0.04598314658655555,fr,stargateuniverse
lucienne,0.04560846092588837,fr,stargateuniverse
chloe,0.04547238785832077,fr,stargateuniverse
attendre,0.04507716907671412,fr,stargateuniverse
nergie,0.04397536735064503,fr,stargateuniverse
navette,0.043871136768565765,fr,stargateuniverse
composer,0.041330145417975264,fr,stargateuniverse
air,0.04132073832032128,fr,stargateuniverse
fois,0.0407841053551223,fr,stargateuniverse
penser,0.039710839424724344,fr,stargateuniverse
bouclier,0.03954485147379701,fr,stargateuniverse
mourir,0.039174206459525365,fr,stargateuniverse
alien,0.03906973945695341,fr,stargateuniverse
fait,0.03863757349432639,fr,stargateuniverse
heure,0.03863757349432639,fr,stargateuniverse
sortir,0.03810094052912741,fr,stargateuniverse
mieux,0.03702767459872946,fr,stargateuniverse
rentrer,0.03649104163353048,fr,stargateuniverse
sg,0.03613424533873191,fr,stargateuniverse
monde,0.0359544086683315,fr,stargateuniverse
accord,0.0359544086683315,fr,stargateuniverse
s,0.0359544086683315,fr,stargateuniverse
sr,0.03541777570313252,fr,stargateuniverse
essayer,0.034881142737933545,fr,stargateuniverse
raison,0.03380787680753559,fr,stargateuniverse
chance,0.033271243842336616,fr,stargateuniverse
trouv,0.03273461087713764,fr,stargateuniverse
jamais,0.03273461087713764,fr,stargateuniverse
revenir,0.03273461087713764,fr,stargateuniverse
toile,0.032449800867596246,fr,stargateuniverse
trop,0.03219797791193866,fr,stargateuniverse
partir,0.031124711981540702,fr,stargateuniverse
sergent,0.030090974858383836,fr,stargateuniverse
finir,0.03005144605114275,fr,stargateuniverse
dsol,0.02951481308594377,fr,stargateuniverse
rester,0.029212822537341174,fr,stargateuniverse
aider,0.028978180120744792,fr,stargateuniverse
rponder,0.02884426743786333,fr,stargateuniverse
brody,0.028799178976936488,fr,stargateuniverse
donne,0.028441547155545813,fr,stargateuniverse
minute,0.028130866147069278,fr,stargateuniverse
vie,0.02790491419034684,fr,stargateuniverse
greer,0.02754847956547767,fr,stargateuniverse
volker,0.027513893280203844,fr,stargateuniverse
trs,0.02736828122514786,fr,stargateuniverse
quipage,0.027315851267969714,fr,stargateuniverse
ancien,0.026939007040452066,fr,stargateuniverse
mal,0.02683164825994888,fr,stargateuniverse
eau,0.026722585939773967,fr,stargateuniverse
dr,0.026391726541910184,fr,stargateuniverse
cas,0.026295015294749903,fr,stargateuniverse
truc,0.025966953366525488,fr,stargateuniverse
regarder,0.025758382329550925,fr,stargateuniverse
l,0.025758382329550925,fr,stargateuniverse
entendre,0.025758382329550925,fr,stargateuniverse
spencer,0.025462074120819137,fr,stargateuniverse
johansen,0.02533803384771576,fr,stargateuniverse
moment,0.02522174936435195,fr,stargateuniverse
apr,0.02522174936435195,fr,stargateuniverse
adresse,0.02498387915847015,fr,stargateuniverse
hyperpropulsion,0.024856452671494562,fr,stargateuniverse
camil,0.024762503952183455,fr,stargateuniverse
arme,0.02468511639915297,fr,stargateuniverse
beaucoup,0.024148483433953993,fr,stargateuniverse
pass,0.024148483433953993,fr,stargateuniverse
pierre,0.024126546439561893,fr,stargateuniverse
bord,0.024041713720474613,fr,stargateuniverse
anne,0.023611850468755014,fr,stargateuniverse
mort,0.023611850468755014,fr,stargateuniverse
mettre,0.023611850468755014,fr,stargateuniverse
m,0.02307521750355604,fr,stargateuniverse
t,0.02307521750355604,fr,stargateuniverse
ignorer,0.0227210841957098,fr,stargateuniverse
quelqu,0.02253858453835706,fr,stargateuniverse
contrle,0.02218010600057385,fr,stargateuniverse
loin,0.022001951573158082,fr,stargateuniverse
projet,0.02175202669947703,fr,stargateuniverse
alliance,0.02162334533697863,fr,stargateuniverse
jour,0.021465318607959104,fr,stargateuniverse
franklin,0.021281561845096927,fr,stargateuniverse
aimer,0.02092868564276013,fr,stargateuniverse
vite,0.02092868564276013,fr,stargateuniverse
tuer,0.02092868564276013,fr,stargateuniverse
quipe,0.02084018779513373,fr,stargateuniverse
stellaire,0.020838470600757948,fr,stargateuniverse
galaxie,0.02066244569896532,fr,stargateuniverse
travailler,0.02039205267756115,fr,stargateuniverse
utiliser,0.02039205267756115,fr,stargateuniverse
gorman,0.020270427078172608,fr,stargateuniverse
icaru,0.020270427078172608,fr,stargateuniverse
wray,0.020270427078172608,fr,stargateuniverse
ide,0.019855419712362172,fr,stargateuniverse
habitable,0.019688593442377052,fr,stargateuniverse
rapport,0.019475215024894115,fr,stargateuniverse
arrter,0.019318786747163193,fr,stargateuniverse
endroit,0.01893423682975817,fr,stargateuniverse
ouvrir,0.01893423682975817,fr,stargateuniverse
neill,0.018877118887672205,fr,stargateuniverse
vortex,0.018519263215272495,fr,stargateuniverse
ordre,0.01843775154154042,fr,stargateuniverse
plat,0.018393258634622222,fr,stargateuniverse
continuer,0.018393258634622222,fr,stargateuniverse
pre,0.01770888785156626,fr,stargateuniverse
dieu,0.01770888785156626,fr,stargateuniverse
perdre,0.01770888785156626,fr,stargateuniverse
