mot,poids_tfidf,langue,serie
s,0.5599094952235326,en,supernatural
know,0.3217546653363079,en,supernatural
dean,0.24299575685573035,en,supernatural
t,0.23912130197334125,en,supernatural
go,0.22253019782834013,en,supernatural
get,0.1967576088652316,en,supernatural
right,0.19055607964598362,en,supernatural
think,0.16719967089816654,en,supernatural
m,0.1635754005752294,en,supernatural
want,0.13256775447898944,en,supernatural
come,0.12910456283707175,en,supernatural
look,0.12217817955323633,en,supernatural
tell,0.10727840155893921,en,supernatural
thing,0.1059897721107838,en,supernatural
demon,0.10095086878530073,en,supernatural
mean,0.09704990531420553,en,supernatural
let,0.08392199281112211,en,supernatural
kill,0.08368037478959298,en,supernatural
good,0.08110311589328212,en,supernatural
guy,0.07623388529548715,en,supernatural
find,0.07498212601454385,en,supernatural
time,0.07256594579925242,en,supernatural
say,0.07087461964854844,en,supernatural
dad,0.07079020760359747,en,supernatural
hell,0.06700873130408215,en,supernatural
man,0.06668657394204329,en,supernatural
maybe,0.06604225921796558,en,supernatural
way,0.05943803329616903,en,supernatural
talk,0.05919641527463988,en,supernatural
happen,0.0547667515466056,en,supernatural
sure,0.053961358141508466,en,supernatural
sorry,0.05315596473641132,en,supernatural
thank,0.05162571726672675,en,supernatural
little,0.05114248122366847,en,supernatural
help,0.0507397845211199,en,supernatural
people,0.050498166499590755,en,supernatural
need,0.050256548478061616,en,supernatural
die,0.04727659287920219,en,supernatural
sammy,0.04575311075893951,en,supernatural
see,0.04550472738798848,en,supernatural
winchester,0.0437268903314391,en,supernatural
work,0.0433301651942262,en,supernatural
wait,0.04204153574607077,en,supernatural
kind,0.04155829970301249,en,supernatural
try,0.04115560300046392,en,supernatural
brother,0.040269670254857066,en,supernatural
leave,0.04002805223332792,en,supernatural
okay,0.039240851839286925,en,supernatural
hear,0.038658883444662784,en,supernatural
stop,0.038658883444662784,en,supernatural
year,0.03600108520784222,en,supernatural
lucifer,0.03495628559437056,en,supernatural
d,0.03471245575968679,en,supernatural
guess,0.034631916419177074,en,supernatural
kid,0.033328326611165804,en,supernatural
dead,0.03318220829000222,en,supernatural
angel,0.03256387156806409,en,supernatural
bad,0.03132980345827879,en,supernatural
life,0.03084656741522051,en,supernatural
day,0.030604949393691367,en,supernatural
real,0.02988009532910394,en,supernatural
start,0.028833083902477658,en,supernatural
believe,0.02867200522145823,en,supernatural
night,0.027786072475851374,en,supernatural
boy,0.027786072475851374,en,supernatural
save,0.027544454454322232,en,supernatural
supernatural,0.02719008466843857,en,supernatural
feel,0.026819600389734802,en,supernatural
long,0.02657798236820566,en,supernatural
ask,0.026416903687186234,en,supernatural
take,0.02633636434667652,en,supernatural
listen,0.02601420698463766,en,supernatural
love,0.02593366764412795,en,supernatural
son,0.025898412576422152,en,supernatural
family,0.025611510282089092,en,supernatural
lot,0.025450431601069665,en,supernatural
win,0.025289352920050235,en,supernatural
stay,0.025128274239030808,en,supernatural
girl,0.02480611687699195,en,supernatural
well,0.024645038195972524,en,supernatural
place,0.02456449885546281,en,supernatural
bitch,0.024532056360500175,en,supernatural
old,0.024161802152914236,en,supernatural
hunt,0.024083036279359347,en,supernatural
check,0.02359802676934624,en,supernatural
deal,0.023138080201505686,en,supernatural
pretty,0.02297570770886354,en,supernatural
cass,0.02271551130980874,en,supernatural
job,0.022712094023739384,en,supernatural
ghost,0.022699595358237457,en,supernatural
mom,0.022549494480173328,en,supernatural
great,0.022148318640171385,en,supernatural
turn,0.02206777929966167,en,supernatural
big,0.021839100260368526,en,supernatural
call,0.021826161278132528,en,supernatural
town,0.021778906498385573,en,supernatural
death,0.021270796536121017,en,supernatural
head,0.02126238589456453,en,supernatural
bring,0.021181846554054817,en,supernatural
house,0.021020767873035386,en,supernatural
spirit,0.020956455220142785,en,supernatural
damn,0.020705112744173595,en,supernatural
blood,0.02070249281187351,en,supernatural
crap,0.020254460999966393,en,supernatural
wrong,0.020134835127428533,en,supernatural
run,0.019973756446409103,en,supernatural
suppose,0.019973756446409103,en,supernatural
wasn,0.019893217105899388,en,supernatural
fine,0.019890630348662782,en,supernatural
dude,0.019779223712325548,en,supernatural
colt,0.01973001495385913,en,supernatural
car,0.01930403075993267,en,supernatural
live,0.019248902381821677,en,supernatural
exactly,0.01892674501978282,en,supernatural
ass,0.01879387454413491,en,supernatural
cause,0.018443508976724535,en,supernatural
crazy,0.018331799425671483,en,supernatural
understand,0.018282430295705105,en,supernatural
friend,0.018201890955195393,en,supernatural
remember,0.018201890955195393,en,supernatural
nice,0.018121351614685678,en,supernatural
break,0.018104532929599185,en,supernatural
hold,0.017698601697993824,en,supernatural
actually,0.01755757623111768,en,supernatural
stuff,0.01737385671270953,en,supernatural
ellen,0.0173726297488341,en,supernatural
home,0.017315958209588537,en,supernatural
gun,0.01706922024794284,en,supernatural
hurt,0.016805552988462022,en,supernatural
hunter,0.016765365117495948,en,supernatural
make,0.016752182826020538,en,supernatural
watch,0.016752182826020538,en,supernatural
idea,0.016510564804491396,en,supernatural
minute,0.01639962175685666,en,supernatural
eye,0.01618840744245254,en,supernatural
miss,0.016107868101942827,en,supernatural
away,0.01602732876143311,en,supernatural
like,0.015946789420923396,en,supernatural
truth,0.015705171399394254,en,supernatural
course,0.015668945539967005,en,supernatural
lose,0.01562463205888454,en,supernatural
ago,0.015544092718374826,en,supernatural
sound,0.015141396015826255,en,supernatural
lie,0.015141396015826255,en,supernatural
plan,0.0151006418157195,en,supernatural
care,0.015060856675316541,en,supernatural
fight,0.015060856675316541,en,supernatural
give,0.014980317334806828,en,supernatural
ava,0.01476591271109736,en,supernatural
easy,0.014738699313277684,en,supernatural
mind,0.01465815997276797,en,supernatural
play,0.014416541951238829,en,supernatural
matter,0.0142554632702194,en,supernatural
sam,0.014072449369512005,en,supernatural
hand,0.014013845248690258,en,supernatural
month,0.013933305908180545,en,supernatural
shoot,0.01385276656767083,en,supernatural
walk,0.013772227227161116,en,supernatural
wish,0.013720475628261265,en,supernatural
murder,0.01349616584129333,en,supernatural
monster,0.01345827399458711,en,supernatural
end,0.01328899118410283,en,supernatural
probably,0.013208451843593117,en,supernatural
body,0.013070985657692685,en,supernatural
door,0.013047373162573688,en,supernatural
father,0.013012304056615026,en,supernatural
apocalypse,0.013005960169318341,en,supernatural
world,0.01288629448155426,en,supernatural
question,0.012725215800534833,en,supernatural
cop,0.012723956269209656,en,supernatural
keep,0.012665054426087322,en,supernatural
human,0.012621866266109822,en,supernatural
road,0.012521273714855969,en,supernatural
freak,0.012477442163515496,en,supernatural
alive,0.012340309440803032,en,supernatural
close,0.012322519097986262,en,supernatural
far,0.012080901076457118,en,supernatural
alastair,0.011805991265940402,en,supernatural
heart,0.011690819470234452,en,supernatural
shut,0.011690819470234452,en,supernatural
hit,0.011597665033398834,en,supernatural
hard,0.011597665033398834,en,supernatural
room,0.01151712569288912,en,supernatural
change,0.01151712569288912,en,supernatural
dream,0.011457374641044677,en,supernatural
pick,0.011436586352379405,en,supernatural
figure,0.01136607448495016,en,supernatural
hour,0.011356047011869692,en,supernatural
devil,0.011334334698867467,en,supernatural
black,0.011323146105070993,en,supernatural
problem,0.011275507671359977,en,supernatural
weird,0.01115414392439829,en,supernatural
screw,0.011073497662725773,en,supernatural
hellhound,0.011046884028944283,en,supernatural
com,0.010985141743725588,en,supernatural
anymore,0.010966344299285618,en,supernatural
evil,0.010900194713550424,en,supernatural
trust,0.010878957007023727,en,supernatural
week,0.010792271628301693,en,supernatural
shapeshifter,0.010790474673494223,en,supernatural
vampire,0.010789075030257882,en,supernatural
emf,0.010732719332673092,en,supernatural
salt,0.010644309012706295,en,supernatural
face,0.010554212021739435,en,supernatural
couple,0.01039183952909729,en,supernatural
open,0.010389574925753122,en,supernatural
case,0.010389574925753122,en,supernatural
ain,0.010374138149694536,en,supernatural
meet,0.010309035585243409,en,supernatural
woman,0.010228496244733693,en,supernatural
corbett,0.010193564298817834,en,supernatural
forget,0.010148280790134072,en,supernatural
point,0.01014795690422398,en,supernatural
excuse,0.01014795690422398,en,supernatural
true,0.01014795690422398,en,supernatural
cut,0.010067094543813,en,supernatural
story,0.010067094543813,en,supernatural
bela,0.010017204710494887,en,supernatural
second,0.009986878223204551,en,supernatural
vous,0.009985242077005938,en,supernatural
word,0.009825799542185123,en,supernatural
molly,0.009769347493011995,en,supernatural
different,0.00974526020167541,en,supernatural
baby,0.009738768444887975,en,supernatural
reaper,0.009712229202652859,en,supernatural
omen,0.009581638207273844,en,supernatural
doctor,0.009563254745909357,en,supernatural
send,0.009498790819565492,en,supernatural
use,0.009423102839636552,en,supernatural
fire,0.009423102839636552,en,supernatural
worry,0.00941760457324442,en,supernatural
ash,0.009373034846696828,en,supernatural
trickster,0.009370675374350247,en,supernatural
nous,0.009352030944702522,en,supernatural
wife,0.009342563499126839,en,supernatural
new,0.009342563499126839,en,supernatural
business,0.009336418326923347,en,supernatural
funny,0.009336418326923347,en,supernatural
book,0.009329576493422094,en,supernatural
daddy,0.009323573983696322,en,supernatural
sit,0.009262024158617125,en,supernatural
eat,0.009262024158617125,en,supernatural
police,0.009187683034581402,en,supernatural
sir,0.009074544374327323,en,supernatural
scared,0.009074544374327323,en,supernatural
soul,0.00895545259076195,en,supernatural
psychic,0.008906627781290463,en,supernatural
hope,0.008859327456068555,en,supernatural
reason,0.00877878811555884,en,supernatural
fun,0.00875670776136986,en,supernatural
possess,0.008727976411641537,en,supernatural
demonic,0.008721185406463793,en,supernatural
ready,0.008698248775049126,en,supernatural
sense,0.008686928356354765,en,supernatural
swear,0.008686928356354765,en,supernatural
burn,0.008674869371076685,en,supernatural
phone,0.008648508639778897,en,supernatural
mother,0.00861770943453941,en,supernatural
soon,0.008605742110033694,en,supernatural
promise,0.008579569226636741,en,supernatural
chance,0.008537170094029697,en,supernatural
lore,0.008518316741178276,en,supernatural
alor,0.008454087440137847,en,supernatural
doesn,0.008443369617391549,en,supernatural
hate,0.008443369617391549,en,supernatural
greeley,0.008380394780578422,en,supernatural
castiel,0.008271658557751376,en,supernatural
tonight,0.008265677419610803,en,supernatural
happy,0.00821501273199084,en,supernatural
wake,0.008118624632107259,en,supernatural
victim,0.008109547934558217,en,supernatural
attack,0.00810200063902445,en,supernatural
vessel,0.008007669164594373,en,supernatural
whoa,0.0080033313157579,en,supernatural
later,0.007956252139465112,en,supernatural
trap,0.00794019046769168,en,supernatural
fast,0.007892855369951985,en,supernatural
read,0.007892855369951985,en,supernatural
knife,0.007865770650856552,en,supernatural
holy,0.007846586595248468,en,supernatural
follow,0.007793879646822967,en,supernatural
pull,0.007793879646822967,en,supernatural
drink,0.007793879646822967,en,supernatural
safe,0.007774647077851746,en,supernatural
have,0.007731776688932556,en,supernatural
stupid,0.007712693400501895,en,supernatural
sulfur,0.0076647572473848265,en,supernatural
person,0.007651237348422842,en,supernatural
bone,0.0076170622563976175,en,supernatural
gile,0.007603583683166642,en,supernatural
wouldn,0.00755032090785975,en,supernatural
rest,0.00755032090785975,en,supernatural
awesome,0.007548367301875468,en,supernatural
drive,0.007490158667403414,en,supernatural
aren,0.007490158667403414,en,supernatural
bb,0.00740772108851846,en,supernatural
sleep,0.007329079986383985,en,supernatural
line,0.007329079986383985,en,supernatural
seal,0.007325638411972424,en,supernatural
game,0.007306762168896532,en,supernatural
child,0.007306762168896532,en,supernatural
control,0.007283616736092688,en,supernatural
choice,0.007283616736092688,en,supernatural
killer,0.007270763489529504,en,supernatural
strong,0.0072596354994618586,en,supernatural
explain,0.0072596354994618586,en,supernatural
choose,0.0072596354994618586,en,supernatural
haven,0.007248540645874271,en,supernatural
droid,0.007246360662975297,en,supernatural
legend,0.007213139810094188,en,supernatural
callie,0.007191783165569082,en,supernatural
archangel,0.007183374660890811,en,supernatural
buddy,0.007182095642096218,en,supernatural
catch,0.007168001305364558,en,supernatural
hoodoo,0.007152231211012175,en,supernatural
touch,0.007144389676254388,en,supernatural
