mot,poids_tfidf,langue,serie
s,0.5342523338522405,en,thebigbangtheory
sheldon,0.3937243766829025,en,thebigbangtheory
leonard,0.25255130336995824,en,thebigbangtheory
t,0.21581583256829145,en,thebigbangtheory
go,0.20644298460597146,en,thebigbangtheory
know,0.19514750116420118,en,thebigbangtheory
m,0.18192938224298066,en,thebigbangtheory
penny,0.1472515812121677,en,thebigbangtheory
right,0.14083304886973141,en,thebigbangtheory
want,0.12953756542796113,en,thebigbangtheory
come,0.11800175255125958,en,thebigbangtheory
think,0.11631944650674061,en,thebigbangtheory
good,0.11319516385263394,en,thebigbangtheory
get,0.10502396306497035,en,thebigbangtheory
raj,0.09118966379367949,en,thebigbangtheory
let,0.08844123205471187,en,thebigbangtheory
look,0.08723958488005545,en,thebigbangtheory
tell,0.07882805465746058,en,thebigbangtheory
time,0.07642476030814775,en,thebigbangtheory
little,0.07522311313349135,en,thebigbangtheory
thank,0.07233915991431596,en,thebigbangtheory
work,0.06753257121569031,en,thebigbangtheory
guy,0.06662144560955312,en,thebigbangtheory
talk,0.06657125347596518,en,thebigbangtheory
need,0.06536960630130877,en,thebigbangtheory
say,0.06416795912665237,en,thebigbangtheory
friend,0.0622453236472021,en,thebigbangtheory
wolowitz,0.059238320489275624,en,thebigbangtheory
thing,0.05743873494857646,en,thebigbangtheory
mean,0.0555160994691262,en,thebigbangtheory
sorry,0.05383379342460722,en,thebigbangtheory
night,0.05167082851022568,en,thebigbangtheory
way,0.04926753416091286,en,thebigbangtheory
great,0.04590292207187491,en,thebigbangtheory
wait,0.044220616027355934,en,thebigbangtheory
sure,0.04398028659242465,en,thebigbangtheory
man,0.0432592982876308,en,thebigbangtheory
people,0.042057651112974395,en,thebigbangtheory
ask,0.04157699224311183,en,thebigbangtheory
fine,0.0392460879590822,en,thebigbangtheory
try,0.037491391849280034,en,thebigbangtheory
woman,0.03701073297941747,en,thebigbangtheory
maybe,0.0365300741095549,en,thebigbangtheory
big,0.03585445072805041,en,thebigbangtheory
start,0.03556875636982977,en,thebigbangtheory
year,0.03556875636982977,en,thebigbangtheory
kripke,0.0352372807728616,en,thebigbangtheory
new,0.034607438630104646,en,thebigbangtheory
day,0.032204144280791824,en,thebigbangtheory
mother,0.032204144280791824,en,thebigbangtheory
koothrappali,0.032087423598357624,en,thebigbangtheory
find,0.03196381484586054,en,thebigbangtheory
howard,0.03179663177304187,en,thebigbangtheory
hear,0.030281508801341565,en,thebigbangtheory
like,0.030281508801341565,en,thebigbangtheory
d,0.029560520496547716,en,thebigbangtheory
play,0.029560520496547716,en,thebigbangtheory
course,0.02955569587041993,en,thebigbangtheory
bernadette,0.02940368124803884,en,thebigbangtheory
question,0.029320191061616437,en,thebigbangtheory
feel,0.029079861626685154,en,thebigbangtheory
point,0.029079861626685154,en,thebigbangtheory
excuse,0.028599202756822588,en,thebigbangtheory
help,0.028599202756822588,en,thebigbangtheory
happen,0.028358873321891305,en,thebigbangtheory
cooper,0.02831693017133912,en,thebigbangtheory
believe,0.028118543886960022,en,thebigbangtheory
nice,0.028118543886960022,en,thebigbangtheory
girl,0.028118543886960022,en,thebigbangtheory
leave,0.028118543886960022,en,thebigbangtheory
kind,0.027878214452028743,en,thebigbangtheory
comic,0.027654340733915393,en,thebigbangtheory
okay,0.027159826287128614,en,thebigbangtheory
bad,0.027157226147234894,en,thebigbangtheory
sex,0.026887661501489066,en,thebigbangtheory
leslie,0.02656105042761435,en,thebigbangtheory
love,0.02643623784244105,en,thebigbangtheory
bazinga,0.025916765214058085,en,thebigbangtheory
win,0.0257152495376472,en,thebigbangtheory
home,0.02547492010271592,en,thebigbangtheory
wrong,0.02547492010271592,en,thebigbangtheory
make,0.02547492010271592,en,thebigbangtheory
understand,0.025234590667784638,en,thebigbangtheory
eat,0.025234590667784638,en,thebigbangtheory
hofstadter,0.025007102483966294,en,thebigbangtheory
sit,0.024753931797922072,en,thebigbangtheory
take,0.02451360236299079,en,thebigbangtheory
physics,0.024121764874239653,en,thebigbangtheory
life,0.024032943493128227,en,thebigbangtheory
live,0.023792614058196944,en,thebigbangtheory
guess,0.02355228462326566,en,thebigbangtheory
boy,0.02355228462326566,en,thebigbangtheory
bring,0.02355228462326566,en,thebigbangtheory
well,0.023311955188334378,en,thebigbangtheory
date,0.022955345216570514,en,thebigbangtheory
problem,0.022831296318471816,en,thebigbangtheory
long,0.022590966883540533,en,thebigbangtheory
apartment,0.022312372994936575,en,thebigbangtheory
actually,0.022110308013677967,en,thebigbangtheory
sleep,0.022110308013677967,en,thebigbangtheory
give,0.021869978578746684,en,thebigbangtheory
see,0.0216296491438154,en,thebigbangtheory
turn,0.0216296491438154,en,thebigbangtheory
science,0.021449608131602776,en,thebigbangtheory
drive,0.02114899027395284,en,thebigbangtheory
fun,0.021001698815160258,en,thebigbangtheory
mind,0.020668331404090273,en,thebigbangtheory
stop,0.02042800196915899,en,thebigbangtheory
head,0.02018767253422771,en,thebigbangtheory
place,0.02018767253422771,en,thebigbangtheory
meet,0.02018767253422771,en,thebigbangtheory
hang,0.020107563583974215,en,thebigbangtheory
winkle,0.019488736574575696,en,thebigbangtheory
hour,0.019466684229433862,en,thebigbangtheory
have,0.019466684229433862,en,thebigbangtheory
hot,0.019447247036739446,en,thebigbangtheory
physicist,0.019148664261768485,en,thebigbangtheory
book,0.019048052413750002,en,thebigbangtheory
room,0.018986025359571296,en,thebigbangtheory
move,0.018986025359571296,en,thebigbangtheory
morning,0.018986025359571296,en,thebigbangtheory
run,0.018745695924640017,en,thebigbangtheory
autotrophs,0.01851197515289863,en,thebigbangtheory
suppose,0.01826503705477745,en,thebigbangtheory
cheesecake,0.018063728729849116,en,thebigbangtheory
old,0.01802470761984617,en,thebigbangtheory
cool,0.017970240932683287,en,thebigbangtheory
relationship,0.01793573434055663,en,thebigbangtheory
hold,0.01768496556180865,en,thebigbangtheory
order,0.01758281761269231,en,thebigbangtheory
sound,0.017544048749983606,en,thebigbangtheory
stay,0.017303719315052323,en,thebigbangtheory
âtª,0.017080768106107612,en,thebigbangtheory
break,0.016958186155158976,en,thebigbangtheory
tonight,0.016850200212163463,en,thebigbangtheory
watch,0.016823060445189757,en,thebigbangtheory
coitus,0.016795005489694464,en,thebigbangtheory
pretty,0.016715926352942417,en,thebigbangtheory
call,0.016582731010258474,en,thebigbangtheory
team,0.016509250679268804,en,thebigbangtheory
answer,0.01634240157532719,en,thebigbangtheory
pick,0.01634240157532719,en,thebigbangtheory
open,0.01634240157532719,en,thebigbangtheory
listen,0.01634240157532719,en,thebigbangtheory
movie,0.016272981916307678,en,thebigbangtheory
kid,0.016247067144617763,en,thebigbangtheory
food,0.016102072140395912,en,thebigbangtheory
lot,0.016102072140395912,en,thebigbangtheory
idea,0.016102072140395912,en,thebigbangtheory
use,0.016102072140395912,en,thebigbangtheory
party,0.016000899460608408,en,thebigbangtheory
wasn,0.01586174270546463,en,thebigbangtheory
buy,0.01586174270546463,en,thebigbangtheory
game,0.015746887144076193,en,thebigbangtheory
second,0.015621413270533346,en,thebigbangtheory
ring,0.015385034343394558,en,thebigbangtheory
rajesh,0.015208800645537332,en,thebigbangtheory
elderman,0.0149288937686173,en,thebigbangtheory
research,0.014788213825818984,en,thebigbangtheory
kryptonian,0.01477692419507099,en,thebigbangtheory
space,0.014722399046182956,en,thebigbangtheory
remember,0.014660095530808218,en,thebigbangtheory
hell,0.014660095530808218,en,thebigbangtheory
care,0.014660095530808218,en,thebigbangtheory
light,0.014652348010576922,en,thebigbangtheory
door,0.014419766095876935,en,thebigbangtheory
minute,0.014293328330776851,en,thebigbangtheory
dinner,0.014277725672542884,en,thebigbangtheory
universe,0.014206082449589345,en,thebigbangtheory
com,0.014120472717219806,en,thebigbangtheory
plan,0.014051068528560294,en,thebigbangtheory
build,0.014051068528560294,en,thebigbangtheory
cause,0.013939107226014371,en,thebigbangtheory
chicken,0.013884851688562985,en,thebigbangtheory
experiment,0.01374538437300082,en,thebigbangtheory
happy,0.013698777791083088,en,thebigbangtheory
hand,0.013698777791083088,en,thebigbangtheory
speak,0.013698777791083088,en,thebigbangtheory
away,0.013698777791083088,en,thebigbangtheory
set,0.013675524809871796,en,thebigbangtheory
halo,0.013589374637384086,en,thebigbangtheory
stuff,0.01356654892412718,en,thebigbangtheory
robot,0.01353252056152243,en,thebigbangtheory
girlfriend,0.013493830099712332,en,thebigbangtheory
particle,0.013449639854589529,en,thebigbangtheory
university,0.013434547132257155,en,thebigbangtheory
begin,0.013431319009695512,en,thebigbangtheory
forget,0.013324289121910625,en,thebigbangtheory
kite,0.01323482428147723,en,thebigbangtheory
walk,0.013218118921220524,en,thebigbangtheory
check,0.013218118921220524,en,thebigbangtheory
sync,0.013170241540273723,en,thebigbangtheory
theory,0.013069337801666588,en,thebigbangtheory
matter,0.012977789486289242,en,thebigbangtheory
world,0.012977789486289242,en,thebigbangtheory
roommate,0.012878556189534584,en,thebigbangtheory
mom,0.012757148252162257,en,thebigbangtheory
lose,0.01273746005135796,en,thebigbangtheory
end,0.01273746005135796,en,thebigbangtheory
money,0.01273746005135796,en,thebigbangtheory
sign,0.01273746005135796,en,thebigbangtheory
agree,0.012698701609166667,en,thebigbangtheory
smart,0.012597509715260953,en,thebigbangtheory
fact,0.012597509715260953,en,thebigbangtheory
drink,0.012597509715260953,en,thebigbangtheory
wear,0.012554551884477365,en,thebigbangtheory
probably,0.012497130616426677,en,thebigbangtheory
hope,0.012497130616426677,en,thebigbangtheory
quantum,0.012491533910837876,en,thebigbangtheory
laser,0.012416840731211558,en,thebigbangtheory
indian,0.012265304173342196,en,thebigbangtheory
high,0.012210290008814103,en,thebigbangtheory
machine,0.012200611538635305,en,thebigbangtheory
deal,0.01211299011082784,en,thebigbangtheory
spend,0.01211299011082784,en,thebigbangtheory
exactly,0.012016471746564113,en,thebigbangtheory
miss,0.012016471746564113,en,thebigbangtheory
stand,0.012016471746564113,en,thebigbangtheory
cricket,0.011965833877270222,en,thebigbangtheory
bed,0.011870730308611284,en,thebigbangtheory
number,0.011870730308611284,en,thebigbangtheory
month,0.01177614231163283,en,thebigbangtheory
welcome,0.01172187840846154,en,thebigbangtheory
crusher,0.011712536373246053,en,thebigbangtheory
stupid,0.011628470506394725,en,thebigbangtheory
assume,0.011628470506394725,en,thebigbangtheory
face,0.011628470506394725,en,thebigbangtheory
car,0.011569881148439924,en,thebigbangtheory
change,0.011535812876701548,en,thebigbangtheory
batman,0.011445580230432387,en,thebigbangtheory
throw,0.01138621070417817,en,thebigbangtheory
monopole,0.011366864765439223,en,thebigbangtheory
subbercafe,0.011366864765439223,en,thebigbangtheory
earth,0.011364658912842983,en,thebigbangtheory
read,0.011295483441770266,en,thebigbangtheory
word,0.011295483441770266,en,thebigbangtheory
cat,0.011202289544285647,en,thebigbangtheory
bang,0.011198146590547521,en,thebigbangtheory
coffee,0.011183893910415696,en,thebigbangtheory
stuart,0.011183396635706019,en,thebigbangtheory
terrific,0.011178350065242745,en,thebigbangtheory
interesting,0.011143950901961613,en,thebigbangtheory
real,0.011055154006838984,en,thebigbangtheory
die,0.011055154006838984,en,thebigbangtheory
kill,0.011055154006838984,en,thebigbangtheory
today,0.011055154006838984,en,thebigbangtheory
dude,0.010929854459435763,en,thebigbangtheory
pay,0.010901691099745056,en,thebigbangtheory
lie,0.0108148245719077,en,thebigbangtheory
scientist,0.010805063691734729,en,thebigbangtheory
cut,0.0106594312975285,en,thebigbangtheory
ago,0.01057449513697642,en,thebigbangtheory
close,0.01057449513697642,en,thebigbangtheory
fall,0.01057449513697642,en,thebigbangtheory
learn,0.01057449513697642,en,thebigbangtheory
kitty,0.010503245450395122,en,thebigbangtheory
dog,0.010422120039073732,en,thebigbangtheory
funny,0.010417171495311942,en,thebigbangtheory
mail,0.0104021260054081,en,thebigbangtheory
neanderthal,0.010396199865530694,en,thebigbangtheory
reason,0.010334165702045137,en,thebigbangtheory
correct,0.010318811252721194,en,thebigbangtheory
bowl,0.010288508948451505,en,thebigbangtheory
pasadena,0.01028132932645503,en,thebigbangtheory
meemaw,0.0102301782888953,en,thebigbangtheory
doesn,0.010174911693095385,en,thebigbangtheory
send,0.010174911693095385,en,thebigbangtheory
late,0.010093836267113855,en,thebigbangtheory
hit,0.010093836267113855,en,thebigbangtheory
house,0.010093836267113855,en,thebigbangtheory
job,0.010093836267113855,en,thebigbangtheory
half,0.010012437807227565,en,thebigbangtheory
pos,0.009958088067175977,en,thebigbangtheory
base,0.00992582860864165,en,thebigbangtheory
shelly,0.009916227538478978,en,thebigbangtheory
stephanie,0.009916227538478978,en,thebigbangtheory
expansion,0.009883181554461154,en,thebigbangtheory
week,0.009853506832182573,en,thebigbangtheory
line,0.009853506832182573,en,thebigbangtheory
true,0.009853506832182573,en,thebigbangtheory
knock,0.009846707360374404,en,thebigbangtheory
human,0.009846707360374404,en,thebigbangtheory
star,0.009833900642349508,en,thebigbangtheory
apologize,0.009789641444889339,en,thebigbangtheory
box,0.009755466310477022,en,thebigbangtheory
electron,0.00970745690915303,en,thebigbangtheory
figure,0.009690392088662273,en,thebigbangtheory
phone,0.009677682893425608,en,thebigbangtheory
store,0.009658817468086283,en,thebigbangtheory
moon,0.009640884564814097,en,thebigbangtheory
haven,0.00961317739725129,en,thebigbangtheory
different,0.00961317739725129,en,thebigbangtheory
future,0.009581749343827725,en,thebigbangtheory
parent,0.009581749343827725,en,thebigbangtheory
waitress,0.00954908936846062,en,thebigbangtheory
train,0.009505326148669918,en,thebigbangtheory
child,0.009448132286445716,en,thebigbangtheory
joke,0.009429537178209567,en,thebigbangtheory
person,0.009372847962320009,en,thebigbangtheory
unravel,0.009286429460267292,en,thebigbangtheory
entire,0.009279820406698717,en,thebigbangtheory
system,0.009255185986862815,en,thebigbangtheory
body,0.009205872484229159,en,thebigbangtheory
small,0.009132518527388726,en,thebigbangtheory
sister,0.009108204308346322,en,thebigbangtheory
school,0.009108204308346322,en,thebigbangtheory
state,0.009108204308346322,en,thebigbangtheory
moment,0.008963612682012602,en,thebigbangtheory
tomorrow,0.008963612682012602,en,thebigbangtheory
lady,0.008963612682012602,en,thebigbangtheory
football,0.008939801688140394,en,thebigbangtheory
suggest,0.008933245747777483,en,thebigbangtheory
lactose,0.008917096522031221,en,thebigbangtheory
ready,0.008892189092457443,en,thebigbangtheory
missy,0.008840901304548003,en,thebigbangtheory
symposium,0.008838710496963116,en,thebigbangtheory
dumpling,0.008812567994104311,en,thebigbangtheory
crazy,0.008791408806346155,en,thebigbangtheory
string,0.008749182264206396,en,thebigbangtheory
sweetie,0.008749182264206396,en,thebigbangtheory
consider,0.008721352879796045,en,thebigbangtheory
tv,0.008711642393984649,en,thebigbangtheory
spock,0.008697350869927352,en,thebigbangtheory
soup,0.008693025427935845,en,thebigbangtheory
original,0.008661425858679893,en,thebigbangtheory
catch,0.008651859657526162,en,thebigbangtheory
hard,0.008651859657526162,en,thebigbangtheory
panchali,0.008638921738019362,en,thebigbangtheory
sauce,0.00857685169224968,en,thebigbangtheory
honey,0.008573144149740596,en,thebigbangtheory
interest,0.008573144149740596,en,thebigbangtheory
supercollider,0.008540384053053806,en,thebigbangtheory
social,0.008535945200923675,en,thebigbangtheory
birthday,0.00853507774802716,en,thebigbangtheory
worry,0.008479093077579488,en,thebigbangtheory
evening,0.008466716925309698,en,thebigbangtheory
write,0.008436954317345403,en,thebigbangtheory
wesley,0.008431194093414378,en,thebigbangtheory
aren,0.008411530222594879,en,thebigbangtheory
thai,0.008406024909118454,en,thebigbangtheory
gentleman,0.008369701256318243,en,thebigbangtheory
cheese,0.008366755705304848,en,thebigbangtheory
dense,0.008324058349405371,en,thebigbangtheory
brain,0.00830299720599359,en,thebigbangtheory
paper,0.00830299720599359,en,thebigbangtheory
choice,0.00830299720599359,en,thebigbangtheory
low,0.00830299720599359,en,thebigbangtheory
online,0.008298438121784367,en,thebigbangtheory
boyfriend,0.00826835656840131,en,thebigbangtheory
sick,0.008254625339634402,en,thebigbangtheory
lucky,0.00818880860212936,en,thebigbangtheory
wonder,0.008171200787663596,en,thebigbangtheory
couch,0.00806794300154396,en,thebigbangtheory
cute,0.00806629845044672,en,thebigbangtheory
math,0.008029524862811369,en,thebigbangtheory
monte,0.00802832387993294,en,thebigbangtheory
giant,0.007963401861560854,en,thebigbangtheory
condensate,0.007956805335807457,en,thebigbangtheory
skynet,0.007956805335807457,en,thebigbangtheory
secret,0.00794066288691332,en,thebigbangtheory
grow,0.00794066288691332,en,thebigbangtheory
eye,0.007930871352732315,en,thebigbangtheory
chance,0.007930871352732315,en,thebigbangtheory
superman,0.007911738357814198,en,thebigbangtheory
pass,0.007877365888299523,en,thebigbangtheory
ball,0.007816690254175251,en,thebigbangtheory
name,0.007814585605641026,en,thebigbangtheory
damn,0.007814585605641026,en,thebigbangtheory
ahead,0.007814585605641026,en,thebigbangtheory
middle,0.007814585605641026,en,thebigbangtheory
