mot,poids_tfidf,langue,serie
c,0.5963467861927503,fr,thebigbangtheory
sheldon,0.3528648471515305,fr,thebigbangtheory
j,0.2732161487402909,fr,thebigbangtheory
penny,0.19270728561428932,fr,thebigbangtheory
n,0.18331168953942595,fr,thebigbangtheory
bien,0.17455476169518586,fr,thebigbangtheory
non,0.15178674930016162,fr,thebigbangtheory
vouloir,0.13427289361168143,fr,thebigbangtheory
faire,0.12493217057782532,fr,thebigbangtheory
taire,0.11821852589724124,fr,thebigbangtheory
savoir,0.10829400767376915,fr,thebigbangtheory
oui,0.10099656780356907,fr,thebigbangtheory
bon,0.09691000147625703,fr,thebigbangtheory
voir,0.08902876641644095,fr,thebigbangtheory
devoir,0.0858178928735529,fr,thebigbangtheory
t,0.0852340976839369,fr,thebigbangtheory
tre,0.0846503024943209,fr,thebigbangtheory
aller,0.07647716983969681,fr,thebigbangtheory
petit,0.07414198908123279,fr,thebigbangtheory
venir,0.07209870591757676,fr,thebigbangtheory
howard,0.07037589188166427,fr,thebigbangtheory
mme,0.06830403718507272,fr,thebigbangtheory
raj,0.06760243239602279,fr,thebigbangtheory
vraiment,0.05546054301352059,fr,thebigbangtheory
ami,0.05429295263428857,fr,thebigbangtheory
heure,0.05400105503948057,fr,thebigbangtheory
falloir,0.050790181496592535,fr,thebigbangtheory
trs,0.049330693522552524,fr,thebigbangtheory
croire,0.048746898332936515,fr,thebigbangtheory
prendre,0.048746898332936515,fr,thebigbangtheory
ici,0.04611981997966449,fr,thebigbangtheory
passer,0.04582792238485649,fr,thebigbangtheory
veux,0.04524412719524048,fr,thebigbangtheory
jamais,0.04407653681600847,fr,thebigbangtheory
aimer,0.04086566327312043,fr,thebigbangtheory
odonate,0.04071310912381464,fr,thebigbangtheory
trop,0.04057376567831243,fr,thebigbangtheory
chose,0.04057376567831243,fr,thebigbangtheory
besoin,0.03998997048869642,fr,thebigbangtheory
regarder,0.03998997048869642,fr,thebigbangtheory
mr,0.03969807289388842,fr,thebigbangtheory
dsol,0.03969807289388842,fr,thebigbangtheory
femme,0.039114277704272414,fr,thebigbangtheory
salut,0.03882238010946441,fr,thebigbangtheory
super,0.038576993938923686,fr,thebigbangtheory
accord,0.038238584919848405,fr,thebigbangtheory
an,0.037946687325040404,fr,thebigbangtheory
mettre,0.037654789730232396,fr,thebigbangtheory
voil,0.037654789730232396,fr,thebigbangtheory
leslie,0.03761389356379901,fr,thebigbangtheory
pouvoir,0.03677909694580839,fr,thebigbangtheory
temps,0.036195301756192386,fr,thebigbangtheory
fille,0.035319608971768376,fr,thebigbangtheory
sr,0.035319608971768376,fr,thebigbangtheory
m,0.03502771137696037,fr,thebigbangtheory
sortir,0.03444391618734437,fr,thebigbangtheory
question,0.03444391618734437,fr,thebigbangtheory
hofstadter,0.03442175849079766,fr,thebigbangtheory
mal,0.03415201859253636,fr,thebigbangtheory
soir,0.0341342935159489,fr,thebigbangtheory
cooper,0.03377479233972069,fr,thebigbangtheory
appeler,0.03356822340292036,fr,thebigbangtheory
trouver,0.03240063302368834,fr,thebigbangtheory
avoir,0.03210873542888034,fr,thebigbangtheory
attend,0.03178020430795242,fr,thebigbangtheory
subbercaf,0.03169960982458484,fr,thebigbangtheory
grand,0.03152494023926433,fr,thebigbangtheory
dire,0.03123304264445633,fr,thebigbangtheory
fois,0.030357349860032322,fr,thebigbangtheory
arriver,0.030357349860032322,fr,thebigbangtheory
comic,0.03007286672566674,fr,thebigbangtheory
apr,0.030065452265224318,fr,thebigbangtheory
koothrappali,0.029931963905041447,fr,thebigbangtheory
cheesecake,0.029499243227355396,fr,thebigbangtheory
raison,0.02918975948080031,fr,thebigbangtheory
problme,0.028605964291184303,fr,thebigbangtheory
jour,0.028022169101568295,fr,thebigbangtheory
bonjour,0.027730271506760294,fr,thebigbangtheory
manger,0.0272912481601537,fr,thebigbangtheory
nuit,0.027146476317144286,fr,thebigbangtheory
bernadett,0.027142072749209763,fr,thebigbangtheory
wheaton,0.027046065942956714,fr,thebigbangtheory
sixe,0.02692915938787996,fr,thebigbangtheory
mieux,0.02656268112752828,fr,thebigbangtheory
monde,0.025395090748296267,fr,thebigbangtheory
vie,0.024519397963872258,fr,thebigbangtheory
factory,0.023945571124033154,fr,thebigbangtheory
beaucoup,0.023935602774256253,fr,thebigbangtheory
vrai,0.02364370517944825,fr,thebigbangtheory
finir,0.02276801239502424,fr,thebigbangtheory
