mot,poids_tfidf,langue,serie
s,0.437489120294893,en,theblackdonnellys
tommy,0.3082003597592444,en,theblackdonnellys
know,0.28583252459871517,en,theblackdonnellys
go,0.28110802005989344,en,theblackdonnellys
dokey,0.20950245980067222,en,theblackdonnellys
get,0.19417713654557345,en,theblackdonnellys
huey,0.19155919130091392,en,theblackdonnellys
jimmy,0.18344173811761344,en,theblackdonnellys
t,0.18142097429075477,en,theblackdonnellys
right,0.16771991112817172,en,theblackdonnellys
want,0.154963748873353,en,theblackdonnellys
donnelly,0.14491869254938705,en,theblackdonnellys
come,0.13606573071806607,en,theblackdonnellys
tell,0.1351208298103017,en,theblackdonnellys
think,0.1247269198248939,en,theblackdonnellys
m,0.10960850530066434,en,theblackdonnellys
good,0.10015949622302085,en,theblackdonnellys
sean,0.09606420645002564,en,theblackdonnellys
guy,0.09191533460991773,en,theblackdonnellys
money,0.0883482348759665,en,theblackdonnellys
thing,0.08456863124490913,en,theblackdonnellys
let,0.08078902761385173,en,theblackdonnellys
jenny,0.07951893644599113,en,theblackdonnellys
look,0.0774818744366765,en,theblackdonnellys
louie,0.07651496952618621,en,theblackdonnellys
brother,0.07606452307502999,en,theblackdonnellys
need,0.0741747212595013,en,theblackdonnellys
sal,0.0724206033878867,en,theblackdonnellys
nicky,0.07226573750313056,en,theblackdonnellys
kevin,0.07102849713473246,en,theblackdonnellys
kill,0.06803286535903304,en,theblackdonnellys
alo,0.06793112957381761,en,theblackdonnellys
talk,0.06425326172797564,en,theblackdonnellys
reilly,0.06384947299589638,en,theblackdonnellys
say,0.06047365809691825,en,theblackdonnellys
help,0.05291445083480347,en,theblackdonnellys
lino,0.05246585176076977,en,theblackdonnellys
ask,0.0524420003809213,en,theblackdonnellys
mean,0.05196954992703912,en,theblackdonnellys
try,0.045827694026570866,en,theblackdonnellys
time,0.04535524357268869,en,theblackdonnellys
work,0.04488279311880652,en,theblackdonnellys
thank,0.04488279311880652,en,theblackdonnellys
hell,0.043465441757159995,en,theblackdonnellys
leave,0.043465441757159995,en,theblackdonnellys
pay,0.042862073134158525,en,theblackdonnellys
happen,0.04204809039551347,en,theblackdonnellys
day,0.04063073903386695,en,theblackdonnellys
people,0.03921338767222043,en,theblackdonnellys
find,0.03874093721833825,en,theblackdonnellys
man,0.03874093721833825,en,theblackdonnellys
way,0.03874093721833825,en,theblackdonnellys
whitey,0.0385444495609672,en,theblackdonnellys
phone,0.03804965194408268,en,theblackdonnellys
stop,0.03732358585669173,en,theblackdonnellys
wanna,0.03648537986487976,en,theblackdonnellys
firecracker,0.035894095418725035,en,theblackdonnellys
little,0.03543378404116304,en,theblackdonnellys
sure,0.03496133358728087,en,theblackdonnellys
samson,0.03403475797177411,en,theblackdonnellys
maybe,0.03401643267951652,en,theblackdonnellys
cottero,0.033965564786908806,en,theblackdonnellys
dad,0.033604955138705046,en,theblackdonnellys
father,0.032644813563313474,en,theblackdonnellys
take,0.032599081317869996,en,theblackdonnellys
wait,0.03212663086398782,en,theblackdonnellys
okay,0.03072559224930253,en,theblackdonnellys
d,0.030236829048459125,en,theblackdonnellys
deal,0.03000345119391097,en,theblackdonnellys
problem,0.02976437859457695,en,theblackdonnellys
hear,0.029291928140694777,en,theblackdonnellys
gunsho,0.029113341245921832,en,theblackdonnellys
lie,0.027874576779048258,en,theblackdonnellys
like,0.026457225417401736,en,theblackdonnellys
irish,0.026361437573580945,en,theblackdonnellys
sorry,0.02598477496351956,en,theblackdonnellys
night,0.025039874055755213,en,theblackdonnellys
bad,0.02456742360187304,en,theblackdonnellys
well,0.02456742360187304,en,theblackdonnellys
lose,0.02456742360187304,en,theblackdonnellys
door,0.024094973147990865,en,theblackdonnellys
care,0.024094973147990865,en,theblackdonnellys
