mot,poids_tfidf,langue,serie
s,0.5156557134774685,en,thekillpoint
go,0.2602374628764795,en,thekillpoint
know,0.2542134475321165,en,thekillpoint
get,0.23855100763677284,en,thekillpoint
come,0.2313221892235373,en,thekillpoint
man,0.21927415853481141,en,thekillpoint
right,0.2180693554659388,en,thekillpoint
t,0.19999730943284996,en,thekillpoint
tonray,0.17941906837531738,en,thekillpoint
m,0.1337331406448575,en,thekillpoint
sarge,0.1323220825116923,en,thekillpoint
think,0.12409471609387679,en,thekillpoint
let,0.11927550381838642,en,thekillpoint
talk,0.10843227619853311,en,thekillpoint
need,0.10240826085417017,en,thekillpoint
want,0.10120345778529757,en,thekillpoint
bank,0.10055246593073018,en,thekillpoint
good,0.0975890485786798,en,thekillpoint
hostage,0.08803221772936942,en,thekillpoint
time,0.0843362148210813,en,thekillpoint
look,0.07951700254559095,en,thekillpoint
shit,0.07563489892100198,en,thekillpoint
hawke,0.07226644361755315,en,thekillpoint
guy,0.07043985473102361,en,thekillpoint
cap,0.06852733058567619,en,thekillpoint
tell,0.06746897185686505,en,thekillpoint
find,0.0614449565125021,en,thekillpoint
thing,0.05903535037475692,en,thekillpoint
platoon,0.058483944675722085,en,thekillpoint
boy,0.05783054730588433,en,thekillpoint
life,0.056625744237011735,en,thekillpoint
leon,0.053445599683862526,en,thekillpoint
son,0.05222265092127612,en,thekillpoint
kill,0.05180653196152138,en,thekillpoint
way,0.04819212275490361,en,thekillpoint
people,0.046987319686031016,en,thekillpoint
say,0.04457771354828584,en,thekillpoint
derz,0.04330805098714558,en,thekillpoint
sergeant,0.04299688568336263,en,thekillpoint
captain,0.04176395270934163,en,thekillpoint
hear,0.04096330434166807,en,thekillpoint
hold,0.040077848381444466,en,thekillpoint
take,0.039758501272795475,en,thekillpoint
sorry,0.039758501272795475,en,thekillpoint
home,0.039758501272795475,en,thekillpoint
thank,0.039758501272795475,en,thekillpoint
abe,0.03753973124391135,en,thekillpoint
happen,0.0373488951350503,en,thekillpoint
okay,0.037250166671236096,en,thekillpoint
connie,0.03715926683235173,en,thekillpoint
help,0.036144092066177705,en,thekillpoint
bullshit,0.03608784068500699,en,thekillpoint
gun,0.03539389352890228,en,thekillpoint
shoot,0.03493928899730511,en,thekillpoint
swat,0.034631294319211255,en,thekillpoint
beck,0.03461630345545411,en,thekillpoint
sniper,0.034414235231324884,en,thekillpoint
brother,0.03373448592843253,en,thekillpoint
little,0.03373448592843253,en,thekillpoint
work,0.03373448592843253,en,thekillpoint
wolf,0.03368688813700915,en,thekillpoint
rabbit,0.03338900818607772,en,thekillpoint
wanna,0.033054366538459765,en,thekillpoint
mean,0.032529682859559934,en,thekillpoint
speak,0.032529682859559934,en,thekillpoint
wait,0.032529682859559934,en,thekillpoint
hell,0.03132487979068734,en,thekillpoint
goddamn,0.03090303960329361,en,thekillpoint
daughter,0.030851774485773833,en,thekillpoint
face,0.03036200634957914,en,thekillpoint
d,0.030120076721814753,en,thekillpoint
negotiator,0.029749892289030317,en,thekillpoint
ht,0.029179517819079622,en,thekillpoint
try,0.028915273652942164,en,thekillpoint
cause,0.028915273652942164,en,thekillpoint
stay,0.028915273652942164,en,thekillpoint
ask,0.027710470584069575,en,thekillpoint
bad,0.027710470584069575,en,thekillpoint
lot,0.027710470584069575,en,thekillpoint
leroy,0.02709991635658243,en,thekillpoint
augie,0.026758792882080384,en,thekillpoint
point,0.026505667515196982,en,thekillpoint
day,0.026505667515196982,en,thekillpoint
soldier,0.026026579076514282,en,thekillpoint
ahead,0.02570895175213538,en,thekillpoint
frequency,0.025559232923586032,en,thekillpoint
make,0.025300864446324393,en,thekillpoint
away,0.025300864446324393,en,thekillpoint
leave,0.025300864446324393,en,thekillpoint
maybe,0.025300864446324393,en,thekillpoint
bring,0.025300864446324393,en,thekillpoint
team,0.025079710662961878,en,thekillpoint
fallujah,0.02477749059070688,en,thekillpoint
corporal,0.024772844554901155,en,thekillpoint
bernard,0.024772844554901155,en,thekillpoint
derzius,0.02474745770694033,en,thekillpoint
follow,0.024289605079663313,en,thekillpoint
walk,0.024096061377451804,en,thekillpoint
feel,0.024096061377451804,en,thekillpoint
listen,0.024096061377451804,en,thekillpoint
ready,0.024096061377451804,en,thekillpoint
control,0.02326048015669391,en,thekillpoint
marco,0.02307753563696941,en,thekillpoint
send,0.023075124825680145,en,thekillpoint
hand,0.022891258308579212,en,thekillpoint
line,0.022891258308579212,en,thekillpoint
darksh,0.022793435280662435,en,thekillpoint
breach,0.022433157747841367,en,thekillpoint
ass,0.022391767980881643,en,thekillpoint
kid,0.02221327762975716,en,thekillpoint
break,0.021860644571696983,en,thekillpoint
give,0.021686455239706623,en,thekillpoint
situation,0.021489149642547813,en,thekillpoint
ashley,0.021051240399587414,en,thekillpoint
minute,0.020646164317713815,en,thekillpoint
deal,0.020646164317713815,en,thekillpoint
stop,0.020481652170834034,en,thekillpoint
place,0.020481652170834034,en,thekillpoint
well,0.020481652170834034,en,thekillpoint
lose,0.020481652170834034,en,thekillpoint
run,0.020481652170834034,en,thekillpoint
addie,0.020331658163974354,en,thekillpoint
meringue,0.01965855709840825,en,thekillpoint
order,0.019587772763531717,en,thekillpoint
big,0.01943168406373065,en,thekillpoint
military,0.019314825137069502,en,thekillpoint
hour,0.01927684910196144,en,thekillpoint
sound,0.01927684910196144,en,thekillpoint
long,0.01927684910196144,en,thekillpoint
fire,0.01927684910196144,en,thekillpoint
save,0.01927684910196144,en,thekillpoint
fine,0.018217203809747486,en,thekillpoint
negotiation,0.01776835247709645,en,thekillpoint
country,0.01769694676445114,en,thekillpoint
release,0.017555797464073312,en,thekillpoint
calm,0.017555797464073312,en,thekillpoint
agent,0.017397466057882813,en,thekillpoint
sir,0.017276993712033346,en,thekillpoint
war,0.017139301168090253,en,thekillpoint
deke,0.01709507646049683,en,thekillpoint
trust,0.017002723555764317,en,thekillpoint
cake,0.01697837477727539,en,thekillpoint
easy,0.016867242964216263,en,thekillpoint
year,0.016867242964216263,en,thekillpoint
word,0.016867242964216263,en,thekillpoint
miss,0.016867242964216263,en,thekillpoint
wrong,0.016867242964216263,en,thekillpoint
head,0.016867242964216263,en,thekillpoint
sure,0.016867242964216263,en,thekillpoint
