mot,poids_tfidf,langue,serie
s,0.5065235505014143,en,thenine
know,0.30343627789471517,en,thenine
go,0.2429083064511499,en,thenine
t,0.22777631359025863,en,thenine
lizzie,0.20752630978094566,en,thenine
get,0.1863624383920298,en,thenine
m,0.17361970756180553,en,thenine
franny,0.1701837219016592,en,thenine
want,0.16963760417736043,en,thenine
think,0.1680447628235824,en,thenine
come,0.1672483421466934,en,thenine
right,0.15689487334713617,en,thenine
randall,0.1279491969947118,en,thenine
tell,0.11627741882579636,en,thenine
look,0.10034900528801603,en,thenine
good,0.098756163934238,en,thenine
let,0.09636690190357096,en,thenine
need,0.09557048122668194,en,thenine
bank,0.09341590098421608,en,thenine
egan,0.0858848093262303,en,thenine
thing,0.08521701242712473,en,thenine
time,0.08521701242712473,en,thenine
thank,0.0836241710733467,en,thenine
day,0.07804922633512358,en,thenine
way,0.07804922633512358,en,thenine
ricky,0.07627564631838278,en,thenine
talk,0.07565996430445654,en,thenine
say,0.07406712295067851,en,thenine
happen,0.06928859888934441,en,thenine
nick,0.06680747128856843,en,thenine
jeremy,0.0635752758097823,en,thenine
try,0.06212081279734326,en,thenine
hear,0.06212081279734326,en,thenine
mean,0.05734228873600916,en,thenine
malcolm,0.0554267237782091,en,thenine
work,0.05336018535156408,en,thenine
okay,0.05179484277330849,en,thenine
eva,0.05079979493965493,en,thenine
fine,0.05057751286406953,en,thenine
man,0.048581661290229984,en,thenine
people,0.04778524061334097,en,thenine
cavanaugh,0.04678219562990915,en,thenine
find,0.046192399259562936,en,thenine
ask,0.04539597858267392,en,thenine
guy,0.04495778921250625,en,thenine
maybe,0.0445995579057849,en,thenine
sorry,0.04300671655200687,en,thenine
rio,0.0416354478277572,en,thenine
see,0.04141387519822884,en,thenine
feel,0.04061745452133982,en,thenine
help,0.04061745452133982,en,thenine
sure,0.03982103384445081,en,thenine
minute,0.03853524789643392,en,thenine
life,0.038228192490672774,en,thenine
wait,0.03663535113689474,en,thenine
leave,0.035838930460005726,en,thenine
mother,0.035838930460005726,en,thenine
call,0.03504250978311671,en,thenine
lot,0.03504250978311671,en,thenine
take,0.03504250978311671,en,thenine
year,0.034246089106227694,en,thenine
cop,0.034237282165197266,en,thenine
great,0.03344966842933868,en,thenine
night,0.03265324775244966,en,thenine
long,0.03265324775244966,en,thenine
hour,0.03265324775244966,en,thenine
foote,0.031839444704999886,en,thenine
bad,0.03106040639867163,en,thenine
little,0.03106040639867163,en,thenine
today,0.029467565044893597,en,thenine
phone,0.02878129867346123,en,thenine
home,0.02867114436800458,en,thenine
money,0.02867114436800458,en,thenine
d,0.02707830301422655,en,thenine
well,0.02707830301422655,en,thenine
friend,0.026281882337337532,en,thenine
robbery,0.026239487856717966,en,thenine
guess,0.025485461660448516,en,thenine
die,0.025485461660448516,en,thenine
change,0.025485461660448516,en,thenine
pm,0.02509837993202667,en,thenine
job,0.0246890409835595,en,thenine
remember,0.0246890409835595,en,thenine
stay,0.0246890409835595,en,thenine
win,0.0246890409835595,en,thenine
kill,0.023892620306670484,en,thenine
place,0.023892620306670484,en,thenine
away,0.02229977895289245,en,thenine
love,0.02229977895289245,en,thenine
shoot,0.02229977895289245,en,thenine
week,0.02229977895289245,en,thenine
hurt,0.021676076941744084,en,thenine
tom,0.021658549786937646,en,thenine
corcoran,0.02164418545595608,en,thenine
mom,0.021552236092316737,en,thenine
hand,0.021503358276003436,en,thenine
big,0.020873259277235042,en,thenine
hell,0.02070693759911442,en,thenine
wasn,0.02070693759911442,en,thenine
pregnant,0.0202455455060141,en,thenine
evie,0.020159999640913435,en,thenine
hold,0.020070441612726003,en,thenine
sit,0.019910516922225403,en,thenine
stop,0.019910516922225403,en,thenine
door,0.019910516922225403,en,thenine
reese,0.019880339180580735,en,thenine
kate,0.01933356465770887,en,thenine
course,0.01926762394821696,en,thenine
pretty,0.01926762394821696,en,thenine
security,0.019218726502666632,en,thenine
wife,0.019114096245336387,en,thenine
easy,0.019114096245336387,en,thenine
hostage,0.019044865948818237,en,thenine
felicia,0.01871870191919433,en,thenine
plan,0.018464806283707922,en,thenine
