mot,poids_tfidf,langue,serie
s,0.46670257060026327,en,thepretender
jarod,0.4325337762614001,en,thepretender
know,0.25139339663687826,en,thepretender
broot,0.23648592264232762,en,thepretender
t,0.2122190885963179,en,thepretender
sydney,0.17098433968291138,en,thepretender
go,0.1695559744961657,en,thepretender
parker,0.15680423544338262,en,thepretender
want,0.1383560803061011,en,thepretender
think,0.12170949139319125,en,thepretender
get,0.12061300948874809,en,thepretender
m,0.11632676204410662,en,thepretender
come,0.11333635685017072,en,thepretender
man,0.11104371286815319,en,thepretender
tell,0.1076545869816925,en,thepretender
find,0.09908209209240959,en,thepretender
right,0.09688912828352325,en,thepretender
miss,0.09310128170453778,en,thepretender
centre,0.09157932826638913,en,thepretender
look,0.08801759287484674,en,thepretender
raine,0.08555198703602218,en,thepretender
time,0.07934541781243262,en,thepretender
good,0.07775053504233348,en,thepretender
let,0.07545789106031595,en,thepretender
pretender,0.0683889412908412,en,thepretender
help,0.06798187807547619,en,thepretender
lyle,0.0661243712226288,en,thepretender
say,0.0646924323621467,en,thepretender
little,0.06100426595629242,en,thepretender
need,0.06010714439811165,en,thepretender
thing,0.05751545989670053,en,thepretender
father,0.0570251173782448,en,thepretender
kill,0.05621961764599498,en,thepretender
leave,0.05512313574155181,en,thepretender
way,0.0525314512401407,en,thepretender
thank,0.05083688829691035,en,thepretender
life,0.05033848743125437,en,thepretender
work,0.04964072621933599,en,thepretender
people,0.049541046046204795,en,thepretender
talk,0.04884328483428642,en,thepretender
try,0.048444564141761626,en,thepretender
take,0.04724840206418727,en,thepretender
die,0.0431615149658082,en,thepretender
angelo,0.04308503301322995,en,thepretender
day,0.04226439340762743,en,thepretender
mother,0.04156663219570905,en,thepretender
mean,0.03967270890621631,en,thepretender
guy,0.039488962808863624,en,thepretender
year,0.039273988213691526,en,thepretender
see,0.03867590717490434,en,thepretender
family,0.038476546828641954,en,thepretender
beep,0.0382154427526242,en,thepretender
happen,0.03787846578985477,en,thepretender
sure,0.03728038475106759,en,thepretender
hell,0.03618390284662443,en,thepretender
boy,0.035884862327230836,en,thepretender
hear,0.035585821807837245,en,thepretender
chuckle,0.03539084954078994,en,thepretender
love,0.035286781288443654,en,thepretender
feel,0.03448933990339408,en,thepretender
maybe,0.03438965973026288,en,thepretender
place,0.0338912588646069,en,thepretender
sorry,0.03299413730642613,en,thepretender
sigh,0.032378862345829096,en,thepretender
run,0.031897655401982965,en,thepretender
d,0.03179797522885177,en,thepretender
believe,0.03149893470945818,en,thepretender
narrate,0.03145891299378695,en,thepretender
woman,0.030801173497539802,en,thepretender
long,0.03020309245875262,en,thepretender
dead,0.028707889861784668,en,thepretender
wait,0.028508529515522275,en,thepretender
hour,0.028508529515522275,en,thepretender
son,0.027833187526858077,en,thepretender
phone,0.02758312025699787,en,thepretender
night,0.027013326918554324,en,thepretender
friend,0.02681396657229193,en,thepretender
start,0.02681396657229193,en,thepretender
stop,0.026714286399160733,en,thepretender
remember,0.026016525187242356,en,thepretender
away,0.025916845014111158,en,thepretender
brother,0.025817164840979963,en,thepretender
