mot,poids_tfidf,langue,serie
s,0.6040696391871063,en,thesarahconnorchronicles
know,0.3677570217167639,en,thesarahconnorchronicles
t,0.2449319226668291,en,thesarahconnorchronicles
go,0.1896247143227064,en,thesarahconnorchronicles
skynet,0.15797111856191717,en,thesarahconnorchronicles
m,0.14904215235591506,en,thesarahconnorchronicles
think,0.14580991290723255,en,thesarahconnorchronicles
tell,0.13611319456118506,en,thesarahconnorchronicles
get,0.1278530270812187,en,thesarahconnorchronicles
come,0.12282509904993481,en,thesarahconnorchronicles
need,0.1167197578690901,en,thesarahconnorchronicles
right,0.11348751842040761,en,thesarahconnorchronicles
want,0.108818728105644,en,thesarahconnorchronicles
connor,0.10101130478297568,en,thesarahconnorchronicles
look,0.0976854588935154,en,thesarahconnorchronicles
kill,0.09696718346047485,en,thesarahconnorchronicles
thing,0.09158011771267069,en,thesarahconnorchronicles
good,0.0804468485005421,en,thesarahconnorchronicles
time,0.07972857306750154,en,thesarahconnorchronicles
find,0.07505978275273795,en,thesarahconnorchronicles
talk,0.07434150731969738,en,thesarahconnorchronicles
say,0.06392651354060935,en,thesarahconnorchronicles
let,0.06248996267452824,en,thesarahconnorchronicles
people,0.06177168724148768,en,thesarahconnorchronicles
happen,0.060694274091926854,en,thesarahconnorchronicles
guy,0.059371669060862366,en,thesarahconnorchronicles
riley,0.05854586579234265,en,thesarahconnorchronicles
turk,0.057372605952999665,en,thesarahconnorchronicles
work,0.056743759210203804,en,thesarahconnorchronicles
see,0.05638462149368353,en,thesarahconnorchronicles
mom,0.055695966727996656,en,thesarahconnorchronicles
cromartie,0.053482727743052585,en,thesarahconnorchronicles
mean,0.052434106611960477,en,thesarahconnorchronicles
help,0.05063841802935909,en,thesarahconnorchronicles
day,0.05027928031283881,en,thesarahconnorchronicles
man,0.0488427294467577,en,thesarahconnorchronicles
cameron,0.048363976089326535,en,thesarahconnorchronicles
maybe,0.04776531629719687,en,thesarahconnorchronicles
way,0.04668790314763604,en,thesarahconnorchronicles
take,0.04309652598243327,en,thesarahconnorchronicles
die,0.04237825054939271,en,thesarahconnorchronicles
future,0.041825220522836874,en,thesarahconnorchronicles
leave,0.04058256196679133,en,thesarahconnorchronicles
sure,0.04058256196679133,en,thesarahconnorchronicles
dead,0.04022342425027105,en,thesarahconnorchronicles
stop,0.039505148817230495,en,thesarahconnorchronicles
try,0.039505148817230495,en,thesarahconnorchronicles
charley,0.03904089166020831,en,thesarahconnorchronicles
sorry,0.03878687338418994,en,thesarahconnorchronicles
run,0.03878687338418994,en,thesarahconnorchronicles
thank,0.03842773566766967,en,thesarahconnorchronicles
d,0.038068597951149384,en,thesarahconnorchronicles
machine,0.03684394693742307,en,thesarahconnorchronicles
metal,0.036296508682705834,en,thesarahconnorchronicles
ask,0.036272909368548004,en,thesarahconnorchronicles
year,0.036272909368548004,en,thesarahconnorchronicles
life,0.035554633935507444,en,thesarahconnorchronicles
derek,0.035468859422197616,en,thesarahconnorchronicles
house,0.03483635850246689,en,thesarahconnorchronicles
computer,0.03451534161110044,en,thesarahconnorchronicles
girl,0.03375894535290606,en,thesarahconnorchronicles
win,0.03339980763638578,en,thesarahconnorchronicles
believe,0.03268153220334523,en,thesarahconnorchronicles
love,0.03196325677030468,en,thesarahconnorchronicles
human,0.03163614392455816,en,thesarahconnorchronicles
son,0.03149594639204284,en,thesarahconnorchronicles
friend,0.03124498133726412,en,thesarahconnorchronicles
lot,0.03124498133726412,en,thesarahconnorchronicles
