mot,poids_tfidf,langue,serie
majest,0.6283832670344142,fr,thetudors
roi,0.30895026377564044,fr,thetudors
n,0.18025984911575305,fr,thetudors
wolsey,0.1599385734118893,fr,thetudors
c,0.1475055872863146,fr,thetudors
lady,0.14430159397315953,fr,thetudors
vouloir,0.13369086460995283,fr,thetudors
j,0.1327995921792198,fr,thetudors
devoir,0.12433250408725613,fr,thetudors
minence,0.11867055721673353,fr,thetudors
bien,0.11430568924150966,fr,thetudors
empereur,0.1094274134970333,fr,thetudors
lord,0.10731839777744229,fr,thetudors
grce,0.0989982068393174,fr,thetudors
savoir,0.09893123981136509,fr,thetudors
reine,0.09668159153007505,fr,thetudors
oui,0.09581178630379952,fr,thetudors
non,0.09402924144233349,fr,thetudors
tre,0.0855621533503698,fr,thetudors
faire,0.08422524470427027,fr,thetudors
milord,0.07903781107161158,fr,thetudors
angleterre,0.07808891867325239,fr,thetudors
voir,0.07776351958145589,fr,thetudors
pouvoir,0.07664942904303962,fr,thetudors
cardinal,0.07597384307191367,fr,thetudors
dieu,0.07152461256632475,fr,thetudors
duc,0.06549935440480911,fr,thetudors
venir,0.06439443312046061,fr,thetudors
pape,0.061669242610618194,fr,thetudors
boleyn,0.06026633094210383,fr,thetudors
taire,0.05926961664374575,fr,thetudors
homme,0.0590467985360625,fr,thetudors
mme,0.05815552610532948,fr,thetudors
avoir,0.057709889889962965,fr,thetudors
cour,0.055142148535534674,fr,thetudors
suffolk,0.05348037622932671,fr,thetudors
dire,0.05303070962861462,fr,thetudors
ici,0.049911256121049054,fr,thetudors
aimer,0.049465619905682545,fr,thetudors
bon,0.04901998369031604,fr,thetudors
chose,0.04879716558263278,fr,thetudors
grand,0.047683075044216504,fr,thetudors
croire,0.047237438828849995,fr,thetudors
jamais,0.04545489396738396,fr,thetudors
aller,0.0452320758597007,fr,thetudors
femme,0.04389516721360118,fr,thetudors
ann,0.04383297298466865,fr,thetudors
fille,0.0427810766751849,fr,thetudors
catherine,0.04264574622103347,fr,thetudors
excellence,0.041777759134522446,fr,thetudors
surrey,0.041283097440182014,fr,thetudors
hertford,0.04112706173448582,fr,thetudors
rochford,0.04112706173448582,fr,thetudors
mary,0.04094662344568564,fr,thetudors
monsieur,0.0403065418189451,fr,thetudors
franoi,0.039190323571562054,fr,thetudors
amour,0.039121126572510274,fr,thetudors
fils,0.038993168844569576,fr,thetudors
ambassadeur,0.038630373911147806,fr,thetudors
franai,0.03851270878814577,fr,thetudors
mariage,0.038354549497788416,fr,thetudors
penser,0.03810189641383655,fr,thetudors
dmbmh,0.03770036215154568,fr,thetudors
altesse,0.03767948047911533,fr,thetudors
tudors,0.0375429602590155,fr,thetudors
trs,0.03631935155237052,fr,thetudors
pre,0.03565089722932075,fr,thetudors
vque,0.0355420011624454,fr,thetudors
nouveau,0.0354280791216375,fr,thetudors
saintet,0.035036024412521814,fr,thetudors
enfant,0.03498244290627099,fr,thetudors
